#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:771917-773656|- -            580 539at2085            -            541  9.4e-247  815.3  14.2   1   1  6.1e-249  1.1e-246  815.1  14.2     1   541     8   574     8   574 0.97 scf00000000_616 # 771917 # 773656 # -1 # ID=1_616;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.300
scf00000000:83543-84910|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   1   3      0.16        29   -1.5   0.0   197   228    56    87    39   101 0.72 scf00000000_69 # 83543 # 84910 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
scf00000000:83543-84910|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   2   3   1.3e-08   2.3e-06   21.9   0.1   235   346   157   268   150   272 0.88 scf00000000_69 # 83543 # 84910 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
scf00000000:83543-84910|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   3   3   5.9e-05      0.01    9.8   0.1   451   540   354   449   348   450 0.83 scf00000000_69 # 83543 # 84910 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
scf00000000:538238-539677|+ -            480 539at2085            -            541   1.7e-07   25.6   6.6   1   3     0.014       2.5    2.0   0.0   186   317    43   184    34   196 0.65 scf00000000_457 # 538238 # 539677 # 1 # ID=1_457;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
scf00000000:538238-539677|+ -            480 539at2085            -            541   1.7e-07   25.6   6.6   2   3   1.6e-09   2.8e-07   24.9   2.3   408   525   237   366   226   382 0.78 scf00000000_457 # 538238 # 539677 # 1 # ID=1_457;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
scf00000000:538238-539677|+ -            480 539at2085            -            541   1.7e-07   25.6   6.6   3   3      0.12        21   -1.1   0.1    29   128   366   470   360   473 0.52 scf00000000_457 # 538238 # 539677 # 1 # ID=1_457;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
scf00000000:315415-316656|+ -            414 539at2085            -            541   9.4e-05   16.6   0.5   1   3      0.17        30   -1.6   0.2    99   142     9    52     3    89 0.64 scf00000000_268 # 315415 # 316656 # 1 # ID=1_268;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
scf00000000:315415-316656|+ -            414 539at2085            -            541   9.4e-05   16.6   0.5   2   3   1.5e-05    0.0026   11.8   0.0   153   362   133   347   119   353 0.81 scf00000000_268 # 315415 # 316656 # 1 # ID=1_268;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
scf00000000:315415-316656|+ -            414 539at2085            -            541   9.4e-05   16.6   0.5   3   3     0.014       2.4    2.0   0.0   411   458   361   406   353   409 0.77 scf00000000_268 # 315415 # 316656 # 1 # ID=1_268;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use
# Date:            Sun Dec  1 19:24:07 2024
# [ok]
