#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:125436-126227|+ -            264 1679at2085           -            265   5.1e-79  260.6  12.5   1   1   5.5e-81   5.6e-79  260.5  12.5    12   256     1   255     1   263 0.91 scf00000000_99 # 125436 # 126227 # 1 # ID=1_99;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.268
scf00000000:105521-106822|+ -            434 1679at2085           -            265   2.7e-23   77.9  11.4   1   3   1.4e-11   1.5e-09   32.9   0.2   123   177     6    64     1    75 0.80 scf00000000_82 # 105521 # 106822 # 1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
scf00000000:105521-106822|+ -            434 1679at2085           -            265   2.7e-23   77.9  11.4   2   3   1.2e-12   1.2e-10   36.4   0.4    22   173    78   228    69   240 0.78 scf00000000_82 # 105521 # 106822 # 1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
scf00000000:105521-106822|+ -            434 1679at2085           -            265   2.7e-23   77.9  11.4   3   3   6.2e-06   0.00064   14.4   1.1    24   139   251   380   245   386 0.62 scf00000000_82 # 105521 # 106822 # 1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
scf00000000:588719-589315|- -            199 1679at2085           -            265   2.4e-13   45.3   5.4   1   2   6.6e-13   6.7e-11   37.3   0.1   123   172    41    91    29   109 0.90 scf00000000_482 # 588719 # 589315 # -1 # ID=1_482;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
scf00000000:588719-589315|- -            199 1679at2085           -            265   2.4e-13   45.3   5.4   2   2   0.00017     0.017    9.7   1.8    24    97   117   195   105   198 0.78 scf00000000_482 # 588719 # 589315 # -1 # ID=1_482;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
scf00000000:252547-253875|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   1   3      0.93        95   -2.5   0.1   231   258   137   164   114   170 0.58 scf00000000_226 # 252547 # 253875 # -1 # ID=1_226;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
scf00000000:252547-253875|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   2   3   8.9e-14     9e-12   40.2   0.3    97   174   194   275   184   289 0.78 scf00000000_226 # 252547 # 253875 # -1 # ID=1_226;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
scf00000000:252547-253875|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   3   3   0.00026     0.026    9.1   6.5    21   104   291   366   281   386 0.71 scf00000000_226 # 252547 # 253875 # -1 # ID=1_226;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
scf00000000:208811-209692|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   1   2   1.8e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 scf00000000_167 # 208811 # 209692 # -1 # ID=1_167;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
scf00000000:208811-209692|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   2   2    0.0013      0.13    6.8   4.0    47   103   108   169    77   190 0.77 scf00000000_167 # 208811 # 209692 # -1 # ID=1_167;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
scf00000000:68091-69350|+   -            420 1679at2085           -            265   2.2e-05   19.3  11.0   1   2   4.4e-07   4.4e-05   18.2   0.1   124   175   161   215   145   236 0.75 scf00000000_51 # 68091 # 69350 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.309
scf00000000:68091-69350|+   -            420 1679at2085           -            265   2.2e-05   19.3  11.0   2   2     0.036       3.6    2.1   7.6    39   121   257   343   253   346 0.83 scf00000000_51 # 68091 # 69350 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.309
scf00000000:361504-362607|- -            368 1679at2085           -            265   3.1e-05   18.8   0.1   1   2     3e-07   3.1e-05   18.8   0.1   119   155     2    37     1    47 0.85 scf00000000_311 # 361504 # 362607 # -1 # ID=1_311;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.299
scf00000000:361504-362607|- -            368 1679at2085           -            265   3.1e-05   18.8   0.1   2   2       1.7   1.7e+02   -3.4   0.1   100   103   148   151   119   177 0.52 scf00000000_311 # 361504 # 362607 # -1 # ID=1_311;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.299
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use
# Date:            Sun Dec  1 19:24:02 2024
# [ok]
