Assembly	ragtag.patch
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	898336
Total length (>= 1000 bp)	898336
Total length (>= 5000 bp)	894287
Total length (>= 10000 bp)	894287
Total length (>= 25000 bp)	894287
Total length (>= 50000 bp)	894287
# contigs	2
Largest contig	894287
Total length	898336
GC (%)	28.56
N50	894287
N90	894287
auN	890274.5
L50	1
L90	1
# N's per 100 kbp	207.83
