Orthogroup	MHP_MHP679_genes	MHP_MHP709_genes
OG0000000	DR086_RS03500	DR088_RS03570
OG0000000	DR086_RS04250	DR088_RS04105
OG0000000	DR086_RS04245	DR088_RS04100
OG0000001	DR086_RS01010	DR088_RS00215
OG0000002	DR086_RS04310	DR088_RS04280
OG0000002	DR086_RS05060	DR088_RS03455
OG0000002	DR086_RS04880	DR088_RS04510
OG0000003	DR086_RS04545	DR088_RS04215
OG0000003	DR086_RS05055	DR088_RS04580
OG0000003	DR086_RS05085	DR088_RS03645
OG0000004	DR086_RS03630	DR088_RS01540
OG0000004	DR086_RS03555	DR088_RS03400
OG0000005	DR086_RS03245	DR088_RS01950
OG0000005	DR086_RS03255	DR088_RS03545
OG0000005	DR086_RS05035	DR088_RS03300, DR088_RS04590
OG0000006	DR086_RS04530	DR088_RS02425
OG0000007	DR086_RS03485	DR088_RS03260
OG0000007	DR086_RS03495	DR088_RS03275
OG0000008	DR086_RS04265	DR088_RS03690
OG0000008	DR086_RS02140	DR088_RS04285
OG0000010	DR086_RS00810	DR088_RS00450
OG0000011	DR086_RS00450	DR088_RS00560
OG0000011	DR086_RS00445	DR088_RS00555
OG0000012	DR086_RS03775	DR088_RS00005
OG0000012	DR086_RS03950	DR088_RS03650
OG0000013	DR086_RS03105	DR088_RS02380
OG0000013	DR086_RS04005	DR088_RS03910
OG0000014	DR086_RS03610	DR088_RS00785
OG0000014	DR086_RS04970	DR088_RS04355
OG0000016	DR086_RS01050	DR088_RS00255
OG0000016	DR086_RS00030	DR088_RS01355
OG0000017	DR086_RS00015	DR088_RS01370
OG0000017	DR086_RS01060	DR088_RS00265
OG0000018	DR086_RS04915, DR086_RS04795	DR088_RS04550
OG0000019	DR086_RS04570	DR088_RS04255
OG0000020	DR086_RS02470	DR088_RS04470
OG0000021	DR086_RS00630, DR086_RS03665	DR088_RS00360
OG0000022	DR086_RS01645	DR088_RS02355
OG0000022	DR086_RS04885	DR088_RS04515
OG0000023	DR086_RS02015, DR086_RS04105	DR088_RS02595
OG0000024	DR086_RS03190	DR088_RS00160
OG0000025	DR086_RS04890	DR088_RS04520
OG0000025	DR086_RS01595	DR088_RS02305
OG0000026	DR086_RS01970	DR088_RS02640
OG0000026	DR086_RS01615	DR088_RS02325
OG0000027	DR086_RS05030	DR088_RS04450
OG0000027	DR086_RS04870	DR088_RS04500
OG0000028	DR086_RS02225, DR086_RS03150	DR088_RS04565
OG0000029	DR086_RS02730	DR088_RS01545
OG0000030	DR086_RS05025	DR088_RS04445
