Orthogroup	MHP_MHP679_genes	MFC_MF18_genes
OG0000001	DR086_RS03435, DR086_RS01010, DR086_RS03200, DR086_RS03195	DR082_RS00825, DR082_RS00820
OG0000002	DR086_RS05060	DR082_RS02920
OG0000002	DR086_RS04880	DR082_RS03830
OG0000003	DR086_RS05055	DR082_RS03925
OG0000004	DR086_RS00615	DR082_RS01625
OG0000007	DR086_RS03485	DR082_RS02890
OG0000007	DR086_RS03495	DR082_RS03930
OG0000011	DR086_RS00450	DR082_RS03895, DR082_RS03545
OG0000011	DR086_RS00445	DR082_RS02625
OG0000013	DR086_RS03105	DR082_RS01090, DR082_RS01085
OG0000013	DR086_RS04005	DR082_RS03095
OG0000014	DR086_RS03610, DR086_RS04970	DR082_RS03685
OG0000016	DR086_RS01050	DR082_RS00770
OG0000017	DR086_RS00015	DR082_RS00175
OG0000017	DR086_RS01060	DR082_RS00760
OG0000019	DR086_RS04570	DR082_RS03120
OG0000020	DR086_RS02470	DR082_RS03845
OG0000022	DR086_RS04885	DR082_RS03835
OG0000023	DR086_RS02015, DR086_RS04105	DR082_RS02000
OG0000024	DR086_RS03190	DR082_RS00830
OG0000025	DR086_RS01595	DR082_RS02390
OG0000026	DR086_RS01970, DR086_RS01615	DR082_RS02045
OG0000027	DR086_RS05030	DR082_RS02575
OG0000027	DR086_RS04870	DR082_RS03875
OG0000029	DR086_RS02730	DR082_RS00605
OG0000030	DR086_RS05025, DR086_RS04875	DR082_RS03880
OG0000031	DR086_RS00745	DR082_RS01195
OG0000032	DR086_RS03980, DR086_RS03870	DR082_RS02570
OG0000039	DR086_RS03295	DR082_RS00665
OG0000042	DR086_RS02970	DR082_RS00660, DR082_RS00805
OG0000043	DR086_RS00415	DR082_RS02595
OG0000045	DR086_RS03290	DR082_RS03225, DR082_RS03230
OG0000047	DR086_RS00730	DR082_RS00835
OG0000048	DR086_RS00610	DR082_RS03010, DR082_RS02750
OG0000049	DR086_RS01430	DR082_RS01640, DR082_RS03345
OG0000050	DR086_RS02195	DR082_RS01160
OG0000051	DR086_RS00855	DR082_RS01520
OG0000052	DR086_RS01150	DR082_RS03660
OG0000053	DR086_RS04905	DR082_RS03920
OG0000054	DR086_RS02170	DR082_RS01135
OG0000055	DR086_RS03270	DR082_RS03970
OG0000056	DR086_RS02455	DR082_RS02415
OG0000057	DR086_RS01130	DR082_RS00685
OG0000062	DR086_RS01260	DR082_RS00025
OG0000063	DR086_RS04835	DR082_RS00020
OG0000064	DR086_RS01275	DR082_RS00010
OG0000065	DR086_RS02080	DR082_RS01905
OG0000066	DR086_RS01980	DR082_RS02035
OG0000068	DR086_RS01570	DR082_RS00640
OG0000069	DR086_RS01025	DR082_RS00795
OG0000070	DR086_RS02165	DR082_RS01115
OG0000071	DR086_RS02350	DR082_RS01840
OG0000072	DR086_RS04935	DR082_RS03775
OG0000073	DR086_RS03040	DR082_RS02205
OG0000075	DR086_RS03840	DR082_RS00360
OG0000076	DR086_RS00225	DR082_RS00375
OG0000077	DR086_RS00315	DR082_RS00460
OG0000078	DR086_RS01625	DR082_RS00920
OG0000079	DR086_RS00950	DR082_RS01035
OG0000080	DR086_RS04145	DR082_RS03280
OG0000081	DR086_RS00205	DR082_RS00355
OG0000082	DR086_RS03110	DR082_RS01095
OG0000083	DR086_RS00520	DR082_RS02990
OG0000084	DR086_RS00545	DR082_RS02700
OG0000085	DR086_RS00550	DR082_RS03060, DR082_RS02705
OG0000086	DR086_RS00560	DR082_RS03910
OG0000087	DR086_RS00575	DR082_RS02730
OG0000088	DR086_RS00580	DR082_RS02735
OG0000089	DR086_RS00590	DR082_RS02745
OG0000090	DR086_RS01155	DR082_RS00130
OG0000091	DR086_RS01170	DR082_RS00115
OG0000092	DR086_RS01185	DR082_RS00100
OG0000093	DR086_RS01190	DR082_RS00095
OG0000094	DR086_RS01195	DR082_RS00090
OG0000095	DR086_RS01220	DR082_RS00065
OG0000096	DR086_RS01225	DR082_RS00060
OG0000097	DR086_RS01245	DR082_RS00040
OG0000098	DR086_RS01255	DR082_RS00030
OG0000099	DR086_RS04950	DR082_RS02420
OG0000100	DR086_RS02445	DR082_RS02410
OG0000101	DR086_RS02440	DR082_RS02405
OG0000102	DR086_RS01600	DR082_RS02395
OG0000103	DR086_RS02115	DR082_RS01870
OG0000104	DR086_RS02110	DR082_RS01875
OG0000105	DR086_RS02095	DR082_RS01890
OG0000106	DR086_RS02085	DR082_RS01900
OG0000107	DR086_RS02075	DR082_RS01910
OG0000108	DR086_RS02070	DR082_RS01915
OG0000109	DR086_RS02065	DR082_RS01920
OG0000110	DR086_RS03120	DR082_RS01925
OG0000111	DR086_RS03125	DR082_RS01930
OG0000112	DR086_RS03135	DR082_RS01940
OG0000113	DR086_RS05050	DR082_RS03785
