Orthogroup	MHP_MHP679_genes	MHP_KM014_genes
OG0000000	DR086_RS03500	CIB43_RS03015
OG0000000	DR086_RS04250	CIB43_RS02595
OG0000001	DR086_RS01010	CIB43_RS03715
OG0000001	DR086_RS03200, DR086_RS03195	CIB43_RS03670
OG0000002	DR086_RS04310	CIB43_RS03100, CIB43_RS04020
OG0000002	DR086_RS04880	CIB43_RS02610
OG0000003	DR086_RS00625, DR086_RS03690	CIB43_RS01390
OG0000003	DR086_RS05085	CIB43_RS02725
OG0000004	DR086_RS03630	CIB43_RS00290, CIB43_RS00275
OG0000005	DR086_RS03245	CIB43_RS00810
OG0000006	DR086_RS04315	CIB43_RS03435
OG0000006	DR086_RS04320, DR086_RS04535, DR086_RS04530	CIB43_RS03420
OG0000007	DR086_RS03485	CIB43_RS03095
OG0000007	DR086_RS03495	CIB43_RS03075
OG0000010	DR086_RS00810	CIB43_RS02735
OG0000011	DR086_RS00450	CIB43_RS02850
OG0000014	DR086_RS03610	CIB43_RS01955
OG0000015	DR086_RS03700	CIB43_RS01235
OG0000015	DR086_RS00690	CIB43_RS00010
OG0000016	DR086_RS01050	CIB43_RS03755
OG0000017	DR086_RS00015	CIB43_RS00855
OG0000017	DR086_RS01060	CIB43_RS03765
OG0000018	DR086_RS04915	CIB43_RS02195
OG0000019	DR086_RS04570	CIB43_RS00120, CIB43_RS00115, CIB43_RS03950, CIB43_RS00005
OG0000020	DR086_RS02470	CIB43_RS00635
OG0000021	DR086_RS00630	CIB43_RS01400
OG0000022	DR086_RS04885	CIB43_RS02590
OG0000023	DR086_RS04105	CIB43_RS00020
OG0000025	DR086_RS01595	CIB43_RS02585
OG0000026	DR086_RS01615	CIB43_RS02565
OG0000027	DR086_RS04870	CIB43_RS00440
OG0000028	DR086_RS02225, DR086_RS03150	CIB43_RS03325
OG0000030	DR086_RS04875	CIB43_RS00435
OG0000031	DR086_RS00745	CIB43_RS01295, CIB43_RS00065
OG0000036	DR086_RS03265	CIB43_RS00815
OG0000037	DR086_RS04510	CIB43_RS02475, CIB43_RS02465
OG0000039	DR086_RS03295	CIB43_RS02500
OG0000041	DR086_RS03635	CIB43_RS03980
OG0000042	DR086_RS02970	CIB43_RS03855
OG0000043	DR086_RS00415	CIB43_RS00070
OG0000045	DR086_RS03290	CIB43_RS02520
OG0000047	DR086_RS00730	CIB43_RS01205, CIB43_RS00045
OG0000048	DR086_RS00610	CIB43_RS02995
OG0000049	DR086_RS01430	CIB43_RS00150
OG0000051	DR086_RS00855	CIB43_RS03575
OG0000052	DR086_RS01150	CIB43_RS00775
OG0000053	DR086_RS04905	CIB43_RS02315
OG0000054	DR086_RS02170	CIB43_RS03395
OG0000055	DR086_RS03270	CIB43_RS00835
OG0000056	DR086_RS02455	CIB43_RS00630, CIB43_RS03960
OG0000057	DR086_RS01130	CIB43_RS03840
OG0000058	DR086_RS00765	CIB43_RS00085
OG0000059	DR086_RS04120	CIB43_RS00080, CIB43_RS01165
OG0000062	DR086_RS01260	CIB43_RS00675
OG0000063	DR086_RS04835	CIB43_RS00660
OG0000064	DR086_RS01275	CIB43_RS00650
OG0000065	DR086_RS02080	CIB43_RS03145
OG0000068	DR086_RS01570	CIB43_RS01520
OG0000069	DR086_RS01025	CIB43_RS03740
OG0000070	DR086_RS02165	CIB43_RS03400
OG0000071	DR086_RS02350	CIB43_RS00360
OG0000072	DR086_RS04935	CIB43_RS00375
OG0000073	DR086_RS03040	CIB43_RS01580
OG0000075	DR086_RS03840, DR086_RS00210	CIB43_RS01060
OG0000077	DR086_RS00315	CIB43_RS01330
OG0000078	DR086_RS01625	CIB43_RS02560
OG0000079	DR086_RS00950	CIB43_RS03480
OG0000080	DR086_RS04145	CIB43_RS03525
OG0000081	DR086_RS00205	CIB43_RS01055
OG0000082	DR086_RS03110	CIB43_RS03315
OG0000083	DR086_RS00520	CIB43_RS02935
OG0000084	DR086_RS00545	CIB43_RS02955
OG0000086	DR086_RS00560	CIB43_RS02970
OG0000087	DR086_RS00575	CIB43_RS02975
OG0000088	DR086_RS00580	CIB43_RS02980
OG0000089	DR086_RS00590	CIB43_RS02990
OG0000090	DR086_RS01155	CIB43_RS00770
OG0000091	DR086_RS01170	CIB43_RS00760
OG0000092	DR086_RS01185	CIB43_RS00745
OG0000093	DR086_RS01190	CIB43_RS00735
OG0000094	DR086_RS01195	CIB43_RS00730
OG0000095	DR086_RS01220	CIB43_RS00715
OG0000096	DR086_RS01225	CIB43_RS00700
OG0000097	DR086_RS01245	CIB43_RS00690
OG0000100	DR086_RS02445	CIB43_RS00610
OG0000101	DR086_RS02440	CIB43_RS00600
OG0000102	DR086_RS01600	CIB43_RS02580
OG0000103	DR086_RS02115	CIB43_RS03110
OG0000104	DR086_RS02110	CIB43_RS03120
OG0000105	DR086_RS02095	CIB43_RS03130
OG0000106	DR086_RS02085	CIB43_RS03140
OG0000107	DR086_RS02075	CIB43_RS03150
OG0000108	DR086_RS02070	CIB43_RS03155
OG0000109	DR086_RS02065	CIB43_RS03160
OG0000110	DR086_RS03120	CIB43_RS03290
OG0000111	DR086_RS03125	CIB43_RS03285
OG0000112	DR086_RS03135	CIB43_RS03280
OG0000113	DR086_RS05050	CIB43_RS03260
OG0000114	DR086_RS03455	CIB43_RS03245
OG0000115	DR086_RS03475	CIB43_RS03230
OG0000116	DR086_RS03410	CIB43_RS02165
OG0000117	DR086_RS03405	CIB43_RS02170
OG0000118	DR086_RS01995	CIB43_RS02205
OG0000119	DR086_RS01990	CIB43_RS02210
OG0000120	DR086_RS01975	CIB43_RS02230
OG0000121	DR086_RS01950	CIB43_RS02250
OG0000122	DR086_RS01945	CIB43_RS02255
OG0000123	DR086_RS01925	CIB43_RS02275
OG0000124	DR086_RS01920	CIB43_RS02280
OG0000125	DR086_RS01915	CIB43_RS02285
OG0000126	DR086_RS01900	CIB43_RS02295
OG0000127	DR086_RS01890	CIB43_RS02305
OG0000128	DR086_RS01875	CIB43_RS02320
OG0000129	DR086_RS01870	CIB43_RS02330
OG0000130	DR086_RS01860	CIB43_RS02335
OG0000131	DR086_RS01830	CIB43_RS02370
OG0000132	DR086_RS04900	CIB43_RS02385
OG0000133	DR086_RS02245	CIB43_RS01415
OG0000134	DR086_RS02250	CIB43_RS01425
OG0000135	DR086_RS02265	CIB43_RS01435
OG0000136	DR086_RS02270	CIB43_RS01440
OG0000137	DR086_RS02310	CIB43_RS01470
OG0000138	DR086_RS02775	CIB43_RS01495
OG0000139	DR086_RS02745	CIB43_RS01525
OG0000140	DR086_RS02740	CIB43_RS01540
OG0000141	DR086_RS03720	CIB43_RS03850
OG0000142	DR086_RS04820	CIB43_RS03845
OG0000143	DR086_RS01115	CIB43_RS03835
OG0000144	DR086_RS01105	CIB43_RS03815
OG0000145	DR086_RS01095	CIB43_RS03805
OG0000146	DR086_RS01085	CIB43_RS03790
OG0000147	DR086_RS01080	CIB43_RS03785
OG0000148	DR086_RS01065	CIB43_RS03780
OG0000149	DR086_RS01055	CIB43_RS03760
OG0000150	DR086_RS01040	CIB43_RS03745
OG0000151	DR086_RS03230	CIB43_RS03700
OG0000152	DR086_RS03225	CIB43_RS03695
OG0000153	DR086_RS03220	CIB43_RS03690
OG0000154	DR086_RS03210	CIB43_RS03680
OG0000155	DR086_RS03005	CIB43_RS03645
OG0000156	DR086_RS02995	CIB43_RS03635
OG0000157	DR086_RS05005	CIB43_RS03625
OG0000158	DR086_RS05000	CIB43_RS03620
OG0000159	DR086_RS05100	CIB43_RS03385
OG0000160	DR086_RS02185	CIB43_RS03380
OG0000161	DR086_RS02190	CIB43_RS03375
OG0000163	DR086_RS02205	CIB43_RS03370
OG0000164	DR086_RS03305	CIB43_RS02495
OG0000165	DR086_RS00440	CIB43_RS02840
OG0000166	DR086_RS00460	CIB43_RS02860
OG0000167	DR086_RS00475	CIB43_RS02875
OG0000168	DR086_RS00480	CIB43_RS02880
OG0000169	DR086_RS01435	CIB43_RS00130
OG0000171	DR086_RS01410	CIB43_RS00155
OG0000172	DR086_RS01405	CIB43_RS00160
OG0000173	DR086_RS01400	CIB43_RS00165
