Orthogroup	MHP_MHP679_genes	MHP_F72C_genes
OG0000000	DR086_RS03500	EHI52_RS00965
OG0000000	DR086_RS04585, DR086_RS03600	EHI52_RS02325
OG0000000	DR086_RS04245	EHI52_RS01775
OG0000001	DR086_RS01010	EHI52_RS02790
OG0000001	DR086_RS03200	EHI52_RS02745
OG0000002	DR086_RS04310	EHI52_RS02215
OG0000002	DR086_RS05060	EHI52_RS03740
OG0000002	DR086_RS04880	EHI52_RS01780
OG0000003	DR086_RS05055	EHI52_RS00975, EHI52_RS03760
OG0000003	DR086_RS05085	EHI52_RS03670
OG0000004	DR086_RS03630	EHI52_RS03210, EHI52_RS03215
OG0000004	DR086_RS03555	EHI52_RS03225
OG0000005	DR086_RS03245	EHI52_RS00100
OG0000005	DR086_RS03255	EHI52_RS00105
OG0000005	DR086_RS05035	EHI52_RS00110, EHI52_RS00125
OG0000006	DR086_RS04530	EHI52_RS02365
OG0000007	DR086_RS03485	EHI52_RS00980
OG0000007	DR086_RS03495	EHI52_RS00995
OG0000008	DR086_RS04265	EHI52_RS03775
OG0000008	DR086_RS02140	EHI52_RS03830
OG0000010	DR086_RS00810	EHI52_RS02085
OG0000011	DR086_RS00450	EHI52_RS01985
OG0000011	DR086_RS00445	EHI52_RS01990
OG0000012	DR086_RS03775	EHI52_RS01160
OG0000012	DR086_RS03950	EHI52_RS03635
OG0000013	DR086_RS03105	EHI52_RS02410
OG0000013	DR086_RS04005	EHI52_RS03710
OG0000014	DR086_RS03610	EHI52_RS01155
OG0000015	DR086_RS03685	EHI52_RS01690
OG0000016	DR086_RS01050	EHI52_RS02830
OG0000016	DR086_RS00030	EHI52_RS00170
OG0000017	DR086_RS00015	EHI52_RS00155
OG0000017	DR086_RS01060	EHI52_RS02840
OG0000018	DR086_RS04915	EHI52_RS01385
OG0000019	DR086_RS04570	EHI52_RS03855, EHI52_RS03865, EHI52_RS03860
OG0000020	DR086_RS02470	EHI52_RS03555
OG0000022	DR086_RS01645	EHI52_RS01715
OG0000022	DR086_RS04885	EHI52_RS01770
OG0000024	DR086_RS03190	EHI52_RS02735
OG0000025	DR086_RS04890	EHI52_RS01720
OG0000025	DR086_RS01595	EHI52_RS01765
OG0000026	DR086_RS01970	EHI52_RS01425
OG0000026	DR086_RS01615	EHI52_RS01745
OG0000027	DR086_RS05030	EHI52_RS03355
OG0000028	DR086_RS02225, DR086_RS03150	EHI52_RS02420
OG0000029	DR086_RS02730	EHI52_RS01150
OG0000030	DR086_RS05025	EHI52_RS03350
OG0000031	DR086_RS03310	EHI52_RS01660
OG0000031	DR086_RS00745	EHI52_RS01660
OG0000032	DR086_RS03980	EHI52_RS01630
OG0000033	DR086_RS05010	EHI52_RS03820
OG0000036	DR086_RS03265	EHI52_RS00115, EHI52_RS03705, EHI52_RS00130
OG0000037	DR086_RS04510	EHI52_RS01640
OG0000037	DR086_RS03330, DR086_RS03325	EHI52_RS01635
OG0000039	DR086_RS03295	EHI52_RS01675
OG0000040	DR086_RS02360	EHI52_RS03295
OG0000041	DR086_RS03635, DR086_RS02480	EHI52_RS03655
OG0000042	DR086_RS02970	EHI52_RS02930
OG0000043	DR086_RS00750, DR086_RS00415	EHI52_RS02020
OG0000044	DR086_RS05095	EHI52_RS03910
OG0000045	DR086_RS03290	EHI52_RS01680
OG0000048	DR086_RS00610	EHI52_RS01840
OG0000049	DR086_RS01430	EHI52_RS03065
OG0000050	DR086_RS02195	EHI52_RS02450
OG0000051	DR086_RS00855	EHI52_RS02650
OG0000052	DR086_RS01150	EHI52_RS00075
OG0000053	DR086_RS04905	EHI52_RS01510
OG0000054	DR086_RS02170	EHI52_RS02475
OG0000055	DR086_RS03270	EHI52_RS00135
OG0000056	DR086_RS02455	EHI52_RS03530
OG0000057	DR086_RS01130	EHI52_RS02915
OG0000062	DR086_RS01260	EHI52_RS03585
OG0000063	DR086_RS04835	EHI52_RS03580
OG0000064	DR086_RS01275	EHI52_RS03570
OG0000065	DR086_RS02080	EHI52_RS02260
OG0000066	DR086_RS01980	EHI52_RS01415
OG0000067	DR086_RS02240	EHI52_RS00540
OG0000068	DR086_RS01570	EHI52_RS00660
OG0000069	DR086_RS01025	EHI52_RS02805
OG0000070	DR086_RS02165	EHI52_RS02480
OG0000071	DR086_RS02350	EHI52_RS03285
OG0000072	DR086_RS04935	EHI52_RS03290
OG0000073	DR086_RS03040	EHI52_RS00705
OG0000074	DR086_RS04990	EHI52_RS00900
OG0000075	DR086_RS00210	EHI52_RS00355
OG0000076	DR086_RS00225	EHI52_RS00370
