	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
MFC_ATCC27716_protein	0.0	2.0	1.0	1.0	2.0	1.0	0.0	2.0	3.0	9.0	7.0	2.0	4.0	4.0	5.0	6.0	8.0	5.0	6.0	6.0	8.0	5.0	6.0	4.0	7.0	8.0	3.0	7.0	3.0	8.0	0.0	9.0	6.0	6.0
MFC_MF11_protein	4.0	0.0	3.0	1.0	3.0	1.0	2.0	4.0	4.0	10.0	8.0	5.0	4.0	4.0	5.0	7.0	10.0	5.0	9.0	5.0	7.0	4.0	5.0	4.0	8.0	8.0	4.0	6.0	4.0	9.0	0.0	10.0	6.0	6.0
MFC_MF18_protein	3.0	2.0	0.0	0.0	1.0	2.0	2.0	4.0	4.0	9.0	8.0	5.0	3.0	5.0	5.0	7.0	10.0	7.0	9.0	6.0	8.0	4.0	6.0	4.0	7.0	8.0	5.0	7.0	5.0	10.0	0.0	9.0	5.0	5.0
MFC_MF22_protein	4.0	2.0	3.0	0.0	2.0	1.0	3.0	3.0	3.0	9.0	9.0	4.0	4.0	5.0	5.0	7.0	9.0	6.0	9.0	5.0	7.0	4.0	6.0	4.0	8.0	8.0	6.0	7.0	5.0	8.0	0.0	9.0	5.0	5.0
MFC_MF29_protein	4.0	1.0	2.0	3.0	0.0	4.0	1.0	4.0	5.0	15.0	12.0	5.0	3.0	5.0	5.0	5.0	10.0	3.0	6.0	4.0	7.0	4.0	6.0	5.0	8.0	7.0	5.0	7.0	4.0	14.0	0.0	13.0	6.0	6.0
MFC_MF30_protein	3.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	3.0	9.0	7.0	3.0	4.0	3.0	4.0	6.0	8.0	3.0	7.0	5.0	6.0	3.0	5.0	3.0	6.0	7.0	4.0	5.0	3.0	8.0	0.0	9.0	5.0	5.0
MFC_MF33_protein	2.0	2.0	2.0	2.0	1.0	2.0	0.0	3.0	3.0	8.0	6.0	3.0	3.0	3.0	4.0	6.0	7.0	4.0	7.0	5.0	7.0	4.0	5.0	3.0	6.0	6.0	3.0	6.0	3.0	8.0	0.0	8.0	5.0	5.0
MFC_MS42_protein	3.0	2.0	3.0	2.0	3.0	1.0	0.0	0.0	4.0	11.0	9.0	3.0	6.0	4.0	6.0	8.0	10.0	6.0	8.0	5.0	9.0	5.0	8.0	5.0	9.0	9.0	4.0	7.0	4.0	9.0	0.0	12.0	7.0	7.0
MHP_11_protein	8.0	4.0	7.0	6.0	6.0	7.0	5.0	7.0	0.0	6.0	5.0	1.0	3.0	2.0	0.0	5.0	10.0	3.0	6.0	0.0	2.0	3.0	3.0	5.0	4.0	1.0	2.0	3.0	2.0	7.0	0.0	7.0	2.0	2.0
MHP_168L_protein	7.0	4.0	6.0	6.0	5.0	7.0	4.0	7.0	2.0	0.0	3.0	1.0	3.0	2.0	1.0	5.0	9.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	0.0	1.0	2.0	1.0	12.0	0.0	3.0	5.0	5.0
