Assembly	GCA_045006665.1_ASM4500666v1_genomic
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	921541
Total length (>= 1000 bp)	921541
Total length (>= 5000 bp)	921541
Total length (>= 10000 bp)	921541
Total length (>= 25000 bp)	921541
Total length (>= 50000 bp)	921541
# contigs	1
Largest contig	921541
Total length	921541
GC (%)	28.51
N50	921541
N90	921541
auN	921541.0
L50	1
L90	1
# N's per 100 kbp	0.00
