Orthogroup	MHP_LH_genes	MFC_ATCC27716_genes
OG0000000	KUD10_RS02260	MFC_RS01410
OG0000000	KUD10_RS02205	MFC_RS01420
OG0000000	KUD10_RS02195, KUD10_RS02170	MFC_RS02935
OG0000000	KUD10_RS01785	MFC_RS00365
OG0000001	KUD10_RS01355, KUD10_RS01350, KUD10_RS02875, KUD10_RS02830	MFC_RS03350
OG0000002	KUD10_RS02270, KUD10_RS02265	MFC_RS00395
OG0000002	KUD10_RS02210	MFC_RS02940
OG0000002	KUD10_RS01790	MFC_RS00370
OG0000003	KUD10_RS02250	MFC_RS02995
OG0000004	KUD10_RS03095, KUD10_RS03085	MFC_RS00155
OG0000007	KUD10_RS02245	MFC_RS02965
OG0000008	KUD10_RS01700	MFC_RS03380
OG0000011	KUD10_RS02000	MFC_RS03510, MFC_RS03505
OG0000011	KUD10_RS01995	MFC_RS01350
OG0000013	KUD10_RS02465	MFC_RS03175, MFC_RS02880
OG0000013	KUD10_RS00185	MFC_RS03420
OG0000014	KUD10_RS01080, KUD10_RS00610, KUD10_RS00615	MFC_RS00870
OG0000016	KUD10_RS02915	MFC_RS01050
OG0000017	KUD10_RS00155	MFC_RS03155
OG0000017	KUD10_RS02925	MFC_RS01040
OG0000018	KUD10_RS01195	MFC_RS00540
OG0000019	KUD10_RS03110, KUD10_RS03090	MFC_RS03330
OG0000020	KUD10_RS03620	MFC_RS00305
OG0000020	KUD10_RS03625	MFC_RS00300
OG0000022	KUD10_RS01775	MFC_RS00360
OG0000023	KUD10_RS01205	MFC_RS01695
OG0000024	KUD10_RS02825, KUD10_RS01345	MFC_RS01110
OG0000025	KUD10_RS01770	MFC_RS00355
OG0000026	KUD10_RS01435, KUD10_RS01750	MFC_RS00580
OG0000027	KUD10_RS03425	MFC_RS02850
OG0000028	KUD10_RS02500	MFC_RS01205, MFC_RS01200
OG0000029	KUD10_RS01075, KUD10_RS00620	MFC_RS00875
OG0000030	KUD10_RS03400, KUD10_RS03420	MFC_RS02855
OG0000031	KUD10_RS01150, KUD10_RS01665	MFC_RS01295
OG0000032	KUD10_RS01640	MFC_RS02685
OG0000033	KUD10_RS02480	MFC_RS01210
OG0000037	KUD10_RS01650	MFC_RS03185
OG0000037	KUD10_RS01645	MFC_RS03295, MFC_RS00375
OG0000039	KUD10_RS01675	MFC_RS03135, MFC_RS00935
OG0000040	KUD10_RS03345	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	KUD10_RS03010	MFC_RS00930, MFC_RS01085
OG0000043	KUD10_RS01965	MFC_RS01320
OG0000045	KUD10_RS01680	MFC_RS00950
OG0000048	KUD10_RS02150	MFC_RS00140
OG0000050	KUD10_RS02530	MFC_RS01260
OG0000051	KUD10_RS02740	MFC_RS02240
OG0000052	KUD10_RS00075	MFC_RS00160
OG0000053	KUD10_RS01520	MFC_RS00665
OG0000054	KUD10_RS02555	MFC_RS01235
OG0000055	KUD10_RS00135	MFC_RS03415, MFC_RS03540
OG0000056	KUD10_RS03605	MFC_RS00325
OG0000057	KUD10_RS02995	MFC_RS00965
OG0000062	KUD10_RS03655	MFC_RS00270
OG0000063	KUD10_RS03650	MFC_RS00275
OG0000064	KUD10_RS03640	MFC_RS00285
OG0000065	KUD10_RS02315	MFC_RS00440
OG0000066	KUD10_RS01425	MFC_RS00570
OG0000068	KUD10_RS00655	MFC_RS00910
OG0000069	KUD10_RS02890	MFC_RS01075
OG0000070	KUD10_RS02560	MFC_RS01215
OG0000071	KUD10_RS03335	MFC_RS01630
OG0000072	KUD10_RS03340	MFC_RS01635
OG0000073	KUD10_RS00700	MFC_RS03395, MFC_RS03390
OG0000074	KUD10_RS00895	MFC_RS03400
OG0000075	KUD10_RS00340	MFC_RS02565
OG0000076	KUD10_RS00355	MFC_RS02580
OG0000077	KUD10_RS00440	MFC_RS02670
OG0000078	KUD10_RS01740	MFC_RS03005
OG0000079	KUD10_RS02640	MFC_RS02930, MFC_RS03120
OG0000080	KUD10_RS02690	MFC_RS03315
OG0000081	KUD10_RS00335	MFC_RS03430, MFC_RS02560
OG0000082	KUD10_RS02460	MFC_RS02870
OG0000083	KUD10_RS02070	MFC_RS00040
OG0000084	KUD10_RS02100	MFC_RS00070
OG0000085	KUD10_RS02105	MFC_RS00075
OG0000086	KUD10_RS02115	MFC_RS00085
OG0000087	KUD10_RS02130	MFC_RS03320
OG0000088	KUD10_RS02135	MFC_RS00105
OG0000089	KUD10_RS02145	MFC_RS00115
OG0000090	KUD10_RS00070	MFC_RS00165
OG0000091	KUD10_RS00055	MFC_RS00180
