Orthogroup	MHP_LH_genes	MHP_J_genes
OG0000000	KUD10_RS02260	MHJ_RS02155
OG0000000	KUD10_RS02185	MHJ_RS02070
OG0000000	KUD10_RS02195, KUD10_RS02170	MHJ_RS03645
OG0000000	KUD10_RS02165	MHJ_RS02065
OG0000000	KUD10_RS02380	MHJ_RS02265
OG0000000	KUD10_RS01780, KUD10_RS01785	MHJ_RS01665
OG0000001	KUD10_RS01355	MHJ_RS01255
OG0000001	KUD10_RS01350	MHJ_RS01250
OG0000001	KUD10_RS02875	MHJ_RS02765
OG0000001	KUD10_RS02830	MHJ_RS02710
OG0000002	KUD10_RS02270	MHJ_RS03585
OG0000002	KUD10_RS02265	MHJ_RS03670
OG0000002	KUD10_RS02210	MHJ_RS02080
OG0000002	KUD10_RS01790	MHJ_RS01675
OG0000003	KUD10_RS01820	MHJ_RS01710
OG0000003	KUD10_RS00500	MHJ_RS00485
OG0000003	KUD10_RS02250	MHJ_RS03890
OG0000003	KUD10_RS01900	MHJ_RS01795
OG0000004	KUD10_RS03265	MHJ_RS03175
OG0000004	KUD10_RS03275	MHJ_RS03190
OG0000004	KUD10_RS03105, KUD10_RS03095, KUD10_RS03085	MHJ_RS02995
OG0000005	KUD10_RS00100	MHJ_RS00090
OG0000005	KUD10_RS00105	MHJ_RS00095
OG0000005	KUD10_RS00110	MHJ_RS00100
OG0000006	KUD10_RS02585	MHJ_RS03920, MHJ_RS03915
OG0000006	KUD10_RS02420	MHJ_RS02300
OG0000007	KUD10_RS02245	MHJ_RS02130
OG0000008	KUD10_RS02375	MHJ_RS03790
OG0000008	KUD10_RS01700	MHJ_RS03850
OG0000008	KUD10_RS02590	MHJ_RS03925
OG0000009	KUD10_RS01265	MHJ_RS03830
OG0000009	KUD10_RS00675	MHJ_RS00660
OG0000010	KUD10_RS01910	MHJ_RS01805
OG0000010	KUD10_RS00095	MHJ_RS00085
OG0000011	KUD10_RS02000	MHJ_RS04005, MHJ_RS01900
OG0000011	KUD10_RS01995	MHJ_RS01895
OG0000012	KUD10_RS01085	MHJ_RS02345
OG0000013	KUD10_RS02465	MHJ_RS02355
OG0000013	KUD10_RS00185	MHJ_RS03825
OG0000014	KUD10_RS01080	MHJ_RS01060
OG0000014	KUD10_RS00610	MHJ_RS00590
OG0000015	KUD10_RS03700	MHJ_RS03980
OG0000016	KUD10_RS02915	MHJ_RS02810
OG0000016	KUD10_RS00170	MHJ_RS00145
OG0000017	KUD10_RS00155	MHJ_RS00130
OG0000017	KUD10_RS02925	MHJ_RS02820
OG0000018	KUD10_RS01395, KUD10_RS01195	MHJ_RS01295
OG0000020	KUD10_RS03620	MHJ_RS03515
OG0000020	KUD10_RS03625	MHJ_RS03995
OG0000022	KUD10_RS01720	MHJ_RS01610
OG0000022	KUD10_RS01775	MHJ_RS01660
OG0000023	KUD10_RS01390	MHJ_RS01290
OG0000024	KUD10_RS02825	MHJ_RS02705
OG0000024	KUD10_RS01345	MHJ_RS01245
OG0000025	KUD10_RS01725	MHJ_RS01615
OG0000025	KUD10_RS01770	MHJ_RS01655
OG0000026	KUD10_RS01435	MHJ_RS01335
OG0000026	KUD10_RS01750	MHJ_RS01635
OG0000027	KUD10_RS03410	MHJ_RS03750
OG0000027	KUD10_RS03425	MHJ_RS03330
OG0000028	KUD10_RS02500	MHJ_RS02365, MHJ_RS02370
OG0000029	KUD10_RS01075	MHJ_RS01055
OG0000029	KUD10_RS00620	MHJ_RS00595
OG0000030	KUD10_RS03400	MHJ_RS03310
OG0000030	KUD10_RS03420	MHJ_RS03325
OG0000031	KUD10_RS01665	MHJ_RS01560
OG0000033	KUD10_RS02475	MHJ_RS03905
OG0000035	KUD10_RS03270	MHJ_RS03170
OG0000035	KUD10_RS03250	MHJ_RS03160
OG0000036	KUD10_RS00115	MHJ_RS00105
OG0000037	KUD10_RS01650	MHJ_RS03820
OG0000038	KUD10_RS01815	MHJ_RS00480, MHJ_RS01705
OG0000039	KUD10_RS01675	MHJ_RS01575
OG0000040	KUD10_RS03345	MHJ_RS03260
OG0000042	KUD10_RS03010	MHJ_RS02920
OG0000043	KUD10_RS01965	MHJ_RS01865
OG0000044	KUD10_RS01860	MHJ_RS01745
OG0000045	KUD10_RS01680	MHJ_RS01580
OG0000048	KUD10_RS02150	MHJ_RS02050
OG0000049	KUD10_RS03120	MHJ_RS03025
OG0000050	KUD10_RS02530	MHJ_RS02400
OG0000051	KUD10_RS02740	MHJ_RS02615
OG0000052	KUD10_RS00075	MHJ_RS00075
OG0000053	KUD10_RS01520	MHJ_RS01420
OG0000054	KUD10_RS02555	MHJ_RS02425
OG0000055	KUD10_RS00135	MHJ_RS00110
OG0000056	KUD10_RS03605	MHJ_RS03500
OG0000057	KUD10_RS02995	MHJ_RS02900
OG0000061	KUD10_RS01920	MHJ_RS01540
OG0000062	KUD10_RS03655	MHJ_RS03545
OG0000063	KUD10_RS03650	MHJ_RS03540
OG0000064	KUD10_RS03640	MHJ_RS03530
OG0000065	KUD10_RS02315	MHJ_RS02200
OG0000066	KUD10_RS01425	MHJ_RS01325
OG0000067	KUD10_RS00530	MHJ_RS00510
OG0000068	KUD10_RS00655	MHJ_RS00630
OG0000069	KUD10_RS02890	MHJ_RS02785
OG0000070	KUD10_RS02560	MHJ_RS02430
OG0000071	KUD10_RS03335	MHJ_RS03250
OG0000072	KUD10_RS03340	MHJ_RS03255
OG0000073	KUD10_RS00700	MHJ_RS00685
OG0000074	KUD10_RS00895	MHJ_RS00875
OG0000075	KUD10_RS00340	MHJ_RS00320
