Orthogroup	MHP_LH_genes	MHP_232_genes
OG0000000	KUD10_RS02260	MHP_RS02080
OG0000000	KUD10_RS02165	MHP_RS04000
OG0000000	KUD10_RS02380	MHP_RS02190
OG0000000	KUD10_RS02385	MHP_RS03915
OG0000000	KUD10_RS01780, KUD10_RS01785	MHP_RS03825
OG0000001	KUD10_RS01355	MHP_RS00720, MHP_RS00725
OG0000001	KUD10_RS02875	MHP_RS03580
OG0000001	KUD10_RS02830	MHP_RS02610
OG0000002	KUD10_RS02270	MHP_RS03905
OG0000002	KUD10_RS02265	MHP_RS03800
OG0000002	KUD10_RS01790	MHP_RS01720
OG0000003	KUD10_RS01900	MHP_RS01825
OG0000004	KUD10_RS03275	MHP_RS03135
OG0000004	KUD10_RS03105, KUD10_RS03095, KUD10_RS03085	MHP_RS02960
OG0000005	KUD10_RS00100	MHP_RS00100
OG0000005	KUD10_RS00120	MHP_RS00120
OG0000005	KUD10_RS00105	MHP_RS00105
OG0000005	KUD10_RS00110	MHP_RS00110
OG0000005	KUD10_RS00125	MHP_RS00125
OG0000006	KUD10_RS02585	MHP_RS02365
OG0000006	KUD10_RS02390	MHP_RS03575
OG0000006	KUD10_RS02420	MHP_RS02230
OG0000008	KUD10_RS02375	MHP_RS03725, MHP_RS03910
OG0000008	KUD10_RS01700	MHP_RS01640
OG0000008	KUD10_RS02590	MHP_RS03920
OG0000009	KUD10_RS00085	MHP_RS00085
OG0000009	KUD10_RS01265	MHP_RS03870
OG0000009	KUD10_RS00675	MHP_RS01315
OG0000010	KUD10_RS01910	MHP_RS01830
OG0000010	KUD10_RS00095	MHP_RS00095
OG0000011	KUD10_RS02000	MHP_RS01915
OG0000011	KUD10_RS01995	MHP_RS01910
OG0000012	KUD10_RS01085	MHP_RS00400
OG0000013	KUD10_RS02465	MHP_RS02275
OG0000013	KUD10_RS00185	MHP_RS03840
OG0000014	KUD10_RS01080	MHP_RS00920
OG0000014	KUD10_RS00610	MHP_RS01385
OG0000015	KUD10_RS01225	MHP_RS03975, MHP_RS02750
OG0000016	KUD10_RS02915	MHP_RS02785
OG0000016	KUD10_RS00170	MHP_RS00180
OG0000017	KUD10_RS00155	MHP_RS00165
OG0000017	KUD10_RS02925	MHP_RS02795
OG0000018	KUD10_RS01195	MHP_RS03940
OG0000020	KUD10_RS03620	MHP_RS03465
OG0000020	KUD10_RS03625	MHP_RS03470
OG0000021	KUD10_RS01825	MHP_RS01755
OG0000022	KUD10_RS01720	MHP_RS01655
OG0000022	KUD10_RS01775	MHP_RS01705
OG0000023	KUD10_RS01205	MHP_RS02730
OG0000024	KUD10_RS02825	MHP_RS02605
OG0000024	KUD10_RS01345	MHP_RS00730
OG0000025	KUD10_RS01725	MHP_RS01660
OG0000025	KUD10_RS01770	MHP_RS01700
OG0000026	KUD10_RS01435	MHP_RS00640
OG0000026	KUD10_RS01750	MHP_RS01680
OG0000027	KUD10_RS03410	MHP_RS03675
OG0000027	KUD10_RS03425	MHP_RS03280
OG0000028	KUD10_RS02500	MHP_RS02285
OG0000029	KUD10_RS01075	MHP_RS00925
OG0000029	KUD10_RS00620	MHP_RS01380
OG0000030	KUD10_RS03400	MHP_RS03260
OG0000030	KUD10_RS03420	MHP_RS03275
OG0000031	KUD10_RS01150	MHP_RS02675
OG0000031	KUD10_RS01665	MHP_RS01600
OG0000032	KUD10_RS03415	MHP_RS03270
OG0000033	KUD10_RS02475	MHP_RS02280
OG0000035	KUD10_RS03270	MHP_RS03130
OG0000035	KUD10_RS03250	MHP_RS03120
OG0000036	KUD10_RS00115	MHP_RS00115
OG0000036	KUD10_RS00130	MHP_RS00130
OG0000037	KUD10_RS01650	MHP_RS03820
OG0000038	KUD10_RS01815	MHP_RS01745
OG0000039	KUD10_RS01675	MHP_RS03880, MHP_RS01615
OG0000040	KUD10_RS03345	MHP_RS03205
OG0000042	KUD10_RS03010	MHP_RS02885
OG0000043	KUD10_RS01965	MHP_RS01880
OG0000044	KUD10_RS01860	MHP_RS01785
OG0000045	KUD10_RS01680	MHP_RS01625
OG0000046	KUD10_RS03355	MHP_RS03215
OG0000048	KUD10_RS02150	MHP_RS02060
OG0000049	KUD10_RS03120	MHP_RS02985
OG0000050	KUD10_RS02530	MHP_RS02315
OG0000051	KUD10_RS02740	MHP_RS02520
OG0000052	KUD10_RS00075	MHP_RS00075
OG0000053	KUD10_RS01520	MHP_RS00555
OG0000054	KUD10_RS02555	MHP_RS02340
OG0000055	KUD10_RS00135	MHP_RS00145
OG0000056	KUD10_RS03605, KUD10_RS03600	MHP_RS03450
OG0000057	KUD10_RS02995	MHP_RS02870
OG0000058	KUD10_RS01145	MHP_RS00435
OG0000059	KUD10_RS01155	MHP_RS02680
OG0000060	KUD10_RS00080	MHP_RS03835
OG0000061	KUD10_RS01920	MHP_RS01580
OG0000062	KUD10_RS03655	MHP_RS03505
OG0000063	KUD10_RS03650	MHP_RS03500
OG0000064	KUD10_RS03640	MHP_RS03490
OG0000065	KUD10_RS02315	MHP_RS02125
OG0000066	KUD10_RS01425	MHP_RS00650
OG0000067	KUD10_RS00530	MHP_RS01460
OG0000068	KUD10_RS00655	MHP_RS03685
OG0000069	KUD10_RS02890	MHP_RS02760
OG0000070	KUD10_RS02560	MHP_RS02345
OG0000071	KUD10_RS03335	MHP_RS03195
OG0000072	KUD10_RS03340	MHP_RS03200
OG0000073	KUD10_RS00700	MHP_RS01290
OG0000074	KUD10_RS00895	MHP_RS01100
OG0000075	KUD10_RS00340	MHP_RS00350
OG0000076	KUD10_RS00355	MHP_RS00365
OG0000077	KUD10_RS00440	MHP_RS01545
OG0000078	KUD10_RS01740	MHP_RS01670
OG0000079	KUD10_RS02640	MHP_RS02420
OG0000080	KUD10_RS02690	MHP_RS03805
OG0000081	KUD10_RS00335	MHP_RS00345
OG0000082	KUD10_RS02460	MHP_RS02270
OG0000083	KUD10_RS02070	MHP_RS01985
OG0000084	KUD10_RS02100	MHP_RS02010
OG0000085	KUD10_RS02105	MHP_RS02015
OG0000086	KUD10_RS02115	MHP_RS02025
OG0000087	KUD10_RS02130	MHP_RS02040
OG0000088	KUD10_RS02135	MHP_RS02045
OG0000089	KUD10_RS02145	MHP_RS02055
OG0000090	KUD10_RS00070	MHP_RS00070
OG0000091	KUD10_RS00055	MHP_RS00055
OG0000092	KUD10_RS00040	MHP_RS00040
OG0000093	KUD10_RS00035	MHP_RS00035
OG0000094	KUD10_RS00030	MHP_RS00030
OG0000095	KUD10_RS00005	MHP_RS00005
OG0000096	KUD10_RS03690	MHP_RS03540
OG0000097	KUD10_RS03670	MHP_RS03520
OG0000099	KUD10_RS03610	MHP_RS03455
OG0000100	KUD10_RS03590	MHP_RS03440
OG0000101	KUD10_RS03585	MHP_RS03435
OG0000102	KUD10_RS01765	MHP_RS01695
OG0000103	KUD10_RS02280	MHP_RS02090
OG0000104	KUD10_RS02285	MHP_RS02095
OG0000105	KUD10_RS02300	MHP_RS02110
OG0000106	KUD10_RS02310	MHP_RS02120
OG0000107	KUD10_RS02320	MHP_RS02130
OG0000108	KUD10_RS02325	MHP_RS02135
OG0000109	KUD10_RS02330	MHP_RS02140
OG0000110	KUD10_RS02450	MHP_RS02260
OG0000111	KUD10_RS02445	MHP_RS02255
OG0000112	KUD10_RS02435	MHP_RS02245
OG0000113	KUD10_RS02415	MHP_RS02225
OG0000114	KUD10_RS02405	MHP_RS02215
OG0000115	KUD10_RS02395	MHP_RS02205
OG0000116	KUD10_RS01370	MHP_RS00705
OG0000117	KUD10_RS01375	MHP_RS00700
OG0000118	KUD10_RS01410	MHP_RS00665
OG0000119	KUD10_RS01415	MHP_RS00660
OG0000120	KUD10_RS01430	MHP_RS00645
OG0000121	KUD10_RS01455	MHP_RS00620
OG0000122	KUD10_RS01460	MHP_RS00615
OG0000123	KUD10_RS01480	MHP_RS00595
OG0000124	KUD10_RS01485	MHP_RS00590
OG0000125	KUD10_RS01490	MHP_RS00585
OG0000126	KUD10_RS01500	MHP_RS00575
OG0000127	KUD10_RS01510	MHP_RS00565
OG0000128	KUD10_RS01525	MHP_RS00550
OG0000129	KUD10_RS01530	MHP_RS00545
OG0000130	KUD10_RS01540	MHP_RS00535
OG0000131	KUD10_RS01570	MHP_RS00505
