Orthogroup	MHP_LH_genes	MHP_MHP653_genes
OG0000000	KUD10_RS02260	DR096_RS03590
OG0000000	KUD10_RS02185	DR096_RS03425
OG0000000	KUD10_RS02195	DR096_RS04410
OG0000000	KUD10_RS02175, KUD10_RS02190, KUD10_RS02200	DR096_RS04405
OG0000000	KUD10_RS02380	DR096_RS03550
OG0000000	KUD10_RS02385	DR096_RS04445
OG0000000	KUD10_RS01785	DR096_RS02065
OG0000001	KUD10_RS01355	DR096_RS01680
OG0000001	KUD10_RS01350	DR096_RS01685
OG0000001	KUD10_RS02875	DR096_RS01190
OG0000002	KUD10_RS02270	DR096_RS04275
OG0000002	KUD10_RS02265	DR096_RS02905
OG0000002	KUD10_RS02210	DR096_RS04810
OG0000002	KUD10_RS01790	DR096_RS04795
OG0000003	KUD10_RS00500	DR096_RS03690, DR096_RS03695
OG0000003	KUD10_RS02250	DR096_RS04820
OG0000003	KUD10_RS01900	DR096_RS04825
OG0000004	KUD10_RS03095, KUD10_RS03085	DR096_RS00785
OG0000005	KUD10_RS00100	DR096_RS02575
OG0000005	KUD10_RS00120	DR096_RS04720
OG0000005	KUD10_RS00105	DR096_RS02565
OG0000005	KUD10_RS00110	DR096_RS02560
OG0000005	KUD10_RS00125	DR096_RS04715
OG0000006	KUD10_RS02585	DR096_RS04365
OG0000007	KUD10_RS02245	DR096_RS00630
OG0000008	KUD10_RS02590	DR096_RS04360
OG0000009	KUD10_RS00085	DR096_RS02590
OG0000009	KUD10_RS01265	DR096_RS02300
OG0000010	KUD10_RS01910	DR096_RS00395
OG0000010	KUD10_RS00095	DR096_RS02570
OG0000011	KUD10_RS02000	DR096_RS00490
OG0000011	KUD10_RS01995	DR096_RS00485
OG0000013	KUD10_RS02465	DR096_RS04100
OG0000013	KUD10_RS00185	DR096_RS03875
OG0000014	KUD10_RS00610	DR096_RS04790
OG0000015	KUD10_RS03700, KUD10_RS01225, KUD10_RS01635	DR096_RS01405
OG0000016	KUD10_RS02915	DR096_RS01150
OG0000016	KUD10_RS00170	DR096_RS00345
OG0000017	KUD10_RS00155	DR096_RS00360
OG0000017	KUD10_RS02925	DR096_RS01140
OG0000019	KUD10_RS03100, KUD10_RS03080	DR096_RS03940
OG0000020	KUD10_RS03620	DR096_RS03230
OG0000020	KUD10_RS03625	DR096_RS04775
OG0000022	KUD10_RS01720	DR096_RS01995
OG0000022	KUD10_RS01775	DR096_RS04665
OG0000024	KUD10_RS02825	DR096_RS01490
OG0000024	KUD10_RS01345	DR096_RS01690
OG0000025	KUD10_RS01725	DR096_RS04660
OG0000025	KUD10_RS01770	DR096_RS02045
OG0000026	KUD10_RS01435	DR096_RS01600
OG0000026	KUD10_RS01750	DR096_RS02025
OG0000027	KUD10_RS03410	DR096_RS04770
OG0000027	KUD10_RS03425	DR096_RS04540
OG0000029	KUD10_RS00620	DR096_RS03330
OG0000030	KUD10_RS03400	DR096_RS04765
OG0000030	KUD10_RS03420	DR096_RS04535
OG0000031	KUD10_RS01665	DR096_RS01370
OG0000032	KUD10_RS01640	DR096_RS04610
OG0000033	KUD10_RS02490	DR096_RS01745
OG0000034	KUD10_RS02225	DR096_RS03570
OG0000034	KUD10_RS02230	DR096_RS04455
OG0000035	KUD10_RS03250	DR096_RS03635
OG0000036	KUD10_RS00115	DR096_RS02555
OG0000036	KUD10_RS00130	DR096_RS02535
OG0000037	KUD10_RS01645	DR096_RS04615
OG0000038	KUD10_RS00495	DR096_RS00005
OG0000039	KUD10_RS01675	DR096_RS01385
OG0000042	KUD10_RS03010	DR096_RS00855
OG0000043	KUD10_RS01965	DR096_RS00455
OG0000045	KUD10_RS01680	DR096_RS01390
OG0000046	KUD10_RS03355	DR096_RS04310
OG0000048	KUD10_RS02150	DR096_RS03530
OG0000049	KUD10_RS03120	DR096_RS00770
OG0000050	KUD10_RS02530	DR096_RS03020
OG0000051	KUD10_RS02740	DR096_RS02440
OG0000052	KUD10_RS00075	DR096_RS02830
OG0000053	KUD10_RS01520	DR096_RS04590
OG0000054	KUD10_RS02555	DR096_RS02995
OG0000055	KUD10_RS00135	DR096_RS02530
OG0000056	KUD10_RS03605	DR096_RS01045
OG0000057	KUD10_RS02995	DR096_RS01065
OG0000061	KUD10_RS01920	DR096_RS00405
OG0000062	KUD10_RS03655	DR096_RS01775
OG0000063	KUD10_RS03650	DR096_RS04645
OG0000064	KUD10_RS03640	DR096_RS01760
OG0000065	KUD10_RS02315	DR096_RS02855
OG0000066	KUD10_RS01425	DR096_RS01610
OG0000067	KUD10_RS00530	DR096_RS03370
OG0000068	KUD10_RS00655	DR096_RS03280
OG0000069	KUD10_RS02890	DR096_RS01175
