Orthogroup	MHP_LH_genes	MHP_1257_genes
OG0000000	KUD10_RS02260	ABKJ22_RS02210
OG0000000	KUD10_RS02195	ABKJ22_RS02265, ABKJ22_RS02260
OG0000000	KUD10_RS02170	ABKJ22_RS02255
OG0000000	KUD10_RS02255, KUD10_RS02165, KUD10_RS02380, KUD10_RS02385	ABKJ22_RS02090
OG0000000	KUD10_RS01780, KUD10_RS01785	ABKJ22_RS01715
OG0000001	KUD10_RS01350	ABKJ22_RS01295
OG0000001	KUD10_RS02830	ABKJ22_RS02685
OG0000002	KUD10_RS02270	ABKJ22_RS02205
OG0000002	KUD10_RS02210	ABKJ22_RS02250
OG0000002	KUD10_RS01790	ABKJ22_RS01720
OG0000003	KUD10_RS00500	ABKJ22_RS01780
OG0000003	KUD10_RS02250	ABKJ22_RS02215
OG0000003	KUD10_RS01900	ABKJ22_RS01825
OG0000004	KUD10_RS03265, KUD10_RS03275, KUD10_RS03075, KUD10_RS03105, KUD10_RS03095, KUD10_RS03085	ABKJ22_RS02940
OG0000005	KUD10_RS00100	ABKJ22_RS00095
OG0000005	KUD10_RS00120	ABKJ22_RS00115
OG0000005	KUD10_RS00105	ABKJ22_RS00100
OG0000005	KUD10_RS00110	ABKJ22_RS00105
OG0000005	KUD10_RS00125	ABKJ22_RS00120
OG0000006	KUD10_RS02585	ABKJ22_RS02450
OG0000007	KUD10_RS02245	ABKJ22_RS02230
OG0000008	KUD10_RS02375	ABKJ22_RS02100
OG0000008	KUD10_RS01700	ABKJ22_RS01635
OG0000008	KUD10_RS02590	ABKJ22_RS02455
OG0000009	KUD10_RS00085	ABKJ22_RS00085
OG0000009	KUD10_RS01265	ABKJ22_RS01210
OG0000009	KUD10_RS00675	ABKJ22_RS01020
OG0000010	KUD10_RS01910	ABKJ22_RS01835
OG0000011	KUD10_RS02000	ABKJ22_RS01925
OG0000011	KUD10_RS01995	ABKJ22_RS01920
OG0000012	KUD10_RS01085	ABKJ22_RS00425
OG0000013	KUD10_RS02465	ABKJ22_RS02355
OG0000013	KUD10_RS00185	ABKJ22_RS00180
OG0000014	KUD10_RS01080	ABKJ22_RS01105
OG0000014	KUD10_RS00610	ABKJ22_RS01095
OG0000015	KUD10_RS01635	ABKJ22_RS01630
OG0000016	KUD10_RS02915	ABKJ22_RS02785
OG0000016	KUD10_RS00170	ABKJ22_RS00165
OG0000017	KUD10_RS00155	ABKJ22_RS00150
OG0000017	KUD10_RS02925	ABKJ22_RS02795
OG0000019	KUD10_RS03100, KUD10_RS03080	ABKJ22_RS02945
OG0000020	KUD10_RS03620	ABKJ22_RS03435
OG0000020	KUD10_RS03625	ABKJ22_RS03440
OG0000022	KUD10_RS01720	ABKJ22_RS01655
OG0000022	KUD10_RS01775	ABKJ22_RS01710
OG0000023	KUD10_RS01390	ABKJ22_RS01335
OG0000024	KUD10_RS02825	ABKJ22_RS02680
OG0000024	KUD10_RS01345	ABKJ22_RS01290
OG0000025	KUD10_RS01725	ABKJ22_RS01660
OG0000025	KUD10_RS01770	ABKJ22_RS01705
OG0000026	KUD10_RS01435	ABKJ22_RS01380
OG0000026	KUD10_RS01750	ABKJ22_RS01685
OG0000027	KUD10_RS03410	ABKJ22_RS03225
OG0000027	KUD10_RS03425	ABKJ22_RS03240
OG0000029	KUD10_RS01075	ABKJ22_RS00600
OG0000029	KUD10_RS00620	ABKJ22_RS01090
OG0000030	KUD10_RS03400	ABKJ22_RS03215
OG0000030	KUD10_RS03420	ABKJ22_RS03235
OG0000031	KUD10_RS01665	ABKJ22_RS01605
OG0000032	KUD10_RS01640	ABKJ22_RS01585
OG0000033	KUD10_RS02490	ABKJ22_RS02360
OG0000034	KUD10_RS02230	ABKJ22_RS02240
OG0000035	KUD10_RS03250	ABKJ22_RS03095
OG0000036	KUD10_RS00115	ABKJ22_RS00110
OG0000036	KUD10_RS00130	ABKJ22_RS00125
OG0000037	KUD10_RS01650, KUD10_RS01645	ABKJ22_RS01590
OG0000038	KUD10_RS01815	ABKJ22_RS01735
OG0000039	KUD10_RS01675	ABKJ22_RS01615
OG0000040	KUD10_RS03345	ABKJ22_RS03165
OG0000042	KUD10_RS03010	ABKJ22_RS02880
OG0000043	KUD10_RS01965	ABKJ22_RS01890
OG0000045	KUD10_RS01680	ABKJ22_RS01620
OG0000048	KUD10_RS02150	ABKJ22_RS02075
