Orthogroup	MHP_LH_genes	MHP_98_genes
OG0000000	KUD10_RS02260	GOM18_RS02340
OG0000000	KUD10_RS02165	GOM18_RS04045
OG0000000	KUD10_RS02380, KUD10_RS02385	GOM18_RS04450
OG0000000	KUD10_RS01780, KUD10_RS01785	GOM18_RS03685
OG0000001	KUD10_RS01355	GOM18_RS03240
OG0000001	KUD10_RS01350	GOM18_RS03230
OG0000001	KUD10_RS02875	GOM18_RS03125
OG0000001	KUD10_RS02830	GOM18_RS04125
OG0000002	KUD10_RS02270	GOM18_RS02350
OG0000002	KUD10_RS02265	GOM18_RS02345
OG0000002	KUD10_RS01790	GOM18_RS04550
OG0000003	KUD10_RS01820	GOM18_RS03520
OG0000003	KUD10_RS00500	GOM18_RS03425
OG0000003	KUD10_RS01900	GOM18_RS03375, GOM18_RS03370
OG0000004	KUD10_RS03265	GOM18_RS00895
OG0000004	KUD10_RS03275	GOM18_RS00880
OG0000005	KUD10_RS00100	GOM18_RS03145
OG0000005	KUD10_RS00105	GOM18_RS03600
OG0000005	KUD10_RS00110, KUD10_RS00125	GOM18_RS04540
OG0000006	KUD10_RS02585	GOM18_RS01950
OG0000008	KUD10_RS02375	GOM18_RS02455
OG0000008	KUD10_RS02590	GOM18_RS03975
OG0000009	KUD10_RS00085	GOM18_RS00665
OG0000009	KUD10_RS00675	GOM18_RS00110
OG0000010	KUD10_RS01910	GOM18_RS03360
OG0000010	KUD10_RS00095	GOM18_RS03805
OG0000011	KUD10_RS02000	GOM18_RS03250
OG0000011	KUD10_RS01995	GOM18_RS03255
OG0000013	KUD10_RS02465	GOM18_RS02545
OG0000013	KUD10_RS00185	GOM18_RS03935
OG0000015	KUD10_RS03700	GOM18_RS04215
OG0000015	KUD10_RS01225	GOM18_RS00005
OG0000015	KUD10_RS01635	GOM18_RS02565
OG0000016	KUD10_RS02915	GOM18_RS01215
OG0000016	KUD10_RS00170	GOM18_RS01280
OG0000017	KUD10_RS00155	GOM18_RS01265
OG0000017	KUD10_RS02925	GOM18_RS01205
OG0000018	KUD10_RS01195	GOM18_RS04240
OG0000020	KUD10_RS03620	GOM18_RS04290
OG0000020	KUD10_RS03625	GOM18_RS03770
OG0000022	KUD10_RS01720	GOM18_RS03040
OG0000022	KUD10_RS01775	GOM18_RS04500
OG0000023	KUD10_RS01205	GOM18_RS00025
OG0000024	KUD10_RS02825	GOM18_RS03075
OG0000024	KUD10_RS01345	GOM18_RS03225
OG0000025	KUD10_RS01725	GOM18_RS04510
OG0000025	KUD10_RS01770	GOM18_RS04505
OG0000026	KUD10_RS01435	GOM18_RS02790
OG0000026	KUD10_RS01750	GOM18_RS03010
OG0000027	KUD10_RS03410	GOM18_RS04335
OG0000027	KUD10_RS03425	GOM18_RS04320
OG0000029	KUD10_RS01075	GOM18_RS01705
OG0000029	KUD10_RS00620	GOM18_RS03580
OG0000030	KUD10_RS03400	GOM18_RS04340
OG0000030	KUD10_RS03420	GOM18_RS04325
OG0000031	KUD10_RS01150	GOM18_RS00085
OG0000031	KUD10_RS01665	GOM18_RS03625
OG0000032	KUD10_RS01640	GOM18_RS02560
OG0000035	KUD10_RS03270	GOM18_RS00885
OG0000035	KUD10_RS03250	GOM18_RS00900
OG0000036	KUD10_RS00115, KUD10_RS00130	GOM18_RS03585
OG0000037	KUD10_RS01650	GOM18_RS04545
OG0000037	KUD10_RS01645	GOM18_RS02550
OG0000038	KUD10_RS01815	GOM18_RS03645
OG0000038	KUD10_RS00495	GOM18_RS01605
OG0000039	KUD10_RS01675	GOM18_RS03565
OG0000040	KUD10_RS03345	GOM18_RS00810
OG0000042	KUD10_RS03010	GOM18_RS01120
OG0000043	KUD10_RS01965	GOM18_RS03285
OG0000045	KUD10_RS01680	GOM18_RS03555
OG0000046	KUD10_RS03355	GOM18_RS03880, GOM18_RS03875
OG0000047	KUD10_RS01210	GOM18_RS00015
OG0000048	KUD10_RS02150	GOM18_RS02325
OG0000049	KUD10_RS03120	GOM18_RS01035
OG0000050	KUD10_RS02530	GOM18_RS01900
OG0000051	KUD10_RS02740	GOM18_RS02100
OG0000052	KUD10_RS00075	GOM18_RS00655
OG0000053	KUD10_RS01520	GOM18_RS04480
OG0000054	KUD10_RS02555	GOM18_RS01925
OG0000055	KUD10_RS00135	GOM18_RS01245
OG0000056	KUD10_RS03605, KUD10_RS03600	GOM18_RS00495
OG0000057	KUD10_RS02995	GOM18_RS01135
OG0000058	KUD10_RS01145	GOM18_RS00090
OG0000059	KUD10_RS01155	GOM18_RS00080
OG0000061	KUD10_RS01920	GOM18_RS03350
OG0000062	KUD10_RS03655	GOM18_RS00545
OG0000063	KUD10_RS03650	GOM18_RS04295
OG0000064	KUD10_RS03640	GOM18_RS00530
OG0000065	KUD10_RS02315	GOM18_RS02395
OG0000066	KUD10_RS01425	GOM18_RS02800
OG0000067	KUD10_RS00530	GOM18_RS01630
OG0000068	KUD10_RS00655	GOM18_RS03445
OG0000069	KUD10_RS02890	GOM18_RS01240, GOM18_RS03140
OG0000070	KUD10_RS02560	GOM18_RS01930
OG0000071	KUD10_RS03335	GOM18_RS00820
OG0000072	KUD10_RS03340	GOM18_RS04355
OG0000073	KUD10_RS00700	GOM18_RS00135
OG0000074	KUD10_RS00895	GOM18_RS04260
OG0000075	KUD10_RS00340	GOM18_RS01450
OG0000076	KUD10_RS00355	GOM18_RS01465
OG0000077	KUD10_RS00440	GOM18_RS01550
OG0000079	KUD10_RS02640	GOM18_RS02005
OG0000080	KUD10_RS02690	GOM18_RS03980
OG0000081	KUD10_RS00335	GOM18_RS01445
OG0000083	KUD10_RS02070	GOM18_RS02245
OG0000084	KUD10_RS02100	GOM18_RS02275
OG0000085	KUD10_RS02105	GOM18_RS02280
OG0000086	KUD10_RS02115	GOM18_RS02290
OG0000087	KUD10_RS02130	GOM18_RS02305
OG0000088	KUD10_RS02135	GOM18_RS02310
OG0000089	KUD10_RS02145	GOM18_RS02320
OG0000090	KUD10_RS00070	GOM18_RS00650
OG0000091	KUD10_RS00055	GOM18_RS00635
OG0000092	KUD10_RS00040	GOM18_RS00620
OG0000093	KUD10_RS00035	GOM18_RS00615
OG0000094	KUD10_RS00030	GOM18_RS00610
OG0000095	KUD10_RS00005	GOM18_RS00585
OG0000096	KUD10_RS03690	GOM18_RS00580
OG0000097	KUD10_RS03670	GOM18_RS00560
OG0000099	KUD10_RS03610	GOM18_RS04285
OG0000100	KUD10_RS03590	GOM18_RS00485
OG0000101	KUD10_RS03585	GOM18_RS00480
OG0000102	KUD10_RS01765	GOM18_RS02995
OG0000103	KUD10_RS02280	GOM18_RS02360
OG0000104	KUD10_RS02285	GOM18_RS02365
OG0000105	KUD10_RS02300	GOM18_RS02380
OG0000106	KUD10_RS02310	GOM18_RS02390
OG0000107	KUD10_RS02320	GOM18_RS02400
OG0000108	KUD10_RS02325	GOM18_RS02405
OG0000109	KUD10_RS02330	GOM18_RS02410
