Orthogroup	MHP_LH_genes	MHP_MHP682_genes
OG0000000	KUD10_RS02260	DR097_RS02690
OG0000000	KUD10_RS02255, KUD10_RS02165, KUD10_RS02380, KUD10_RS02385	DR097_RS04740
OG0000001	KUD10_RS02875	DR097_RS04145
OG0000002	KUD10_RS02270	DR097_RS02700
OG0000002	KUD10_RS02265	DR097_RS02695
OG0000002	KUD10_RS02210	DR097_RS04855
OG0000002	KUD10_RS01790	DR097_RS04675
OG0000003	KUD10_RS00500	DR097_RS04955
OG0000003	KUD10_RS02250	DR097_RS04840
OG0000003	KUD10_RS01900	DR097_RS03830
OG0000004	KUD10_RS03265	DR097_RS01330
OG0000004	KUD10_RS03275	DR097_RS01325
OG0000005	KUD10_RS00100	DR097_RS02455
OG0000005	KUD10_RS00120	DR097_RS04720
OG0000005	KUD10_RS00105	DR097_RS02445
OG0000005	KUD10_RS00110	DR097_RS02440
OG0000005	KUD10_RS00125	DR097_RS04715
OG0000006	KUD10_RS02585	DR097_RS04435
OG0000007	KUD10_RS02245	DR097_RS03450
OG0000008	KUD10_RS02590	DR097_RS03625
OG0000009	KUD10_RS00085	DR097_RS02470
OG0000009	KUD10_RS01265	DR097_RS00430
OG0000009	KUD10_RS00675	DR097_RS01140
OG0000010	KUD10_RS01910	DR097_RS02510
OG0000010	KUD10_RS00095	DR097_RS02450
OG0000011	KUD10_RS02000	DR097_RS00820
OG0000011	KUD10_RS01995	DR097_RS00825
OG0000013	KUD10_RS02465	DR097_RS02175
OG0000013	KUD10_RS00185	DR097_RS03895
OG0000014	KUD10_RS00610	DR097_RS03370
OG0000016	KUD10_RS02915	DR097_RS01165
OG0000016	KUD10_RS00170	DR097_RS00270
OG0000017	KUD10_RS00155	DR097_RS00285
OG0000017	KUD10_RS02925	DR097_RS01175
OG0000019	KUD10_RS03100, KUD10_RS03080, KUD10_RS03110, KUD10_RS03090	DR097_RS03615
OG0000020	KUD10_RS03620	DR097_RS04835
OG0000020	KUD10_RS03625	DR097_RS04830
OG0000021	KUD10_RS01825	DR097_RS03390
OG0000022	KUD10_RS01720	DR097_RS01895
OG0000022	KUD10_RS01775	DR097_RS04680
OG0000024	KUD10_RS02825	DR097_RS01795
OG0000024	KUD10_RS01345	DR097_RS00345
OG0000025	KUD10_RS01725	DR097_RS04685
OG0000025	KUD10_RS01770	DR097_RS01845
OG0000026	KUD10_RS01435	DR097_RS01665
OG0000026	KUD10_RS01750	DR097_RS01865
OG0000027	KUD10_RS03410	DR097_RS02965
OG0000027	KUD10_RS03425	DR097_RS04560
OG0000028	KUD10_RS02500	DR097_RS04690
OG0000029	KUD10_RS01075	DR097_RS02335
OG0000030	KUD10_RS03400	DR097_RS04775
OG0000030	KUD10_RS03420	DR097_RS04565
OG0000031	KUD10_RS01150	DR097_RS02075
OG0000031	KUD10_RS01665	DR097_RS03120
OG0000032	KUD10_RS01640	DR097_RS04795
OG0000034	KUD10_RS02225	DR097_RS03640
OG0000034	KUD10_RS02230	DR097_RS04475
OG0000035	KUD10_RS03250	DR097_RS04085
OG0000035	KUD10_RS03255	DR097_RS01335
OG0000036	KUD10_RS00115	DR097_RS02435
OG0000036	KUD10_RS00130	DR097_RS02415
OG0000037	KUD10_RS01650	DR097_RS04800
OG0000037	KUD10_RS01645	DR097_RS03100
OG0000039	KUD10_RS01675	DR097_RS04950
OG0000040	KUD10_RS03345	DR097_RS03560
OG0000042	KUD10_RS03010	DR097_RS01265
OG0000043	KUD10_RS01965	DR097_RS00855
OG0000045	KUD10_RS01680	DR097_RS03525
OG0000046	KUD10_RS03355	DR097_RS04785
OG0000047	KUD10_RS01210	DR097_RS02010
OG0000048	KUD10_RS02150	DR097_RS02830
OG0000049	KUD10_RS03120	DR097_RS01470
OG0000050	KUD10_RS02530	DR097_RS01960
OG0000051	KUD10_RS02740	DR097_RS01545
OG0000052	KUD10_RS00075	DR097_RS02480
OG0000053	KUD10_RS01520	DR097_RS04845
OG0000054	KUD10_RS02555	DR097_RS01935
OG0000055	KUD10_RS00135	DR097_RS00305
OG0000056	KUD10_RS03605, KUD10_RS03600	DR097_RS00545
OG0000057	KUD10_RS02995	DR097_RS01250
OG0000058	KUD10_RS01145	DR097_RS02085
OG0000059	KUD10_RS01165	DR097_RS02070
OG0000061	KUD10_RS01920	DR097_RS02500
OG0000062	KUD10_RS03655	DR097_RS02590
OG0000063	KUD10_RS03650	DR097_RS04735
OG0000064	KUD10_RS03640	DR097_RS02605
OG0000065	KUD10_RS02315	DR097_RS02745
OG0000066	KUD10_RS01425	DR097_RS01675
OG0000067	KUD10_RS00530	DR097_RS02405
OG0000068	KUD10_RS00655	DR097_RS03055
OG0000069	KUD10_RS02890	DR097_RS01725
OG0000070	KUD10_RS02560	DR097_RS01930
OG0000071	KUD10_RS03335	DR097_RS03575
OG0000072	KUD10_RS03340	DR097_RS03580, DR097_RS04860
OG0000073	KUD10_RS00700	DR097_RS01115
OG0000074	KUD10_RS00895	DR097_RS04605
OG0000075	KUD10_RS00340	DR097_RS00090
OG0000076	KUD10_RS00355	DR097_RS00075
OG0000077	KUD10_RS00440	DR097_RS03275
OG0000078	KUD10_RS01740	DR097_RS01875
OG0000079	KUD10_RS02640	DR097_RS02640
OG0000080	KUD10_RS02690	DR097_RS04360
OG0000081	KUD10_RS00335	DR097_RS00095
OG0000082	KUD10_RS02460	DR097_RS02165
OG0000083	KUD10_RS02070	DR097_RS00750
OG0000084	KUD10_RS02100	DR097_RS03685
OG0000085	KUD10_RS02105	DR097_RS02875
OG0000086	KUD10_RS02115	DR097_RS02865
OG0000087	KUD10_RS02130	DR097_RS02850
OG0000088	KUD10_RS02135	DR097_RS02845
OG0000089	KUD10_RS02145	DR097_RS02835
OG0000090	KUD10_RS00070	DR097_RS02485
OG0000091	KUD10_RS00055	DR097_RS02775
OG0000092	KUD10_RS00040	DR097_RS02790
OG0000093	KUD10_RS00035	DR097_RS02795
OG0000094	KUD10_RS00030	DR097_RS02800
OG0000095	KUD10_RS00005	DR097_RS03550
OG0000096	KUD10_RS03690	DR097_RS03545
OG0000097	KUD10_RS03670	DR097_RS02575
OG0000099	KUD10_RS03610	DR097_RS03665
OG0000100	KUD10_RS03590	DR097_RS00555
OG0000101	KUD10_RS03585	DR097_RS00560
OG0000102	KUD10_RS01765	DR097_RS01850
OG0000103	KUD10_RS02280	DR097_RS02710
OG0000104	KUD10_RS02285	DR097_RS02715
OG0000105	KUD10_RS02300	DR097_RS02730
OG0000106	KUD10_RS02310	DR097_RS02740
OG0000107	KUD10_RS02320	DR097_RS02750
OG0000108	KUD10_RS02325	DR097_RS02755
OG0000109	KUD10_RS02330	DR097_RS02760
