Orthogroup	MHP_MHP696_genes	MHP_LH_genes
OG0000000	DR090_RS03565	KUD10_RS02260
OG0000000	DR090_RS03595	KUD10_RS02185
OG0000000	DR090_RS04285	KUD10_RS02195
OG0000000	DR090_RS04125	KUD10_RS01780, KUD10_RS01785
OG0000001	DR090_RS01575	KUD10_RS02875
OG0000001	DR090_RS03945	KUD10_RS02830
OG0000002	DR090_RS04315	KUD10_RS02270
OG0000002	DR090_RS03590	KUD10_RS02265
OG0000002	DR090_RS03470	KUD10_RS02210
OG0000002	DR090_RS03425	KUD10_RS01790
OG0000003	DR090_RS00820	KUD10_RS01820
OG0000003	DR090_RS04620	KUD10_RS02250
OG0000003	DR090_RS03665	KUD10_RS01900
OG0000004	DR090_RS03435	KUD10_RS03275
OG0000005	DR090_RS03620	KUD10_RS00100
OG0000005	DR090_RS04590	KUD10_RS00120
OG0000005	DR090_RS03525	KUD10_RS00105
OG0000005	DR090_RS03075	KUD10_RS00110
OG0000005	DR090_RS04595	KUD10_RS00125
OG0000006	DR090_RS04160	KUD10_RS02585
OG0000006	DR090_RS04155	KUD10_RS02420
OG0000007	DR090_RS03360	KUD10_RS02245
OG0000008	DR090_RS03700	KUD10_RS01700
OG0000008	DR090_RS04310	KUD10_RS02590
OG0000009	DR090_RS01340	KUD10_RS00085
OG0000009	DR090_RS00150	KUD10_RS00675
OG0000010	DR090_RS00915	KUD10_RS01910
OG0000010	DR090_RS03520, DR090_RS03650	KUD10_RS00095
OG0000011	DR090_RS01025	KUD10_RS02000
OG0000011	DR090_RS01020	KUD10_RS01995
OG0000013	DR090_RS02640	KUD10_RS02465
OG0000013	DR090_RS03805	KUD10_RS00185
OG0000014	DR090_RS00220	KUD10_RS01080
OG0000014	DR090_RS04325	KUD10_RS00610
OG0000015	DR090_RS03270	KUD10_RS03700, KUD10_RS01225, KUD10_RS01635
OG0000016	DR090_RS01615	KUD10_RS02915
OG0000016	DR090_RS00790	KUD10_RS00170
OG0000017	DR090_RS00805	KUD10_RS00155
OG0000017	DR090_RS01625	KUD10_RS02925
OG0000018	DR090_RS04560	KUD10_RS01395, KUD10_RS01195
OG0000019	DR090_RS04270	KUD10_RS03080
OG0000020	DR090_RS04405	KUD10_RS03620
OG0000020	DR090_RS04410	KUD10_RS03625
OG0000021	DR090_RS00825	KUD10_RS01825
OG0000022	DR090_RS02415	KUD10_RS01720
OG0000022	DR090_RS04550	KUD10_RS01775
OG0000023	DR090_RS02440	KUD10_RS01390, KUD10_RS01205
OG0000024	DR090_RS01515	KUD10_RS02825
OG0000024	DR090_RS00410	KUD10_RS01345
OG0000025	DR090_RS04555	KUD10_RS01725
OG0000025	DR090_RS02365	KUD10_RS01770
OG0000026	DR090_RS02485	KUD10_RS01435
OG0000026	DR090_RS02385	KUD10_RS01750
OG0000027	DR090_RS04475	KUD10_RS03410
OG0000027	DR090_RS04520	KUD10_RS03425
OG0000029	DR090_RS01710	KUD10_RS01075
OG0000029	DR090_RS00205	KUD10_RS00620
OG0000030	DR090_RS04480	KUD10_RS03400
OG0000030	DR090_RS04515	KUD10_RS03420
OG0000031	DR090_RS03235	KUD10_RS01150, KUD10_RS01665
OG0000032	DR090_RS03265	KUD10_RS01640
OG0000033	DR090_RS02635	KUD10_RS02475, KUD10_RS02495, KUD10_RS02480, KUD10_RS02490
OG0000034	DR090_RS00815	KUD10_RS02225
OG0000034	DR090_RS04300	KUD10_RS02230
OG0000035	DR090_RS03430	KUD10_RS03270
OG0000035	DR090_RS02220	KUD10_RS03250
OG0000036	DR090_RS03080	KUD10_RS00115
OG0000036	DR090_RS04210	KUD10_RS00130
OG0000037	DR090_RS03710	KUD10_RS01645
OG0000038	DR090_RS00450	KUD10_RS01815
