Orthogroup	MHP_MHP696_genes	MHP_MHP653_genes
OG0000000	DR090_RS03565	DR096_RS03590
OG0000000	DR090_RS03595	DR096_RS03425
OG0000000	DR090_RS04285	DR096_RS04410
OG0000000	DR090_RS04125	DR096_RS04160, DR096_RS02065
OG0000000	DR090_RS04630	DR096_RS03340
OG0000001	DR090_RS01575	DR096_RS01190
OG0000002	DR090_RS04315	DR096_RS04275
OG0000002	DR090_RS03590	DR096_RS02905
OG0000002	DR090_RS03470	DR096_RS04810
OG0000002	DR090_RS03425	DR096_RS04795
OG0000003	DR090_RS04250	DR096_RS04435
OG0000003	DR090_RS04620	DR096_RS04820
OG0000003	DR090_RS03665	DR096_RS04825
OG0000005	DR090_RS03620	DR096_RS02575
OG0000005	DR090_RS04590	DR096_RS04720
OG0000005	DR090_RS03525	DR096_RS02565
OG0000005	DR090_RS03075	DR096_RS02560
OG0000005	DR090_RS04595	DR096_RS04715
OG0000007	DR090_RS03340	DR096_RS03505
OG0000007	DR090_RS03345	DR096_RS03510
OG0000007	DR090_RS03360	DR096_RS00630
OG0000008	DR090_RS04310	DR096_RS04360
OG0000009	DR090_RS01340	DR096_RS02590
OG0000010	DR090_RS00915	DR096_RS00395
OG0000010	DR090_RS03095	DR096_RS02540
OG0000010	DR090_RS03070, DR090_RS03520, DR090_RS03650	DR096_RS02570
OG0000011	DR090_RS01025	DR096_RS00490
OG0000011	DR090_RS01020	DR096_RS00485
OG0000012	DR090_RS03670	DR096_RS03785
OG0000013	DR090_RS02640	DR096_RS04100
OG0000013	DR090_RS03805	DR096_RS03875
OG0000014	DR090_RS04325	DR096_RS04790
OG0000015	DR090_RS03270	DR096_RS01405
OG0000016	DR090_RS01615	DR096_RS01150
OG0000016	DR090_RS00790	DR096_RS00345
OG0000017	DR090_RS00805	DR096_RS00360
OG0000017	DR090_RS01625	DR096_RS01140
OG0000018	DR090_RS04560	DR096_RS04640
OG0000019	DR090_RS04270	DR096_RS03940
OG0000020	DR090_RS04405	DR096_RS03230
OG0000020	DR090_RS04410	DR096_RS04775
OG0000021	DR090_RS00825	DR096_RS03450
OG0000022	DR090_RS02415	DR096_RS01995
OG0000022	DR090_RS04550	DR096_RS04665
OG0000023	DR090_RS02440	DR096_RS01645
OG0000024	DR090_RS01515	DR096_RS01490
OG0000024	DR090_RS00410	DR096_RS01690
OG0000025	DR090_RS04555	DR096_RS04660
OG0000025	DR090_RS02365	DR096_RS02045
OG0000026	DR090_RS02485	DR096_RS01600
OG0000026	DR090_RS02385	DR096_RS02025
OG0000027	DR090_RS04475	DR096_RS04770
OG0000027	DR090_RS04520	DR096_RS04540
OG0000028	DR090_RS03280	DR096_RS03495
OG0000028	DR090_RS04565	DR096_RS01750
OG0000029	DR090_RS00205	DR096_RS03330
OG0000030	DR090_RS04480	DR096_RS04765
OG0000030	DR090_RS04515	DR096_RS04535
OG0000031	DR090_RS03235	DR096_RS01370
OG0000032	DR090_RS03265	DR096_RS04610
OG0000032	DR090_RS02225	DR096_RS00860
OG0000033	DR090_RS02635	DR096_RS01745
OG0000034	DR090_RS00815	DR096_RS03570
OG0000034	DR090_RS04300	DR096_RS04455
OG0000034	DR090_RS03645	DR096_RS02670, DR096_RS03765
OG0000035	DR090_RS02220	DR096_RS03635
OG0000036	DR090_RS03080	DR096_RS02555
OG0000036	DR090_RS04210	DR096_RS02535
OG0000037	DR090_RS03710	DR096_RS04615
OG0000039	DR090_RS03220	DR096_RS01385
OG0000041	DR090_RS03745	DR096_RS02305, DR096_RS03595
OG0000042	DR090_RS04585	DR096_RS00855
OG0000043	DR090_RS00990	DR096_RS00455
OG0000044	DR090_RS04685	DR096_RS04875
OG0000045	DR090_RS03215	DR096_RS01390
OG0000048	DR090_RS02935	DR096_RS03530
OG0000049	DR090_RS02075	DR096_RS00770
OG0000050	DR090_RS02580	DR096_RS03020
OG0000051	DR090_RS01435	DR096_RS02440
OG0000052	DR090_RS01330	DR096_RS02830
OG0000053	DR090_RS04575	DR096_RS04590
OG0000054	DR090_RS02605	DR096_RS02995
OG0000055	DR090_RS03105	DR096_RS02530
OG0000056	DR090_RS01170	DR096_RS01045
OG0000057	DR090_RS01695	DR096_RS01065
OG0000060	DR090_RS03905	DR096_RS04270
OG0000060	DR090_RS03905	DR096_RS02295
OG0000061	DR090_RS00925	DR096_RS00405
OG0000062	DR090_RS01220	DR096_RS01775
OG0000063	DR090_RS01215	DR096_RS04645
OG0000064	DR090_RS01205	DR096_RS01760
OG0000065	DR090_RS03030	DR096_RS02855
OG0000066	DR090_RS02475	DR096_RS01610
OG0000067	DR090_RS02685	DR096_RS02595
OG0000067	DR090_RS03330	DR096_RS03370
OG0000068	DR090_RS00170	DR096_RS03280
OG0000069	DR090_RS01590	DR096_RS01175
OG0000070	DR090_RS02610	DR096_RS02990
OG0000071	DR090_RS02030	DR096_RS03055
OG0000072	DR090_RS04500	DR096_RS04730
OG0000073	DR090_RS00125	DR096_RS02090
OG0000074	DR090_RS04455	DR096_RS04705
OG0000075	DR090_RS00610	DR096_RS00165
OG0000076	DR090_RS00595	DR096_RS00150
OG0000077	DR090_RS00505	DR096_RS00060
OG0000078	DR090_RS02395	DR096_RS04150, DR096_RS02015
OG0000079	DR090_RS02780	DR096_RS02960
OG0000080	DR090_RS03915	DR096_RS04245
OG0000081	DR090_RS00615	DR096_RS00170
OG0000082	DR090_RS04165	DR096_RS01735
OG0000083	DR090_RS01095	DR096_RS00560
OG0000084	DR090_RS02885	DR096_RS00585
OG0000085	DR090_RS02890	DR096_RS00590
OG0000086	DR090_RS02900	DR096_RS00600
OG0000087	DR090_RS02915	DR096_RS00615
OG0000088	DR090_RS02920	DR096_RS00620
OG0000089	DR090_RS02930	DR096_RS03525
OG0000090	DR090_RS01325	DR096_RS02835
OG0000091	DR090_RS01310	DR096_RS01865
OG0000092	DR090_RS01295	DR096_RS01850
OG0000093	DR090_RS01290	DR096_RS01845
OG0000094	DR090_RS01285	DR096_RS01840
OG0000095	DR090_RS01260	DR096_RS01815
OG0000096	DR090_RS01255	DR096_RS01810
OG0000097	DR090_RS01235	DR096_RS01790
OG0000098	DR090_RS01225	DR096_RS01780
OG0000099	DR090_RS04400	DR096_RS03485
OG0000100	DR090_RS01160	DR096_RS01035
OG0000101	DR090_RS01155	DR096_RS01030
OG0000102	DR090_RS02370	DR096_RS02040
OG0000103	DR090_RS03065	DR096_RS02890
OG0000104	DR090_RS03060	DR096_RS02885
OG0000105	DR090_RS03045	DR096_RS02870
OG0000106	DR090_RS03035	DR096_RS02860
OG0000107	DR090_RS03025	DR096_RS02850
OG0000108	DR090_RS03020	DR096_RS02845
OG0000109	DR090_RS03015	DR096_RS02840
OG0000110	DR090_RS02655	DR096_RS01725
OG0000111	DR090_RS02660	DR096_RS01720
OG0000112	DR090_RS02670	DR096_RS01710
OG0000113	DR090_RS04615	DR096_RS04785
OG0000114	DR090_RS03300	DR096_RS03255
OG0000115	DR090_RS03285	DR096_RS03245
OG0000116	DR090_RS00435	DR096_RS01665
OG0000117	DR090_RS00440	DR096_RS01660
OG0000118	DR090_RS02460	DR096_RS01625
OG0000119	DR090_RS02465	DR096_RS01620
OG0000120	DR090_RS02480	DR096_RS01605
OG0000121	DR090_RS02505	DR096_RS01580
OG0000122	DR090_RS02510	DR096_RS01575
OG0000123	DR090_RS02530	DR096_RS01555
OG0000124	DR090_RS02535	DR096_RS01550
OG0000125	DR090_RS02540	DR096_RS01545
OG0000126	DR090_RS02835	DR096_RS01210
OG0000127	DR090_RS02845	DR096_RS01220
OG0000128	DR090_RS02860	DR096_RS01235
OG0000129	DR090_RS02865	DR096_RS01240
OG0000130	DR090_RS02875	DR096_RS01250
OG0000131	DR090_RS03150	DR096_RS04595
OG0000132	DR090_RS04600	DR096_RS04600
OG0000133	DR090_RS02690	DR096_RS02600
OG0000134	DR090_RS02695	DR096_RS02605
OG0000135	DR090_RS02710	DR096_RS02620
OG0000136	DR090_RS02715	DR096_RS02625
OG0000137	DR090_RS02755	DR096_RS02665
OG0000138	DR090_RS00195	DR096_RS03305
OG0000139	DR090_RS00165	DR096_RS03275
OG0000140	DR090_RS00160	DR096_RS03270
OG0000141	DR090_RS01705	DR096_RS01055
OG0000142	DR090_RS04450	DR096_RS04575
OG0000143	DR090_RS01680	DR096_RS01085
OG0000144	DR090_RS01670	DR096_RS01095
OG0000145	DR090_RS01660	DR096_RS01105
OG0000146	DR090_RS01650	DR096_RS01115
OG0000147	DR090_RS01645	DR096_RS01120
OG0000148	DR090_RS01630	DR096_RS01135
OG0000149	DR090_RS01620	DR096_RS01145
OG0000150	DR090_RS01605	DR096_RS01160
OG0000151	DR090_RS01555	DR096_RS01530
OG0000152	DR090_RS01550	DR096_RS01525
OG0000153	DR090_RS01545	DR096_RS01520
OG0000154	DR090_RS01535	DR096_RS01510
OG0000155	DR090_RS01495	DR096_RS01470
OG0000156	DR090_RS01485	DR096_RS01460
OG0000157	DR090_RS04440	DR096_RS04635
OG0000158	DR090_RS04435	DR096_RS04630
OG0000159	DR090_RS02595	DR096_RS03005
OG0000160	DR090_RS02590	DR096_RS03010
OG0000161	DR090_RS02585	DR096_RS03015
OG0000162	DR090_RS02575	DR096_RS03025
OG0000163	DR090_RS02570	DR096_RS03030
OG0000164	DR090_RS03230	DR096_RS01375
OG0000165	DR090_RS01015	DR096_RS00480
OG0000166	DR090_RS01035	DR096_RS00500
OG0000167	DR090_RS01050	DR096_RS00515
OG0000168	DR090_RS01055	DR096_RS00520
OG0000169	DR090_RS02070	DR096_RS00775
OG0000170	DR090_RS02085	DR096_RS00760
OG0000171	DR090_RS02095	DR096_RS00750
OG0000172	DR090_RS02105	DR096_RS00740
OG0000173	DR090_RS02110	DR096_RS00735
OG0000174	DR090_RS02115	DR096_RS00730
OG0000175	DR090_RS02130	DR096_RS00715
OG0000176	DR090_RS02180	DR096_RS00665
OG0000177	DR090_RS02185	DR096_RS00660
OG0000178	DR090_RS02190	DR096_RS00655
OG0000179	DR090_RS02200	DR096_RS00645
OG0000180	DR090_RS02205	DR096_RS00640
OG0000181	DR090_RS04655	DR096_RS04745
OG0000182	DR090_RS03515	DR096_RS03095
OG0000183	DR090_RS02035	DR096_RS03060
OG0000184	DR090_RS01995	DR096_RS03135
OG0000185	DR090_RS02010	DR096_RS03120
OG0000186	DR090_RS04605	DR096_RS04605
OG0000187	DR090_RS03190	DR096_RS01320
OG0000188	DR090_RS03200	DR096_RS01330
OG0000189	DR090_RS04625	DR096_RS04750
OG0000190	DR090_RS03370	DR096_RS03155
OG0000191	DR090_RS03395	DR096_RS03175
OG0000192	DR090_RS00355	DR096_RS02270
OG0000193	DR090_RS00340	DR096_RS02285
OG0000194	DR090_RS00140	DR096_RS02075
OG0000195	DR090_RS00135	DR096_RS02080
OG0000196	DR090_RS00115	DR096_RS02100
OG0000197	DR090_RS00110	DR096_RS02105
OG0000198	DR090_RS00095	DR096_RS02120
OG0000199	DR090_RS00090	DR096_RS02125
OG0000200	DR090_RS00075	DR096_RS02140
OG0000201	DR090_RS00065	DR096_RS02150
OG0000202	DR090_RS00010	DR096_RS02205
OG0000203	DR090_RS00005	DR096_RS02215
OG0000204	DR090_RS04470	DR096_RS04690
OG0000205	DR090_RS01955	DR096_RS02315
OG0000206	DR090_RS01935	DR096_RS02335
OG0000207	DR090_RS01920	DR096_RS02350
OG0000208	DR090_RS01915	DR096_RS02355
OG0000209	DR090_RS01910	DR096_RS02360
OG0000210	DR090_RS01865	DR096_RS02405
OG0000211	DR090_RS01855	DR096_RS02680
OG0000212	DR090_RS01845	DR096_RS02690
OG0000213	DR090_RS01840	DR096_RS02695
OG0000214	DR090_RS01835	DR096_RS02700
OG0000215	DR090_RS01830	DR096_RS02705
OG0000216	DR090_RS01825	DR096_RS02710
OG0000217	DR090_RS01820	DR096_RS02715
OG0000218	DR090_RS01810	DR096_RS02725
OG0000219	DR090_RS01805	DR096_RS02730
OG0000220	DR090_RS01800	DR096_RS02735
OG0000221	DR090_RS01795	DR096_RS02740
OG0000222	DR090_RS01790	DR096_RS02745
