Orthogroup	MHP_MHP696_genes	MHP_UFV01_genes
OG0000000	DR090_RS03565	FEF30_RS02570
OG0000000	DR090_RS04285	FEF30_RS02505
OG0000000	DR090_RS04125	FEF30_RS02035
OG0000001	DR090_RS01575	FEF30_RS03180
OG0000001	DR090_RS03950	FEF30_RS03130
OG0000001	DR090_RS03945	FEF30_RS03125
OG0000002	DR090_RS04315	FEF30_RS02580
OG0000002	DR090_RS03590	FEF30_RS02575
OG0000002	DR090_RS03470	FEF30_RS04340
OG0000002	DR090_RS03425	FEF30_RS04295
OG0000003	DR090_RS00820	FEF30_RS02165
OG0000003	DR090_RS04620	FEF30_RS04345
OG0000004	DR090_RS03435	FEF30_RS03550
OG0000005	DR090_RS03620	FEF30_RS00415
OG0000005	DR090_RS04590	FEF30_RS00435
OG0000005	DR090_RS03525	FEF30_RS04180
OG0000005	DR090_RS03075	FEF30_RS00425
OG0000005	DR090_RS04595	FEF30_RS04185
OG0000006	DR090_RS04155	FEF30_RS02730
OG0000007	DR090_RS03340	FEF30_RS02555
OG0000007	DR090_RS03345	FEF30_RS02545
OG0000007	DR090_RS03360	FEF30_RS02540
OG0000008	DR090_RS03700	FEF30_RS01955
OG0000008	DR090_RS04310	FEF30_RS02885
OG0000009	DR090_RS00150	FEF30_RS00990
OG0000010	DR090_RS00915	FEF30_RS02240
OG0000011	DR090_RS01025	FEF30_RS02330
OG0000011	DR090_RS01020	FEF30_RS02325
OG0000013	DR090_RS02640	FEF30_RS02775
OG0000013	DR090_RS03805	FEF30_RS00500
OG0000014	DR090_RS00220	FEF30_RS01400
OG0000014	DR090_RS04325	FEF30_RS04210
OG0000015	DR090_RS03270	FEF30_RS01950, FEF30_RS02045
OG0000016	DR090_RS01615	FEF30_RS03220
OG0000016	DR090_RS00790	FEF30_RS00485
OG0000017	DR090_RS00805	FEF30_RS00470
OG0000017	DR090_RS01625	FEF30_RS03230
