Orthogroup	MHP_MHP696_genes	MHP_UFV02_genes
OG0000000	DR090_RS03565	FEF31_RS01935
OG0000000	DR090_RS04285	FEF31_RS01875
OG0000000	DR090_RS04125	FEF31_RS01380, FEF31_RS01385
OG0000001	DR090_RS01575	FEF31_RS02540
OG0000001	DR090_RS03950	FEF31_RS02495
OG0000001	DR090_RS03945	FEF31_RS02490
OG0000002	DR090_RS04315	FEF31_RS01945
OG0000002	DR090_RS03590	FEF31_RS01940
OG0000002	DR090_RS03470	FEF31_RS04505
OG0000002	DR090_RS03425	FEF31_RS04455
OG0000003	DR090_RS00820	FEF31_RS01515
OG0000003	DR090_RS04620	FEF31_RS04510
OG0000003	DR090_RS03665	FEF31_RS01590
OG0000004	DR090_RS03435	FEF31_RS03775
OG0000005	DR090_RS03620	FEF31_RS03370
OG0000005	DR090_RS04590	FEF31_RS04665
OG0000005	DR090_RS03525	FEF31_RS04660
OG0000005	DR090_RS03075	FEF31_RS03380
OG0000005	DR090_RS04595	FEF31_RS04670
OG0000006	DR090_RS04155	FEF31_RS02090
OG0000007	DR090_RS03340	FEF31_RS01925
OG0000007	DR090_RS03345	FEF31_RS01915
OG0000007	DR090_RS03360	FEF31_RS01910
OG0000008	DR090_RS03700	FEF31_RS01300
OG0000008	DR090_RS04310	FEF31_RS02250
OG0000009	DR090_RS00150	FEF31_RS00335
OG0000010	DR090_RS00915	FEF31_RS01600
OG0000011	DR090_RS01025	FEF31_RS01695
OG0000011	DR090_RS01020	FEF31_RS01690
OG0000013	DR090_RS02640	FEF31_RS02135
OG0000013	DR090_RS03805	FEF31_RS03455
OG0000014	DR090_RS00220	FEF31_RS00745
OG0000014	DR090_RS04325	FEF31_RS04375
OG0000015	DR090_RS03270	FEF31_RS01295, FEF31_RS01395
OG0000016	DR090_RS01615	FEF31_RS02580
OG0000016	DR090_RS00790	FEF31_RS03440
OG0000017	DR090_RS00805	FEF31_RS03425
OG0000017	DR090_RS01625	FEF31_RS02590
OG0000018	DR090_RS04560	FEF31_RS04420, FEF31_RS01415, FEF31_RS01420
OG0000020	DR090_RS04405	FEF31_RS03220
OG0000020	DR090_RS04410	FEF31_RS04270
OG0000021	DR090_RS00825	FEF31_RS01520, FEF31_RS00170
OG0000022	DR090_RS02415	FEF31_RS01320
OG0000022	DR090_RS04550	FEF31_RS04450
OG0000023	DR090_RS02440	FEF31_RS00975, FEF31_RS01405
OG0000024	DR090_RS01515	FEF31_RS02485
OG0000024	DR090_RS00410	FEF31_RS00930
OG0000025	DR090_RS04555	FEF31_RS04445
OG0000025	DR090_RS02365	FEF31_RS01370
OG0000026	DR090_RS02485	FEF31_RS01025
OG0000026	DR090_RS02385	FEF31_RS01350
OG0000027	DR090_RS04475	FEF31_RS03015
OG0000027	DR090_RS04520	FEF31_RS04605
OG0000029	DR090_RS01710	FEF31_RS00735
OG0000029	DR090_RS00205	FEF31_RS00270
OG0000030	DR090_RS04480	FEF31_RS04590
OG0000030	DR090_RS04515	FEF31_RS04600
OG0000031	DR090_RS03235	FEF31_RS01265
OG0000031	DR090_RS03235	FEF31_RS01450
OG0000032	DR090_RS02225	FEF31_RS03020
OG0000033	DR090_RS02635	FEF31_RS02140
OG0000034	DR090_RS00815	FEF31_RS01895
OG0000035	DR090_RS03430	FEF31_RS03765
OG0000036	DR090_RS03080	FEF31_RS03385
OG0000036	DR090_RS04210	FEF31_RS03400
OG0000038	DR090_RS00450	FEF31_RS01510
OG0000039	DR090_RS03220	FEF31_RS01275
OG0000040	DR090_RS02020	FEF31_RS03890
OG0000041	DR090_RS03745	FEF31_RS00330
OG0000042	DR090_RS04585	FEF31_RS02675
OG0000043	DR090_RS00990	FEF31_RS01660, FEF31_RS01455
OG0000044	DR090_RS04685	FEF31_RS04775
OG0000044	DR090_RS00855	FEF31_RS01545
OG0000045	DR090_RS03215	FEF31_RS01280, FEF31_RS01285
OG0000048	DR090_RS02935	FEF31_RS01845
OG0000049	DR090_RS02075	FEF31_RS03620
OG0000050	DR090_RS02580	FEF31_RS02180
OG0000051	DR090_RS01435	FEF31_RS02395
OG0000052	DR090_RS01330	FEF31_RS03360
OG0000053	DR090_RS04575	FEF31_RS04425
OG0000054	DR090_RS02605	FEF31_RS02205
OG0000055	DR090_RS03105	FEF31_RS03405
OG0000056	DR090_RS01170	FEF31_RS03205
OG0000057	DR090_RS01695	FEF31_RS02660
OG0000060	DR090_RS03905	FEF31_RS00850
OG0000061	DR090_RS00925	FEF31_RS01245, FEF31_RS01610
OG0000062	DR090_RS01220	FEF31_RS03250
OG0000063	DR090_RS01215	FEF31_RS04645
OG0000064	DR090_RS01205	FEF31_RS03235
OG0000065	DR090_RS03030	FEF31_RS01990
OG0000066	DR090_RS02475	FEF31_RS01015
OG0000067	DR090_RS03330	FEF31_RS00185
OG0000068	DR090_RS00170	FEF31_RS00305
OG0000069	DR090_RS01590	FEF31_RS02555
OG0000070	DR090_RS02610	FEF31_RS02210
OG0000071	DR090_RS02030	FEF31_RS03835
OG0000072	DR090_RS04500	FEF31_RS04700
OG0000073	DR090_RS00125	FEF31_RS00360
OG0000074	DR090_RS04455	FEF31_RS04395
OG0000075	DR090_RS00610	FEF31_RS00005
OG0000076	DR090_RS00595	FEF31_RS00020
OG0000077	DR090_RS00505	FEF31_RS00105
OG0000078	DR090_RS02395	FEF31_RS01340
OG0000079	DR090_RS02780	FEF31_RS02300
OG0000080	DR090_RS03915	FEF31_RS02345
OG0000081	DR090_RS00615	FEF31_RS03610
