	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
MFC_ATCC27716_genes	0.0	18.0	16.0	20.0	16.0	20.0	8.0	8.0	22.0	24.0	23.0	23.0	26.0	23.0	23.0	25.0	27.0	21.0	19.0	23.0	23.0	18.0	27.0	23.0	25.0	21.0	25.0	23.0	16.0	27.0	23.0	20.0	22.0	31.0	23.0	21.0	25.0	23.0	27.0	21.0	21.0	23.0	23.0	23.0
MFC_MF11_genes	6.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	7.0	9.0	13.0	9.0	11.0	9.0	9.0	9.0	9.0	9.0	9.0	11.0	11.0	9.0	11.0	11.0	11.0	11.0	11.0	13.0	5.0	9.0	9.0	7.0	9.0	11.0	9.0	11.0	11.0	11.0	11.0	9.0	11.0	9.0	9.0	6.0
MFC_MF18_genes	6.0	6.0	0.0	6.0	0.0	9.0	6.0	8.0	14.0	14.0	20.0	14.0	18.0	14.0	16.0	16.0	16.0	12.0	12.0	16.0	18.0	12.0	18.0	20.0	12.0	16.0	16.0	12.0	8.0	16.0	16.0	14.0	14.0	16.0	14.0	14.0	18.0	18.0	18.0	14.0	12.0	14.0	14.0	14.0
MFC_MF22_genes	4.0	4.0	2.0	0.0	4.0	12.0	6.0	4.0	10.0	10.0	14.0	12.0	12.0	12.0	12.0	14.0	14.0	12.0	12.0	12.0	12.0	10.0	12.0	12.0	12.0	12.0	12.0	12.0	8.0	12.0	12.0	10.0	10.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	10.0	10.0	10.0
MFC_MF29_genes	12.0	13.0	11.0	13.0	0.0	20.0	9.0	14.0	16.0	16.0	19.0	17.0	17.0	15.0	19.0	25.0	25.0	15.0	15.0	17.0	20.0	10.0	15.0	17.0	15.0	15.0	21.0	17.0	8.0	19.0	19.0	14.0	16.0	17.0	17.0	18.0	26.0	17.0	26.0	17.0	15.0	13.0	13.0	15.0
MFC_MF30_genes	4.0	4.0	6.0	4.0	4.0	0.0	4.0	4.0	12.0	12.0	16.0	16.0	14.0	12.0	12.0	14.0	12.0	14.0	14.0	16.0	14.0	12.0	14.0	14.0	16.0	16.0	14.0	14.0	8.0	16.0	14.0	12.0	12.0	16.0	14.0	16.0	14.0	14.0	14.0	16.0	14.0	14.0	14.0	12.0
MFC_MF33_genes	0.0	10.0	6.0	10.0	2.0	11.0	0.0	2.0	10.0	10.0	15.0	11.0	13.0	11.0	13.0	15.0	15.0	11.0	11.0	11.0	13.0	8.0	15.0	13.0	11.0	11.0	13.0	11.0	6.0	13.0	13.0	10.0	10.0	13.0	11.0	15.0	15.0	11.0	15.0	11.0	11.0	13.0	13.0	9.0
MFC_Ms42_genes	4.0	12.0	14.0	14.0	10.0	14.0	7.0	0.0	16.0	18.0	18.0	14.0	27.0	20.0	18.0	20.0	18.0	14.0	12.0	18.0	16.0	16.0	24.0	16.0	18.0	22.0	18.0	18.0	12.0	20.0	14.0	16.0	15.0	25.0	16.0	16.0	16.0	16.0	19.0	14.0	14.0	16.0	16.0	12.0
MHP_111A_genes	16.0	14.0	14.0	14.0	10.0	21.0	22.0	18.0	0.0	8.0	14.0	12.0	38.0	15.0	15.0	22.0	19.0	7.0	7.0	14.0	16.0	14.0	27.0	15.0	9.0	11.0	15.0	13.0	12.0	9.0	7.0	20.0	15.0	17.0	15.0	14.0	23.0	18.0	25.0	12.0	5.0	10.0	10.0	26.0
MHP_112B_genes	18.0	17.0	17.0	17.0	12.0	23.0	24.0	20.0	2.0	0.0	12.0	11.0	30.0	10.0	10.0	15.0	12.0	6.0	6.0	11.0	12.0	12.0	18.0	12.0	8.0	4.0	10.0	12.0	12.0	6.0	6.0	18.0	17.0	12.0	16.0	11.0	20.0	11.0	24.0	11.0	2.0	11.0	11.0	21.0
