	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
MFC_ATCC27716_genes	0.0	537.0	539.0	537.0	541.0	531.0	549.0	565.0	487.0	487.0	512.0	501.0	510.0	485.0	489.0	490.0	491.0	503.0	503.0	506.0	509.0	508.0	509.0	498.0	510.0	506.0	513.0	514.0	371.0	510.0	499.0	514.0	511.0	501.0	508.0	505.0	514.0	512.0	513.0	502.0	498.0	511.0	509.0	496.0
MFC_MF11_genes	537.0	0.0	548.0	550.0	548.0	534.0	545.0	543.0	493.0	493.0	513.0	508.0	515.0	489.0	495.0	498.0	501.0	508.0	506.0	510.0	512.0	508.0	510.0	500.0	513.0	508.0	520.0	515.0	374.0	518.0	505.0	519.0	512.0	507.0	511.0	507.0	516.0	511.0	517.0	508.0	501.0	517.0	516.0	505.0
MFC_MF18_genes	539.0	548.0	0.0	552.0	549.0	535.0	543.0	540.0	488.0	490.0	509.0	504.0	509.0	485.0	489.0	495.0	496.0	503.0	503.0	506.0	507.0	507.0	505.0	497.0	509.0	505.0	516.0	517.0	373.0	511.0	500.0	517.0	509.0	505.0	509.0	509.0	514.0	508.0	514.0	503.0	500.0	515.0	513.0	499.0
MFC_MF22_genes	537.0	550.0	552.0	0.0	544.0	538.0	543.0	544.0	489.0	490.0	513.0	505.0	514.0	484.0	489.0	494.0	495.0	503.0	504.0	509.0	511.0	508.0	509.0	500.0	507.0	506.0	518.0	518.0	373.0	514.0	503.0	518.0	508.0	507.0	510.0	509.0	517.0	510.0	517.0	505.0	501.0	516.0	514.0	501.0
MFC_MF29_genes	541.0	548.0	549.0	544.0	0.0	532.0	550.0	543.0	489.0	492.0	511.0	506.0	510.0	494.0	497.0	498.0	500.0	521.0	521.0	510.0	510.0	525.0	522.0	507.0	514.0	513.0	514.0	514.0	387.0	518.0	505.0	515.0	523.0	513.0	514.0	508.0	512.0	517.0	512.0	505.0	518.0	529.0	527.0	499.0
MFC_MF30_genes	531.0	534.0	535.0	538.0	532.0	0.0	535.0	537.0	480.0	483.0	502.0	503.0	505.0	477.0	483.0	488.0	490.0	502.0	500.0	503.0	500.0	501.0	505.0	498.0	499.0	495.0	505.0	505.0	369.0	505.0	494.0	508.0	506.0	497.0	504.0	505.0	508.0	502.0	507.0	500.0	498.0	505.0	503.0	498.0
MFC_MF33_genes	549.0	545.0	543.0	543.0	550.0	535.0	0.0	551.0	490.0	491.0	510.0	507.0	512.0	486.0	490.0	492.0	494.0	506.0	505.0	510.0	510.0	510.0	508.0	500.0	508.0	508.0	515.0	517.0	372.0	513.0	502.0	516.0	509.0	506.0	511.0	508.0	515.0	514.0	516.0	506.0	502.0	513.0	511.0	500.0
MFC_Ms42_genes	565.0	543.0	540.0	544.0	543.0	537.0	551.0	0.0	494.0	494.0	516.0	508.0	514.0	492.0	497.0	497.0	499.0	509.0	508.0	511.0	514.0	514.0	515.0	504.0	516.0	509.0	522.0	519.0	376.0	518.0	506.0	517.0	516.0	508.0	514.0	510.0	520.0	518.0	519.0	508.0	503.0	518.0	516.0	503.0
MHP_111A_genes	487.0	493.0	488.0	489.0	489.0	480.0	490.0	494.0	0.0	649.0	575.0	586.0	579.0	592.0	604.0	597.0	600.0	586.0	587.0	588.0	580.0	591.0	590.0	591.0	597.0	592.0	598.0	581.0	431.0	600.0	590.0	585.0	580.0	582.0	589.0	568.0	587.0	596.0	590.0	584.0	574.0	584.0	584.0	579.0
MHP_112B_genes	487.0	493.0	490.0	490.0	492.0	483.0	491.0	494.0	649.0	0.0	576.0	585.0	582.0	593.0	602.0	604.0	599.0	590.0	589.0	589.0	584.0	597.0	596.0	596.0	602.0	596.0	603.0	582.0	429.0	601.0	590.0	586.0	577.0	584.0	590.0	569.0	590.0	598.0	592.0	582.0	576.0	585.0	581.0	583.0
MHP_116_genes	512.0	513.0	509.0	513.0	511.0	502.0	510.0	516.0	575.0	576.0	0.0	596.0	604.0	575.0	575.0	587.0	588.0	595.0	589.0	597.0	610.0	598.0	605.0	591.0	600.0	603.0	614.0	609.0	436.0	604.0	584.0	600.0	590.0	594.0	593.0	585.0	604.0	602.0	601.0	594.0	579.0	597.0	591.0	596.0
MHP_11_genes	501.0	508.0	504.0	505.0	506.0	503.0	507.0	508.0	586.0	585.0	596.0	0.0	597.0	588.0	588.0	589.0	588.0	620.0	614.0	665.0	597.0	602.0	615.0	609.0	621.0	616.0	604.0	610.0	440.0	627.0	602.0	604.0	585.0	611.0	592.0	602.0	601.0	616.0	603.0	658.0	607.0	616.0	613.0	603.0
MHP_1257_genes	510.0	515.0	509.0	514.0	510.0	505.0	512.0	514.0	579.0	582.0	604.0	597.0	0.0	583.0	585.0	590.0	589.0	594.0	597.0	598.0	605.0	610.0	608.0	595.0	603.0	608.0	611.0	601.0	433.0	605.0	596.0	610.0	590.0	606.0	602.0	592.0	613.0	611.0	613.0	596.0	587.0	604.0	605.0	610.0
MHP_131B_genes	485.0	489.0	485.0	484.0	494.0	477.0	486.0	492.0	592.0	593.0	575.0	588.0	583.0	0.0	658.0	605.0	602.0	592.0	589.0	592.0	577.0	591.0	600.0	582.0	592.0	603.0	595.0	589.0	435.0	596.0	587.0	587.0	565.0	591.0	581.0	563.0	577.0	601.0	580.0	583.0	582.0	589.0	587.0	584.0
MHP_133A_genes	489.0	495.0	489.0	489.0	497.0	483.0	490.0	497.0	604.0	602.0	575.0	588.0	585.0	658.0	0.0	609.0	608.0	591.0	587.0	590.0	578.0	595.0	601.0	583.0	594.0	601.0	594.0	588.0	437.0	594.0	588.0	587.0	570.0	591.0	583.0	563.0	578.0	600.0	583.0	583.0	577.0	590.0	589.0	586.0
MHP_153B_genes	490.0	498.0	495.0	494.0	498.0	488.0	492.0	497.0	597.0	604.0	587.0	589.0	590.0	605.0	609.0	0.0	654.0	592.0	591.0	593.0	595.0	596.0	598.0	595.0	606.0	592.0	603.0	583.0	438.0	604.0	592.0	588.0	577.0	593.0	588.0	573.0	593.0	596.0	591.0	584.0	582.0	589.0	585.0	587.0
MHP_154B_genes	491.0	501.0	496.0	495.0	500.0	490.0	494.0	499.0	600.0	599.0	588.0	588.0	589.0	602.0	608.0	654.0	0.0	592.0	588.0	590.0	595.0	591.0	595.0	593.0	604.0	590.0	599.0	581.0	444.0	600.0	588.0	586.0	574.0	590.0	586.0	573.0	586.0	592.0	588.0	585.0	577.0	584.0	582.0	587.0
MHP_168L_genes	503.0	508.0	503.0	503.0	521.0	502.0	506.0	509.0	586.0	590.0	595.0	620.0	594.0	592.0	591.0	592.0	592.0	0.0	677.0	624.0	590.0	612.0	625.0	617.0	613.0	611.0	595.0	625.0	451.0	616.0	606.0	591.0	597.0	599.0	596.0	601.0	594.0	612.0	595.0	617.0	654.0	619.0	617.0	595.0
MHP_168_genes	503.0	506.0	503.0	504.0	521.0	500.0	505.0	508.0	587.0	589.0	589.0	614.0	597.0	589.0	587.0	591.0	588.0	677.0	0.0	619.0	588.0	611.0	621.0	619.0	610.0	611.0	595.0	620.0	450.0	617.0	607.0	592.0	599.0	599.0	598.0	597.0	595.0	609.0	596.0	612.0	651.0	619.0	619.0	593.0
MHP_232_genes	506.0	510.0	506.0	509.0	510.0	503.0	510.0	511.0	588.0	589.0	597.0	665.0	598.0	592.0	590.0	593.0	590.0	624.0	619.0	0.0	597.0	603.0	618.0	611.0	623.0	620.0	605.0	615.0	441.0	629.0	602.0	603.0	589.0	611.0	593.0	604.0	605.0	620.0	604.0	660.0	610.0	621.0	615.0	605.0
MHP_4284_genes	509.0	512.0	507.0	511.0	510.0	500.0	510.0	514.0	580.0	584.0	610.0	597.0	605.0	577.0	578.0	595.0	595.0	590.0	588.0	597.0	0.0	604.0	601.0	588.0	606.0	604.0	614.0	601.0	437.0	607.0	590.0	599.0	587.0	598.0	594.0	588.0	617.0	607.0	613.0	595.0	579.0	603.0	600.0	597.0
MHP_7422_genes	508.0	508.0	507.0	508.0	525.0	501.0	510.0	514.0	591.0	597.0	598.0	602.0	610.0	591.0	595.0	596.0	591.0	612.0	611.0	603.0	604.0	0.0	642.0	605.0	618.0	619.0	618.0	608.0	453.0	612.0	597.0	604.0	607.0	601.0	604.0	591.0	613.0	616.0	614.0	603.0	603.0	624.0	622.0	607.0
MHP_7448_genes	509.0	510.0	505.0	509.0	522.0	505.0	508.0	515.0	590.0	596.0	605.0	615.0	608.0	600.0	601.0	598.0	595.0	625.0	621.0	618.0	601.0	642.0	0.0	619.0	622.0	621.0	625.0	612.0	450.0	622.0	600.0	609.0	605.0	602.0	599.0	605.0	613.0	620.0	610.0	614.0	613.0	630.0	626.0	618.0
MHP_98_genes	498.0	500.0	497.0	500.0	507.0	498.0	500.0	504.0	591.0	596.0	591.0	609.0	595.0	582.0	583.0	595.0	593.0	617.0	619.0	611.0	588.0	605.0	619.0	0.0	613.0	602.0	606.0	604.0	440.0	615.0	599.0	596.0	595.0	601.0	601.0	603.0	598.0	603.0	601.0	605.0	600.0	599.0	598.0	607.0
