Orthogroup	MHP_J_proteins	MHP_131B_proteins
OG0000000	WP_237697250.1	WP_404924494.1
OG0000000	WP_011284151.1	WP_404924493.1, WP_404924491.1
OG0000000	WP_044284650.1	WP_404924212.1
OG0000000	WP_044284658.1	WP_148174330.1
OG0000000	WP_044284630.1	WP_404924561.1
OG0000000	WP_323749056.1	WP_404924489.1
OG0000001	WP_193325079.1	WP_187145661.1
OG0000001	WP_011206342.1	WP_404924272.1
OG0000002	WP_237697200.1	WP_225972974.1
OG0000002	WP_160585767.1	WP_404924222.1
OG0000002	WP_011284152.1	WP_404924509.1
OG0000002	WP_011284083.1	WP_404924467.1
OG0000003	WP_148166899.1	WP_404924565.1
OG0000004	WP_044284712.1	WP_160588068.1
OG0000004	WP_044284713.1	WP_404924305.1
OG0000004	WP_014579984.1	WP_404924307.1
OG0000004	WP_237697215.1	WP_404924499.1
OG0000005	WP_011283839.1	WP_011289941.1
OG0000005	WP_011283840.1	WP_404924354.1
OG0000006	WP_044284675.1	WP_404924250.1, WP_280996645.1
OG0000006	WP_148166905.1	WP_404924232.1
OG0000007	WP_011284157.1	WP_404923946.1
OG0000007	WP_002557993.1	WP_404924219.1
OG0000008	WP_011284180.1	WP_404924227.1
OG0000008	WP_237697238.1	WP_404924560.1
OG0000008	WP_237697210.1	WP_404924495.1
OG0000009	WP_011206100.1	WP_404924404.1
OG0000009	WP_011283921.1	WP_011290021.1
OG0000010	WP_011284107.1	WP_404924479.1
OG0000011	WP_044284646.1	WP_404924567.1
OG0000012	WP_011284262.1	WP_404924429.1, WP_404924504.1
OG0000013	WP_237697206.1	WP_225972984.1
OG0000013	WP_011283853.1	WP_404924502.1
OG0000014	WP_011283980.1	WP_404924552.1
OG0000014	WP_011283913.1	WP_404924399.1
OG0000016	WP_011206378.1	WP_404924526.1
OG0000016	WP_011283850.1	WP_404924358.1
OG0000017	WP_011205870.1	WP_020835500.1
OG0000017	WP_011206380.1	WP_020835837.1
OG0000018	WP_044284613.1	WP_404924379.1
OG0000019	WP_044284697.1	WP_404924294.1, WP_404924295.1
OG0000020	WP_011284385.1	WP_404924535.1
OG0000020	WP_269076327.1	WP_404924536.1
OG0000021	WP_014579585.1	WP_404924390.1
OG0000021	WP_044277959.1	WP_404924389.1
OG0000022	WP_011284073.1	WP_404924458.1
OG0000022	WP_011284082.1	WP_146379581.1
OG0000023	WP_044284612.1	WP_404924437.1
OG0000024	WP_011284254.1	WP_179696078.1
OG0000024	WP_011284011.1	WP_404924435.1
OG0000025	WP_011284074.1	WP_404924459.1
OG0000025	WP_011284081.1	WP_404924464.1
OG0000026	WP_044284614.1	WP_020835640.1
OG0000026	WP_011284078.1	WP_160606777.1
OG0000027	WP_011284352.1	WP_020835902.1
OG0000027	WP_044284725.1	WP_404924323.1
OG0000029	WP_011283979.1	WP_404924422.1
OG0000029	WP_011283914.1	WP_404924400.1
OG0000030	WP_237697218.1	WP_308704613.1
OG0000030	WP_044284724.1	WP_404924534.1
OG0000031	WP_011284063.1	WP_404924450.1
OG0000032	WP_237697219.1	WP_404924322.1
OG0000035	WP_044284711.1	WP_404924533.1
OG0000035	WP_044284709.1	WP_160588066.1
OG0000036	WP_237697225.1	WP_347952344.1
OG0000037	WP_044284625.1	WP_404924569.1
OG0000038	WP_044284633.1	WP_404924469.1
OG0000039	WP_011284065.1	WP_404924559.1
OG0000040	WP_044284720.1	WP_404924313.1
OG0000041	WP_011206099.1	WP_011290019.1
OG0000041	WP_237697231.1	WP_228366127.1
OG0000042	WP_044284695.1	WP_044272729.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000044	WP_011206179.1	WP_404911819.1
OG0000045	WP_225973032.1	WP_404924452.1
OG0000046	WP_237697251.1	WP_404924314.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_011284308.1, WP_044284698.1	WP_020835860.1
OG0000050	WP_044284672.1	WP_404924247.1
OG0000051	WP_011284239.1	WP_404924263.1
OG0000052	WP_011283836.1	WP_404924352.1
OG0000053	WP_044284619.1	WP_404924445.1
OG0000054	WP_044284674.1	WP_404924248.1
OG0000055	WP_014579531.1	WP_146379455.1
OG0000056	WP_148166910.1	WP_404924340.1
OG0000057	WP_011284288.1	WP_404924285.1
OG0000061	WP_044284624.1	WP_404924566.1
OG0000062	WP_011284389.1	WP_011206522.1
OG0000063	WP_044284735.1	WP_041361715.1
OG0000064	WP_011284386.1	WP_348571896.1
OG0000065	WP_011284168.1	WP_225972975.1
OG0000066	WP_011205965.1	WP_404913732.1
OG0000067	WP_044284585.1	WP_404924548.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_044284718.1	WP_404924311.1
OG0000072	WP_237697216.1	WP_404924312.1
OG0000073	WP_044284589.1	WP_404912207.1
OG0000074	WP_044284596.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_404924368.1
OG0000076	WP_011283884.1	WP_404924369.1
OG0000077	WP_011283898.1	WP_135618533.1
OG0000079	WP_011284224.1	WP_020835797.1
OG0000080	WP_179695988.1	WP_192894279.1
OG0000081	WP_044284576.1	WP_404924544.1
OG0000083	WP_011206216.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011284143.1	WP_404924208.1
OG0000086	WP_011284144.1	WP_404924507.1
OG0000087	WP_011206228.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_404924539.1
OG0000091	WP_044284565.1	WP_020835487.1
OG0000092	WP_011283830.1	WP_404924538.1
OG0000093	WP_020835484.1	WP_160584856.1
OG0000094	WP_014579519.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_237697224.1	WP_404924537.1
OG0000098	WP_011284390.1	WP_404924345.1
OG0000099	WP_044284734.1	WP_404924341.1
OG0000100	WP_011284380.1	WP_404924338.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_011284080.1	WP_404924487.1
OG0000103	WP_011284162.1	WP_404924223.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_011284165.1	WP_146379630.1
OG0000106	WP_011284167.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_193325075.1	WP_011206247.1
OG0000109	WP_014579826.1	WP_404924224.1
OG0000110	WP_011284194.1	WP_404924239.1
OG0000111	WP_044284663.1	WP_404924516.1
OG0000112	WP_237697204.1	WP_404924236.1
OG0000113	WP_044284660.1	WP_404924231.1
OG0000114	WP_044284659.1	WP_404923958.1
OG0000115	WP_011284183.1	WP_011290245.1
OG0000116	WP_011284016.1	WP_404924436.1
OG0000117	WP_044284611.1	WP_160590503.1
OG0000118	WP_011284023.1	WP_011290108.1
OG0000119	WP_011284024.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_011205958.1	WP_020835643.1
OG0000123	WP_011284036.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011284038.1	WP_160585089.1
OG0000127	WP_011284040.1	WP_404924444.1
OG0000128	WP_044284620.1	WP_404924446.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_011284047.1	WP_160588225.1
OG0000132	WP_044284621.1	WP_011205939.1
OG0000133	WP_014579589.1	WP_094521764.1
OG0000134	WP_237697227.1	WP_308507044.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_044284586.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_404924396.1
OG0000138	WP_011283916.1	WP_404924401.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_146379698.1
OG0000142	WP_011284289.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_044284694.1	WP_404924284.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_011284275.1	WP_041361684.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_044284689.1	WP_404924277.1
OG0000152	WP_044284688.1	WP_404924276.1
OG0000153	WP_011284258.1	WP_233688497.1
OG0000154	WP_011206345.1	WP_160587842.1
OG0000155	WP_011206337.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011206334.1
OG0000158	WP_044284685.1	WP_404924268.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_044284671.1	WP_135619210.1
OG0000163	WP_044284670.1	WP_404924246.1
OG0000164	WP_011284064.1	WP_348572081.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011284126.1	WP_160590029.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_052259109.1	WP_404924203.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_044284702.1	WP_020835862.1
OG0000171	WP_011206422.1	WP_404924298.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011284312.1	WP_011206425.1
OG0000174	WP_011284313.1	WP_160600929.1
OG0000175	WP_011284316.1	WP_404924532.1
OG0000176	WP_011284321.1	WP_160585271.1
OG0000177	WP_044284706.1	WP_160585273.1
OG0000178	WP_020835878.1	WP_160585275.1
OG0000179	WP_014579979.1	WP_020835880.1
OG0000180	WP_011206445.1	WP_081642895.1
OG0000181	WP_044284715.1	WP_020835888.1
OG0000182	WP_011284337.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_160585238.1
OG0000185	WP_011206465.1	WP_146379740.1
OG0000186	WP_044284745.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_044284657.1	WP_160607686.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_011284173.1	WP_020835755.1
OG0000192	WP_011284001.1	WP_160587990.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_014579648.1	WP_020835573.1
OG0000197	WP_041361572.1	WP_404924405.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_044284590.1	WP_160588272.1
OG0000201	WP_011283934.1	WP_404924407.1
OG0000202	WP_011283943.1	WP_011290039.1
OG0000203	WP_011283944.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_011206071.1
OG0000205	WP_044284594.1	WP_404924414.1
OG0000206	WP_011206066.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_011206063.1
OG0000208	WP_011283952.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_044284597.1	WP_404924418.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_011283965.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_404924419.1
OG0000218	WP_011206042.1	WP_011290058.1
OG0000219	WP_193325078.1	WP_011206041.1
OG0000220	WP_011283968.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
