Orthogroup	MHP_MHP653_proteins	MHP_131B_proteins
OG0000000	WP_308507050.1	WP_404924494.1
OG0000000	WP_308507049.1	WP_404924493.1
OG0000000	WP_160615939.1	WP_404924562.1
OG0000000	WP_240532016.1	WP_148174330.1
OG0000000	WP_225972977.1	WP_258556712.1
OG0000000	WP_308507040.1	WP_404924561.1
OG0000000	WP_334199374.1	WP_404924489.1
OG0000001	WP_187145661.1	WP_187145661.1
OG0000001	WP_258555925.1	WP_404924272.1
OG0000002	WP_258555957.1	WP_225972974.1
OG0000002	WP_160615875.1	WP_404924222.1
OG0000002	WP_160615955.1	WP_404924509.1
OG0000002	WP_160615941.1	WP_404924467.1
OG0000003	WP_160615984.1	WP_404924388.1
OG0000003	WP_160615810.1	WP_404923944.1
OG0000003	WP_192894277.1	WP_404924565.1
OG0000005	WP_160615846.1	WP_011289941.1
OG0000005	WP_160615840.1	WP_146379452.1
OG0000005	WP_160615842.1	WP_404924354.1
OG0000005	WP_160615838.1	WP_347952346.1
OG0000007	WP_160615812.1	WP_160576975.1
OG0000007	WP_160615973.1	WP_404923946.1
OG0000007	WP_160585819.1	WP_404924219.1
OG0000008	WP_258555965.1	WP_404924495.1
OG0000009	WP_146379448.1	WP_041361519.1
OG0000010	WP_160615540.1	WP_404924479.1
OG0000011	WP_160615548.1	WP_404924567.1
OG0000012	WP_158632000.1	WP_404924504.1
OG0000013	WP_258555933.1	WP_225972984.1
OG0000013	WP_308507024.1	WP_404924502.1
OG0000014	WP_160615933.1	WP_404924549.1
OG0000014	WP_160615935.1	WP_404924399.1
OG0000015	WP_225973030.1	WP_225973030.1
OG0000015	WP_225973030.1	WP_135618763.1, WP_404924384.1
OG0000016	WP_160615653.1	WP_404924526.1
OG0000016	WP_160585547.1	WP_404924358.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_011206380.1	WP_020835837.1
OG0000019	WP_160615599.1	WP_404924294.1, WP_404924295.1
OG0000020	WP_160615923.1	WP_404924535.1
OG0000020	WP_220191323.1	WP_404924536.1
OG0000022	WP_160615764.1	WP_404924458.1
OG0000022	WP_160615774.1	WP_146379581.1
OG0000024	WP_160615698.1	WP_179696078.1
OG0000024	WP_258555929.1	WP_404924435.1
OG0000025	WP_160615766.1	WP_404924459.1
OG0000025	WP_160615772.1	WP_404924464.1
OG0000026	WP_220191285.1	WP_020835640.1
OG0000026	WP_160606777.1	WP_160606777.1
