#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP098238.1:92933-94696|+   -            588 501at2085            -            526  6.2e-241  796.0   7.4   1   1  9.2e-243  1.3e-240  794.9   7.4     1   507     1   574     1   581 0.92 CP098238.1_79 # 92933 # 94696 # 1 # ID=1_79;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.346
CP098238.1:96061-98145|-   -            695 501at2085            -            526   6.1e-47  155.9   1.2   1   4   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 CP098238.1_81 # 96061 # 98145 # -1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
CP098238.1:96061-98145|-   -            695 501at2085            -            526   6.1e-47  155.9   1.2   2   4      0.53        78   -2.9   0.0   155   173   263   281   256   293 0.80 CP098238.1_81 # 96061 # 98145 # -1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
CP098238.1:96061-98145|-   -            695 501at2085            -            526   6.1e-47  155.9   1.2   3   4     6e-12   8.8e-10   33.2   0.1   170   339   301   485   289   498 0.69 CP098238.1_81 # 96061 # 98145 # -1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
CP098238.1:96061-98145|-   -            695 501at2085            -            526   6.1e-47  155.9   1.2   4   4    0.0026      0.39    4.7   0.0   350   411   607   675   595   691 0.78 CP098238.1_81 # 96061 # 98145 # -1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
CP098238.1:784700-786499|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   1   3   1.7e-21   2.5e-19   64.7   2.9    10   196   117   308   115   321 0.77 CP098238.1_635 # 784700 # 786499 # -1 # ID=1_635;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
CP098238.1:784700-786499|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   2   3      0.66        96   -3.2   0.6   135   181   388   434   378   447 0.72 CP098238.1_635 # 784700 # 786499 # -1 # ID=1_635;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
CP098238.1:784700-786499|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   3   3      0.37        54   -2.4   0.0   382   408   480   506   464   515 0.80 CP098238.1_635 # 784700 # 786499 # -1 # ID=1_635;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
CP098238.1:708123-709331|- -            403 501at2085            -            526     2e-18   61.8   3.1   1   2   3.1e-20   4.5e-18   60.6   0.3     8   140    20   155    14   168 0.88 CP098238.1_572 # 708123 # 709331 # -1 # ID=1_572;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
CP098238.1:708123-709331|- -            403 501at2085            -            526     2e-18   61.8   3.1   2   2     0.023       3.4    1.6   0.2   161   256   205   309   194   325 0.67 CP098238.1_572 # 708123 # 709331 # -1 # ID=1_572;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
CP098238.1:91074-92375|+   -            434 501at2085            -            526   8.3e-13   43.2   0.5   1   2   4.8e-06    0.0007   13.8   0.1    62   180    45   170    35   173 0.76 CP098238.1_76 # 91074 # 92375 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
CP098238.1:91074-92375|+   -            434 501at2085            -            526   8.3e-13   43.2   0.5   2   2     3e-10   4.3e-08   27.7   0.1    78   168   238   340   214   363 0.81 CP098238.1_76 # 91074 # 92375 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/153B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/153B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
