#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:60960-62756|+ -            599 501at2085            -            526  9.3e-249  822.1   8.9   1   1  1.1e-250  1.9e-248  821.0   8.9     1   526     1   594     1   594 0.93 scf00000000_51 # 60960 # 62756 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.345
scf00000000:64088-66172|- -            695 501at2085            -            526   7.2e-47  155.9   1.2   1   4   1.8e-36     3e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000000_53 # 64088 # 66172 # -1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
scf00000000:64088-66172|- -            695 501at2085            -            526   7.2e-47  155.9   1.2   2   4      0.53        92   -2.9   0.0   155   173   263   281   256   293 0.80 scf00000000_53 # 64088 # 66172 # -1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
scf00000000:64088-66172|- -            695 501at2085            -            526   7.2e-47  155.9   1.2   3   4     6e-12     1e-09   33.2   0.1   170   339   301   485   289   498 0.69 scf00000000_53 # 64088 # 66172 # -1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
scf00000000:64088-66172|- -            695 501at2085            -            526   7.2e-47  155.9   1.2   4   4    0.0026      0.46    4.7   0.0   350   411   607   675   595   691 0.78 scf00000000_53 # 64088 # 66172 # -1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
seq00000006:20876-22675|+ -            600 501at2085            -            526     3e-19   64.7   2.9   1   3   1.7e-21     3e-19   64.7   2.9    10   196   117   308   115   321 0.77 seq00000006_18 # 20876 # 22675 # 1 # ID=8_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
seq00000006:20876-22675|+ -            600 501at2085            -            526     3e-19   64.7   2.9   2   3      0.65   1.1e+02   -3.2   0.5   136   181   389   434   381   451 0.73 seq00000006_18 # 20876 # 22675 # 1 # ID=8_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
seq00000006:20876-22675|+ -            600 501at2085            -            526     3e-19   64.7   2.9   3   3      0.34        59   -2.2   0.0   382   408   480   506   460   516 0.80 seq00000006_18 # 20876 # 22675 # 1 # ID=8_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
seq00000009:3042-4250|+   -            403 501at2085            -            526   2.5e-18   61.7   2.9   1   2   3.7e-20   6.4e-18   60.3   0.2     8   140    20   155    14   168 0.88 seq00000009_2 # 3042 # 4250 # 1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.403
seq00000009:3042-4250|+   -            403 501at2085            -            526   2.5e-18   61.7   2.9   2   2     0.023         4    1.6   0.2   161   256   205   309   194   325 0.67 seq00000009_2 # 3042 # 4250 # 1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.403
scf00000000:59101-60402|+ -            434 501at2085            -            526   1.2e-12   42.9   0.5   1   2   5.8e-06     0.001   13.5   0.1    62   180    45   170    35   173 0.76 scf00000000_48 # 59101 # 60402 # 1 # ID=1_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
scf00000000:59101-60402|+ -            434 501at2085            -            526   1.2e-12   42.9   0.5   2   2     3e-10   5.1e-08   27.7   0.1    78   168   238   340   214   363 0.81 scf00000000_48 # 59101 # 60402 # 1 # ID=1_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use
# Date:            Thu Nov 28 19:39:31 2024
# [ok]
