Orthogroup	MHP_UFV01_protein	MFC_ATCC27716_protein
OG0000000	WP_243216186.1	WP_002557520.1
OG0000000	WP_160587900.1	WP_002557686.1, WP_002557687.1
OG0000001	WP_243216179.1	WP_039387603.1
OG0000002	WP_243215939.1	WP_051054340.1, WP_002557887.1
OG0000002	WP_243216215.1	WP_002557975.1
OG0000005	WP_243216097.1	WP_002557502.1
OG0000006	WP_308705305.1, WP_243216008.1, WP_243215979.1	WP_002557587.1
OG0000007	WP_243216171.1	WP_081605288.1
OG0000009	WP_243216222.1, WP_243216220.1	WP_002557653.1
OG0000010	WP_243216277.1, WP_243216042.1	WP_002557631.1
OG0000011	WP_243216351.1	WP_051054343.1
OG0000012	WP_243216099.1, WP_135618763.1	WP_039387716.1
OG0000016	WP_243216218.1	WP_081605281.1
OG0000018	WP_243216302.1	WP_002557596.1, WP_002557628.1
OG0000022	WP_243216212.1	WP_231237888.1
OG0000023	WP_044272644.1	WP_002557738.1, WP_318024042.1
OG0000025	WP_243216072.1, WP_243216073.1	WP_002557601.1
OG0000026	WP_044272534.1	WP_002557670.1
OG0000029	WP_179221095.1	WP_002557599.1, WP_002557597.1
OG0000030	WP_243216261.1	WP_002557852.1
OG0000031	WP_011205867.1	WP_323749063.1, WP_002557874.1
OG0000034	WP_243216226.1	WP_002557665.1
OG0000035	WP_243216087.1	WP_002557996.1
OG0000036	WP_041361671.1	WP_039387550.1
OG0000039	WP_011206214.1	WP_002557444.1
OG0000040	WP_243216165.1	WP_002557452.1
OG0000041	WP_279288053.1	WP_002557490.1
OG0000042	WP_243215895.1	WP_002557494.1
OG0000043	WP_243215892.1	WP_002557496.1
OG0000044	WP_243216098.1	WP_002557503.1
OG0000045	WP_160601112.1	WP_002557517.1
OG0000046	WP_011206103.1	WP_002557593.1
OG0000047	WP_225972996.1	WP_002557611.1
OG0000048	WP_014579936.1	WP_002557625.1
OG0000049	WP_011284269.1	WP_002557626.1
OG0000050	WP_011206292.1	WP_002557663.1
OG0000051	WP_044272532.1	WP_002557671.1
OG0000052	WP_243216224.1	WP_002557672.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_020835862.1	WP_002557704.1
OG0000055	WP_011206429.1	WP_002557712.1
OG0000056	WP_044272640.1	WP_002557736.1
OG0000057	WP_011206089.1	WP_002557776.1
OG0000058	WP_011283954.1	WP_002557805.1
OG0000059	WP_014579624.1	WP_002557807.1
OG0000060	WP_020835589.1	WP_002557818.1
OG0000061	WP_011206035.1	WP_002557829.1
OG0000062	WP_243216013.1	WP_002557847.1
OG0000063	WP_014579535.1	WP_002557882.1
OG0000064	WP_243216353.1, WP_243215934.1	WP_002557883.1
OG0000065	WP_243215955.1	WP_002557918.1
OG0000066	WP_243215965.1	WP_002557937.1
OG0000067	WP_011206493.1	WP_002557957.1
OG0000068	WP_243215866.1	WP_002557969.1
OG0000069	WP_179221160.1	WP_002557977.1
OG0000070	WP_233688475.1	WP_040538387.1, WP_002558020.1
OG0000071	WP_243216282.1	WP_039387523.1
OG0000072	WP_243215853.1	WP_039387700.1
OG0000073	WP_179695988.1	WP_196792423.1
OG0000074	WP_011290343.1	WP_231237864.1
OG0000075	WP_243216040.1	WP_231237865.1
OG0000076	WP_243215998.1	WP_231237874.1
OG0000077	WP_243215952.1	WP_231237881.1, WP_231237882.1
OG0000079	WP_243216159.1	WP_002557443.1
OG0000080	WP_243216161.1	WP_002557445.1
OG0000081	WP_014579823.1	WP_002557446.1
OG0000082	WP_243216163.1	WP_002557448.1
OG0000083	WP_020835728.1	WP_002557450.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_146379594.1	WP_002557453.1
OG0000086	WP_243216167.1	WP_002557454.1
OG0000087	WP_220190703.1	WP_002557455.1
OG0000088	WP_044272477.1	WP_002557457.1
