Assembly	GCF_040026155.1_ASM4002615v1_genomic
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	901311
Total length (>= 1000 bp)	901311
Total length (>= 5000 bp)	901311
Total length (>= 10000 bp)	901311
Total length (>= 25000 bp)	901311
Total length (>= 50000 bp)	901311
# contigs	1
Largest contig	901311
Total length	901311
GC (%)	28.62
N50	901311
N90	901311
auN	901311.0
L50	1
L90	1
# N's per 100 kbp	0.00
