#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
seq00000007:8122-9123|-     -            334 1633at2085           -            266   6.8e-99  326.5  14.4   1   1   4.1e-99   8.5e-97  319.6  14.4     9   265    21   326    16   327 0.87 seq00000007_8 # 8122 # 9123 # -1 # ID=7_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.325
scf00000000:33809-35131|+   -            441 1633at2085           -            266   1.7e-42  141.6   9.3   1   3      0.23        47   -0.8   0.4    11    62    14    62     5    91 0.40 scf00000000_33 # 33809 # 35131 # 1 # ID=1_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.314
scf00000000:33809-35131|+   -            441 1633at2085           -            266   1.7e-42  141.6   9.3   2   3   8.4e-45   1.7e-42  141.6   9.3    52   257    74   287    27   294 0.86 scf00000000_33 # 33809 # 35131 # 1 # ID=1_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.314
scf00000000:33809-35131|+   -            441 1633at2085           -            266   1.7e-42  141.6   9.3   3   3      0.67   1.4e+02   -2.3   0.1    56    72   362   378   326   385 0.51 scf00000000_33 # 33809 # 35131 # 1 # ID=1_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.314
scf00000000:282256-283158|+ -            301 1633at2085           -            266    0.0027   13.1   2.4   1   2   1.9e-05    0.0039   12.6   0.3    52    97     8    53     1    58 0.85 scf00000000_247 # 282256 # 283158 # 1 # ID=1_247;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.306
scf00000000:282256-283158|+ -            301 1633at2085           -            266    0.0027   13.1   2.4   2   2      0.14        28   -0.1   0.1    19    60    87   129    73   147 0.74 scf00000000_247 # 282256 # 283158 # 1 # ID=1_247;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.306
seq00000013:2577-3479|-     -            301 1633at2085           -            266    0.0027   13.1   2.4   1   2   1.9e-05    0.0039   12.6   0.3    52    97     8    53     1    58 0.85 seq00000013_3 # 2577 # 3479 # -1 # ID=13_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.306
seq00000013:2577-3479|-     -            301 1633at2085           -            266    0.0027   13.1   2.4   2   2      0.14        28   -0.1   0.1    19    60    87   129    73   147 0.74 seq00000013_3 # 2577 # 3479 # -1 # ID=13_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.306
seq00000017:14579-14998|-   -            140 1633at2085           -            266     0.003   12.9   1.4   1   1   2.5e-05    0.0052   12.2   1.4    60   100    17    59     4    67 0.73 seq00000017_12 # 14579 # 14998 # -1 # ID=17_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.250
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1633at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1633at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1633at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use
# Date:            Thu Nov 28 19:40:15 2024
# [ok]
