#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
seq00000014:9335-10684|-    -            450 1184at2085           -            356  1.2e-138  457.9   8.3   1   1    2e-140  4.2e-138  456.1   8.3     1   356    22   449    22   449 0.82 seq00000014_9 # 9335 # 10684 # -1 # ID=14_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.320
seq00000034:731-2434|-      -            568 1184at2085           -            356   2.3e-11   39.2   0.4   1   2   7.9e-07   0.00016   16.7   0.3    25   196    64   252    19   294 0.67 seq00000034_2 # 731 # 2434 # -1 # ID=32_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.324
seq00000034:731-2434|-      -            568 1184at2085           -            356   2.3e-11   39.2   0.4   2   2   5.6e-08   1.2e-05   20.4   0.0   266   354   442   541   433   543 0.65 seq00000034_2 # 731 # 2434 # -1 # ID=32_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.324
scf00000000:257287-258990|+ -            568 1184at2085           -            356   2.6e-11   39.0   0.4   1   2   9.2e-07   0.00019   16.4   0.4    28   196    67   252    43   294 0.64 scf00000000_225 # 257287 # 258990 # 1 # ID=1_225;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.324
scf00000000:257287-258990|+ -            568 1184at2085           -            356   2.6e-11   39.0   0.4   2   2   5.6e-08   1.2e-05   20.4   0.0   266   354   442   541   433   543 0.65 scf00000000_225 # 257287 # 258990 # 1 # ID=1_225;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.324
scf00000000:206688-208154|+ -            489 1184at2085           -            356   1.9e-10   36.2   1.3   1   2   3.2e-07   6.8e-05   17.9   1.7   138   237   231   333   111   345 0.83 scf00000000_190 # 206688 # 208154 # 1 # ID=1_190;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.314
scf00000000:206688-208154|+ -            489 1184at2085           -            356   1.9e-10   36.2   1.3   2   2   1.7e-06   0.00036   15.5   0.0   321   350   454   483   430   487 0.88 scf00000000_190 # 206688 # 208154 # 1 # ID=1_190;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.314
seq00000011:8970-10436|+    -            489 1184at2085           -            356   5.2e-10   34.7   0.9   1   2   7.5e-07   0.00016   16.7   1.2   138   235   231   331    95   345 0.82 seq00000011_9 # 8970 # 10436 # 1 # ID=11_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.312
seq00000011:8970-10436|+    -            489 1184at2085           -            356   5.2e-10   34.7   0.9   2   2   1.7e-06   0.00036   15.5   0.0   321   350   454   483   430   487 0.88 seq00000011_9 # 8970 # 10436 # 1 # ID=11_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.312
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1184at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1184at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1184at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use
# Date:            Thu Nov 28 19:40:14 2024
# [ok]
