#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
seq00000008:8005-9744|+     -            580 539at2085            -            541  7.3e-246  812.9  13.8   1   1    4e-248  8.4e-246  812.7  13.8     1   541     8   574     8   574 0.97 seq00000008_8 # 8005 # 9744 # 1 # ID=8_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.299
scf00000000:35159-36526|+   -            456 539at2085            -            541   6.2e-10   34.2   1.0   1   3       0.2        42   -1.5   0.0   197   228    56    87    39   101 0.72 scf00000000_34 # 35159 # 36526 # 1 # ID=1_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
scf00000000:35159-36526|+   -            456 539at2085            -            541   6.2e-10   34.2   1.0   2   3   1.6e-08   3.4e-06   21.9   0.1   235   346   157   268   150   272 0.88 scf00000000_34 # 35159 # 36526 # 1 # ID=1_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
scf00000000:35159-36526|+   -            456 539at2085            -            541   6.2e-10   34.2   1.0   3   3   7.3e-05     0.015    9.8   0.1   451   540   354   449   348   450 0.83 scf00000000_34 # 35159 # 36526 # 1 # ID=1_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
scf00000000:476079-477518|- -            480 539at2085            -            541   3.8e-07   25.0   6.4   1   3     0.017       3.6    2.0   0.0   186   317    43   184    34   196 0.65 scf00000000_392 # 476079 # 477518 # -1 # ID=1_392;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
scf00000000:476079-477518|- -            480 539at2085            -            541   3.8e-07   25.0   6.4   2   3   3.1e-09   6.4e-07   24.3   2.2   408   525   237   366   227   382 0.78 scf00000000_392 # 476079 # 477518 # -1 # ID=1_392;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
scf00000000:476079-477518|- -            480 539at2085            -            541   3.8e-07   25.0   6.4   3   3      0.15        31   -1.1   0.1    29   128   366   470   360   473 0.52 scf00000000_392 # 476079 # 477518 # -1 # ID=1_392;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
scf00000000:271398-272639|+ -            414 539at2085            -            541   6.9e-05   17.5   0.4   1   3      0.21        44   -1.6   0.2    99   142     9    52     3    89 0.64 scf00000000_234 # 271398 # 272639 # 1 # ID=1_234;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:271398-272639|+ -            414 539at2085            -            541   6.9e-05   17.5   0.4   2   3   2.1e-05    0.0044   11.6   0.0   153   362   133   347   128   352 0.80 scf00000000_234 # 271398 # 272639 # 1 # ID=1_234;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:271398-272639|+ -            414 539at2085            -            541   6.9e-05   17.5   0.4   3   3    0.0087       1.8    3.0   0.0   409   458   359   406   353   409 0.82 scf00000000_234 # 271398 # 272639 # 1 # ID=1_234;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
seq00000013:13098-14339|-   -            414 539at2085            -            541   0.00017   16.2   0.4   1   3      0.21        44   -1.6   0.2    99   142     9    52     3    89 0.64 seq00000013_16 # 13098 # 14339 # -1 # ID=13_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
seq00000013:13098-14339|-   -            414 539at2085            -            541   0.00017   16.2   0.4   2   3   2.6e-05    0.0054   11.3   0.0   153   362   133   347   128   353 0.80 seq00000013_16 # 13098 # 14339 # -1 # ID=13_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
seq00000013:13098-14339|-   -            414 539at2085            -            541   0.00017   16.2   0.4   3   3     0.017       3.6    2.0   0.0   411   458   361   406   354   409 0.76 seq00000013_16 # 13098 # 14339 # -1 # ID=13_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use
# Date:            Thu Nov 28 19:40:18 2024
# [ok]
