#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:77033-77824|+   -            264 1679at2085           -            265   1.8e-78  259.4  13.2   1   1   1.9e-80   1.9e-78  259.3  13.2    12   256     1   255     1   263 0.90 scf00000000_64 # 77033 # 77824 # 1 # ID=1_64;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
scf00000000:57129-58430|+   -            434 1679at2085           -            265   5.3e-23   77.5  11.9   1   3   1.8e-11   1.9e-09   33.1   0.2   123   177     6    64     1    79 0.80 scf00000000_47 # 57129 # 58430 # 1 # ID=1_47;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
scf00000000:57129-58430|+   -            434 1679at2085           -            265   5.3e-23   77.5  11.9   2   3     2e-12   2.1e-10   36.3   0.5    22   173    78   228    71   240 0.77 scf00000000_47 # 57129 # 58430 # 1 # ID=1_47;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
scf00000000:57129-58430|+   -            434 1679at2085           -            265   5.3e-23   77.5  11.9   3   3   8.9e-06   0.00093   14.4   1.1    24   139   251   380   245   386 0.62 scf00000000_47 # 57129 # 58430 # 1 # ID=1_47;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
seq00000015:19834-20430|+   -            199 1679at2085           -            265   7.7e-13   44.2   5.5   1   2   1.1e-12   1.1e-10   37.1   0.1   123   172    41    91    32   109 0.90 seq00000015_16 # 19834 # 20430 # 1 # ID=15_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
seq00000015:19834-20430|+   -            199 1679at2085           -            265   7.7e-13   44.2   5.5   2   2   0.00044     0.046    8.9   1.9    24    97   117   195   102   198 0.77 seq00000015_16 # 19834 # 20430 # 1 # ID=15_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
seq00000011:11257-12585|-   -            443 1679at2085           -            265   1.7e-12   43.1  15.8   1   3       1.3   1.4e+02   -2.5   0.1   231   258   137   164   114   170 0.58 seq00000011_11 # 11257 # 12585 # -1 # ID=11_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
seq00000011:11257-12585|-   -            443 1679at2085           -            265   1.7e-12   43.1  15.8   2   3   1.3e-13   1.3e-11   40.2   0.3    97   174   194   275   184   289 0.78 seq00000011_11 # 11257 # 12585 # -1 # ID=11_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
seq00000011:11257-12585|-   -            443 1679at2085           -            265   1.7e-12   43.1  15.8   3   3   0.00026     0.027    9.7   6.0    21   104   291   366   281   386 0.71 seq00000011_11 # 11257 # 12585 # -1 # ID=11_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
scf00000000:208975-210303|- -            443 1679at2085           -            265   5.1e-12   41.5  15.2   1   3       1.3   1.4e+02   -2.5   0.1   231   258   137   164   114   170 0.58 scf00000000_192 # 208975 # 210303 # -1 # ID=1_192;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
scf00000000:208975-210303|- -            443 1679at2085           -            265   5.1e-12   41.5  15.2   2   3   5.4e-13   5.6e-11   38.1   0.2    97   174   194   275   185   289 0.80 scf00000000_192 # 208975 # 210303 # -1 # ID=1_192;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
scf00000000:208975-210303|- -            443 1679at2085           -            265   5.1e-12   41.5  15.2   3   3   0.00023     0.024    9.8   5.8    21   104   291   366   283   386 0.70 scf00000000_192 # 208975 # 210303 # -1 # ID=1_192;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
scf00000000:160086-160967|- -            294 1679at2085           -            265   2.3e-10   36.1   9.5   1   2   2.6e-11   2.7e-09   32.6   0.3   119   175     6    66     2    84 0.78 scf00000000_133 # 160086 # 160967 # -1 # ID=1_133;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
scf00000000:160086-160967|- -            294 1679at2085           -            265   2.3e-10   36.1   9.5   2   2    0.0019       0.2    6.8   4.0    47   103   108   169    77   190 0.77 scf00000000_133 # 160086 # 160967 # -1 # ID=1_133;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
seq00000023:7201-8082|-     -            294 1679at2085           -            265   2.4e-10   36.0   9.5   1   2   2.6e-11   2.7e-09   32.6   0.3   119   175     6    66     2    84 0.78 seq00000023_9 # 7201 # 8082 # -1 # ID=21_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
seq00000023:7201-8082|-     -            294 1679at2085           -            265   2.4e-10   36.0   9.5   2   2    0.0019       0.2    6.8   4.0    47   103   108   169    77   190 0.77 seq00000023_9 # 7201 # 8082 # -1 # ID=21_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
scf00000000:321904-323007|- -            368 1679at2085           -            265   1.9e-05   20.0   0.1   1   1   4.3e-07   4.5e-05   18.8   0.1   119   155     2    37     1    47 0.85 scf00000000_278 # 321904 # 323007 # -1 # ID=1_278;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.299
seq00000032:5594-6697|+     -            368 1679at2085           -            265   1.9e-05   20.0   0.1   1   1   4.3e-07   4.5e-05   18.8   0.1   119   155     2    37     1    47 0.85 seq00000032_7 # 5594 # 6697 # 1 # ID=30_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
scf00000000:19706-20965|+   -            420 1679at2085           -            265   3.2e-05   19.3  11.0   1   2   6.2e-07   6.5e-05   18.2   0.1   124   175   161   215   145   236 0.75 scf00000000_16 # 19706 # 20965 # 1 # ID=1_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
scf00000000:19706-20965|+   -            420 1679at2085           -            265   3.2e-05   19.3  11.0   2   2     0.051       5.3    2.1   7.6    39   121   257   343   253   346 0.83 scf00000000_16 # 19706 # 20965 # 1 # ID=1_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use
# Date:            Thu Nov 28 19:40:15 2024
# [ok]
