Orthogroup	MHP_111A_proteins	MHP_7422_proteins
OG0000000	WP_404912243.1	WP_269076337.1
OG0000000	WP_404912245.1	WP_041361655.1
OG0000000	WP_404911849.1	WP_148174330.1
OG0000000	WP_404912449.1	WP_020835681.1
OG0000001	WP_404912312.1	WP_020835629.1
OG0000001	WP_404911958.1	WP_228365393.1
OG0000001	WP_011206342.1	WP_020835822.1
OG0000002	WP_225972974.1	WP_020835748.1
OG0000002	WP_404912241.1	WP_020835737.1
OG0000003	WP_225973026.1, WP_225973025.1	WP_041361653.1
OG0000004	WP_160585636.1	WP_020835883.1
OG0000004	WP_404912021.1	WP_020835887.1
OG0000005	WP_404912131.1	WP_011289941.1
OG0000005	WP_404912133.1	WP_020835493.1
OG0000005	WP_404912135.1	WP_011289943.1
OG0000006	WP_404911894.1	WP_051129932.1
OG0000006	WP_404911860.1	WP_041361785.1
OG0000006	WP_404911851.1	WP_225972978.1
OG0000007	WP_011284157.1	WP_020835743.1
OG0000007	WP_002557993.1	WP_020835742.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_404911847.1	WP_020835760.1
OG0000008	WP_404912369.1	WP_041361617.1
OG0000008	WP_404911900.1, WP_404911898.1	WP_228366102.1
OG0000009	WP_404912199.1, WP_404912201.1	WP_041361566.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_404911810.1	WP_020835701.1
OG0000011	WP_404911790.1	WP_020835715.1
OG0000011	WP_404911792.1	WP_020835713.1
OG0000012	WP_404912469.1	WP_179221115.1
OG0000013	WP_404911873.1	WP_020835777.1
OG0000014	WP_404912270.1	WP_020835603.1
OG0000014	WP_404912188.1	WP_020835563.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000016	WP_404912144.1	WP_020835503.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_404912320.1	WP_020835635.1
OG0000020	WP_404912096.1	WP_020835927.1
OG0000020	WP_404912098.1	WP_020835928.1
OG0000021	WP_160606951.1	WP_020835536.1
OG0000022	WP_404912375.1	WP_011290146.1
OG0000022	WP_404912386.1	WP_020835680.1
OG0000024	WP_160585259.1	WP_011290315.1
OG0000024	WP_404912310.1	WP_011290098.1
OG0000025	WP_404912377.1	WP_041361620.1
OG0000025	WP_404912384.1	WP_020835679.1
OG0000026	WP_192894288.1	WP_020835640.1
OG0000027	WP_404912049.1	WP_020835902.1
OG0000027	WP_404912055.1	WP_020835905.1
OG0000028	WP_404911882.1	WP_020835779.1
OG0000029	WP_404912268.1	WP_020835602.1
OG0000029	WP_404912190.1	WP_020835564.1
OG0000030	WP_240536353.1	WP_236607958.1
OG0000030	WP_404912053.1	WP_020835904.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000032	WP_135618726.1	WP_020835660.1
OG0000032	WP_404912051.1	WP_236607959.1
OG0000033	WP_404911875.1, WP_404911876.1	WP_020835778.1
OG0000034	WP_243234977.1	WP_236607948.1
OG0000035	WP_404912019.1	WP_020835886.1
OG0000035	WP_404912017.1	WP_020835882.1
OG0000036	WP_404912137.1	WP_020835495.1
OG0000039	WP_179221095.1	WP_041361612.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000041	WP_404912290.1	WP_020835620.1
OG0000042	WP_044272729.1	WP_041361801.1
OG0000043	WP_404911800.1	WP_011290239.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000045	WP_404912363.1, WP_404912361.1	WP_020835667.1
OG0000046	WP_404912040.1	WP_236607957.1
OG0000046	WP_404912037.1	WP_020835896.1
OG0000048	WP_404912397.1	WP_020835735.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_404911890.1	WP_020835784.1
OG0000052	WP_404912127.1, WP_404912125.1	WP_011289937.1
OG0000053	WP_160585093.1	WP_020835649.1
OG0000054	WP_020835786.1	WP_020835786.1
OG0000055	WP_160606887.1	WP_011205867.1
OG0000056	WP_404912090.1	WP_020835923.1
OG0000057	WP_220191159.1	WP_020835847.1
OG0000058	WP_404912420.1	WP_011290242.1
OG0000060	WP_258556516.1	WP_258556516.1
OG0000061	WP_404911806.1	WP_020835703.1
OG0000062	WP_094521530.1	WP_011206522.1
OG0000063	WP_404912101.1	WP_041361715.1
OG0000064	WP_011290440.1	WP_020835930.1
OG0000065	WP_233688433.1	WP_020835752.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_146379735.1	WP_020835893.1
OG0000072	WP_404912031.1	WP_236607956.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000074	WP_308704709.1	WP_020835587.1
OG0000075	WP_014579568.1	WP_020835523.1
OG0000077	WP_404912169.1	WP_011289996.1
OG0000078	WP_404912379.1	WP_020835673.1
OG0000079	WP_404911913.1	WP_020835797.1
OG0000080	WP_011206314.1	WP_011206314.1
OG0000081	WP_160615521.1	WP_011289985.1
OG0000083	WP_011206216.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_020835729.1
OG0000086	WP_404912428.1	WP_011290207.1
OG0000087	WP_404912425.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_020835488.1	WP_020835488.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_404912119.1	WP_020835485.1
OG0000093	WP_011205846.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_020835483.1
OG0000095	WP_044272251.1	WP_020835480.1
OG0000096	WP_404912113.1	WP_011206529.1
OG0000097	WP_404912105.1	WP_041361816.1
OG0000098	WP_011290444.1	WP_020835932.1
OG0000099	WP_404912092.1	WP_020835924.1
OG0000100	WP_011290432.1	WP_020835921.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404912445.1	WP_020835678.1
OG0000103	WP_146379627.1	WP_011290214.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_011290216.1
OG0000106	WP_146379631.1	WP_011290218.1
OG0000107	WP_011284169.1	WP_020835753.1
OG0000108	WP_404911836.1	WP_011206247.1
OG0000109	WP_146379632.1	WP_020835754.1
OG0000110	WP_020835772.1	WP_020835772.1
OG0000111	WP_020835771.1	WP_020835771.1
OG0000112	WP_404911866.1	WP_020835769.1
OG0000113	WP_404911858.1	WP_020835765.1
OG0000114	WP_404911856.1	WP_236607949.1
OG0000115	WP_011290245.1	WP_011284183.1
OG0000116	WP_404912315.1	WP_011290103.1
OG0000117	WP_160615714.1	WP_020835633.1
OG0000118	WP_404912325.1	WP_011290108.1
OG0000119	WP_160585678.1	WP_020835638.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160606641.1	WP_011290120.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_404912339.1	WP_020835650.1
OG0000129	WP_020835651.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_011284047.1
OG0000132	WP_404912347.1	WP_011205939.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_404912178.1	WP_020835541.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_179695961.1	WP_020835542.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_020835566.1
OG0000139	WP_011290017.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_011284290.1
OG0000142	WP_011284289.1	WP_020835848.1
OG0000143	WP_135619026.1	WP_011206391.1
OG0000144	WP_404911973.1	WP_020835844.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_404911967.1	WP_041361684.1
OG0000149	WP_011290331.1	WP_011290331.1
