Orthogroup	MHP_111A_proteins	MHP_Ue273_proteins
OG0000000	WP_404912390.1	WP_347952213.1
OG0000000	WP_404912388.1	WP_347952456.1
OG0000000	WP_404912449.1	WP_347952486.1
OG0000001	WP_404912312.1	WP_347952413.1
OG0000001	WP_404911958.1	WP_347952263.1
OG0000001	WP_404911950.1, WP_011206342.1	WP_347952260.1
OG0000002	WP_225972974.1	WP_020835748.1
OG0000003	WP_404912467.1, WP_404912175.1	WP_347952373.1
OG0000003	WP_225973018.1	WP_347952393.1
OG0000004	WP_160585636.1	WP_347952295.1
OG0000004	WP_135619084.1	WP_347952293.1
OG0000004	WP_404912454.1	WP_347952281.1, WP_347952279.1
OG0000004	WP_404912456.1	WP_347952277.1
OG0000005	WP_404912131.1	WP_347952342.1
OG0000005	WP_404912133.1	WP_347952343.1
OG0000005	WP_404912135.1	WP_146379451.1
OG0000006	WP_404911894.1	WP_347952241.1
OG0000006	WP_404911860.1	WP_347952227.1
OG0000007	WP_258555604.1, WP_404912233.1	WP_135618608.1
OG0000007	WP_220190648.1	WP_258555947.1
OG0000008	WP_404911847.1	WP_347952220.1
OG0000008	WP_404911900.1, WP_404911898.1	WP_347952490.1
OG0000009	WP_404912199.1, WP_404912201.1	WP_041361566.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_404911810.1	WP_347952475.1
OG0000011	WP_404911790.1	WP_347952482.1
OG0000011	WP_404911792.1	WP_347952481.1
OG0000012	WP_404912394.1	WP_347952460.1
OG0000012	WP_404912469.1	WP_158632000.1
OG0000013	WP_404911873.1	WP_347952233.1
OG0000014	WP_404912270.1	WP_347952397.1
OG0000014	WP_404912188.1	WP_347952382.1
OG0000015	WP_014579770.1, WP_179695828.1	WP_277620667.1
OG0000016	WP_404912144.1	WP_347952351.1
OG0000017	WP_020835500.1	WP_243215933.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_404911993.1, WP_404911991.1	WP_347952278.1, WP_347952280.1
