Orthogroup	MHP_111A_proteins	MHP_TB1_proteins
OG0000000	WP_404911849.1	WP_088764626.1
OG0000000	WP_404912388.1, WP_404912447.1	WP_088764599.1
OG0000000	WP_404912449.1	WP_252862164.1
OG0000001	WP_404912312.1	WP_014579709.1
OG0000001	WP_404911958.1	WP_228365393.1
OG0000001	WP_404911950.1	WP_014579924.1
OG0000001	WP_011206342.1	WP_014579925.1
OG0000002	WP_225972974.1	WP_228365382.1
OG0000002	WP_146379587.1	WP_158209055.1
OG0000004	WP_404912021.1	WP_252862151.1
OG0000005	WP_404912131.1	WP_014579527.1
OG0000005	WP_404912133.1	WP_014579529.1
OG0000005	WP_404912135.1	WP_252862119.1, WP_228365401.1
OG0000006	WP_404911894.1	WP_014579886.1, WP_044278023.1
OG0000008	WP_404911847.1	WP_088764629.1
OG0000008	WP_404912369.1	WP_252862201.1
OG0000008	WP_404911898.1	WP_252862214.1
OG0000009	WP_404912201.1	WP_252862193.1
OG0000009	WP_011290021.1	WP_016340194.1
OG0000010	WP_404911810.1	WP_014579794.1
OG0000011	WP_404911790.1	WP_088764586.1
OG0000011	WP_404911792.1	WP_014579809.1
OG0000013	WP_404911873.1	WP_252862184.1
OG0000014	WP_404912270.1	WP_088764623.1
OG0000014	WP_404912188.1	WP_252862202.1
OG0000015	WP_179695828.1	WP_014580032.1
OG0000016	WP_404912144.1	WP_252862121.1
OG0000017	WP_020835500.1	WP_011205870.1
OG0000017	WP_020835837.1	WP_014579938.1
OG0000018	WP_404912406.1	WP_052293599.1
OG0000020	WP_404912096.1	WP_014580041.1
OG0000020	WP_404912098.1	WP_187286313.1
OG0000021	WP_160606951.1	WP_308506976.1
OG0000022	WP_404912375.1	WP_044277993.1
OG0000022	WP_404912386.1	WP_014579755.1
OG0000024	WP_160585259.1	WP_014579922.1
OG0000024	WP_404912310.1	WP_044277983.1, WP_014579707.1
OG0000025	WP_404912377.1	WP_011284074.1
OG0000025	WP_404912384.1	WP_143826161.1
OG0000026	WP_192894288.1	WP_044284614.1
OG0000026	WP_160606777.1	WP_014579760.1
OG0000027	WP_404912049.1	WP_011206475.1
OG0000027	WP_404912055.1	WP_014580004.1
OG0000029	WP_404912268.1	WP_088764612.1
OG0000029	WP_404912190.1	WP_252862204.1, WP_252862203.1
OG0000030	WP_240536353.1	WP_016340249.1
OG0000030	WP_404912053.1	WP_014580003.1
OG0000031	WP_404912416.1	WP_252862171.1
OG0000032	WP_404912051.1	WP_252862131.1
OG0000035	WP_404912019.1	WP_014579983.1
OG0000035	WP_404912017.1	WP_014579981.1
OG0000036	WP_404912137.1	WP_252862120.1
OG0000037	WP_404912443.1	WP_252862199.1, WP_088764614.1
OG0000039	WP_179221095.1	WP_187286318.1
OG0000040	WP_404912035.1, WP_404912033.1, WP_404912462.1	WP_088764609.1
OG0000041	WP_011290019.1	WP_014579652.1
OG0000041	WP_404912290.1	WP_228365413.1
OG0000042	WP_044272729.1	WP_014579952.1
OG0000043	WP_404911800.1	WP_014579681.1
OG0000044	WP_404911819.1	WP_044277998.1
OG0000045	WP_404912363.1	WP_014579772.1
OG0000046	WP_404912037.1	WP_014579994.1
OG0000047	WP_404912400.1	WP_088764608.1
OG0000048	WP_404912397.1	WP_014579838.1
OG0000049	WP_020835860.1	WP_014579961.1
OG0000050	WP_404911890.1	WP_014579879.1
OG0000051	WP_404911930.1	WP_044278027.1
OG0000052	WP_404912127.1	WP_088764574.1
OG0000053	WP_160585093.1	WP_014579730.1
OG0000054	WP_020835786.1	WP_014579883.1
OG0000055	WP_160606887.1	WP_014579531.1
OG0000056	WP_404912090.1	WP_143826159.1
OG0000057	WP_220191159.1	WP_228365395.1
OG0000058	WP_404912420.1	WP_014579678.1
OG0000058	WP_404912418.1	WP_014580039.1
OG0000060	WP_258556516.1	WP_252862118.1
OG0000061	WP_404911806.1	WP_014579796.1, WP_014579745.1
OG0000062	WP_094521530.1	WP_252862161.1
OG0000063	WP_404912101.1	WP_252862162.1
OG0000064	WP_011290440.1	WP_014580043.1
OG0000065	WP_233688433.1	WP_252862189.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_014579884.1
OG0000071	WP_146379735.1	WP_014579991.1
OG0000072	WP_404912031.1	WP_014579992.1
OG0000073	WP_404912207.1	WP_088764597.1
OG0000074	WP_308704709.1	WP_014579624.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000077	WP_404912169.1	WP_088764617.1
OG0000079	WP_404911913.1	WP_011206305.1
OG0000080	WP_011206314.1	WP_179695988.1
OG0000081	WP_160615521.1	WP_252862124.1
OG0000083	WP_011206216.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_014579845.1
OG0000085	WP_011206223.1	WP_014579844.1
OG0000086	WP_404912428.1	WP_014579843.1
OG0000087	WP_404912425.1	WP_014579840.1
OG0000088	WP_020835733.1	WP_014579839.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_020835488.1	WP_088764627.1
OG0000091	WP_020835487.1	WP_252862156.1
OG0000092	WP_404912119.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_252862158.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_252862160.1
OG0000096	WP_404912113.1	WP_011206529.1
OG0000097	WP_404912105.1	WP_228365398.1
OG0000098	WP_011290444.1	WP_014580046.1
OG0000099	WP_404912092.1	WP_014580030.1
OG0000100	WP_011290432.1	WP_014580027.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404912445.1	WP_044277991.1
OG0000103	WP_146379627.1	WP_252862190.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_014579832.1
OG0000106	WP_146379631.1	WP_014579830.1
OG0000107	WP_011284169.1	WP_252862188.1
OG0000108	WP_404911836.1	WP_011206247.1
OG0000109	WP_146379632.1	WP_014579826.1
OG0000110	WP_020835772.1	WP_014579870.1
OG0000111	WP_020835771.1	WP_044278012.1
OG0000112	WP_404911866.1	WP_228365385.1
OG0000113	WP_404911858.1	WP_014579864.1
OG0000114	WP_404911856.1	WP_044278010.1
OG0000115	WP_011290245.1	WP_014579859.1
OG0000116	WP_404912315.1	WP_014579712.1
