#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRL01000007.1:8005-9744|+   -            580 539at2085            -            541  5.3e-246  812.9  13.8   1   1  3.2e-248    6e-246  812.7  13.8     1   541     8   574     8   574 0.97 NZ_QQRL01000007.1_8 # 8005 # 9744 # 1 # ID=80_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.299
NZ_QQRL01000001.1:35159-36526|+ -            456 539at2085            -            541   4.5e-10   34.2   1.0   1   3      0.16        30   -1.5   0.0   197   228    56    87    39   101 0.72 NZ_QQRL01000001.1_34 # 35159 # 36526 # 1 # ID=15_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
NZ_QQRL01000001.1:35159-36526|+ -            456 539at2085            -            541   4.5e-10   34.2   1.0   2   3   1.3e-08   2.4e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_QQRL01000001.1_34 # 35159 # 36526 # 1 # ID=15_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
NZ_QQRL01000001.1:35159-36526|+ -            456 539at2085            -            541   4.5e-10   34.2   1.0   3   3   5.9e-05     0.011    9.8   0.1   451   540   354   449   348   450 0.83 NZ_QQRL01000001.1_34 # 35159 # 36526 # 1 # ID=15_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
NZ_QQRL01000002.1:56749-58188|- -            480 539at2085            -            541   2.8e-07   25.0   6.4   1   3     0.014       2.6    2.0   0.0   186   317    43   184    34   196 0.65 NZ_QQRL01000002.1_41 # 56749 # 58188 # -1 # ID=26_41;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
NZ_QQRL01000002.1:56749-58188|- -            480 539at2085            -            541   2.8e-07   25.0   6.4   2   3   2.5e-09   4.6e-07   24.3   2.2   408   525   237   366   227   382 0.78 NZ_QQRL01000002.1_41 # 56749 # 58188 # -1 # ID=26_41;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
NZ_QQRL01000002.1:56749-58188|- -            480 539at2085            -            541   2.8e-07   25.0   6.4   3   3      0.12        22   -1.1   0.1    29   128   366   470   360   473 0.52 NZ_QQRL01000002.1_41 # 56749 # 58188 # -1 # ID=26_41;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
NZ_QQRL01000012.1:13098-14339|- -            414 539at2085            -            541   0.00012   16.2   0.4   1   3      0.17        32   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_QQRL01000012.1_16 # 13098 # 14339 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_QQRL01000012.1:13098-14339|- -            414 539at2085            -            541   0.00012   16.2   0.4   2   3   2.1e-05    0.0039   11.3   0.0   153   362   133   347   128   353 0.80 NZ_QQRL01000012.1_16 # 13098 # 14339 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_QQRL01000012.1:13098-14339|- -            414 539at2085            -            541   0.00012   16.2   0.4   3   3     0.014       2.6    2.0   0.0   411   458   361   406   354   409 0.76 NZ_QQRL01000012.1_16 # 13098 # 14339 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use
# Date:            Thu Nov 28 19:39:47 2024
# [ok]
