#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRL01000001.1:77033-77824|+ -            264 1679at2085           -            265   1.3e-78  259.4  13.2   1   1   1.3e-80   1.4e-78  259.3  13.2    12   256     1   255     1   263 0.90 NZ_QQRL01000001.1_64 # 77033 # 77824 # 1 # ID=15_64;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_QQRL01000001.1:57129-58430|+ -            434 1679at2085           -            265   3.8e-23   77.5  11.9   1   3   1.3e-11   1.4e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_QQRL01000001.1_47 # 57129 # 58430 # 1 # ID=15_47;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_QQRL01000001.1:57129-58430|+ -            434 1679at2085           -            265   3.8e-23   77.5  11.9   2   3   1.4e-12   1.5e-10   36.3   0.5    22   173    78   228    71   240 0.77 NZ_QQRL01000001.1_47 # 57129 # 58430 # 1 # ID=15_47;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_QQRL01000001.1:57129-58430|+ -            434 1679at2085           -            265   3.8e-23   77.5  11.9   3   3   6.2e-06   0.00067   14.4   1.1    24   139   251   380   245   386 0.62 NZ_QQRL01000001.1_47 # 57129 # 58430 # 1 # ID=15_47;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_QQRL01000014.1:19834-20430|+ -            199 1679at2085           -            265   5.6e-13   44.2   5.5   1   2   7.4e-13     8e-11   37.1   0.1   123   172    41    91    32   109 0.90 NZ_QQRL01000014.1_16 # 19834 # 20430 # 1 # ID=9_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_QQRL01000014.1:19834-20430|+ -            199 1679at2085           -            265   5.6e-13   44.2   5.5   2   2   0.00031     0.033    8.9   1.9    24    97   117   195   102   198 0.77 NZ_QQRL01000014.1_16 # 19834 # 20430 # 1 # ID=9_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_QQRL01000010.1:11257-12585|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   1   3      0.93     1e+02   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_QQRL01000010.1_11 # 11257 # 12585 # -1 # ID=5_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_QQRL01000010.1:11257-12585|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   2   3   8.9e-14   9.6e-12   40.2   0.3    97   174   194   275   184   289 0.78 NZ_QQRL01000010.1_11 # 11257 # 12585 # -1 # ID=5_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_QQRL01000010.1:11257-12585|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   3   3   0.00018     0.019    9.7   6.0    21   104   291   366   281   386 0.71 NZ_QQRL01000010.1_11 # 11257 # 12585 # -1 # ID=5_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_QQRL01000021.1:7201-8082|-   -            294 1679at2085           -            265   1.7e-10   36.0   9.5   1   2   1.8e-11     2e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_QQRL01000021.1_9 # 7201 # 8082 # -1 # ID=17_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_QQRL01000021.1:7201-8082|-   -            294 1679at2085           -            265   1.7e-10   36.0   9.5   2   2    0.0013      0.14    6.8   4.0    47   103   108   169    77   190 0.77 NZ_QQRL01000021.1_9 # 7201 # 8082 # -1 # ID=17_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_QQRL01000030.1:5594-6697|+   -            368 1679at2085           -            265   1.4e-05   20.0   0.1   1   1     3e-07   3.2e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_QQRL01000030.1_7 # 5594 # 6697 # 1 # ID=27_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
NZ_QQRL01000001.1:19706-20965|+ -            420 1679at2085           -            265   2.3e-05   19.3  11.0   1   2   4.4e-07   4.7e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_QQRL01000001.1_16 # 19706 # 20965 # 1 # ID=15_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
NZ_QQRL01000001.1:19706-20965|+ -            420 1679at2085           -            265   2.3e-05   19.3  11.0   2   2     0.036       3.8    2.1   7.6    39   121   257   343   253   346 0.83 NZ_QQRL01000001.1_16 # 19706 # 20965 # 1 # ID=15_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP679/Use
# Date:            Thu Nov 28 19:39:45 2024
# [ok]
