Orthogroup	MHP_MHP691_proteins	MHP_1257_proteins
OG0000000	WP_160608104.1, WP_220200664.1	WP_348571683.1
OG0000000	WP_258555591.1, WP_160608120.1	WP_348572099.1
OG0000001	WP_258555625.1	WP_348572046.1
OG0000001	WP_228366104.1	WP_228366104.1
OG0000001	WP_011206342.1	WP_011206342.1
OG0000002	WP_160585200.1	WP_348571662.1
OG0000002	WP_160608106.1	WP_348571681.1
OG0000002	WP_160608118.1	WP_348572102.1
OG0000003	WP_160607882.1	WP_348572110.1
OG0000003	WP_258555606.1	WP_348571976.1
OG0000003	WP_308704693.1	WP_348571667.1
OG0000004	WP_160585636.1, WP_135619084.1, WP_160585635.1	WP_348571826.1
OG0000005	WP_160607716.1	WP_146379449.1
OG0000005	WP_160607718.1	WP_160615842.1
OG0000005	WP_160607720.1	WP_348571917.1, WP_348571920.1
OG0000006	WP_258555632.1	WP_348571744.1
OG0000006	WP_258555587.1	WP_348571703.1
OG0000007	WP_258555604.1, WP_258555605.1	WP_348571975.1
OG0000007	WP_011284157.1	WP_348571669.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_258555629.1	WP_348571672.1
OG0000008	WP_258555633.1	WP_348572153.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000010	WP_160607876.1	WP_348572122.1
OG0000011	WP_160606477.1	WP_348572129.1
OG0000011	WP_160607868.1	WP_348572128.1
OG0000012	WP_160608124.1	WP_348571950.1
OG0000012	WP_158632000.1	WP_348572023.1
OG0000013	WP_258555582.1	WP_348571721.1
OG0000013	WP_308704685.1	WP_348572166.1
OG0000014	WP_160608110.1	WP_348571966.1
OG0000014	WP_160608112.1	WP_348572003.1
OG0000015	WP_160607700.1	WP_240536643.1
OG0000016	WP_160607846.1	WP_020835836.1
OG0000016	WP_160607987.1	WP_160585547.1
OG0000017	WP_020835500.1	WP_243215933.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_160607808.1	WP_020835635.1
OG0000019	WP_258555634.1	WP_348571828.1
OG0000020	WP_160607708.1	WP_348571893.1
OG0000020	WP_308704678.1	WP_348571894.1
OG0000022	WP_160607941.1	WP_348572088.1
OG0000022	WP_160607953.1	WP_348572098.1
OG0000024	WP_160608070.1	WP_160585259.1
OG0000025	WP_160607943.1	WP_348572089.1
OG0000025	WP_160607951.1	WP_348572096.1
OG0000026	WP_020835640.1	WP_192894288.1
OG0000026	WP_160590234.1	WP_160606777.1
OG0000027	WP_160585251.1	WP_020835902.1
OG0000027	WP_160607732.1	WP_348571864.1
OG0000028	WP_160607995.1, WP_220200632.1	WP_348571725.1
OG0000029	WP_160608024.1	WP_348571967.1
OG0000029	WP_160608062.1	WP_348572001.1
OG0000030	WP_240536353.1	WP_348571860.1
OG0000030	WP_160607730.1	WP_020835904.1
OG0000031	WP_011284063.1	WP_348572080.1
OG0000032	WP_160608068.1	WP_135618726.1
OG0000032	WP_308507003.1	WP_348571862.1
OG0000033	WP_258555581.1	WP_348571723.1
OG0000034	WP_233688424.1	WP_348571678.1
OG0000034	WP_160608015.1	WP_348571675.1
OG0000035	WP_160607771.1	WP_348571840.1
OG0000036	WP_160607722.1	WP_020835495.1, WP_348571921.1
OG0000037	WP_308704691.1	WP_348572141.1
OG0000039	WP_160608064.1	WP_348572083.1
OG0000040	WP_160607971.1	WP_348571851.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_160608086.1	WP_348571819.1
OG0000043	WP_160585024.1	WP_014579804.1
OG0000044	WP_220200639.1	WP_225973034.1
OG0000045	WP_258555619.1	WP_348572084.1
OG0000046	WP_160607969.1	WP_348571853.1
OG0000048	WP_160607666.1	WP_348571637.1
OG0000049	WP_160607787.1	WP_020835860.1
OG0000050	WP_160607999.1	WP_348571733.1
OG0000051	WP_160607824.1	WP_348571782.1
OG0000052	WP_011289937.1	WP_011289937.1
OG0000053	WP_160607798.1	WP_348572063.1
OG0000054	WP_160608001.1	WP_044272538.1
OG0000055	WP_160607724.1	WP_348571923.1
OG0000056	WP_160607757.1	WP_348571887.1
OG0000057	WP_258555568.1	WP_348571813.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000061	WP_146379613.1	WP_135618818.1
OG0000062	WP_160588098.1	WP_011206522.1
OG0000063	WP_160607710.1	WP_348571897.1
OG0000064	WP_011290440.1	WP_348571896.1
OG0000065	WP_011290219.1	WP_225972975.1
OG0000066	WP_160588243.1	WP_011205965.1
OG0000067	WP_160608100.1	WP_348571959.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_160607760.1	WP_348571847.1
OG0000072	WP_160607973.1	WP_348571849.1
OG0000073	WP_160584799.1	WP_011206093.1
OG0000074	WP_044284596.1	WP_348571983.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160607908.1	WP_146379475.1
OG0000077	WP_146379479.1	WP_014579581.1
OG0000078	WP_160607947.1	WP_348572093.1
OG0000079	WP_160608044.1	WP_146379663.1
OG0000080	WP_011206314.1	WP_011206314.1
OG0000081	WP_135618515.1	WP_348571946.1
OG0000082	WP_258555583.1	WP_348571719.1
OG0000083	WP_160590043.1	WP_160590043.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_160590049.1	WP_011206223.1
OG0000086	WP_160590052.1	WP_348571632.1
OG0000087	WP_020835732.1	WP_011206228.1
OG0000088	WP_160590058.1	WP_146379590.1
OG0000089	WP_011290212.1	WP_011206231.1
OG0000090	WP_020835488.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_011205850.1
OG0000092	WP_011205847.1	WP_348572163.1
OG0000093	WP_160584856.1	WP_348571911.1
OG0000094	WP_160606485.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_258555535.1	WP_348571902.1
OG0000098	WP_146379769.1	WP_348571899.1
OG0000099	WP_160607759.1	WP_348571889.1
OG0000100	WP_011290432.1	WP_160585575.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_135619192.1	WP_020835678.1
OG0000103	WP_160585202.1	WP_348571656.1
OG0000104	WP_160607672.1	WP_011206239.1
OG0000105	WP_160607676.1	WP_094521691.1
OG0000106	WP_146379631.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_308704677.1	WP_192894278.1
OG0000109	WP_160607678.1	WP_348571653.1
OG0000110	WP_146379648.1	WP_348571715.1
OG0000111	WP_258555584.1	WP_348571713.1
OG0000112	WP_258555585.1	WP_348571709.1
OG0000113	WP_160585296.1	WP_348571700.1
OG0000114	WP_258555588.1	WP_348571697.1
OG0000115	WP_011290245.1	WP_348571692.1
OG0000116	WP_160608082.1	WP_348572051.1
OG0000117	WP_160608080.1	WP_348572053.1
OG0000118	WP_011290108.1	WP_348572057.1
OG0000119	WP_135618686.1	WP_160585678.1
OG0000120	WP_160590292.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_160606641.1
OG0000127	WP_160590282.1	WP_011290122.1
OG0000128	WP_160607796.1	WP_348572065.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160585099.1	WP_348572069.1
OG0000132	WP_094521636.1	WP_348572073.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_308704690.1	WP_308704690.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_135618546.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160608058.1	WP_348571999.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_160608056.1	WP_160584795.1
OG0000141	WP_011284290.1	WP_348571817.1
OG0000142	WP_160607860.1	WP_348571815.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_160607856.1	WP_348571809.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_160607848.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_160584978.1
