Orthogroup	MHP_MHP691_proteins	MFC_Ms42_proteins
OG0000000	WP_308704676.1	WP_236681788.1
OG0000000	WP_160608104.1, WP_220200664.1	WP_236681787.1
OG0000001	WP_187145661.1, WP_258555625.1, WP_258555566.1, WP_228366104.1, WP_011206342.1	WP_002557631.1
OG0000002	WP_160585200.1	WP_002557507.1
OG0000002	WP_160608106.1	WP_002557987.1
OG0000002	WP_160608118.1	WP_002557503.1
OG0000003	WP_308704693.1	WP_039387603.1
OG0000007	WP_011284157.1	WP_002557994.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_258555628.1, WP_258555629.1	WP_002557992.1
OG0000011	WP_020835714.1, WP_160606477.1	WP_039387561.1
OG0000011	WP_160607868.1	WP_039387558.1
OG0000013	WP_258555582.1	WP_002557975.1, WP_051054340.1
OG0000013	WP_308704685.1	WP_002557887.1
OG0000014	WP_160608110.1, WP_160608112.1	WP_002557587.1
OG0000016	WP_160607846.1	WP_002557621.1
OG0000017	WP_020835500.1	WP_002557881.1
OG0000017	WP_020835837.1	WP_144245598.1
OG0000018	WP_160585710.1	WP_002557538.1
OG0000020	WP_160607708.1	WP_002557491.1
OG0000020	WP_308704678.1	WP_002557490.1
OG0000022	WP_160607953.1	WP_002557501.1
OG0000023	WP_160607696.1	WP_002557747.1
OG0000024	WP_160608070.1	WP_236681781.1
OG0000025	WP_160607951.1	WP_002557500.1
OG0000026	WP_020835640.1, WP_160590234.1	WP_002557545.1
OG0000027	WP_160607732.1	WP_002557970.1
OG0000029	WP_160608024.1, WP_160608062.1	WP_002557588.1
OG0000030	WP_240536353.1, WP_160607730.1	WP_002557971.1
OG0000031	WP_011284063.1	WP_002557676.1
OG0000032	WP_160608068.1	WP_002557939.1
OG0000032	WP_308507003.1	WP_231237886.1
OG0000033	WP_258555580.1	WP_052234584.1
OG0000037	WP_308704691.1	WP_231237860.1
OG0000039	WP_160608064.1	WP_160609261.1, WP_002557597.1
OG0000040	WP_160607971.1	WP_002557738.1, WP_201771013.1
OG0000042	WP_160608086.1	WP_002557596.1, WP_002557628.1
OG0000043	WP_160585024.1	WP_002557679.1
OG0000045	WP_258555619.1	WP_002557601.1
OG0000048	WP_160607666.1	WP_039387763.1
OG0000049	WP_160607787.1	WP_231237870.1, WP_318023899.1
OG0000050	WP_160607999.1	WP_002557670.1
OG0000051	WP_160607824.1	WP_002557852.1
OG0000052	WP_011289937.1	WP_002557464.1
OG0000053	WP_160607798.1	WP_002557561.1
OG0000054	WP_160608001.1	WP_002557665.1
OG0000055	WP_160607724.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_160607757.1	WP_081605276.1
OG0000057	WP_258555568.1	WP_231237864.1
OG0000062	WP_160588098.1	WP_002557486.1
OG0000063	WP_160607710.1	WP_002557487.1
OG0000064	WP_011290440.1	WP_002557489.1
OG0000065	WP_011290219.1	WP_002557517.1
OG0000066	WP_160588243.1	WP_002557543.1
OG0000067	WP_160608030.1	WP_002557573.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011206373.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_160607760.1	WP_002557736.1
OG0000072	WP_160607973.1	WP_002557737.1
OG0000073	WP_160584799.1	WP_039387630.1
OG0000074	WP_044284596.1	WP_236681775.1
OG0000075	WP_014579568.1	WP_002557918.1
OG0000077	WP_146379479.1	WP_002557937.1
OG0000079	WP_160608044.1	WP_002558020.1
OG0000080	WP_011206314.1	WP_002558011.1, WP_196792423.1
OG0000081	WP_135618515.1	WP_039387493.1
