Orthogroup	MHP_MHP709_genes	MFC_MF30_genes
OG0000000	DR088_RS03530	DR084_RS02900
OG0000000	DR088_RS03570, DR088_RS03465, DR088_RS04265, DR088_RS03470, DR088_RS04655	DR084_RS02935
OG0000001	DR088_RS00985, DR088_RS00215, DR088_RS03735, DR088_RS03730	DR084_RS03095
OG0000002	DR088_RS04280, DR088_RS03525	DR084_RS03505
OG0000002	DR088_RS04510	DR084_RS03620
OG0000011	DR088_RS00560	DR084_RS03145
OG0000011	DR088_RS00555	DR084_RS01055
OG0000013	DR088_RS02380	DR084_RS00890, DR084_RS00885
OG0000013	DR088_RS03910	DR084_RS02985
OG0000014	DR088_RS00785, DR088_RS04355	DR084_RS03465
OG0000016	DR088_RS00255	DR084_RS00585
OG0000017	DR088_RS01370	DR084_RS02415
OG0000017	DR088_RS00265	DR084_RS00575
OG0000018	DR088_RS04550	DR084_RS03555
OG0000019	DR088_RS04255	DR084_RS03440
OG0000020	DR088_RS04470	DR084_RS02530
OG0000022	DR088_RS04515	DR084_RS03625
OG0000023	DR088_RS02595	DR084_RS01910
OG0000024	DR088_RS00160, DR088_RS00975	DR084_RS00640
OG0000025	DR088_RS02305	DR084_RS02490
OG0000026	DR088_RS02640, DR088_RS02325	DR084_RS01955
OG0000027	DR088_RS04500	DR084_RS03655
OG0000029	DR088_RS01545, DR088_RS00770	DR084_RS00420
OG0000030	DR088_RS04445, DR088_RS04505	DR084_RS03660
OG0000031	DR088_RS03335	DR084_RS01000
OG0000033	DR088_RS02375	DR084_RS00915
OG0000039	DR088_RS03410	DR084_RS00480
OG0000040	DR088_RS02000	DR084_RS02240, DR084_RS00690
OG0000042	DR088_RS03180	DR084_RS00475, DR084_RS00620
OG0000043	DR088_RS00525	DR084_RS01025
OG0000045	DR088_RS03415	DR084_RS00485
OG0000048	DR088_RS00705	DR084_RS02740
OG0000049	DR088_RS01390	DR084_RS02050
OG0000050	DR088_RS02980	DR084_RS00965
OG0000051	DR088_RS00080	DR084_RS01670
OG0000052	DR088_RS01925	DR084_RS02375
OG0000053	DR088_RS04530	DR084_RS03670
OG0000054	DR088_RS03005	DR084_RS00940
OG0000055	DR088_RS03550	DR084_RS03600, DR084_RS03710
OG0000056	DR088_RS02115	DR084_RS02515
OG0000057	DR088_RS00335	DR084_RS00500
OG0000062	DR088_RS01815	DR084_RS02265
OG0000063	DR088_RS01810	DR084_RS03590
OG0000064	DR088_RS01800	DR084_RS02250
OG0000065	DR088_RS02890	DR084_RS01815
OG0000066	DR088_RS02630	DR084_RS01945
OG0000067	DR088_RS03105	DR084_RS00345
OG0000068	DR088_RS00735	DR084_RS00455
OG0000069	DR088_RS00230	DR084_RS00610
OG0000070	DR088_RS03010	DR084_RS00920
OG0000071	DR088_RS01990	DR084_RS01120, DR084_RS02230
OG0000072	DR088_RS04430	DR084_RS03585
OG0000073	DR088_RS02825	DR084_RS01245
OG0000074	DR088_RS04395	DR084_RS03540
OG0000075	DR088_RS01175	DR084_RS00175
OG0000076	DR088_RS01160	DR084_RS00190
OG0000077	DR088_RS01070	DR084_RS00275
OG0000078	DR088_RS02335	DR084_RS00725
OG0000079	DR088_RS03130	DR084_RS00835
