Orthogroup	MHP_MHP709_genes	MHP_KM014_genes
OG0000000	DR088_RS03570	CIB43_RS03015
OG0000000	DR088_RS03495	CIB43_RS03010
OG0000000	DR088_RS04105	CIB43_RS02595
OG0000001	DR088_RS00215	CIB43_RS03715
OG0000001	DR088_RS03735, DR088_RS03730	CIB43_RS03670
OG0000002	DR088_RS04280	CIB43_RS03100
OG0000002	DR088_RS04510	CIB43_RS02610
OG0000003	DR088_RS03645	CIB43_RS02725
OG0000004	DR088_RS01540	CIB43_RS00290
OG0000005	DR088_RS01950	CIB43_RS00810
OG0000005	DR088_RS04585	CIB43_RS00830
OG0000006	DR088_RS03035	CIB43_RS03435
OG0000006	DR088_RS02425, DR088_RS04190	CIB43_RS03420
OG0000007	DR088_RS03260	CIB43_RS03095
OG0000007	DR088_RS03265	CIB43_RS03080
OG0000007	DR088_RS03275	CIB43_RS03075
OG0000009	DR088_RS01935	CIB43_RS00790
OG0000009	DR088_RS02850	CIB43_RS01550
OG0000010	DR088_RS00450	CIB43_RS02735
OG0000010	DR088_RS03540, DR088_RS03660	CIB43_RS00795
OG0000011	DR088_RS00560	CIB43_RS02850
OG0000014	DR088_RS00785	CIB43_RS01955
OG0000016	DR088_RS00255	CIB43_RS03755
OG0000017	DR088_RS01370	CIB43_RS00855
OG0000017	DR088_RS00265	CIB43_RS03765
OG0000018	DR088_RS04550	CIB43_RS02195, CIB43_RS01250, CIB43_RS01185
OG0000019	DR088_RS04255	CIB43_RS00120, CIB43_RS00115, CIB43_RS03950, CIB43_RS00005
OG0000020	DR088_RS04470	CIB43_RS00635
OG0000021	DR088_RS00360	CIB43_RS01400, CIB43_RS02635
OG0000022	DR088_RS04515	CIB43_RS02590
OG0000023	DR088_RS02595	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195
OG0000024	DR088_RS00975	CIB43_RS02140
OG0000025	DR088_RS02305	CIB43_RS02585
OG0000026	DR088_RS02325	CIB43_RS02565
OG0000027	DR088_RS04500	CIB43_RS00440
OG0000028	DR088_RS03250	CIB43_RS03320, CIB43_RS03335
OG0000028	DR088_RS04565	CIB43_RS03325
OG0000030	DR088_RS04505	CIB43_RS00435
OG0000031	DR088_RS03335	CIB43_RS01295, CIB43_RS00065
OG0000035	DR088_RS03395	CIB43_RS00280
OG0000035	DR088_RS01530	CIB43_RS00270
OG0000036	DR088_RS03305	CIB43_RS00815
OG0000038	DR088_RS01015	CIB43_RS02625
OG0000039	DR088_RS03410	CIB43_RS02500
OG0000041	DR088_RS03850	CIB43_RS03980
OG0000042	DR088_RS03180	CIB43_RS03855
OG0000043	DR088_RS00525	CIB43_RS02825, CIB43_RS00070
OG0000044	DR088_RS00390	CIB43_RS02665
OG0000045	DR088_RS03415	CIB43_RS02520
OG0000048	DR088_RS00705	CIB43_RS02995
OG0000049	DR088_RS01390	CIB43_RS00150
OG0000051	DR088_RS00080	CIB43_RS03575
OG0000052	DR088_RS01925	CIB43_RS00775
OG0000053	DR088_RS04530	CIB43_RS02315
OG0000054	DR088_RS03005	CIB43_RS03395
OG0000055	DR088_RS03550	CIB43_RS00835
OG0000056	DR088_RS02115	CIB43_RS00630, CIB43_RS03960
OG0000057	DR088_RS00335	CIB43_RS03840
OG0000060	DR088_RS03970	CIB43_RS00780
OG0000061	DR088_RS00460	CIB43_RS02745
OG0000062	DR088_RS01815	CIB43_RS00675
OG0000063	DR088_RS01810	CIB43_RS00660
OG0000064	DR088_RS01800	CIB43_RS00650
OG0000065	DR088_RS02890	CIB43_RS03145
OG0000067	DR088_RS03105	CIB43_RS01410
OG0000068	DR088_RS00735	CIB43_RS01520
OG0000069	DR088_RS00230	CIB43_RS03740
OG0000070	DR088_RS03010	CIB43_RS03400
OG0000071	DR088_RS01990	CIB43_RS00360
OG0000072	DR088_RS04430	CIB43_RS00375
OG0000073	DR088_RS02825	CIB43_RS01580
OG0000075	DR088_RS01175	CIB43_RS01060
OG0000077	DR088_RS01070	CIB43_RS01330
OG0000078	DR088_RS02335	CIB43_RS02560
OG0000079	DR088_RS03130	CIB43_RS03480
OG0000080	DR088_RS03700	CIB43_RS03525
OG0000081	DR088_RS01180	CIB43_RS01055
OG0000082	DR088_RS04120	CIB43_RS03315
OG0000083	DR088_RS00630	CIB43_RS02935
OG0000084	DR088_RS00655	CIB43_RS02955
OG0000086	DR088_RS00670	CIB43_RS02970
OG0000087	DR088_RS00685	CIB43_RS02975
OG0000088	DR088_RS00690	CIB43_RS02980
OG0000089	DR088_RS00700	CIB43_RS02990
OG0000090	DR088_RS01920	CIB43_RS00770
OG0000091	DR088_RS01905	CIB43_RS00760
OG0000092	DR088_RS01890	CIB43_RS00745
OG0000093	DR088_RS01885	CIB43_RS00735
OG0000094	DR088_RS01880	CIB43_RS00730
OG0000095	DR088_RS01855	CIB43_RS00715
OG0000096	DR088_RS01850	CIB43_RS00700
OG0000097	DR088_RS01830	CIB43_RS00690
OG0000100	DR088_RS02105	CIB43_RS00610
OG0000101	DR088_RS02100	CIB43_RS00600
OG0000102	DR088_RS02310	CIB43_RS02580
OG0000103	DR088_RS02855	CIB43_RS03110
OG0000104	DR088_RS02860	CIB43_RS03120
OG0000105	DR088_RS02875	CIB43_RS03130
OG0000106	DR088_RS02885	CIB43_RS03140
OG0000107	DR088_RS02895	CIB43_RS03150
OG0000108	DR088_RS02900	CIB43_RS03155
OG0000109	DR088_RS02905	CIB43_RS03160
OG0000110	DR088_RS02395	CIB43_RS03290
OG0000111	DR088_RS02400	CIB43_RS03285
OG0000112	DR088_RS02410	CIB43_RS03280
OG0000113	DR088_RS04525	CIB43_RS03260
OG0000114	DR088_RS02440	CIB43_RS03245
OG0000115	DR088_RS02455	CIB43_RS03230
OG0000116	DR088_RS01000	CIB43_RS02165
OG0000117	DR088_RS01005	CIB43_RS02170
OG0000118	DR088_RS02615	CIB43_RS02205
OG0000119	DR088_RS02620	CIB43_RS02210
OG0000120	DR088_RS02635	CIB43_RS02230
OG0000121	DR088_RS02660	CIB43_RS02250
OG0000122	DR088_RS02665	CIB43_RS02255
OG0000123	DR088_RS02685	CIB43_RS02275
OG0000124	DR088_RS02690	CIB43_RS02280
OG0000125	DR088_RS02695	CIB43_RS02285
OG0000126	DR088_RS02465	CIB43_RS02295
OG0000127	DR088_RS02475	CIB43_RS02305
OG0000128	DR088_RS02490	CIB43_RS02320
OG0000129	DR088_RS02495	CIB43_RS02330
OG0000130	DR088_RS02505	CIB43_RS02335
OG0000131	DR088_RS04535	CIB43_RS02370
OG0000132	DR088_RS04540	CIB43_RS02385
OG0000133	DR088_RS03100	CIB43_RS01415
OG0000134	DR088_RS03095	CIB43_RS01425
OG0000135	DR088_RS03080	CIB43_RS01435
OG0000136	DR088_RS03075	CIB43_RS01440
OG0000137	DR088_RS03045	CIB43_RS01470
OG0000138	DR088_RS00760	CIB43_RS01495
OG0000139	DR088_RS00730	CIB43_RS01525
OG0000140	DR088_RS00725	CIB43_RS01540
OG0000141	DR088_RS00345	CIB43_RS03850
OG0000142	DR088_RS04315	CIB43_RS03845
OG0000143	DR088_RS00320	CIB43_RS03835
OG0000144	DR088_RS00310	CIB43_RS03815
OG0000145	DR088_RS00300	CIB43_RS03805
OG0000146	DR088_RS00290	CIB43_RS03790
OG0000147	DR088_RS00285	CIB43_RS03785
OG0000148	DR088_RS00270	CIB43_RS03780
OG0000149	DR088_RS00260	CIB43_RS03760
OG0000150	DR088_RS00245	CIB43_RS03745
OG0000151	DR088_RS00200	CIB43_RS03700
OG0000152	DR088_RS00195	CIB43_RS03695
OG0000153	DR088_RS00190	CIB43_RS03690
OG0000154	DR088_RS00180	CIB43_RS03680
OG0000155	DR088_RS00140	CIB43_RS03645
OG0000156	DR088_RS00130	CIB43_RS03635
OG0000157	DR088_RS04305	CIB43_RS03625
OG0000158	DR088_RS04300	CIB43_RS03620
OG0000159	DR088_RS02995	CIB43_RS03385
OG0000160	DR088_RS02990	CIB43_RS03380
OG0000161	DR088_RS02985	CIB43_RS03375
OG0000163	DR088_RS02970	CIB43_RS03370
OG0000164	DR088_RS03330	CIB43_RS02495
OG0000165	DR088_RS00550	CIB43_RS02840
OG0000166	DR088_RS00570	CIB43_RS02860
OG0000167	DR088_RS00585	CIB43_RS02875
OG0000168	DR088_RS00590	CIB43_RS02880
OG0000169	DR088_RS01385	CIB43_RS00130
OG0000171	DR088_RS01410	CIB43_RS00155
OG0000172	DR088_RS01420	CIB43_RS00160
OG0000173	DR088_RS01425	CIB43_RS00165
OG0000174	DR088_RS01430	CIB43_RS00170
OG0000175	DR088_RS01445	CIB43_RS00190
OG0000176	DR088_RS01495	CIB43_RS00235
OG0000177	DR088_RS01500	CIB43_RS00240
OG0000178	DR088_RS01505	CIB43_RS00245
OG0000179	DR088_RS01515	CIB43_RS00255
OG0000180	DR088_RS01520	CIB43_RS00260
OG0000181	DR088_RS04610	CIB43_RS00310
OG0000182	DR088_RS03500	CIB43_RS00320
OG0000183	DR088_RS01985	CIB43_RS00355
OG0000184	DR088_RS02025	CIB43_RS00430
OG0000185	DR088_RS02010	CIB43_RS00380
OG0000186	DR088_RS04545	CIB43_RS02400
OG0000187	DR088_RS02575	CIB43_RS02410
OG0000188	DR088_RS02585	CIB43_RS02425
OG0000189	DR088_RS04560	CIB43_RS03200
OG0000190	DR088_RS02935	CIB43_RS03195
OG0000191	DR088_RS02915	CIB43_RS03180
OG0000192	DR088_RS00920	CIB43_RS02085
OG0000193	DR088_RS00905	CIB43_RS02075
OG0000194	DR088_RS02840	CIB43_RS01560
OG0000195	DR088_RS02835	CIB43_RS01565
OG0000196	DR088_RS02815	CIB43_RS01585
OG0000197	DR088_RS02810	CIB43_RS01590
OG0000198	DR088_RS02795	CIB43_RS01605
OG0000199	DR088_RS02790	CIB43_RS01615
OG0000200	DR088_RS02775	CIB43_RS01630
OG0000201	DR088_RS02765	CIB43_RS01635
OG0000202	DR088_RS02710	CIB43_RS01690
OG0000203	DR088_RS02705	CIB43_RS01695
OG0000204	DR088_RS04410	CIB43_RS01700
OG0000205	DR088_RS01790	CIB43_RS01705
OG0000206	DR088_RS01770	CIB43_RS01735
OG0000207	DR088_RS01755	CIB43_RS01740
OG0000208	DR088_RS01750	CIB43_RS01745
OG0000209	DR088_RS01745	CIB43_RS01750
OG0000210	DR088_RS01700	CIB43_RS01800
OG0000211	DR088_RS01690	CIB43_RS01805
OG0000212	DR088_RS01680	CIB43_RS01815
OG0000213	DR088_RS01675	CIB43_RS01820
OG0000214	DR088_RS01670	CIB43_RS01825
OG0000215	DR088_RS01665	CIB43_RS01830
OG0000216	DR088_RS01660	CIB43_RS01835
OG0000217	DR088_RS01655	CIB43_RS01845
OG0000218	DR088_RS01645	CIB43_RS01850
OG0000219	DR088_RS01640	CIB43_RS01855
OG0000220	DR088_RS01635	CIB43_RS01860
OG0000221	DR088_RS01630	CIB43_RS01865
OG0000222	DR088_RS01625	CIB43_RS01870
OG0000223	DR088_RS01620	CIB43_RS01875
OG0000225	DR088_RS01600	CIB43_RS01895
OG0000226	DR088_RS01595	CIB43_RS01900
OG0000227	DR088_RS01590	CIB43_RS01905
