Orthogroup	MHP_MHP709_genes	MHP_11_genes
OG0000000	DR088_RS03530	B5C39_RS02485
OG0000000	DR088_RS03495	B5C39_RS03935
OG0000000	DR088_RS04105	B5C39_RS03750
OG0000000	DR088_RS04100	B5C39_RS03235
OG0000001	DR088_RS00215	B5C39_RS03070
OG0000001	DR088_RS03735	B5C39_RS03865
OG0000001	DR088_RS03730	B5C39_RS03020
OG0000002	DR088_RS04280	B5C39_RS03825
OG0000002	DR088_RS03525	B5C39_RS03650
OG0000002	DR088_RS04510	B5C39_RS03240
OG0000003	DR088_RS03645	B5C39_RS03345
OG0000004	DR088_RS01540	B5C39_RS00380
OG0000004	DR088_RS03400	B5C39_RS00400
OG0000005	DR088_RS01950	B5C39_RS00915
OG0000005	DR088_RS04585	B5C39_RS00935
OG0000005	DR088_RS03545	B5C39_RS00920
OG0000005	DR088_RS03300	B5C39_RS00925
OG0000005	DR088_RS04590	B5C39_RS00940
OG0000006	DR088_RS04190	B5C39_RS02640
OG0000008	DR088_RS04285	B5C39_RS03850
OG0000009	DR088_RS01935	B5C39_RS00900
OG0000009	DR088_RS02850	B5C39_RS02225
OG0000010	DR088_RS00450	B5C39_RS03350
OG0000010	DR088_RS03540, DR088_RS03660	B5C39_RS00910
OG0000011	DR088_RS00560	B5C39_RS03455
OG0000011	DR088_RS00555	B5C39_RS03450
OG0000012	DR088_RS00005, DR088_RS03650	B5C39_RS01220
OG0000013	DR088_RS02380	B5C39_RS02685
OG0000013	DR088_RS03910	B5C39_RS03780
OG0000014	DR088_RS00785	B5C39_RS01820
OG0000014	DR088_RS04355	B5C39_RS02290
OG0000016	DR088_RS00255	B5C39_RS00060
OG0000016	DR088_RS01355	B5C39_RS00985
OG0000017	DR088_RS01370	B5C39_RS00970
OG0000017	DR088_RS00265	B5C39_RS00070
OG0000018	DR088_RS04550	B5C39_RS01575, B5C39_RS03790, B5C39_RS03785
OG0000019	DR088_RS04255	B5C39_RS03765
OG0000020	DR088_RS04465	B5C39_RS00735
OG0000020	DR088_RS04470	B5C39_RS00740
OG0000021	DR088_RS00360	B5C39_RS03275, B5C39_RS02385
OG0000022	DR088_RS02355	B5C39_RS03170
OG0000022	DR088_RS04515	B5C39_RS03225
OG0000023	DR088_RS02595	B5C39_RS01580, B5C39_RS01320
OG0000024	DR088_RS00160	B5C39_RS03015
OG0000024	DR088_RS00975	B5C39_RS01625
OG0000025	DR088_RS04520	B5C39_RS03175
OG0000025	DR088_RS02305	B5C39_RS03220
OG0000026	DR088_RS02640	B5C39_RS01535
OG0000026	DR088_RS02325	B5C39_RS03200
OG0000027	DR088_RS04450	B5C39_RS00530
OG0000027	DR088_RS04500	B5C39_RS00545
OG0000029	DR088_RS01545	B5C39_RS01825
OG0000029	DR088_RS00770	B5C39_RS02285
OG0000030	DR088_RS04445	B5C39_RS00520
OG0000030	DR088_RS04505	B5C39_RS00540
OG0000031	DR088_RS03335	B5C39_RS01325, B5C39_RS03115
OG0000032	DR088_RS02280	B5C39_RS03770
OG0000033	DR088_RS02375	B5C39_RS02690
OG0000035	DR088_RS03395	B5C39_RS00395
OG0000035	DR088_RS01530	B5C39_RS00375
OG0000036	DR088_RS03305	B5C39_RS00930
OG0000036	DR088_RS04245	B5C39_RS00945
OG0000038	DR088_RS01015	B5C39_RS02400, B5C39_RS03265
OG0000039	DR088_RS03410	B5C39_RS03875, B5C39_RS03130
OG0000040	DR088_RS02000	B5C39_RS00465
OG0000042	DR088_RS03180	B5C39_RS00160
OG0000043	DR088_RS00525	B5C39_RS03420
OG0000044	DR088_RS04645	B5C39_RS03955
OG0000044	DR088_RS00390	B5C39_RS03305
OG0000045	DR088_RS03415	B5C39_RS03140
OG0000048	DR088_RS00705	B5C39_RS03615
OG0000049	DR088_RS01390	B5C39_RS00240
OG0000050	DR088_RS02980	B5C39_RS02725
OG0000051	DR088_RS00080	B5C39_RS02930
OG0000052	DR088_RS01925	B5C39_RS00890
OG0000053	DR088_RS04530	B5C39_RS01450
OG0000054	DR088_RS03005	B5C39_RS02750
OG0000055	DR088_RS03550	B5C39_RS00950
OG0000056	DR088_RS02115	B5C39_RS00720
OG0000057	DR088_RS00335	B5C39_RS00145
OG0000060	DR088_RS03970	B5C39_RS03775, B5C39_RS03815
OG0000061	DR088_RS00460	B5C39_RS03095, B5C39_RS03360
OG0000062	DR088_RS01815	B5C39_RS00780
OG0000063	DR088_RS01810	B5C39_RS00775
OG0000064	DR088_RS01800	B5C39_RS00765
OG0000065	DR088_RS02890	B5C39_RS02530
OG0000066	DR088_RS02630	B5C39_RS01545
OG0000067	DR088_RS03390	B5C39_RS02370
OG0000068	DR088_RS00735	B5C39_RS02250
OG0000069	DR088_RS00230	B5C39_RS00035
OG0000070	DR088_RS03010	B5C39_RS02755
OG0000071	DR088_RS01990	B5C39_RS00455
OG0000072	DR088_RS04430	B5C39_RS00460
OG0000073	DR088_RS02825	B5C39_RS02200
OG0000074	DR088_RS04395	B5C39_RS02005
OG0000075	DR088_RS01175	B5C39_RS01170
OG0000076	DR088_RS01160	B5C39_RS01185
OG0000077	DR088_RS01070	B5C39_RS02455
OG0000078	DR088_RS02335	B5C39_RS03190
OG0000079	DR088_RS03130	B5C39_RS02835
OG0000080	DR088_RS03700	B5C39_RS03700
OG0000081	DR088_RS01180	B5C39_RS01165
OG0000082	DR088_RS04125, DR088_RS04120	B5C39_RS02680
OG0000083	DR088_RS00630	B5C39_RS03525
OG0000084	DR088_RS00655	B5C39_RS03550
OG0000085	DR088_RS00660	B5C39_RS03555
OG0000086	DR088_RS00670	B5C39_RS03565
OG0000087	DR088_RS00685	B5C39_RS03580
OG0000088	DR088_RS00690	B5C39_RS03585
OG0000089	DR088_RS00700	B5C39_RS03595
OG0000090	DR088_RS01920	B5C39_RS00885
OG0000091	DR088_RS01905	B5C39_RS00870
OG0000092	DR088_RS01890	B5C39_RS00855
OG0000093	DR088_RS01885	B5C39_RS00850
OG0000094	DR088_RS01880	B5C39_RS00845
OG0000095	DR088_RS01855	B5C39_RS00820
OG0000096	DR088_RS01850	B5C39_RS00815
OG0000097	DR088_RS01830	B5C39_RS00795
OG0000098	DR088_RS01820	B5C39_RS00785
OG0000099	DR088_RS04460	B5C39_RS00725
OG0000100	DR088_RS02105	B5C39_RS00710
OG0000101	DR088_RS02100	B5C39_RS00705
OG0000102	DR088_RS02310	B5C39_RS03215
OG0000103	DR088_RS02855	B5C39_RS02495
OG0000104	DR088_RS02860	B5C39_RS02500
OG0000105	DR088_RS02875	B5C39_RS02515
OG0000106	DR088_RS02885	B5C39_RS02525
OG0000107	DR088_RS02895	B5C39_RS02535
OG0000108	DR088_RS02900	B5C39_RS02540
OG0000109	DR088_RS02905	B5C39_RS02545
OG0000110	DR088_RS02395	B5C39_RS02670
OG0000111	DR088_RS02400	B5C39_RS02665
OG0000112	DR088_RS02410	B5C39_RS02655
OG0000113	DR088_RS04525	B5C39_RS02635
OG0000114	DR088_RS02440	B5C39_RS02625
OG0000115	DR088_RS02455	B5C39_RS02610
OG0000116	DR088_RS01000	B5C39_RS01600
OG0000117	DR088_RS01005	B5C39_RS01595
OG0000118	DR088_RS02615	B5C39_RS01560
OG0000119	DR088_RS02620	B5C39_RS01555
OG0000120	DR088_RS02635	B5C39_RS01540
OG0000121	DR088_RS02660	B5C39_RS01515
OG0000122	DR088_RS02665	B5C39_RS01510
OG0000123	DR088_RS02685	B5C39_RS01490
OG0000124	DR088_RS02690	B5C39_RS01485
OG0000125	DR088_RS02695	B5C39_RS01480
OG0000126	DR088_RS02465	B5C39_RS01470
OG0000127	DR088_RS02475	B5C39_RS01460
OG0000128	DR088_RS02490	B5C39_RS01445
OG0000129	DR088_RS02495	B5C39_RS01440
OG0000130	DR088_RS02505	B5C39_RS01430
OG0000131	DR088_RS04535	B5C39_RS01400
OG0000132	DR088_RS04540	B5C39_RS01385
OG0000133	DR088_RS03100	B5C39_RS02365
OG0000134	DR088_RS03095	B5C39_RS02360
OG0000135	DR088_RS03080	B5C39_RS02345
OG0000136	DR088_RS03075	B5C39_RS02340
OG0000137	DR088_RS03045	B5C39_RS02310
OG0000138	DR088_RS00760	B5C39_RS02275
OG0000139	DR088_RS00730	B5C39_RS02245
OG0000140	DR088_RS00725	B5C39_RS02240
OG0000141	DR088_RS00345	B5C39_RS00155
OG0000142	DR088_RS04315	B5C39_RS00150
OG0000143	DR088_RS00320	B5C39_RS00125
OG0000144	DR088_RS00310	B5C39_RS00115
OG0000145	DR088_RS00300	B5C39_RS00105
OG0000146	DR088_RS00290	B5C39_RS00095
OG0000147	DR088_RS00285	B5C39_RS00090
OG0000148	DR088_RS00270	B5C39_RS00075
OG0000149	DR088_RS00260	B5C39_RS00065
OG0000150	DR088_RS00245	B5C39_RS00050
OG0000151	DR088_RS00200	B5C39_RS03055
OG0000152	DR088_RS00195	B5C39_RS03050
OG0000153	DR088_RS00190	B5C39_RS03045
OG0000154	DR088_RS00180	B5C39_RS03035
OG0000155	DR088_RS00140	B5C39_RS02995
OG0000156	DR088_RS00130	B5C39_RS02985
OG0000157	DR088_RS04305	B5C39_RS02980
OG0000158	DR088_RS04300	B5C39_RS03905
OG0000159	DR088_RS02995	B5C39_RS03950
OG0000160	DR088_RS02990	B5C39_RS02735
OG0000161	DR088_RS02985	B5C39_RS02730
OG0000162	DR088_RS02975	B5C39_RS02720
OG0000163	DR088_RS02970	B5C39_RS02715
OG0000164	DR088_RS03330	B5C39_RS03120
OG0000165	DR088_RS00550	B5C39_RS03445
OG0000166	DR088_RS00570	B5C39_RS03465
OG0000167	DR088_RS00585	B5C39_RS03480
OG0000168	DR088_RS00590	B5C39_RS03485
OG0000169	DR088_RS01385	B5C39_RS00235
OG0000170	DR088_RS01400	B5C39_RS00250
OG0000171	DR088_RS01410	B5C39_RS00260
OG0000172	DR088_RS01420	B5C39_RS00265
OG0000173	DR088_RS01425	B5C39_RS00270
OG0000174	DR088_RS01430	B5C39_RS00275
OG0000175	DR088_RS01445	B5C39_RS00290
OG0000176	DR088_RS01495	B5C39_RS00340
OG0000177	DR088_RS01500	B5C39_RS00345
OG0000178	DR088_RS01505	B5C39_RS00350
OG0000179	DR088_RS01515	B5C39_RS00360
OG0000180	DR088_RS01520	B5C39_RS00365
OG0000181	DR088_RS04610	B5C39_RS00405
OG0000182	DR088_RS03500	B5C39_RS00415
OG0000183	DR088_RS01985	B5C39_RS00450
OG0000184	DR088_RS02025	B5C39_RS00495
OG0000185	DR088_RS02010	B5C39_RS00480
OG0000186	DR088_RS04545	B5C39_RS01375
OG0000187	DR088_RS02575	B5C39_RS01360
OG0000188	DR088_RS02585	B5C39_RS01350
OG0000189	DR088_RS04560	B5C39_RS02580
OG0000190	DR088_RS02935	B5C39_RS02575
OG0000191	DR088_RS02915	B5C39_RS02555
OG0000192	DR088_RS00920	B5C39_RS01685
OG0000193	DR088_RS00905	B5C39_RS01695
OG0000194	DR088_RS02840	B5C39_RS02215
OG0000195	DR088_RS02835	B5C39_RS02210
OG0000196	DR088_RS02815	B5C39_RS02190
OG0000197	DR088_RS02810	B5C39_RS02185
OG0000198	DR088_RS02795	B5C39_RS02170
OG0000199	DR088_RS02790	B5C39_RS02165
OG0000200	DR088_RS02775	B5C39_RS02150
OG0000201	DR088_RS02765	B5C39_RS02140
OG0000202	DR088_RS02710	B5C39_RS02085
OG0000203	DR088_RS02705	B5C39_RS02080
OG0000204	DR088_RS04410	B5C39_RS02075
OG0000205	DR088_RS01790	B5C39_RS02070
OG0000206	DR088_RS01770	B5C39_RS02050
OG0000207	DR088_RS01755	B5C39_RS02035
OG0000208	DR088_RS01750	B5C39_RS02030
OG0000209	DR088_RS01745	B5C39_RS02025
OG0000210	DR088_RS01700	B5C39_RS01980
OG0000211	DR088_RS01690	B5C39_RS01970
OG0000212	DR088_RS01680	B5C39_RS01960
OG0000213	DR088_RS01675	B5C39_RS01955
OG0000214	DR088_RS01670	B5C39_RS01950
OG0000215	DR088_RS01665	B5C39_RS01945
OG0000216	DR088_RS01660	B5C39_RS01940
OG0000217	DR088_RS01655	B5C39_RS01935
OG0000218	DR088_RS01645	B5C39_RS01925
OG0000219	DR088_RS01640	B5C39_RS01920
OG0000220	DR088_RS01635	B5C39_RS01915
OG0000221	DR088_RS01630	B5C39_RS01910
OG0000222	DR088_RS01625	B5C39_RS01905
OG0000223	DR088_RS01620	B5C39_RS01900
OG0000224	DR088_RS01610	B5C39_RS01890
OG0000225	DR088_RS01600	B5C39_RS01880
OG0000226	DR088_RS01595	B5C39_RS01875
OG0000227	DR088_RS01590	B5C39_RS01870
OG0000228	DR088_RS04640	B5C39_RS03945
OG0000229	DR088_RS01580	B5C39_RS01860
OG0000230	DR088_RS01575	B5C39_RS01855
OG0000231	DR088_RS01565	B5C39_RS01845
OG0000232	DR088_RS01555	B5C39_RS01835
OG0000233	DR088_RS00790	B5C39_RS01815
OG0000234	DR088_RS00825	B5C39_RS01780
OG0000235	DR088_RS00835	B5C39_RS01770
OG0000236	DR088_RS00840	B5C39_RS01765
OG0000237	DR088_RS00845	B5C39_RS01760
OG0000238	DR088_RS00855	B5C39_RS01750
OG0000239	DR088_RS03185	B5C39_RS00165
OG0000240	DR088_RS03190	B5C39_RS00170
OG0000241	DR088_RS03200	B5C39_RS00180
OG0000242	DR088_RS03205	B5C39_RS00185
OG0000243	DR088_RS03210	B5C39_RS00190
OG0000244	DR088_RS03220	B5C39_RS00200
OG0000245	DR088_RS03230	B5C39_RS00210
OG0000246	DR088_RS03555	B5C39_RS00955
OG0000247	DR088_RS03610	B5C39_RS00965
OG0000248	DR088_RS01365	B5C39_RS00975
OG0000249	DR088_RS01360	B5C39_RS00980
OG0000250	DR088_RS01345	B5C39_RS00995
OG0000251	DR088_RS01310	B5C39_RS01030
OG0000252	DR088_RS01300	B5C39_RS01040
OG0000253	DR088_RS01295	B5C39_RS01045
OG0000254	DR088_RS01285	B5C39_RS01055
OG0000255	DR088_RS01275	B5C39_RS01065
OG0000256	DR088_RS01270	B5C39_RS01070
OG0000257	DR088_RS01245	B5C39_RS01095
OG0000258	DR088_RS01235	B5C39_RS01105
OG0000259	DR088_RS01205	B5C39_RS01135
OG0000260	DR088_RS01195	B5C39_RS01145
OG0000261	DR088_RS04380	B5C39_RS01155
OG0000262	DR088_RS01170	B5C39_RS01175
OG0000263	DR088_RS01155	B5C39_RS01190
OG0000264	DR088_RS01140	B5C39_RS01205
OG0000265	DR088_RS01130	B5C39_RS01215
OG0000266	DR088_RS01115	B5C39_RS01235
OG0000267	DR088_RS01100	B5C39_RS01250
OG0000268	DR088_RS01095	B5C39_RS02480
OG0000269	DR088_RS01080	B5C39_RS02465
OG0000270	DR088_RS04455	B5C39_RS00680
OG0000271	DR088_RS02070	B5C39_RS00675
OG0000272	DR088_RS02065	B5C39_RS00670
OG0000273	DR088_RS02060	B5C39_RS00665
OG0000274	DR088_RS02160	B5C39_RS00645
OG0000275	DR088_RS04480	B5C39_RS00640
OG0000276	DR088_RS02170	B5C39_RS00635
OG0000277	DR088_RS02180	B5C39_RS00625
OG0000278	DR088_RS02185	B5C39_RS00620
OG0000279	DR088_RS02195	B5C39_RS00610
OG0000280	DR088_RS02200	B5C39_RS00605
OG0000281	DR088_RS02205	B5C39_RS00600
OG0000282	DR088_RS04490	B5C39_RS00575
OG0000283	DR088_RS02235	B5C39_RS00570
OG0000284	DR088_RS02240	B5C39_RS00565
OG0000285	DR088_RS04495	B5C39_RS00560
OG0000286	DR088_RS02955	B5C39_RS02700
OG0000287	DR088_RS03170	B5C39_RS02795
OG0000288	DR088_RS03160	B5C39_RS02805
OG0000289	DR088_RS03155	B5C39_RS02810
OG0000290	DR088_RS00070	B5C39_RS02920
OG0000291	DR088_RS00060	B5C39_RS02910
OG0000292	DR088_RS00055	B5C39_RS02905
OG0000293	DR088_RS00050	B5C39_RS02900
OG0000294	DR088_RS00040	B5C39_RS02890
OG0000295	DR088_RS00035	B5C39_RS02885
OG0000296	DR088_RS03120	B5C39_RS02845
OG0000297	DR088_RS03125	B5C39_RS02840
OG0000298	DR088_RS01350	B5C39_RS00990
OG0000299	DR088_RS01325	B5C39_RS01015
OG0000300	DR088_RS01145	B5C39_RS01200
OG0000301	DR088_RS01110	B5C39_RS01240
OG0000302	DR088_RS01105	B5C39_RS01245
OG0000303	DR088_RS03070	B5C39_RS02335
OG0000304	DR088_RS01550	B5C39_RS01830
OG0000305	DR088_RS00295	B5C39_RS00100
OG0000306	DR088_RS00220	B5C39_RS03080
OG0000307	DR088_RS00185	B5C39_RS03040
OG0000308	DR088_RS00090	B5C39_RS02940
OG0000309	DR088_RS00025	B5C39_RS02875
OG0000310	DR088_RS03165	B5C39_RS02800
OG0000311	DR088_RS03015	B5C39_RS02760
OG0000312	DR088_RS03000	B5C39_RS02745
OG0000313	DR088_RS03340	B5C39_RS03110
OG0000314	DR088_RS00565	B5C39_RS03460
OG0000315	DR088_RS00595	B5C39_RS03490
OG0000316	DR088_RS00605	B5C39_RS03500
OG0000317	DR088_RS00695	B5C39_RS03590
OG0000318	DR088_RS04330	B5C39_RS03505
OG0000319	DR088_RS02870	B5C39_RS02510
OG0000320	DR088_RS02420	B5C39_RS02645
OG0000321	DR088_RS02610	B5C39_RS01565
OG0000322	DR088_RS02655	B5C39_RS01520
OG0000323	DR088_RS02545	B5C39_RS01390
OG0000324	DR088_RS02910	B5C39_RS02550
