Orthogroup	MHP_MHP709_genes	MHP_MHP699_genes
OG0000000	DR088_RS03570	DR100_RS02520
OG0000000	DR088_RS04655	DR100_RS02515
OG0000000	DR088_RS03495	DR100_RS04325
OG0000000	DR088_RS04105	DR100_RS04215
OG0000000	DR088_RS04100	DR100_RS04210
OG0000001	DR088_RS00215	DR100_RS01790
OG0000002	DR088_RS04280	DR100_RS04380
OG0000002	DR088_RS03455	DR100_RS04890
OG0000002	DR088_RS04510	DR100_RS04740
OG0000003	DR088_RS00355	DR100_RS03640
OG0000003	DR088_RS04215	DR100_RS04485
OG0000003	DR088_RS04580	DR100_RS04885
OG0000003	DR088_RS03645	DR100_RS03840
OG0000004	DR088_RS03400	DR100_RS03555
OG0000005	DR088_RS01950	DR100_RS01100
OG0000005	DR088_RS04585	DR100_RS04620
OG0000005	DR088_RS03545	DR100_RS04630
OG0000005	DR088_RS03300	DR100_RS04625
OG0000005	DR088_RS04590	DR100_RS04615
OG0000006	DR088_RS03035	DR100_RS04230
OG0000006	DR088_RS02425, DR088_RS04190	DR100_RS04245
OG0000007	DR088_RS03260	DR100_RS03495
OG0000007	DR088_RS03265	DR100_RS03500
OG0000007	DR088_RS03275	DR100_RS03510
OG0000008	DR088_RS03690	DR100_RS03845
OG0000008	DR088_RS04285	DR100_RS03680
OG0000009	DR088_RS02850	DR100_RS00780
OG0000010	DR088_RS00450	DR100_RS04925
OG0000010	DR088_RS03320, DR088_RS03295, DR088_RS03540, DR088_RS03660	DR100_RS01085
OG0000011	DR088_RS00560	DR100_RS01970
OG0000011	DR088_RS00555	DR100_RS01975
OG0000012	DR088_RS03650	DR100_RS03830
OG0000013	DR088_RS02380	DR100_RS02295
OG0000013	DR088_RS03910	DR100_RS03970
OG0000014	DR088_RS00785	DR100_RS03645
OG0000014	DR088_RS04355	DR100_RS04585
OG0000016	DR088_RS00255	DR100_RS01750
OG0000016	DR088_RS01355	DR100_RS00685
OG0000017	DR088_RS01370	DR100_RS00700
OG0000017	DR088_RS00265	DR100_RS01740
OG0000018	DR088_RS04550	DR100_RS04570, DR100_RS04715
OG0000019	DR088_RS04255	DR100_RS03760, DR100_RS03785, DR100_RS03745, DR100_RS03750
OG0000020	DR088_RS04465	DR100_RS03705
OG0000020	DR088_RS04470	DR100_RS04650
OG0000021	DR088_RS00360	DR100_RS03405, DR100_RS03710, DR100_RS03700
OG0000022	DR088_RS02355	DR100_RS02220
