Orthogroup	MHP_MHP709_genes	MFC_ATCC27716_genes
OG0000000	DR088_RS03530	MFC_RS01410
OG0000000	DR088_RS03470	MFC_RS02935
OG0000001	DR088_RS00985, DR088_RS00215, DR088_RS03735, DR088_RS03730	MFC_RS03350
OG0000002	DR088_RS04280, DR088_RS03525	MFC_RS00395
OG0000002	DR088_RS03455	MFC_RS02940
OG0000002	DR088_RS04510	MFC_RS00370
OG0000003	DR088_RS04580	MFC_RS02995
OG0000007	DR088_RS03260	MFC_RS02975
OG0000007	DR088_RS03265	MFC_RS02970
OG0000007	DR088_RS03275	MFC_RS02965
OG0000008	DR088_RS03690	MFC_RS03380
OG0000011	DR088_RS00560	MFC_RS03510, MFC_RS03505
OG0000011	DR088_RS00555	MFC_RS01350
OG0000013	DR088_RS02380	MFC_RS03175, MFC_RS02880
OG0000013	DR088_RS03910	MFC_RS03420
OG0000014	DR088_RS00785, DR088_RS04355	MFC_RS00870
OG0000016	DR088_RS00255	MFC_RS01050
OG0000017	DR088_RS01370	MFC_RS03155
OG0000017	DR088_RS00265	MFC_RS01040
OG0000018	DR088_RS04550	MFC_RS00540
OG0000019	DR088_RS04255	MFC_RS03000, MFC_RS03330
OG0000020	DR088_RS04465	MFC_RS00305
OG0000020	DR088_RS04470	MFC_RS00300
OG0000022	DR088_RS04515	MFC_RS00360
OG0000023	DR088_RS02595	MFC_RS00535, MFC_RS01695
OG0000024	DR088_RS00160, DR088_RS00975	MFC_RS01110
OG0000025	DR088_RS02305	MFC_RS00355
OG0000026	DR088_RS02640, DR088_RS02325	MFC_RS00580
OG0000027	DR088_RS04500	MFC_RS02850
OG0000029	DR088_RS01545, DR088_RS00770	MFC_RS00875
OG0000030	DR088_RS04445, DR088_RS04505	MFC_RS02855
OG0000031	DR088_RS03335	MFC_RS01295
OG0000032	DR088_RS03370	MFC_RS02685
OG0000032	DR088_RS02280	MFC_RS02860
OG0000033	DR088_RS02375	MFC_RS01210
OG0000037	DR088_RS03355	MFC_RS00375
OG0000039	DR088_RS03410	MFC_RS03135, MFC_RS00935
OG0000040	DR088_RS02000	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	DR088_RS03180	MFC_RS00930, MFC_RS01085
OG0000043	DR088_RS00525	MFC_RS01320
OG0000045	DR088_RS03415	MFC_RS00950
OG0000048	DR088_RS00705	MFC_RS00140
OG0000049	DR088_RS01390	MFC_RS03220, MFC_RS03365
OG0000050	DR088_RS02980	MFC_RS01260
OG0000051	DR088_RS00080	MFC_RS02240
OG0000052	DR088_RS01925	MFC_RS00160
OG0000053	DR088_RS04530	MFC_RS00665
OG0000054	DR088_RS03005	MFC_RS01235
OG0000055	DR088_RS03550	MFC_RS03415, MFC_RS03540
OG0000056	DR088_RS02115	MFC_RS00325
OG0000057	DR088_RS00335	MFC_RS00965
OG0000062	DR088_RS01815	MFC_RS00270
OG0000063	DR088_RS01810	MFC_RS00275
OG0000064	DR088_RS01800	MFC_RS00285
OG0000065	DR088_RS02890	MFC_RS00440
OG0000066	DR088_RS02630	MFC_RS00570
OG0000067	DR088_RS03105	MFC_RS00800
OG0000068	DR088_RS00735	MFC_RS00910
OG0000069	DR088_RS00230	MFC_RS01075
OG0000070	DR088_RS03010	MFC_RS01215
OG0000071	DR088_RS01990	MFC_RS01630
OG0000072	DR088_RS04430	MFC_RS01635
OG0000073	DR088_RS02825	MFC_RS03395, MFC_RS03390
OG0000074	DR088_RS04395	MFC_RS03400
OG0000075	DR088_RS01175	MFC_RS02565
OG0000076	DR088_RS01160	MFC_RS02580
OG0000077	DR088_RS01070	MFC_RS02670
OG0000078	DR088_RS02335	MFC_RS03005
OG0000079	DR088_RS03130	MFC_RS02930, MFC_RS03120
OG0000080	DR088_RS03700	MFC_RS03315
OG0000081	DR088_RS01180	MFC_RS03430, MFC_RS02560
OG0000082	DR088_RS04125, DR088_RS04120	MFC_RS02870
OG0000083	DR088_RS00630	MFC_RS00040
OG0000084	DR088_RS00655	MFC_RS00070
OG0000085	DR088_RS00660	MFC_RS00075
OG0000086	DR088_RS00670	MFC_RS00085
OG0000087	DR088_RS00685	MFC_RS03320
OG0000088	DR088_RS00690	MFC_RS00105
OG0000089	DR088_RS00700	MFC_RS00115
OG0000090	DR088_RS01920	MFC_RS00165
OG0000091	DR088_RS01905	MFC_RS00180
