Orthogroup	MHP_MHP709_genes	MHP_ES2_genes
OG0000000	DR088_RS03530	E5E95_RS02310
OG0000000	DR088_RS03570	E5E95_RS02235
OG0000000	DR088_RS03470	E5E95_RS02240
OG0000000	DR088_RS04655	E5E95_RS03920
OG0000000	DR088_RS03495	E5E95_RS02230
OG0000000	DR088_RS04105	E5E95_RS01830
OG0000000	DR088_RS04100	E5E95_RS04235, E5E95_RS01835
OG0000001	DR088_RS00215	E5E95_RS03000
OG0000001	DR088_RS03730	E5E95_RS04150
OG0000002	DR088_RS04280	E5E95_RS02320
OG0000002	DR088_RS03525	E5E95_RS02315
OG0000002	DR088_RS03455	E5E95_RS02250
OG0000002	DR088_RS04510	E5E95_RS01840
OG0000003	DR088_RS00355	E5E95_RS01870, E5E95_RS01915
OG0000003	DR088_RS04215	E5E95_RS04060
OG0000003	DR088_RS04580	E5E95_RS04070
OG0000003	DR088_RS03645	E5E95_RS03910
OG0000004	DR088_RS01540	E5E95_RS03410
OG0000004	DR088_RS03400	E5E95_RS03425
OG0000004	DR088_RS00350	E5E95_RS03215
OG0000005	DR088_RS01950	E5E95_RS00090
OG0000005	DR088_RS04585	E5E95_RS00110
OG0000005	DR088_RS03545	E5E95_RS00095
OG0000005	DR088_RS03300	E5E95_RS00100
OG0000005	DR088_RS04590	E5E95_RS00115
OG0000006	DR088_RS03035	E5E95_RS02705
OG0000006	DR088_RS04190	E5E95_RS04120, E5E95_RS04115
OG0000007	DR088_RS03260	E5E95_RS02300
OG0000007	DR088_RS03265	E5E95_RS02295
OG0000007	DR088_RS03275	E5E95_RS02290
OG0000008	DR088_RS03690	E5E95_RS03905
OG0000008	DR088_RS04285	E5E95_RS04135
OG0000009	DR088_RS02850	E5E95_RS00680
OG0000010	DR088_RS00450	E5E95_RS01970
OG0000011	DR088_RS00560	E5E95_RS02070
OG0000011	DR088_RS00555	E5E95_RS02060
OG0000013	DR088_RS02380	E5E95_RS02610
OG0000013	DR088_RS03910	E5E95_RS03955
OG0000014	DR088_RS00785	E5E95_RS01105
OG0000014	DR088_RS04355	E5E95_RS00605
OG0000016	DR088_RS00255	E5E95_RS03040
OG0000016	DR088_RS01355	E5E95_RS00160
OG0000017	DR088_RS01370	E5E95_RS00145
OG0000017	DR088_RS00265	E5E95_RS03050
OG0000018	DR088_RS04550	E5E95_RS01340, E5E95_RS02480
OG0000019	DR088_RS04255	E5E95_RS04175, E5E95_RS04180
OG0000020	DR088_RS04465	E5E95_RS03770
OG0000021	DR088_RS00360	E5E95_RS01875, E5E95_RS03845, E5E95_RS03755, E5E95_RS00510
OG0000022	DR088_RS02355	E5E95_RS01770
OG0000022	DR088_RS04515	E5E95_RS01825
OG0000023	DR088_RS02595	E5E95_RS01335, E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105
OG0000024	DR088_RS00160	E5E95_RS02945
