Orthogroup	MHP_4284_genes	MFC_MF30_genes
OG0000000	ABLE99_RS02150	DR084_RS02900
OG0000000	ABLE99_RS02215, ABLE99_RS02220, ABLE99_RS02225	DR084_RS02935
OG0000000	ABLE99_RS01670	DR084_RS02480
OG0000001	ABLE99_RS01250, ABLE99_RS02690, ABLE99_RS02640, ABLE99_RS02645	DR084_RS03095
OG0000002	ABLE99_RS02040, ABLE99_RS02035	DR084_RS03505
OG0000002	ABLE99_RS01675	DR084_RS03620
OG0000004	ABLE99_RS02925, ABLE99_RS02905	DR084_RS02890
OG0000011	ABLE99_RS01865	DR084_RS03145
OG0000011	ABLE99_RS01860	DR084_RS01055
OG0000013	ABLE99_RS02310	DR084_RS00890, DR084_RS00885
OG0000014	ABLE99_RS00590, ABLE99_RS01060	DR084_RS03465
OG0000016	ABLE99_RS02735	DR084_RS00585
OG0000017	ABLE99_RS00155	DR084_RS02415
OG0000017	ABLE99_RS02745	DR084_RS00575
OG0000019	ABLE99_RS02920, ABLE99_RS02915, ABLE99_RS02900, ABLE99_RS02930	DR084_RS03440
OG0000020	ABLE99_RS03415	DR084_RS02530
OG0000022	ABLE99_RS01665	DR084_RS03625
OG0000023	ABLE99_RS01285	DR084_RS01910
OG0000024	ABLE99_RS02635, ABLE99_RS01245	DR084_RS00640
OG0000025	ABLE99_RS01660	DR084_RS02490
OG0000026	ABLE99_RS01330, ABLE99_RS01640	DR084_RS01955
OG0000029	ABLE99_RS00595	DR084_RS00420
OG0000030	ABLE99_RS03215	DR084_RS03660
OG0000031	ABLE99_RS01555	DR084_RS01000
OG0000039	ABLE99_RS01570, ABLE99_RS01565	DR084_RS00480
OG0000040	ABLE99_RS03165	DR084_RS02240, DR084_RS00690
OG0000042	ABLE99_RS02830	DR084_RS00475, DR084_RS00620
OG0000043	ABLE99_RS01830	DR084_RS01025
OG0000045	ABLE99_RS01575	DR084_RS00485
OG0000048	ABLE99_RS02015	DR084_RS02740
OG0000049	ABLE99_RS02940	DR084_RS02050
OG0000050	ABLE99_RS02350	DR084_RS00965
OG0000051	ABLE99_RS02550	DR084_RS01670
OG0000052	ABLE99_RS00075	DR084_RS02375
OG0000053	ABLE99_RS01415	DR084_RS03670
OG0000054	ABLE99_RS02375	DR084_RS00940
OG0000055	ABLE99_RS00135	DR084_RS03600, DR084_RS03710
OG0000056	ABLE99_RS03395	DR084_RS02515
OG0000057	ABLE99_RS02815	DR084_RS00500
OG0000062	ABLE99_RS03445	DR084_RS02265
OG0000063	ABLE99_RS03440	DR084_RS03590
OG0000064	ABLE99_RS03430	DR084_RS02250
OG0000065	ABLE99_RS02085	DR084_RS01815
OG0000066	ABLE99_RS01320	DR084_RS01945
OG0000068	ABLE99_RS01015	DR084_RS00455
OG0000069	ABLE99_RS02710	DR084_RS00610
OG0000070	ABLE99_RS02380	DR084_RS00920
OG0000071	ABLE99_RS03155	DR084_RS01120, DR084_RS02230
OG0000072	ABLE99_RS03160	DR084_RS03585
OG0000073	ABLE99_RS00970	DR084_RS01245
OG0000074	ABLE99_RS00775	DR084_RS03540
OG0000075	ABLE99_RS00340	DR084_RS00175
OG0000076	ABLE99_RS00355	DR084_RS00190
OG0000077	ABLE99_RS00440	DR084_RS00275
OG0000078	ABLE99_RS01630	DR084_RS00725
OG0000079	ABLE99_RS02455	DR084_RS00835
OG0000080	ABLE99_RS02500	DR084_RS03130
OG0000081	ABLE99_RS00335	DR084_RS00170
OG0000082	ABLE99_RS02300	DR084_RS00895
OG0000083	ABLE99_RS01935	DR084_RS02845
OG0000084	ABLE99_RS01965	DR084_RS02690
OG0000085	ABLE99_RS01970	DR084_RS02695
OG0000086	ABLE99_RS01980	DR084_RS03665
OG0000087	ABLE99_RS01995	DR084_RS02720
OG0000088	ABLE99_RS02000	DR084_RS02725
OG0000089	ABLE99_RS02010	DR084_RS02735
OG0000090	ABLE99_RS00070	DR084_RS02370
OG0000091	ABLE99_RS00055	DR084_RS02355
OG0000092	ABLE99_RS00040	DR084_RS02340
OG0000093	ABLE99_RS00035	DR084_RS02335
OG0000094	ABLE99_RS00030	DR084_RS02330
OG0000095	ABLE99_RS00005	DR084_RS02305
OG0000096	ABLE99_RS03480	DR084_RS02300
OG0000097	ABLE99_RS03460	DR084_RS02280
OG0000098	ABLE99_RS03450	DR084_RS02270
OG0000099	ABLE99_RS03400	DR084_RS02520
OG0000100	ABLE99_RS03385	DR084_RS02510
OG0000101	ABLE99_RS03380	DR084_RS02505
OG0000102	ABLE99_RS01655	DR084_RS02495
OG0000103	ABLE99_RS02050	DR084_RS01780
OG0000104	ABLE99_RS02055	DR084_RS01785
OG0000105	ABLE99_RS02070	DR084_RS01800
OG0000106	ABLE99_RS02080	DR084_RS01810
OG0000107	ABLE99_RS02090	DR084_RS01820
OG0000108	ABLE99_RS02095	DR084_RS01825
OG0000109	ABLE99_RS02100	DR084_RS01830
OG0000110	ABLE99_RS02290	DR084_RS01835
OG0000111	ABLE99_RS02285	DR084_RS01840
OG0000112	ABLE99_RS02275	DR084_RS01850
OG0000113	ABLE99_RS02255	DR084_RS03550
OG0000114	ABLE99_RS02245	DR084_RS01875
OG0000115	ABLE99_RS02235	DR084_RS01885
OG0000116	ABLE99_RS01265	DR084_RS01895
OG0000117	ABLE99_RS01270	DR084_RS01900
OG0000118	ABLE99_RS01305	DR084_RS01930
OG0000119	ABLE99_RS01310	DR084_RS01935
OG0000120	ABLE99_RS01325	DR084_RS01950
OG0000121	ABLE99_RS01350	DR084_RS01975
OG0000122	ABLE99_RS01355	DR084_RS01980
OG0000123	ABLE99_RS01375	DR084_RS02000
OG0000124	ABLE99_RS01380	DR084_RS02005
OG0000125	ABLE99_RS01385	DR084_RS02010
OG0000126	ABLE99_RS01395	DR084_RS02020
OG0000127	ABLE99_RS01405	DR084_RS02030
OG0000128	ABLE99_RS01420	DR084_RS02760
OG0000129	ABLE99_RS01425	DR084_RS02765
OG0000130	ABLE99_RS01435	DR084_RS02775
OG0000131	ABLE99_RS01465	DR084_RS02805
OG0000132	ABLE99_RS01480	DR084_RS03675
OG0000133	ABLE99_RS00525	DR084_RS00350
OG0000134	ABLE99_RS00530	DR084_RS03455
OG0000135	ABLE99_RS00545	DR084_RS00370
OG0000136	ABLE99_RS00550	DR084_RS00375
OG0000137	ABLE99_RS00580	DR084_RS00405
OG0000138	ABLE99_RS01040	DR084_RS00430
OG0000139	ABLE99_RS01010	DR084_RS00460
OG0000140	ABLE99_RS01005	DR084_RS00465
OG0000141	ABLE99_RS02825	DR084_RS00490
OG0000142	ABLE99_RS02820	DR084_RS03470
OG0000143	ABLE99_RS02800	DR084_RS00520
OG0000144	ABLE99_RS02790	DR084_RS00530
OG0000145	ABLE99_RS02780	DR084_RS00540
OG0000146	ABLE99_RS02770	DR084_RS00550
OG0000147	ABLE99_RS02765	DR084_RS00555
OG0000148	ABLE99_RS02750	DR084_RS00570
OG0000149	ABLE99_RS02740	DR084_RS00580
OG0000150	ABLE99_RS02725	DR084_RS00595
OG0000151	ABLE99_RS02675	DR084_RS00645
OG0000152	ABLE99_RS02670	DR084_RS00650
OG0000153	ABLE99_RS02665	DR084_RS00655
OG0000154	ABLE99_RS02655	DR084_RS00665
OG0000155	ABLE99_RS02615	DR084_RS00685
OG0000156	ABLE99_RS02610	DR084_RS00700
OG0000157	ABLE99_RS02600	DR084_RS03475
