Orthogroup	MHP_4284_genes	MFC_Ms42_genes
OG0000000	ABLE99_RS02150	MYF_RS01330
OG0000000	ABLE99_RS02225	MYF_RS01460
OG0000000	ABLE99_RS01670	MYF_RS03330, MYF_RS03295
OG0000001	ABLE99_RS01250, ABLE99_RS02690, ABLE99_RS02640, ABLE99_RS02645	MYF_RS03415
OG0000002	ABLE99_RS02040, ABLE99_RS02035	MYF_RS01530
OG0000002	ABLE99_RS02210	MYF_RS01475
OG0000002	ABLE99_RS01675	MYF_RS03010
OG0000003	ABLE99_RS02155	MYF_RS01515
OG0000004	ABLE99_RS02895	MYF_RS02520
OG0000007	ABLE99_RS02160	MYF_RS01510
OG0000007	ABLE99_RS02165	MYF_RS01505
OG0000007	ABLE99_RS02170	MYF_RS01500
OG0000008	ABLE99_RS01590	MYF_RS01875
OG0000011	ABLE99_RS01865	MYF_RS03310
OG0000011	ABLE99_RS01860	MYF_RS01270
OG0000013	ABLE99_RS02310	MYF_RS03170, MYF_RS01100
OG0000014	ABLE99_RS00590, ABLE99_RS01060	MYF_RS00550
OG0000016	ABLE99_RS02735	MYF_RS00730
OG0000017	ABLE99_RS00155	MYF_RS03155
OG0000017	ABLE99_RS02745	MYF_RS00720
OG0000019	ABLE99_RS02920, ABLE99_RS02915	MYF_RS03450
OG0000019	ABLE99_RS02930	MYF_RS03440
OG0000020	ABLE99_RS03410	MYF_RS03080
OG0000020	ABLE99_RS03415	MYF_RS03085
OG0000022	ABLE99_RS01665	MYF_RS03025
OG0000023	ABLE99_RS01285	MYF_RS01670, MYF_RS01880
OG0000024	ABLE99_RS02635, ABLE99_RS01245	MYF_RS00790
OG0000025	ABLE99_RS01660	MYF_RS03030
OG0000026	ABLE99_RS01330, ABLE99_RS01640	MYF_RS01715
OG0000029	ABLE99_RS00595	MYF_RS00555
OG0000030	ABLE99_RS03215	MYF_RS02820
OG0000031	ABLE99_RS01555	MYF_RS01215
OG0000032	ABLE99_RS01535	MYF_RS03490
OG0000037	ABLE99_RS01540	MYF_RS03495
OG0000039	ABLE99_RS01570, ABLE99_RS01565	MYF_RS03160, MYF_RS00615
OG0000040	ABLE99_RS03165	MYF_RS02770, MYF_RS00840
OG0000042	ABLE99_RS02830	MYF_RS00610, MYF_RS00765
OG0000043	ABLE99_RS01830	MYF_RS01240
OG0000045	ABLE99_RS01575	MYF_RS00630
OG0000048	ABLE99_RS02015	MYF_RS01350
OG0000049	ABLE99_RS02940	MYF_RS03265, MYF_RS03455
OG0000050	ABLE99_RS02350	MYF_RS01180
OG0000051	ABLE99_RS02550	MYF_RS02420
OG0000052	ABLE99_RS00075	MYF_RS00075
OG0000053	ABLE99_RS01415	MYF_RS01800
OG0000054	ABLE99_RS02375	MYF_RS01155
OG0000055	ABLE99_RS00135	MYF_RS03395, MYF_RS03525
OG0000056	ABLE99_RS03395	MYF_RS03060
OG0000057	ABLE99_RS02815	MYF_RS00645
OG0000062	ABLE99_RS03445	MYF_RS03115
OG0000063	ABLE99_RS03440	MYF_RS03110
OG0000064	ABLE99_RS03430	MYF_RS03100
OG0000065	ABLE99_RS02085	MYF_RS01575
OG0000066	ABLE99_RS01320	MYF_RS01705
OG0000068	ABLE99_RS01015	MYF_RS00590
OG0000069	ABLE99_RS02710	MYF_RS00755
OG0000070	ABLE99_RS02380	MYF_RS01135
OG0000071	ABLE99_RS03155	MYF_RS02760
OG0000072	ABLE99_RS03160	MYF_RS02765
OG0000073	ABLE99_RS00970	MYF_RS02005
OG0000074	ABLE99_RS00775	MYF_RS02195
OG0000075	ABLE99_RS00340	MYF_RS00305
OG0000076	ABLE99_RS00355	MYF_RS00320
OG0000077	ABLE99_RS00440	MYF_RS00410
OG0000078	ABLE99_RS01630	MYF_RS00880
OG0000079	ABLE99_RS02455	MYF_RS01050
OG0000080	ABLE99_RS02500	MYF_RS01000, MYF_RS03365
OG0000081	ABLE99_RS00335	MYF_RS00300
OG0000082	ABLE99_RS02300	MYF_RS01110
OG0000083	ABLE99_RS01935	MYF_RS01430
OG0000084	ABLE99_RS01965	MYF_RS01400
OG0000085	ABLE99_RS01970	MYF_RS01395
OG0000086	ABLE99_RS01980	MYF_RS01385
OG0000087	ABLE99_RS01995	MYF_RS01370
OG0000088	ABLE99_RS02000	MYF_RS01365
OG0000089	ABLE99_RS02010	MYF_RS01355
OG0000090	ABLE99_RS00070	MYF_RS00070
OG0000091	ABLE99_RS00055	MYF_RS00055
OG0000092	ABLE99_RS00040	MYF_RS00040
OG0000093	ABLE99_RS00035	MYF_RS00035
OG0000094	ABLE99_RS00030	MYF_RS00030
OG0000095	ABLE99_RS00005	MYF_RS00005
OG0000096	ABLE99_RS03480	MYF_RS03150
OG0000097	ABLE99_RS03460	MYF_RS03130
OG0000098	ABLE99_RS03450	MYF_RS03120
OG0000099	ABLE99_RS03400	MYF_RS03065
OG0000100	ABLE99_RS03385	MYF_RS03050
OG0000101	ABLE99_RS03380	MYF_RS03045
OG0000102	ABLE99_RS01655	MYF_RS03035
OG0000103	ABLE99_RS02050	MYF_RS01540
OG0000104	ABLE99_RS02055	MYF_RS01545
OG0000105	ABLE99_RS02070	MYF_RS01560
OG0000106	ABLE99_RS02080	MYF_RS01570
OG0000107	ABLE99_RS02090	MYF_RS01580
OG0000108	ABLE99_RS02095	MYF_RS01585
OG0000109	ABLE99_RS02100	MYF_RS01590
OG0000110	ABLE99_RS02290	MYF_RS01595
OG0000111	ABLE99_RS02285	MYF_RS01600
OG0000112	ABLE99_RS02275	MYF_RS01610
OG0000113	ABLE99_RS02255	MYF_RS01625
OG0000114	ABLE99_RS02245	MYF_RS01635
OG0000115	ABLE99_RS02235	MYF_RS01645
OG0000116	ABLE99_RS01265	MYF_RS01655
OG0000117	ABLE99_RS01270	MYF_RS01660
OG0000118	ABLE99_RS01305	MYF_RS01690
OG0000119	ABLE99_RS01310	MYF_RS01695
OG0000120	ABLE99_RS01325	MYF_RS01710
OG0000121	ABLE99_RS01350	MYF_RS01735
OG0000122	ABLE99_RS01355	MYF_RS01740
OG0000123	ABLE99_RS01375	MYF_RS01760
OG0000124	ABLE99_RS01380	MYF_RS01765
OG0000125	ABLE99_RS01385	MYF_RS01770
OG0000126	ABLE99_RS01395	MYF_RS01780
OG0000127	ABLE99_RS01405	MYF_RS01790
OG0000128	ABLE99_RS01420	MYF_RS01805
OG0000129	ABLE99_RS01425	MYF_RS01810
OG0000130	ABLE99_RS01435	MYF_RS01820
OG0000131	ABLE99_RS01465	MYF_RS01850
OG0000132	ABLE99_RS01480	MYF_RS01865
OG0000133	ABLE99_RS00525	MYF_RS00485
OG0000134	ABLE99_RS00530	MYF_RS00490
OG0000135	ABLE99_RS00545	MYF_RS00505
OG0000136	ABLE99_RS00550	MYF_RS00510
OG0000137	ABLE99_RS00580	MYF_RS00540
OG0000138	ABLE99_RS01040	MYF_RS00565
OG0000139	ABLE99_RS01010	MYF_RS00595
OG0000140	ABLE99_RS01005	MYF_RS00600
OG0000141	ABLE99_RS02825	MYF_RS00635
OG0000142	ABLE99_RS02820	MYF_RS00640
OG0000143	ABLE99_RS02800	MYF_RS00665
OG0000144	ABLE99_RS02790	MYF_RS00675
OG0000145	ABLE99_RS02780	MYF_RS00685
OG0000146	ABLE99_RS02770	MYF_RS00695
OG0000147	ABLE99_RS02765	MYF_RS00700
OG0000148	ABLE99_RS02750	MYF_RS00715
OG0000149	ABLE99_RS02740	MYF_RS00725
OG0000150	ABLE99_RS02725	MYF_RS00740
OG0000151	ABLE99_RS02675	MYF_RS00795
OG0000152	ABLE99_RS02670	MYF_RS00800
OG0000153	ABLE99_RS02665	MYF_RS00805
OG0000154	ABLE99_RS02655	MYF_RS00815
OG0000155	ABLE99_RS02615	MYF_RS00835
OG0000156	ABLE99_RS02610	MYF_RS00855
OG0000157	ABLE99_RS02600	MYF_RS00860
OG0000158	ABLE99_RS02590	MYF_RS00870
OG0000159	ABLE99_RS02365	MYF_RS01165
OG0000160	ABLE99_RS02360	MYF_RS01170
OG0000161	ABLE99_RS02355	MYF_RS01175
OG0000162	ABLE99_RS02345	MYF_RS01185
OG0000163	ABLE99_RS02340	MYF_RS01190
OG0000164	ABLE99_RS01560	MYF_RS01220
OG0000165	ABLE99_RS01855	MYF_RS01265
OG0000166	ABLE99_RS01875	MYF_RS01285
OG0000167	ABLE99_RS01890	MYF_RS01300
OG0000168	ABLE99_RS01895	MYF_RS01305
OG0000169	ABLE99_RS02935	MYF_RS02560
OG0000170	ABLE99_RS02950	MYF_RS02585
OG0000171	ABLE99_RS02960	MYF_RS02595
OG0000172	ABLE99_RS02965	MYF_RS02600
OG0000173	ABLE99_RS02970	MYF_RS02605
OG0000174	ABLE99_RS02975	MYF_RS02610
OG0000175	ABLE99_RS02990	MYF_RS02625
OG0000176	ABLE99_RS03040	MYF_RS02670
OG0000177	ABLE99_RS03045	MYF_RS02675
OG0000178	ABLE99_RS03050	MYF_RS02680
OG0000179	ABLE99_RS03060	MYF_RS02690
OG0000180	ABLE99_RS03065	MYF_RS02695
OG0000181	ABLE99_RS03105	MYF_RS02710
OG0000182	ABLE99_RS03115	MYF_RS02720
OG0000183	ABLE99_RS03150	MYF_RS02755
OG0000184	ABLE99_RS03175	MYF_RS02785
OG0000185	ABLE99_RS03190	MYF_RS02800
OG0000186	ABLE99_RS01490	MYF_RS01895
OG0000187	ABLE99_RS01505	MYF_RS01910
OG0000188	ABLE99_RS01515	MYF_RS01920
OG0000189	ABLE99_RS02135	MYF_RS01930
OG0000190	ABLE99_RS02130	MYF_RS01935
OG0000191	ABLE99_RS02110	MYF_RS01955
OG0000192	ABLE99_RS01185	MYF_RS01965
OG0000193	ABLE99_RS01170	MYF_RS01980
OG0000194	ABLE99_RS00985	MYF_RS01990
OG0000195	ABLE99_RS00980	MYF_RS01995
OG0000196	ABLE99_RS00960	MYF_RS02015
OG0000197	ABLE99_RS00955	MYF_RS02020
OG0000198	ABLE99_RS00940	MYF_RS02035
OG0000199	ABLE99_RS00935	MYF_RS02040
OG0000200	ABLE99_RS00920	MYF_RS02050
OG0000201	ABLE99_RS00910	MYF_RS02060
OG0000202	ABLE99_RS00855	MYF_RS02115
OG0000203	ABLE99_RS00850	MYF_RS02120
OG0000204	ABLE99_RS00845	MYF_RS02125
OG0000205	ABLE99_RS00840	MYF_RS02130
OG0000206	ABLE99_RS00820	MYF_RS02150
OG0000207	ABLE99_RS00805	MYF_RS02165
OG0000208	ABLE99_RS00800	MYF_RS02170
OG0000209	ABLE99_RS00795	MYF_RS02175
OG0000210	ABLE99_RS00750	MYF_RS02220
OG0000211	ABLE99_RS00740	MYF_RS02230
OG0000212	ABLE99_RS00730	MYF_RS02240
OG0000213	ABLE99_RS00725	MYF_RS02245
OG0000214	ABLE99_RS00720	MYF_RS02250
OG0000215	ABLE99_RS00715	MYF_RS02255
OG0000216	ABLE99_RS00710	MYF_RS02260
OG0000217	ABLE99_RS00705	MYF_RS02265
OG0000218	ABLE99_RS00695	MYF_RS02275
OG0000219	ABLE99_RS00690	MYF_RS02280
OG0000220	ABLE99_RS00685	MYF_RS02285
OG0000221	ABLE99_RS00680	MYF_RS02290
OG0000222	ABLE99_RS00675	MYF_RS03240
OG0000223	ABLE99_RS00670	MYF_RS02295
OG0000224	ABLE99_RS00660	MYF_RS02305
OG0000225	ABLE99_RS00650	MYF_RS02315
OG0000226	ABLE99_RS00645	MYF_RS02320
OG0000227	ABLE99_RS00640	MYF_RS02325
OG0000228	ABLE99_RS00635	MYF_RS03530
OG0000229	ABLE99_RS00630	MYF_RS02335
OG0000230	ABLE99_RS00625	MYF_RS02340
OG0000231	ABLE99_RS00615	MYF_RS02350
OG0000232	ABLE99_RS00605	MYF_RS02360
OG0000233	ABLE99_RS01065	MYF_RS02370
OG0000234	ABLE99_RS01100	MYF_RS02400
OG0000235	ABLE99_RS01110	MYF_RS02410
OG0000236	ABLE99_RS01115	MYF_RS02415
OG0000237	ABLE99_RS01120	MYF_RS02430
OG0000238	ABLE99_RS01125	MYF_RS02435
