Orthogroup	MHP_4284_genes	MHP_KM014_genes
OG0000000	ABLE99_RS01670	CIB43_RS02595, CIB43_RS02600
OG0000001	ABLE99_RS02690	CIB43_RS03715
OG0000001	ABLE99_RS02640, ABLE99_RS02645	CIB43_RS03670
OG0000002	ABLE99_RS02040	CIB43_RS03100
OG0000002	ABLE99_RS02035	CIB43_RS04020
OG0000002	ABLE99_RS01675	CIB43_RS02610
OG0000003	ABLE99_RS00505	CIB43_RS01390
OG0000003	ABLE99_RS01760	CIB43_RS02725
OG0000004	ABLE99_RS03080	CIB43_RS00290
OG0000005	ABLE99_RS00100	CIB43_RS00810
OG0000005	ABLE99_RS00120	CIB43_RS00830
OG0000006	ABLE99_RS02400	CIB43_RS03435
OG0000006	ABLE99_RS02260, ABLE99_RS02230	CIB43_RS03420
OG0000007	ABLE99_RS02160	CIB43_RS03095
OG0000007	ABLE99_RS02165	CIB43_RS03080
OG0000007	ABLE99_RS02170	CIB43_RS03075
OG0000008	ABLE99_RS02145	CIB43_RS03225
OG0000009	ABLE99_RS00085	CIB43_RS00790
OG0000009	ABLE99_RS00995	CIB43_RS01550
OG0000010	ABLE99_RS01770	CIB43_RS02735
OG0000011	ABLE99_RS01865	CIB43_RS02850
OG0000014	ABLE99_RS00590	CIB43_RS01485
OG0000015	ABLE99_RS01525	CIB43_RS01220
OG0000016	ABLE99_RS02735	CIB43_RS03755
OG0000017	ABLE99_RS00155	CIB43_RS00855
OG0000017	ABLE99_RS02745	CIB43_RS03765
OG0000019	ABLE99_RS02900	CIB43_RS00115
OG0000019	ABLE99_RS02930	CIB43_RS03950, CIB43_RS00005
OG0000020	ABLE99_RS03415	CIB43_RS00635
OG0000022	ABLE99_RS01665	CIB43_RS02590
OG0000023	ABLE99_RS01285	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195
OG0000024	ABLE99_RS01245	CIB43_RS02140
OG0000025	ABLE99_RS01660	CIB43_RS02585
OG0000026	ABLE99_RS01640	CIB43_RS02565
OG0000028	ABLE99_RS02320	CIB43_RS03325
OG0000035	ABLE99_RS03090	CIB43_RS00280
OG0000036	ABLE99_RS00115	CIB43_RS00815
OG0000037	ABLE99_RS01540	CIB43_RS02475, CIB43_RS02465
OG0000038	ABLE99_RS00495, ABLE99_RS01685	CIB43_RS02625
OG0000039	ABLE99_RS01570, ABLE99_RS01565	CIB43_RS02500
OG0000042	ABLE99_RS02830	CIB43_RS03855
OG0000043	ABLE99_RS01830	CIB43_RS02825
OG0000043	ABLE99_RS01830	CIB43_RS00070
OG0000044	ABLE99_RS01720	CIB43_RS02665
OG0000045	ABLE99_RS01575	CIB43_RS02520
OG0000048	ABLE99_RS02015	CIB43_RS02995
OG0000049	ABLE99_RS02940	CIB43_RS00150
OG0000051	ABLE99_RS02550	CIB43_RS03575
OG0000052	ABLE99_RS00075	CIB43_RS00775
OG0000053	ABLE99_RS01415	CIB43_RS02315
OG0000054	ABLE99_RS02375	CIB43_RS03395
OG0000055	ABLE99_RS00135	CIB43_RS00835
OG0000056	ABLE99_RS03395	CIB43_RS00630, CIB43_RS03960
OG0000057	ABLE99_RS02815	CIB43_RS03840
OG0000060	ABLE99_RS01160	CIB43_RS00780
OG0000061	ABLE99_RS01780	CIB43_RS02745
OG0000062	ABLE99_RS03445	CIB43_RS00675
OG0000063	ABLE99_RS03440	CIB43_RS00660
OG0000064	ABLE99_RS03430	CIB43_RS00650
OG0000065	ABLE99_RS02085	CIB43_RS03145
OG0000068	ABLE99_RS01015	CIB43_RS01520
OG0000069	ABLE99_RS02710	CIB43_RS03740
OG0000070	ABLE99_RS02380	CIB43_RS03400
OG0000071	ABLE99_RS03155	CIB43_RS00360
OG0000072	ABLE99_RS03160	CIB43_RS00375
OG0000073	ABLE99_RS00970	CIB43_RS01580
OG0000075	ABLE99_RS00340	CIB43_RS01060
OG0000077	ABLE99_RS00440	CIB43_RS01330
OG0000078	ABLE99_RS01630	CIB43_RS02560
OG0000079	ABLE99_RS02455	CIB43_RS03480
OG0000080	ABLE99_RS02500	CIB43_RS03525
OG0000081	ABLE99_RS00335	CIB43_RS01055
OG0000082	ABLE99_RS02300	CIB43_RS03315
OG0000083	ABLE99_RS01935	CIB43_RS02935
OG0000084	ABLE99_RS01965	CIB43_RS02955
OG0000086	ABLE99_RS01980	CIB43_RS02970
OG0000087	ABLE99_RS01995	CIB43_RS02975
OG0000088	ABLE99_RS02000	CIB43_RS02980
OG0000089	ABLE99_RS02010	CIB43_RS02990
OG0000090	ABLE99_RS00070	CIB43_RS00770
OG0000091	ABLE99_RS00055	CIB43_RS00760
OG0000092	ABLE99_RS00040	CIB43_RS00745
OG0000093	ABLE99_RS00035	CIB43_RS00735
OG0000094	ABLE99_RS00030	CIB43_RS00730
OG0000095	ABLE99_RS00005	CIB43_RS00715
OG0000096	ABLE99_RS03480	CIB43_RS00700
OG0000097	ABLE99_RS03460	CIB43_RS00690
OG0000100	ABLE99_RS03385	CIB43_RS00610
OG0000101	ABLE99_RS03380	CIB43_RS00600
OG0000102	ABLE99_RS01655	CIB43_RS02580
OG0000103	ABLE99_RS02050	CIB43_RS03110
OG0000104	ABLE99_RS02055	CIB43_RS03120
OG0000105	ABLE99_RS02070	CIB43_RS03130
OG0000106	ABLE99_RS02080	CIB43_RS03140
OG0000107	ABLE99_RS02090	CIB43_RS03150
OG0000108	ABLE99_RS02095	CIB43_RS03155
OG0000109	ABLE99_RS02100	CIB43_RS03160
OG0000110	ABLE99_RS02290	CIB43_RS03290
OG0000111	ABLE99_RS02285	CIB43_RS03285
OG0000112	ABLE99_RS02275	CIB43_RS03280
OG0000113	ABLE99_RS02255	CIB43_RS03260
OG0000114	ABLE99_RS02245	CIB43_RS03245
OG0000115	ABLE99_RS02235	CIB43_RS03230
OG0000116	ABLE99_RS01265	CIB43_RS02165
OG0000117	ABLE99_RS01270	CIB43_RS02170
OG0000118	ABLE99_RS01305	CIB43_RS02205
OG0000119	ABLE99_RS01310	CIB43_RS02210
OG0000120	ABLE99_RS01325	CIB43_RS02230
OG0000121	ABLE99_RS01350	CIB43_RS02250
OG0000122	ABLE99_RS01355	CIB43_RS02255
OG0000123	ABLE99_RS01375	CIB43_RS02275
OG0000124	ABLE99_RS01380	CIB43_RS02280
OG0000125	ABLE99_RS01385	CIB43_RS02285
OG0000126	ABLE99_RS01395	CIB43_RS02295
OG0000127	ABLE99_RS01405	CIB43_RS02305
OG0000128	ABLE99_RS01420	CIB43_RS02320
OG0000129	ABLE99_RS01425	CIB43_RS02330
OG0000130	ABLE99_RS01435	CIB43_RS02335
OG0000131	ABLE99_RS01465	CIB43_RS02370
OG0000132	ABLE99_RS01480	CIB43_RS02385
OG0000133	ABLE99_RS00525	CIB43_RS01415
OG0000134	ABLE99_RS00530	CIB43_RS01425
OG0000135	ABLE99_RS00545	CIB43_RS01435
OG0000136	ABLE99_RS00550	CIB43_RS01440
OG0000137	ABLE99_RS00580	CIB43_RS01470
OG0000138	ABLE99_RS01040	CIB43_RS01495
OG0000139	ABLE99_RS01010	CIB43_RS01525
OG0000140	ABLE99_RS01005	CIB43_RS01540
OG0000141	ABLE99_RS02825	CIB43_RS03850
OG0000142	ABLE99_RS02820	CIB43_RS03845
OG0000143	ABLE99_RS02800	CIB43_RS03835
OG0000144	ABLE99_RS02790	CIB43_RS03815
OG0000145	ABLE99_RS02780	CIB43_RS03805
OG0000146	ABLE99_RS02770	CIB43_RS03790
OG0000147	ABLE99_RS02765	CIB43_RS03785
OG0000148	ABLE99_RS02750	CIB43_RS03780
OG0000149	ABLE99_RS02740	CIB43_RS03760
OG0000150	ABLE99_RS02725	CIB43_RS03745
OG0000151	ABLE99_RS02675	CIB43_RS03700
OG0000152	ABLE99_RS02670	CIB43_RS03695
OG0000153	ABLE99_RS02665	CIB43_RS03690
OG0000154	ABLE99_RS02655	CIB43_RS03680
OG0000155	ABLE99_RS02615	CIB43_RS03645
OG0000156	ABLE99_RS02610	CIB43_RS03635
OG0000157	ABLE99_RS02600	CIB43_RS03625
OG0000158	ABLE99_RS02590	CIB43_RS03620
OG0000159	ABLE99_RS02365	CIB43_RS03385
OG0000160	ABLE99_RS02360	CIB43_RS03380
OG0000161	ABLE99_RS02355	CIB43_RS03375
OG0000163	ABLE99_RS02340	CIB43_RS03370
OG0000164	ABLE99_RS01560	CIB43_RS02495
OG0000165	ABLE99_RS01855	CIB43_RS02840
OG0000166	ABLE99_RS01875	CIB43_RS02860
OG0000167	ABLE99_RS01890	CIB43_RS02875
OG0000168	ABLE99_RS01895	CIB43_RS02880
OG0000169	ABLE99_RS02935	CIB43_RS00130
OG0000171	ABLE99_RS02960	CIB43_RS00155
OG0000172	ABLE99_RS02965	CIB43_RS00160
OG0000173	ABLE99_RS02970	CIB43_RS00165
OG0000174	ABLE99_RS02975	CIB43_RS00170
OG0000175	ABLE99_RS02990	CIB43_RS00190
OG0000176	ABLE99_RS03040	CIB43_RS00235
OG0000177	ABLE99_RS03045	CIB43_RS00240
OG0000178	ABLE99_RS03050	CIB43_RS00245
OG0000179	ABLE99_RS03060	CIB43_RS00255
OG0000180	ABLE99_RS03065	CIB43_RS00260
OG0000181	ABLE99_RS03105	CIB43_RS00310
OG0000182	ABLE99_RS03115	CIB43_RS00320
OG0000183	ABLE99_RS03150	CIB43_RS00355
OG0000184	ABLE99_RS03175	CIB43_RS00430
OG0000185	ABLE99_RS03190	CIB43_RS00380
OG0000186	ABLE99_RS01490	CIB43_RS02400
OG0000187	ABLE99_RS01505	CIB43_RS02410
OG0000188	ABLE99_RS01515	CIB43_RS02425
OG0000189	ABLE99_RS02135	CIB43_RS03200
OG0000190	ABLE99_RS02130	CIB43_RS03195
OG0000191	ABLE99_RS02110	CIB43_RS03180
OG0000192	ABLE99_RS01185	CIB43_RS02085
OG0000193	ABLE99_RS01170	CIB43_RS02075
OG0000194	ABLE99_RS00985	CIB43_RS01560
OG0000195	ABLE99_RS00980	CIB43_RS01565
OG0000196	ABLE99_RS00960	CIB43_RS01585
OG0000197	ABLE99_RS00955	CIB43_RS01590
OG0000198	ABLE99_RS00940	CIB43_RS01605
OG0000199	ABLE99_RS00935	CIB43_RS01615
OG0000200	ABLE99_RS00920	CIB43_RS01630
OG0000201	ABLE99_RS00910	CIB43_RS01635
OG0000202	ABLE99_RS00855	CIB43_RS01690
OG0000203	ABLE99_RS00850	CIB43_RS01695
OG0000204	ABLE99_RS00845	CIB43_RS01700
OG0000205	ABLE99_RS00840	CIB43_RS01705
OG0000206	ABLE99_RS00820	CIB43_RS01735
OG0000207	ABLE99_RS00805	CIB43_RS01740
OG0000208	ABLE99_RS00800	CIB43_RS01745
OG0000209	ABLE99_RS00795	CIB43_RS01750
OG0000210	ABLE99_RS00750	CIB43_RS01800
OG0000211	ABLE99_RS00740	CIB43_RS01805
OG0000212	ABLE99_RS00730	CIB43_RS01815
OG0000213	ABLE99_RS00725	CIB43_RS01820
OG0000214	ABLE99_RS00720	CIB43_RS01825
OG0000215	ABLE99_RS00715	CIB43_RS01830
OG0000216	ABLE99_RS00710	CIB43_RS01835
OG0000217	ABLE99_RS00705	CIB43_RS01845
OG0000218	ABLE99_RS00695	CIB43_RS01850
OG0000219	ABLE99_RS00690	CIB43_RS01855
OG0000220	ABLE99_RS00685	CIB43_RS01860
OG0000221	ABLE99_RS00680	CIB43_RS01865
OG0000222	ABLE99_RS00675	CIB43_RS01870
OG0000223	ABLE99_RS00670	CIB43_RS01875
OG0000225	ABLE99_RS00650	CIB43_RS01895
OG0000226	ABLE99_RS00645	CIB43_RS01900
OG0000227	ABLE99_RS00640	CIB43_RS01905
OG0000228	ABLE99_RS00635	CIB43_RS01910
OG0000229	ABLE99_RS00630	CIB43_RS01915
OG0000230	ABLE99_RS00625	CIB43_RS01920
OG0000231	ABLE99_RS00615	CIB43_RS01935
OG0000232	ABLE99_RS00605	CIB43_RS01940
OG0000233	ABLE99_RS01065	CIB43_RS01965
OG0000234	ABLE99_RS01100	CIB43_RS02000
OG0000235	ABLE99_RS01110	CIB43_RS02005
OG0000236	ABLE99_RS01115	CIB43_RS02010
OG0000237	ABLE99_RS01120	CIB43_RS02015
OG0000238	ABLE99_RS01125	CIB43_RS02025
OG0000239	ABLE99_RS02835	CIB43_RS03860
OG0000240	ABLE99_RS02840	CIB43_RS03870
OG0000241	ABLE99_RS02850	CIB43_RS03875
OG0000242	ABLE99_RS02855	CIB43_RS03880
OG0000243	ABLE99_RS02860	CIB43_RS03885
OG0000244	ABLE99_RS02870	CIB43_RS03900
OG0000245	ABLE99_RS02880	CIB43_RS03905
OG0000246	ABLE99_RS00140	CIB43_RS00845
OG0000247	ABLE99_RS00150	CIB43_RS00850
OG0000248	ABLE99_RS00160	CIB43_RS00875
OG0000250	ABLE99_RS00185	CIB43_RS00885
OG0000251	ABLE99_RS00210	CIB43_RS00925
OG0000252	ABLE99_RS00220	CIB43_RS00930
OG0000253	ABLE99_RS00225	CIB43_RS00940
OG0000254	ABLE99_RS00235	CIB43_RS00950
OG0000255	ABLE99_RS00240	CIB43_RS00955
OG0000256	ABLE99_RS00245	CIB43_RS00960
OG0000257	ABLE99_RS00270	CIB43_RS00985
OG0000258	ABLE99_RS00280	CIB43_RS01015
OG0000259	ABLE99_RS00310	CIB43_RS01030
OG0000260	ABLE99_RS00320	CIB43_RS01045
OG0000262	ABLE99_RS00345	CIB43_RS01075
OG0000263	ABLE99_RS00360	CIB43_RS01080
OG0000264	ABLE99_RS00375	CIB43_RS01100
OG0000265	ABLE99_RS00385	CIB43_RS01110
OG0000266	ABLE99_RS00400	CIB43_RS01120
OG0000267	ABLE99_RS00415	CIB43_RS01135
OG0000268	ABLE99_RS00420	CIB43_RS01305
OG0000269	ABLE99_RS00435	CIB43_RS01320
OG0000270	ABLE99_RS03355	CIB43_RS00575
OG0000271	ABLE99_RS03350	CIB43_RS00570
OG0000272	ABLE99_RS03345	CIB43_RS00565
OG0000273	ABLE99_RS03340	CIB43_RS00560
OG0000274	ABLE99_RS03320	CIB43_RS00545
OG0000275	ABLE99_RS03315	CIB43_RS00535
OG0000276	ABLE99_RS03310	CIB43_RS00530
OG0000277	ABLE99_RS03300	CIB43_RS00525
OG0000278	ABLE99_RS03295	CIB43_RS00515
OG0000279	ABLE99_RS03285	CIB43_RS00510
OG0000280	ABLE99_RS03280	CIB43_RS00500
OG0000281	ABLE99_RS03275	CIB43_RS00495
OG0000283	ABLE99_RS03245	CIB43_RS00475
OG0000284	ABLE99_RS03240	CIB43_RS00460
