Orthogroup	MHP_168L_proteins	MHP_Ue273_proteins
OG0000000	WP_318023914.1	WP_347952487.1
OG0000000	WP_044889037.1	WP_347952221.1
OG0000000	WP_016340207.1	WP_347952456.1
OG0000000	WP_233417365.1	WP_347952486.1
OG0000001	WP_014579709.1	WP_347952413.1
OG0000001	WP_228365393.1	WP_347952263.1
OG0000001	WP_014579924.1, WP_014579925.1	WP_347952260.1
OG0000002	WP_228365382.1	WP_020835748.1
OG0000002	WP_011206235.1	WP_011206235.1
OG0000002	WP_014579753.1	WP_347952457.1
OG0000003	WP_014579780.1	WP_347952373.1
OG0000003	WP_014579584.1	WP_347952470.1
OG0000003	WP_052293597.1	WP_192894277.1
OG0000004	WP_014579982.1	WP_347952295.1
OG0000004	WP_044889045.1	WP_347952296.1
OG0000005	WP_014579527.1	WP_347952342.1
OG0000005	WP_014579529.1	WP_347952343.1
OG0000005	WP_044889029.1	WP_146379451.1, WP_347952346.1
OG0000006	WP_014579886.1, WP_044278023.1	WP_347952241.1
OG0000008	WP_016340224.1	WP_347952220.1
OG0000008	WP_233417351.1	WP_347952490.1
OG0000009	WP_014579653.1	WP_041361566.1
OG0000009	WP_233417359.1	WP_011290021.1
OG0000010	WP_014579794.1	WP_347952475.1
OG0000010	WP_016340203.1	WP_347952432.1
OG0000010	WP_228365400.1	WP_258555487.1
OG0000011	WP_081632348.1	WP_347952482.1
OG0000011	WP_014579809.1	WP_347952481.1
OG0000013	WP_233417349.1	WP_347952233.1
OG0000013	WP_233417357.1	WP_347952491.1
OG0000014	WP_014579661.1	WP_347952397.1
OG0000014	WP_014579660.1	WP_347952382.1
OG0000015	WP_014579770.1, WP_014580032.1	WP_277620667.1
OG0000016	WP_014579937.1	WP_347952265.1
OG0000016	WP_044889030.1	WP_347952351.1
OG0000017	WP_228365403.1	WP_243215933.1
OG0000017	WP_014579938.1	WP_020835837.1
OG0000019	WP_016340245.1	WP_347952278.1, WP_347952280.1
OG0000020	WP_014580041.1	WP_347952330.1
OG0000020	WP_187286313.1	WP_347952331.1
OG0000022	WP_044277993.1	WP_347952446.1
OG0000022	WP_014579755.1	WP_347952455.1
OG0000024	WP_014579922.1	WP_160585687.1
OG0000024	WP_044277983.1, WP_014579707.1	WP_347952412.1
OG0000025	WP_011284074.1	WP_347952447.1
OG0000025	WP_014579756.1	WP_347952453.1
OG0000026	WP_044284614.1	WP_347952418.1
OG0000026	WP_014579760.1	WP_011206159.1
OG0000027	WP_011206475.1	WP_347952308.1
OG0000027	WP_014580004.1	WP_160585589.1
OG0000029	WP_016340189.1	WP_347952396.1
OG0000029	WP_014579659.1	WP_347952383.1
OG0000030	WP_014580003.1	WP_160584917.1
OG0000031	WP_011284063.1	WP_011206142.1
OG0000032	WP_014580002.1	WP_347952310.1
OG0000035	WP_014579983.1	WP_347952297.1
OG0000035	WP_014579981.1	WP_347952292.1
OG0000036	WP_014579530.1	WP_347952344.1, WP_347952347.1
OG0000037	WP_081632347.1	WP_347952485.1
OG0000038	WP_016340186.1, WP_014579779.1	WP_347952461.1
OG0000039	WP_187286318.1	WP_347952442.1, WP_347952441.1
OG0000040	WP_014579993.1	WP_347952301.1
OG0000041	WP_014579652.1	WP_011290019.1
OG0000042	WP_016340243.1	WP_347952270.1, WP_347952269.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579681.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_228365422.1	WP_160585827.1
OG0000046	WP_014579994.1	WP_347952303.1
OG0000047	WP_044889034.1	WP_347952436.1
OG0000048	WP_014579838.1	WP_347952212.1
OG0000049	WP_014579961.1	WP_020835860.1
OG0000050	WP_016340231.1	WP_347952238.1
OG0000051	WP_044278027.1, WP_014579910.1	WP_347952252.1
OG0000052	WP_014579524.1	WP_011289937.1
OG0000053	WP_014579730.1	WP_347952425.1
OG0000054	WP_014579883.1	WP_347952240.1
OG0000055	WP_014579531.1	WP_146379455.1
OG0000056	WP_143826159.1	WP_347952327.1
OG0000057	WP_014579950.1	WP_347952267.1, WP_347952268.1
OG0000060	WP_228365399.1	WP_020835489.1
OG0000062	WP_014580045.1	WP_160588098.1
OG0000063	WP_016340258.1	WP_160606495.1
OG0000064	WP_014580043.1	WP_347952332.1
OG0000065	WP_016340219.1	WP_347952215.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_014579588.1	WP_347952376.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011284269.1
OG0000070	WP_014579884.1	WP_011206292.1
OG0000071	WP_014579991.1	WP_347952299.1
OG0000072	WP_014579992.1	WP_347952300.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_014579624.1	WP_179221041.1
OG0000075	WP_014579568.1	WP_135618517.1
OG0000077	WP_014579581.1	WP_347952370.1
OG0000078	WP_014579762.1	WP_347952448.1
OG0000079	WP_011206305.1	WP_146379663.1
OG0000080	WP_179695988.1	WP_179695988.1
OG0000081	WP_044889031.1	WP_347952367.1
OG0000082	WP_228365386.1, WP_228365387.1	WP_347952488.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_014579845.1	WP_011284142.1
OG0000085	WP_014579844.1	WP_011206223.1
OG0000086	WP_014579843.1	WP_347952209.1
OG0000087	WP_014579840.1	WP_020835732.1
OG0000088	WP_014579839.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_347952211.1
OG0000090	WP_016340175.1	WP_020835488.1
OG0000091	WP_014579522.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_020835483.1
OG0000095	WP_014579516.1	WP_347952339.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_014580048.1	WP_347952335.1
OG0000098	WP_014580046.1	WP_347952333.1
OG0000099	WP_016340255.1	WP_347952328.1
OG0000100	WP_014580027.1	WP_347952325.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_016340208.1	WP_347952452.1
OG0000103	WP_014579835.1	WP_011290214.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_014579832.1	WP_347952214.1
OG0000106	WP_014579830.1	WP_146379631.1
OG0000107	WP_016340218.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_192894278.1
OG0000109	WP_014579826.1	WP_347952216.1
OG0000110	WP_014579870.1	WP_347952231.1
OG0000111	WP_044278012.1	WP_347952230.1
OG0000112	WP_228365385.1	WP_347952229.1
OG0000113	WP_014579864.1	WP_347952226.1
OG0000114	WP_044278010.1	WP_347952224.1
OG0000115	WP_014579859.1	WP_011284183.1
OG0000116	WP_014579712.1	WP_347952415.1
OG0000117	WP_014579713.1	WP_347952416.1
OG0000118	WP_011284023.1	WP_179696056.1
OG0000119	WP_044277984.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011290114.1	WP_011284032.1
OG0000122	WP_014579725.1	WP_020835643.1
OG0000123	WP_016340201.1	WP_011205954.1
OG0000124	WP_014579726.1	WP_347952423.1
OG0000125	WP_011205952.1	WP_347952424.1
OG0000126	WP_011290120.1	WP_011290120.1
OG0000127	WP_011284040.1	WP_011290122.1
OG0000128	WP_014579731.1	WP_347952426.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_014579734.1	WP_146379566.1
OG0000132	WP_014579737.1	WP_011205939.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_228365407.1	WP_347952377.1
