Orthogroup	MHP_TB1_genes	MHP_KM014_genes
OG0000000	B5M19_RS02095	CIB43_RS02595, CIB43_RS02600
OG0000001	B5M19_RS04385	CIB43_RS02150
OG0000001	B5M19_RS02555	CIB43_RS03715
OG0000001	B5M19_RS02505, B5M19_RS02510	CIB43_RS03670
OG0000002	B5M19_RS04465	CIB43_RS03100
OG0000002	B5M19_RS02105	CIB43_RS02610
OG0000003	B5M19_RS03885	CIB43_RS02725
OG0000005	B5M19_RS00020	CIB43_RS00810
OG0000006	B5M19_RS03635, B5M19_RS03630	CIB43_RS03435
OG0000006	B5M19_RS03605, B5M19_RS02695	CIB43_RS03420
OG0000008	B5M19_RS03790	CIB43_RS03225
OG0000009	B5M19_RS04265	CIB43_RS01550
OG0000010	B5M19_RS00670	CIB43_RS02735
OG0000010	B5M19_RS00015	CIB43_RS00795
OG0000011	B5M19_RS04080	CIB43_RS02850
OG0000014	B5M19_RS03715	CIB43_RS01955
OG0000015	B5M19_RS02855	CIB43_RS01235
OG0000015	B5M19_RS02335	CIB43_RS00010
OG0000015	B5M19_RS03260	CIB43_RS01220
OG0000016	B5M19_RS01425	CIB43_RS03755
OG0000017	B5M19_RS00065	CIB43_RS00855
OG0000017	B5M19_RS01415	CIB43_RS03765
OG0000018	B5M19_RS04450	CIB43_RS01250
OG0000018	B5M19_RS04445	CIB43_RS01185
OG0000020	B5M19_RS02010	CIB43_RS00635
OG0000021	B5M19_RS03625	CIB43_RS02635
OG0000022	B5M19_RS02090	CIB43_RS02590
OG0000023	B5M19_RS04365	CIB43_RS00020
OG0000024	B5M19_RS04395	CIB43_RS02140
OG0000025	B5M19_RS02085	CIB43_RS02585
OG0000026	B5M19_RS02065	CIB43_RS02565
OG0000027	B5M19_RS00550	CIB43_RS00440
OG0000028	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475	CIB43_RS03340
OG0000030	B5M19_RS00555	CIB43_RS00435
OG0000031	B5M19_RS04360	CIB43_RS01295, CIB43_RS00065
OG0000035	B5M19_RS01610	CIB43_RS00280
OG0000035	B5M19_RS04235	CIB43_RS00270
OG0000036	B5M19_RS00040	CIB43_RS00815
OG0000039	B5M19_RS03320	CIB43_RS02500
OG0000041	B5M19_RS03050	CIB43_RS03980
OG0000042	B5M19_RS01320	CIB43_RS03855
OG0000043	B5M19_RS00735	CIB43_RS02825
OG0000043	B5M19_RS02270	CIB43_RS00070
OG0000044	B5M19_RS00620	CIB43_RS02665
OG0000045	B5M19_RS03325	CIB43_RS02520
OG0000047	B5M19_RS03245	CIB43_RS01205
OG0000047	B5M19_RS02295	CIB43_RS00045
OG0000048	B5M19_RS03695	CIB43_RS02995
OG0000049	B5M19_RS01455	CIB43_RS00150
OG0000051	B5M19_RS04110, B5M19_RS00915	CIB43_RS03575
OG0000052	B5M19_RS00005	CIB43_RS00775
OG0000053	B5M19_RS01120	CIB43_RS02315
OG0000054	B5M19_RS02800	CIB43_RS03395
OG0000055	B5M19_RS00045	CIB43_RS00835
OG0000056	B5M19_RS00375	CIB43_RS00630, CIB43_RS03960
OG0000057	B5M19_RS01340	CIB43_RS03840
OG0000058	B5M19_RS02250	CIB43_RS00085
OG0000058	B5M19_RS02905	CIB43_RS01300
OG0000059	B5M19_RS02265	CIB43_RS00080, CIB43_RS01165
OG0000060	B5M19_RS04370, B5M19_RS03995	CIB43_RS00780
OG0000061	B5M19_RS03265	CIB43_RS02745
OG0000062	B5M19_RS01970	CIB43_RS00675
OG0000063	B5M19_RS01975	CIB43_RS00660
OG0000064	B5M19_RS01990	CIB43_RS00650
OG0000065	B5M19_RS02925	CIB43_RS03145
OG0000068	B5M19_RS04480	CIB43_RS01520
OG0000069	B5M19_RS03520	CIB43_RS03740
OG0000070	B5M19_RS02795	CIB43_RS03400
OG0000071	B5M19_RS02995	CIB43_RS00360
OG0000072	B5M19_RS02990	CIB43_RS00375
OG0000073	B5M19_RS01840	CIB43_RS01580
OG0000075	B5M19_RS00265	CIB43_RS01060
OG0000077	B5M19_RS03440	CIB43_RS01330
OG0000078	B5M19_RS02055	CIB43_RS02560
OG0000079	B5M19_RS01010	CIB43_RS03480
OG0000080	B5M19_RS03900	CIB43_RS03525
OG0000081	B5M19_RS00260	CIB43_RS01055
OG0000082	B5M19_RS04415	CIB43_RS03315
OG0000083	B5M19_RS00845	CIB43_RS02935
OG0000084	B5M19_RS02760	CIB43_RS02955
OG0000086	B5M19_RS02745	CIB43_RS02970
OG0000087	B5M19_RS02730	CIB43_RS02975
OG0000088	B5M19_RS02725	CIB43_RS02980
OG0000089	B5M19_RS03690	CIB43_RS02990
OG0000090	B5M19_RS03775	CIB43_RS00770
OG0000091	B5M19_RS04280	CIB43_RS00760
