Orthogroup	MHP_TB1_genes	MFC_MF29_genes
OG0000000	B5M19_RS04470	DR095_RS03080
OG0000000	B5M19_RS02095	DR095_RS01240
OG0000001	B5M19_RS02595, B5M19_RS04385, B5M19_RS02555, B5M19_RS02505, B5M19_RS02510	DR095_RS00305, DR095_RS00300
OG0000002	B5M19_RS02105	DR095_RS03820
OG0000008	B5M19_RS03340	DR095_RS03220
OG0000011	B5M19_RS04080, B5M19_RS00770	DR095_RS03240, DR095_RS03235
OG0000011	B5M19_RS00765	DR095_RS03230
OG0000013	B5M19_RS02640	DR095_RS00580, DR095_RS00575
OG0000013	B5M19_RS00100	DR095_RS03215
OG0000014	B5M19_RS03715, B5M19_RS03505	DR095_RS03760
OG0000015	B5M19_RS02335	DR095_RS01695
OG0000016	B5M19_RS01425	DR095_RS00250
OG0000017	B5M19_RS00065	DR095_RS01000
OG0000017	B5M19_RS01415	DR095_RS00240
OG0000018	B5M19_RS02315	DR095_RS03850
OG0000018	B5M19_RS04450, B5M19_RS04445	DR095_RS03835
OG0000020	B5M19_RS04305	DR095_RS03810
OG0000020	B5M19_RS02010	DR095_RS03805
OG0000022	B5M19_RS02090	DR095_RS03815
OG0000023	B5M19_RS04365	DR095_RS03490
OG0000024	B5M19_RS02500, B5M19_RS04395, B5M19_RS04390	DR095_RS00310
OG0000025	B5M19_RS02085	DR095_RS01230
OG0000026	B5M19_RS01210, B5M19_RS02065	DR095_RS01450
OG0000027	B5M19_RS00550	DR095_RS03960
OG0000028	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475	DR095_RS00595
OG0000029	B5M19_RS03200, B5M19_RS04520, B5M19_RS03510	DR095_RS00085
OG0000030	B5M19_RS00570, B5M19_RS00555	DR095_RS03965
OG0000031	B5M19_RS04360	DR095_RS01640
OG0000031	B5M19_RS03305	DR095_RS02710
OG0000039	B5M19_RS03320	DR095_RS00145
OG0000040	B5M19_RS02985	DR095_RS01945, DR095_RS00375, DR095_RS00380
OG0000042	B5M19_RS01320	DR095_RS00140, DR095_RS00285
OG0000043	B5M19_RS02270	DR095_RS01635, DR095_RS02735
OG0000045	B5M19_RS03325	DR095_RS03295, DR095_RS03300
OG0000047	B5M19_RS02295	DR095_RS03200
OG0000048	B5M19_RS03695	DR095_RS03095, DR095_RS02830
OG0000050	B5M19_RS02825	DR095_RS03970
OG0000051	B5M19_RS04110	DR095_RS01545
OG0000052	B5M19_RS00005	DR095_RS01040
OG0000053	B5M19_RS01120	DR095_RS03995, DR095_RS01535
OG0000054	B5M19_RS02800	DR095_RS00625
OG0000055	B5M19_RS00045	DR095_RS01035
OG0000056	B5M19_RS00375	DR095_RS01205
OG0000057	B5M19_RS01340	DR095_RS00165
OG0000058	B5M19_RS02250	DR095_RS01620
OG0000059	B5M19_RS02265	DR095_RS03480
OG0000062	B5M19_RS01970	DR095_RS01150
OG0000063	B5M19_RS01975	DR095_RS01155
OG0000064	B5M19_RS01990	DR095_RS01165
OG0000065	B5M19_RS02925	DR095_RS01310
OG0000066	B5M19_RS01220	DR095_RS01440
OG0000068	B5M19_RS04480	DR095_RS00120
OG0000069	B5M19_RS03520	DR095_RS00275
OG0000070	B5M19_RS02795	DR095_RS00605
OG0000071	B5M19_RS02995	DR095_RS01935
OG0000072	B5M19_RS02990	DR095_RS03885
OG0000073	B5M19_RS01840	DR095_RS02080
OG0000074	B5M19_RS01645	DR095_RS03915
OG0000075	B5M19_RS00265	DR095_RS00815
OG0000076	B5M19_RS00280	DR095_RS00800
OG0000077	B5M19_RS03440	DR095_RS00715
OG0000078	B5M19_RS02055	DR095_RS00415
OG0000079	B5M19_RS01010	DR095_RS00525
OG0000080	B5M19_RS03900	DR095_RS03375
OG0000081	B5M19_RS00260	DR095_RS00820
OG0000082	B5M19_RS04420, B5M19_RS04415	DR095_RS00585
OG0000083	B5M19_RS00845	DR095_RS03045
OG0000084	B5M19_RS02760	DR095_RS02880
OG0000085	B5M19_RS02755	DR095_RS02875
OG0000086	B5M19_RS02745	DR095_RS03990
OG0000087	B5M19_RS02730	DR095_RS02850
OG0000088	B5M19_RS02725	DR095_RS02845
OG0000089	B5M19_RS03690	DR095_RS02835
OG0000090	B5M19_RS03775	DR095_RS01045
OG0000091	B5M19_RS04280	DR095_RS01060
OG0000092	B5M19_RS01895	DR095_RS01075
OG0000093	B5M19_RS01900	DR095_RS01080
OG0000094	B5M19_RS01905	DR095_RS01085
OG0000095	B5M19_RS04290	DR095_RS01110
OG0000096	B5M19_RS01935	DR095_RS01115
OG0000097	B5M19_RS01955	DR095_RS01135
OG0000098	B5M19_RS04295	DR095_RS01145
OG0000099	B5M19_RS00370	DR095_RS01200
OG0000100	B5M19_RS00385	DR095_RS01210
OG0000101	B5M19_RS00390	DR095_RS01215
OG0000102	B5M19_RS02080	DR095_RS01225
OG0000103	B5M19_RS02960	DR095_RS01275
OG0000104	B5M19_RS04460	DR095_RS01280
OG0000105	B5M19_RS02940	DR095_RS01295
OG0000106	B5M19_RS02930	DR095_RS01305
OG0000107	B5M19_RS04455	DR095_RS01315
OG0000108	B5M19_RS04620	DR095_RS01320
OG0000109	B5M19_RS02910	DR095_RS01325
OG0000110	B5M19_RS02660	DR095_RS01330
OG0000111	B5M19_RS02665	DR095_RS01335
OG0000112	B5M19_RS02675	DR095_RS01345
OG0000113	B5M19_RS02700	DR095_RS03830
OG0000114	B5M19_RS02710	DR095_RS01370
OG0000115	B5M19_RS03610	DR095_RS01380
OG0000116	B5M19_RS02580	DR095_RS01390
OG0000117	B5M19_RS02575	DR095_RS01395
OG0000118	B5M19_RS01235	DR095_RS01425
OG0000119	B5M19_RS01230	DR095_RS01430
OG0000120	B5M19_RS01215	DR095_RS01445
OG0000121	B5M19_RS01190	DR095_RS01470
OG0000122	B5M19_RS01185	DR095_RS01475
OG0000123	B5M19_RS01165	DR095_RS01495
OG0000124	B5M19_RS01160	DR095_RS01500
OG0000125	B5M19_RS01155	DR095_RS01505
OG0000126	B5M19_RS01145	DR095_RS01515
OG0000127	B5M19_RS01135	DR095_RS01525
OG0000128	B5M19_RS01115	DR095_RS02900
OG0000129	B5M19_RS01110	DR095_RS02905
OG0000130	B5M19_RS01100	DR095_RS02915
OG0000131	B5M19_RS01075	DR095_RS02945
OG0000132	B5M19_RS01060	DR095_RS04000
OG0000133	B5M19_RS02380	DR095_RS00015
OG0000134	B5M19_RS02385	DR095_RS03750
OG0000135	B5M19_RS02400	DR095_RS00035
OG0000136	B5M19_RS02405	DR095_RS00040
OG0000137	B5M19_RS02445	DR095_RS00070
OG0000138	B5M19_RS03090	DR095_RS00095
OG0000139	B5M19_RS03070	DR095_RS00125
OG0000140	B5M19_RS03065	DR095_RS00130
OG0000141	B5M19_RS01330	DR095_RS00155
OG0000142	B5M19_RS01335	DR095_RS03765
OG0000143	B5M19_RS01360	DR095_RS00185
OG0000144	B5M19_RS01370	DR095_RS00195
OG0000145	B5M19_RS01380	DR095_RS00205
OG0000146	B5M19_RS01390	DR095_RS00215
OG0000147	B5M19_RS01395	DR095_RS00220
OG0000148	B5M19_RS01410	DR095_RS00235
OG0000149	B5M19_RS01420	DR095_RS00245
OG0000150	B5M19_RS04180	DR095_RS00260
OG0000151	B5M19_RS02540	DR095_RS00315
OG0000152	B5M19_RS02535	DR095_RS00320
OG0000153	B5M19_RS02530	DR095_RS00325
OG0000154	B5M19_RS02520	DR095_RS00335
OG0000155	B5M19_RS02480	DR095_RS00355
OG0000156	B5M19_RS00860	DR095_RS00390
OG0000157	B5M19_RS00865	DR095_RS03780
OG0000158	B5M19_RS04580	DR095_RS03785
OG0000159	B5M19_RS02810	DR095_RS00635
OG0000160	B5M19_RS02815	DR095_RS00640
OG0000161	B5M19_RS02820	DR095_RS00650
OG0000162	B5M19_RS02830	DR095_RS02680
OG0000163	B5M19_RS02835	DR095_RS02685
OG0000164	B5M19_RS04495	DR095_RS03975
OG0000165	B5M19_RS00760	DR095_RS02760
OG0000166	B5M19_RS00785	DR095_RS02780
OG0000167	B5M19_RS00800	DR095_RS02795
OG0000168	B5M19_RS00805	DR095_RS02800
