Orthogroup	MHP_TB1_genes	MHP_MHP682_genes
OG0000000	B5M19_RS04470	DR097_RS02690
OG0000000	B5M19_RS03770	DR097_RS04740
OG0000000	B5M19_RS02100	DR097_RS01835
OG0000001	B5M19_RS02555	DR097_RS04145
OG0000002	B5M19_RS04465	DR097_RS02700
OG0000002	B5M19_RS04625	DR097_RS02695
OG0000002	B5M19_RS02105	DR097_RS04675
OG0000003	B5M19_RS04550	DR097_RS04955
OG0000003	B5M19_RS03885	DR097_RS03830
OG0000004	B5M19_RS04240	DR097_RS01325
OG0000005	B5M19_RS00020	DR097_RS02455
OG0000005	B5M19_RS00030	DR097_RS02445
OG0000005	B5M19_RS04010, B5M19_RS04005	DR097_RS02440, DR097_RS04715
OG0000006	B5M19_RS03630	DR097_RS04435
OG0000008	B5M19_RS04540	DR097_RS03625
OG0000009	B5M19_RS04265	DR097_RS01140
OG0000010	B5M19_RS00670	DR097_RS02510
OG0000010	B5M19_RS03275	DR097_RS04755
OG0000010	B5M19_RS00015	DR097_RS02450
OG0000011	B5M19_RS04080	DR097_RS00820
OG0000011	B5M19_RS00765	DR097_RS00825
OG0000013	B5M19_RS02640	DR097_RS02175
OG0000013	B5M19_RS00100	DR097_RS03895
OG0000014	B5M19_RS03505	DR097_RS03370
OG0000015	B5M19_RS03260	DR097_RS02000
OG0000016	B5M19_RS01425	DR097_RS01165
OG0000016	B5M19_RS00080	DR097_RS00270
OG0000017	B5M19_RS00065	DR097_RS00285
OG0000017	B5M19_RS01415	DR097_RS01175
OG0000018	B5M19_RS04445	DR097_RS04695
OG0000020	B5M19_RS04305	DR097_RS04835
OG0000020	B5M19_RS02010	DR097_RS04830
OG0000021	B5M19_RS00590, B5M19_RS03625	DR097_RS03390
OG0000022	B5M19_RS02040	DR097_RS01895
OG0000022	B5M19_RS02090	DR097_RS04680
OG0000024	B5M19_RS02500	DR097_RS01795
OG0000024	B5M19_RS04395, B5M19_RS04390	DR097_RS00345
OG0000025	B5M19_RS04315	DR097_RS04685
OG0000025	B5M19_RS02085	DR097_RS01845
OG0000026	B5M19_RS01210	DR097_RS01665
OG0000026	B5M19_RS02065	DR097_RS01865
OG0000027	B5M19_RS00565	DR097_RS02965
OG0000027	B5M19_RS00550	DR097_RS04560
OG0000028	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475	DR097_RS04690
OG0000029	B5M19_RS03200	DR097_RS02335
OG0000030	B5M19_RS00570	DR097_RS04775
OG0000030	B5M19_RS00555	DR097_RS04565
OG0000031	B5M19_RS04360	DR097_RS02075
OG0000031	B5M19_RS03305	DR097_RS03120
OG0000032	B5M19_RS00560	DR097_RS00730
OG0000035	B5M19_RS04235	DR097_RS04085, DR097_RS01335
OG0000036	B5M19_RS00040	DR097_RS02435, DR097_RS02415
OG0000037	B5M19_RS04485, B5M19_RS04490	DR097_RS03100
OG0000039	B5M19_RS03320	DR097_RS04950
OG0000040	B5M19_RS02985	DR097_RS03560
OG0000041	B5M19_RS03050	DR097_RS03645
OG0000042	B5M19_RS01320	DR097_RS01265
OG0000043	B5M19_RS00735	DR097_RS00855
OG0000043	B5M19_RS02270	DR097_RS00855
OG0000045	B5M19_RS03325	DR097_RS03525
OG0000047	B5M19_RS04440	DR097_RS02010
OG0000048	B5M19_RS03695	DR097_RS02830
OG0000049	B5M19_RS01455	DR097_RS01470
OG0000050	B5M19_RS02825	DR097_RS01960
OG0000051	B5M19_RS04110, B5M19_RS00915	DR097_RS01545
OG0000052	B5M19_RS00005	DR097_RS02480
OG0000053	B5M19_RS01120	DR097_RS04845
OG0000054	B5M19_RS02800	DR097_RS01935
OG0000055	B5M19_RS00045	DR097_RS00305
OG0000056	B5M19_RS00375	DR097_RS00545
OG0000057	B5M19_RS01340	DR097_RS01250
OG0000058	B5M19_RS02905	DR097_RS02080
OG0000059	B5M19_RS02265	DR097_RS04190
OG0000060	B5M19_RS04370	DR097_RS00425
OG0000061	B5M19_RS03265	DR097_RS02500
OG0000062	B5M19_RS01970	DR097_RS02590
OG0000063	B5M19_RS01975	DR097_RS04735
OG0000064	B5M19_RS01990	DR097_RS02605
OG0000065	B5M19_RS02925	DR097_RS02745
OG0000066	B5M19_RS01220	DR097_RS01675
