Orthogroup	MHP_MHP694_genes	MHP_131B_genes
OG0000000	DR099_RS03480	NB627_RS02355
OG0000000	DR099_RS04035	NB627_RS01850
OG0000000	DR099_RS04600	NB627_RS01860
OG0000001	DR099_RS00885	NB627_RS01400
OG0000001	DR099_RS00045	NB627_RS02935
OG0000002	DR099_RS04270	NB627_RS02365
OG0000002	DR099_RS04605	NB627_RS01865
OG0000004	DR099_RS02875	NB627_RS03405
OG0000005	DR099_RS03165	NB627_RS00100
OG0000005	DR099_RS04570	NB627_RS00110
OG0000006	DR099_RS02600	NB627_RS02685, NB627_RS02690
OG0000006	DR099_RS04105	NB627_RS02520
OG0000008	DR099_RS04050	NB627_RS01765
OG0000008	DR099_RS04100	NB627_RS02695
OG0000009	DR099_RS03180	NB627_RS00085
OG0000009	DR099_RS01670	NB627_RS00790
OG0000010	DR099_RS00340	NB627_RS01985
OG0000011	DR099_RS00440	NB627_RS02090
OG0000013	DR099_RS02140	NB627_RS02570
OG0000013	DR099_RS03795	NB627_RS00185
OG0000014	DR099_RS03510	NB627_RS01205
OG0000016	DR099_RS01125	NB627_RS03030
OG0000016	DR099_RS00825	NB627_RS00170
OG0000017	DR099_RS00840	NB627_RS00155
OG0000017	DR099_RS01115	NB627_RS03040
OG0000019	DR099_RS04215	NB627_RS03210, NB627_RS03220
OG0000020	DR099_RS04585	NB627_RS03755
OG0000020	DR099_RS00590, DR099_RS03315	NB627_RS03760
OG0000021	DR099_RS04660	NB627_RS00620, NB627_RS00615
OG0000022	DR099_RS02480	NB627_RS01790
OG0000022	DR099_RS04500	NB627_RS01845
OG0000023	DR099_RS00925	NB627_RS01440, NB627_RS00500
OG0000024	DR099_RS00050	NB627_RS02930
OG0000024	DR099_RS00880	NB627_RS01395
OG0000025	DR099_RS04505	NB627_RS01795
OG0000025	DR099_RS02430	NB627_RS01840
OG0000026	DR099_RS00970	NB627_RS01490
OG0000026	DR099_RS02450	NB627_RS01820
OG0000027	DR099_RS04510	NB627_RS03540
OG0000027	DR099_RS04465	NB627_RS03555
OG0000028	DR099_RS02680, DR099_RS02130	NB627_RS02600, NB627_RS02595
OG0000029	DR099_RS01730	NB627_RS01200
OG0000029	DR099_RS01725	NB627_RS00720
OG0000030	DR099_RS04515	NB627_RS03530
OG0000030	DR099_RS04460	NB627_RS03550
OG0000031	DR099_RS01355	NB627_RS01730
OG0000032	DR099_RS02185	NB627_RS03545
OG0000035	DR099_RS02870	NB627_RS03400
OG0000036	DR099_RS04160	NB627_RS00115, NB627_RS00130
OG0000037	DR099_RS01370	NB627_RS01720
OG0000038	DR099_RS03410	NB627_RS00605, NB627_RS01895
OG0000039	DR099_RS01340	NB627_RS01740
OG0000040	DR099_RS02585	NB627_RS03475
OG0000041	DR099_RS02405	NB627_RS01300
OG0000043	DR099_RS00410	NB627_RS02055
OG0000044	DR099_RS04650	NB627_RS01805
OG0000045	DR099_RS01335	NB627_RS01745
OG0000046	DR099_RS04530	NB627_RS03485
OG0000048	DR099_RS01315	NB627_RS02245
OG0000049	DR099_RS02120, DR099_RS04655	NB627_RS03240
OG0000050	DR099_RS02650	NB627_RS02630
OG0000051	DR099_RS00135	NB627_RS02845
OG0000052	DR099_RS03190	NB627_RS00075
OG0000053	DR099_RS04415	NB627_RS01580
OG0000054	DR099_RS02625	NB627_RS02655
OG0000055	DR099_RS03140	NB627_RS00135
OG0000056	DR099_RS03335	NB627_RS03735
OG0000057	DR099_RS01045	NB627_RS03110
OG0000061	DR099_RS00350, DR099_RS01375	NB627_RS01995
OG0000062	DR099_RS00560	NB627_RS03790
OG0000063	DR099_RS04320	NB627_RS03785
OG0000064	DR099_RS00575	NB627_RS03775
OG0000065	DR099_RS02825	NB627_RS02410
OG0000066	DR099_RS00960	NB627_RS01480
OG0000067	DR099_RS02695	NB627_RS00635
OG0000068	DR099_RS01690	NB627_RS00755
OG0000069	DR099_RS01150	NB627_RS03005
OG0000070	DR099_RS02620	NB627_RS02660
OG0000071	DR099_RS02935	NB627_RS03465
OG0000072	DR099_RS02940	NB627_RS03470
OG0000073	DR099_RS01645	NB627_RS00820
OG0000074	DR099_RS04430	NB627_RS01020
OG0000075	DR099_RS00645	NB627_RS00350
OG0000076	DR099_RS00630	NB627_RS00365, NB627_RS00370
OG0000077	DR099_RS03000	NB627_RS00550
OG0000078	DR099_RS02460	NB627_RS01810
OG0000079	DR099_RS00230	NB627_RS02745
OG0000080	DR099_RS03705	NB627_RS02795
OG0000081	DR099_RS00650	NB627_RS00340
OG0000083	DR099_RS01240	NB627_RS02160
OG0000084	DR099_RS01265	NB627_RS02190
OG0000085	DR099_RS01270	NB627_RS02195
OG0000086	DR099_RS01280	NB627_RS02210
OG0000087	DR099_RS01295	NB627_RS02225
OG0000088	DR099_RS03880	NB627_RS02230
OG0000089	DR099_RS01310	NB627_RS02240
OG0000090	DR099_RS03200	NB627_RS00070
OG0000091	DR099_RS00470	NB627_RS00055
OG0000092	DR099_RS00485	NB627_RS00050
OG0000093	DR099_RS00490	NB627_RS00035
OG0000094	DR099_RS00495	NB627_RS00030
OG0000095	DR099_RS00520	NB627_RS00005
OG0000096	DR099_RS00525	NB627_RS03825
OG0000097	DR099_RS00545	NB627_RS03805
OG0000098	DR099_RS00555	NB627_RS03795
OG0000099	DR099_RS04590	NB627_RS03745
OG0000100	DR099_RS03210	NB627_RS03725
OG0000101	DR099_RS03215	NB627_RS03720
OG0000102	DR099_RS02435	NB627_RS01835
OG0000103	DR099_RS02865	NB627_RS02375
OG0000104	DR099_RS02855	NB627_RS02380
OG0000105	DR099_RS02840	NB627_RS02400
OG0000106	DR099_RS02830	NB627_RS02405
OG0000107	DR099_RS02820	NB627_RS02415
OG0000108	DR099_RS02815	NB627_RS02420
OG0000109	DR099_RS02810	NB627_RS02425
OG0000110	DR099_RS02155	NB627_RS02555
OG0000111	DR099_RS02160	NB627_RS02550
OG0000112	DR099_RS02170	NB627_RS02540
OG0000113	DR099_RS04615	NB627_RS02515
OG0000114	DR099_RS03460	NB627_RS02510
OG0000115	DR099_RS00280	NB627_RS02495
OG0000116	DR099_RS00905	NB627_RS01420
OG0000117	DR099_RS00910	NB627_RS01425
OG0000118	DR099_RS00945	NB627_RS01460
OG0000119	DR099_RS00950	NB627_RS01465
OG0000120	DR099_RS00965	NB627_RS01485
OG0000121	DR099_RS00990	NB627_RS01515
OG0000122	DR099_RS00995	NB627_RS01520
OG0000123	DR099_RS01015	NB627_RS01540
OG0000124	DR099_RS01020	NB627_RS01545
OG0000125	DR099_RS01025	NB627_RS01550
OG0000126	DR099_RS01515	NB627_RS01560
OG0000127	DR099_RS01505	NB627_RS01570
OG0000128	DR099_RS01490	NB627_RS01585
OG0000129	DR099_RS01485	NB627_RS01590
OG0000130	DR099_RS01475	NB627_RS01600
OG0000131	DR099_RS04410	NB627_RS01630
OG0000132	DR099_RS04405	NB627_RS01645
OG0000133	DR099_RS02700	NB627_RS00640
OG0000134	DR099_RS02705	NB627_RS00645
OG0000135	DR099_RS02720	NB627_RS00660
OG0000136	DR099_RS02725	NB627_RS00665
OG0000137	DR099_RS02765	NB627_RS00695
OG0000138	DR099_RS01715	NB627_RS00730
OG0000139	DR099_RS01685	NB627_RS00760
OG0000140	DR099_RS01680	NB627_RS00765
OG0000141	DR099_RS01035	NB627_RS03120
OG0000142	DR099_RS04350	NB627_RS03115
OG0000143	DR099_RS01060	NB627_RS03100
OG0000144	DR099_RS01070	NB627_RS03085
OG0000145	DR099_RS01080	NB627_RS03075
OG0000146	DR099_RS01090	NB627_RS03065
OG0000147	DR099_RS01095	NB627_RS03060
OG0000148	DR099_RS01110	NB627_RS03045
OG0000149	DR099_RS01120	NB627_RS03035
OG0000150	DR099_RS01135	NB627_RS03025
OG0000151	DR099_RS00010	NB627_RS02970
OG0000152	DR099_RS00015	NB627_RS02965
OG0000153	DR099_RS00020	NB627_RS02960
OG0000154	DR099_RS00030	NB627_RS02950
OG0000155	DR099_RS00070	NB627_RS02910
OG0000156	DR099_RS00080	NB627_RS02905
OG0000157	DR099_RS04275	NB627_RS02895
OG0000158	DR099_RS04280	NB627_RS02885
OG0000159	DR099_RS02635	NB627_RS02645
OG0000160	DR099_RS02640	NB627_RS02640
OG0000161	DR099_RS02645	NB627_RS02635
OG0000162	DR099_RS02655	NB627_RS02625
OG0000163	DR099_RS02660	NB627_RS02620
OG0000164	DR099_RS01350	NB627_RS01735
OG0000165	DR099_RS00435	NB627_RS02080
OG0000166	DR099_RS01185	NB627_RS02100
OG0000167	DR099_RS01195	NB627_RS02115
