Orthogroup	MHP_MHP694_genes	MHP_ES2_genes
OG0000000	DR099_RS03480	E5E95_RS02310
OG0000000	DR099_RS04035	E5E95_RS01830
OG0000000	DR099_RS04600	E5E95_RS04235, E5E95_RS01835
OG0000001	DR099_RS01165	E5E95_RS03000
OG0000001	DR099_RS00045	E5E95_RS04150
OG0000002	DR099_RS04270	E5E95_RS02320
OG0000002	DR099_RS04605	E5E95_RS01840
OG0000003	DR099_RS04295	E5E95_RS01915
OG0000004	DR099_RS02875	E5E95_RS03425
OG0000004	DR099_RS03340, DR099_RS03350	E5E95_RS03235
OG0000005	DR099_RS03165	E5E95_RS00090
OG0000005	DR099_RS04570	E5E95_RS00095
OG0000005	DR099_RS03150	E5E95_RS00100
OG0000006	DR099_RS02595, DR099_RS02600	E5E95_RS02705
OG0000006	DR099_RS04105	E5E95_RS04120, E5E95_RS04115
OG0000008	DR099_RS04050	E5E95_RS03905
OG0000008	DR099_RS04100	E5E95_RS04135
OG0000009	DR099_RS01670	E5E95_RS00680
OG0000010	DR099_RS00340	E5E95_RS01970
OG0000010	DR099_RS04395	E5E95_RS01575
OG0000011	DR099_RS04305	E5E95_RS02070
OG0000011	DR099_RS00440	E5E95_RS02060
OG0000012	DR099_RS03555	E5E95_RS02435
OG0000013	DR099_RS02140	E5E95_RS02610
OG0000013	DR099_RS03795	E5E95_RS03955
OG0000014	DR099_RS03510	E5E95_RS01105
OG0000016	DR099_RS01125	E5E95_RS03040
OG0000016	DR099_RS00825	E5E95_RS00160
OG0000017	DR099_RS00840	E5E95_RS00145
OG0000017	DR099_RS01115	E5E95_RS03050
OG0000019	DR099_RS04215	E5E95_RS04175
OG0000020	DR099_RS04585	E5E95_RS03770
OG0000021	DR099_RS04660	E5E95_RS03845, E5E95_RS03755
OG0000022	DR099_RS02480	E5E95_RS01770
OG0000022	DR099_RS04500	E5E95_RS01825
OG0000023	DR099_RS00925	E5E95_RS01335, E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105
OG0000024	DR099_RS00050	E5E95_RS02945
OG0000024	DR099_RS00880	E5E95_RS01290
OG0000025	DR099_RS04505	E5E95_RS01775
OG0000025	DR099_RS02430	E5E95_RS01820
OG0000026	DR099_RS00970	E5E95_RS01380
OG0000026	DR099_RS02450	E5E95_RS01800
OG0000027	DR099_RS04510	E5E95_RS03560
OG0000027	DR099_RS04465	E5E95_RS03575
OG0000028	DR099_RS02680, DR099_RS02130	E5E95_RS02620
OG0000029	DR099_RS01730	E5E95_RS01100
OG0000029	DR099_RS01725	E5E95_RS00610
OG0000030	DR099_RS04515	E5E95_RS03550
OG0000030	DR099_RS04460	E5E95_RS03570
OG0000031	DR099_RS01355	E5E95_RS01625
OG0000032	DR099_RS02185	E5E95_RS03565
OG0000033	DR099_RS03980	E5E95_RS04125
OG0000035	DR099_RS02870	E5E95_RS03405
OG0000036	DR099_RS04160	E5E95_RS00105, E5E95_RS00120
OG0000037	DR099_RS01370	E5E95_RS01610
OG0000038	DR099_RS03410	E5E95_RS01910, E5E95_RS00500, E5E95_RS01865
OG0000039	DR099_RS01340	E5E95_RS01650, E5E95_RS01645
OG0000040	DR099_RS02585	E5E95_RS03495
OG0000042	DR099_RS03125	E5E95_RS03140
OG0000043	DR099_RS00410	E5E95_RS02030
OG0000044	DR099_RS04650	E5E95_RS04290
OG0000045	DR099_RS01335	E5E95_RS01655
OG0000046	DR099_RS04530	E5E95_RS03505
OG0000048	DR099_RS01315	E5E95_RS02215
OG0000049	DR099_RS02120, DR099_RS04655	E5E95_RS03260
OG0000050	DR099_RS02650	E5E95_RS02655
OG0000051	DR099_RS00135	E5E95_RS02855
OG0000052	DR099_RS03190	E5E95_RS00075
OG0000053	DR099_RS04415	E5E95_RS01465
OG0000054	DR099_RS02625	E5E95_RS02680
OG0000055	DR099_RS03140	E5E95_RS00125
OG0000056	DR099_RS03335	E5E95_RS03750
OG0000057	DR099_RS01045	E5E95_RS03125
OG0000061	DR099_RS00350	E5E95_RS01980
OG0000062	DR099_RS00560	E5E95_RS03805
OG0000063	DR099_RS04320	E5E95_RS03800
OG0000064	DR099_RS00575	E5E95_RS03790
OG0000065	DR099_RS02825	E5E95_RS02365
OG0000066	DR099_RS00960	E5E95_RS01370
OG0000067	DR099_RS02695	E5E95_RS00525
OG0000068	DR099_RS01690	E5E95_RS00645
OG0000069	DR099_RS01150	E5E95_RS03015
OG0000070	DR099_RS02620	E5E95_RS02685
OG0000071	DR099_RS02935	E5E95_RS03485
OG0000072	DR099_RS02940	E5E95_RS03490
OG0000073	DR099_RS01645	E5E95_RS00705
OG0000074	DR099_RS04430	E5E95_RS00900
OG0000075	DR099_RS00645	E5E95_RS00340
OG0000076	DR099_RS00630	E5E95_RS00355
OG0000077	DR099_RS03000	E5E95_RS00445
OG0000078	DR099_RS02460	E5E95_RS01790
OG0000079	DR099_RS00230	E5E95_RS02760
OG0000080	DR099_RS03705	E5E95_RS03935
OG0000081	DR099_RS00650	E5E95_RS00335
OG0000083	DR099_RS01240	E5E95_RS02140
OG0000084	DR099_RS01265	E5E95_RS02165
OG0000085	DR099_RS01270	E5E95_RS02170
OG0000086	DR099_RS01280	E5E95_RS02180
OG0000087	DR099_RS01295	E5E95_RS02195
OG0000088	DR099_RS03880	E5E95_RS02200
OG0000089	DR099_RS01310	E5E95_RS02210
OG0000090	DR099_RS03200	E5E95_RS00070
OG0000091	DR099_RS00470	E5E95_RS00055
OG0000092	DR099_RS00485	E5E95_RS00040
OG0000093	DR099_RS00490	E5E95_RS00035
OG0000094	DR099_RS00495	E5E95_RS00030
OG0000095	DR099_RS00520	E5E95_RS00005
OG0000096	DR099_RS00525	E5E95_RS03840
OG0000097	DR099_RS00545	E5E95_RS03820
OG0000098	DR099_RS00555	E5E95_RS03810
OG0000099	DR099_RS04590	E5E95_RS03760
OG0000100	DR099_RS03210	E5E95_RS03740
OG0000101	DR099_RS03215	E5E95_RS03735
OG0000102	DR099_RS02435	E5E95_RS01815
OG0000103	DR099_RS02865	E5E95_RS02330
OG0000104	DR099_RS02855	E5E95_RS02335
OG0000105	DR099_RS02840	E5E95_RS02350
OG0000106	DR099_RS02830	E5E95_RS02360
OG0000107	DR099_RS02820	E5E95_RS02370
OG0000108	DR099_RS02815	E5E95_RS02375
OG0000109	DR099_RS02810	E5E95_RS02380
OG0000110	DR099_RS02155	E5E95_RS02595
OG0000111	DR099_RS02160	E5E95_RS02590
OG0000112	DR099_RS02170	E5E95_RS02580
OG0000113	DR099_RS04615	E5E95_RS02560
OG0000114	DR099_RS03460	E5E95_RS04300
OG0000115	DR099_RS00280	E5E95_RS02535
OG0000116	DR099_RS00905	E5E95_RS01315
OG0000117	DR099_RS00910	E5E95_RS01320
OG0000118	DR099_RS00945	E5E95_RS01355
OG0000119	DR099_RS00950	E5E95_RS01360
OG0000120	DR099_RS00965	E5E95_RS01375
OG0000121	DR099_RS00990	E5E95_RS01400
OG0000122	DR099_RS00995	E5E95_RS01405
OG0000123	DR099_RS01015	E5E95_RS01425
OG0000124	DR099_RS01020	E5E95_RS01430
OG0000125	DR099_RS01025	E5E95_RS01435
OG0000126	DR099_RS01515	E5E95_RS01445
OG0000127	DR099_RS01505	E5E95_RS01455
OG0000128	DR099_RS01490	E5E95_RS01470
OG0000129	DR099_RS01485	E5E95_RS01475
OG0000130	DR099_RS01475	E5E95_RS01485
OG0000131	DR099_RS04410	E5E95_RS01515
OG0000132	DR099_RS04405	E5E95_RS01530
OG0000133	DR099_RS02700	E5E95_RS00530
OG0000134	DR099_RS02705	E5E95_RS00535
OG0000135	DR099_RS02720	E5E95_RS00550
OG0000136	DR099_RS02725	E5E95_RS00555
OG0000137	DR099_RS02765	E5E95_RS00585
OG0000138	DR099_RS01715	E5E95_RS00620
OG0000139	DR099_RS01685	E5E95_RS00650
OG0000140	DR099_RS01680	E5E95_RS00655
OG0000141	DR099_RS01035	E5E95_RS03135
OG0000142	DR099_RS04350	E5E95_RS03130
OG0000143	DR099_RS01060	E5E95_RS03105
OG0000144	DR099_RS01070	E5E95_RS03095
OG0000145	DR099_RS01080	E5E95_RS03085
OG0000146	DR099_RS01090	E5E95_RS03075
OG0000147	DR099_RS01095	E5E95_RS03070
OG0000148	DR099_RS01110	E5E95_RS03055
OG0000149	DR099_RS01120	E5E95_RS03045
OG0000150	DR099_RS01135	E5E95_RS03030
OG0000151	DR099_RS00010	E5E95_RS02985
OG0000152	DR099_RS00015	E5E95_RS02980
OG0000153	DR099_RS00020	E5E95_RS02975
OG0000154	DR099_RS00030	E5E95_RS02965
OG0000155	DR099_RS00070	E5E95_RS02925
OG0000156	DR099_RS00080	E5E95_RS02915
OG0000157	DR099_RS04275	E5E95_RS02910
OG0000158	DR099_RS04280	E5E95_RS02905
OG0000159	DR099_RS02635	E5E95_RS04310
OG0000160	DR099_RS02640	E5E95_RS02665
OG0000161	DR099_RS02645	E5E95_RS02660
OG0000162	DR099_RS02655	E5E95_RS02650
OG0000163	DR099_RS02660	E5E95_RS02645
OG0000164	DR099_RS01350	E5E95_RS01630
OG0000165	DR099_RS00435	E5E95_RS02055
OG0000166	DR099_RS01185	E5E95_RS02080
OG0000167	DR099_RS01195	E5E95_RS02095
OG0000168	DR099_RS01200	E5E95_RS02100
OG0000169	DR099_RS03360	E5E95_RS03255
OG0000170	DR099_RS02110	E5E95_RS03270
OG0000171	DR099_RS02100	E5E95_RS03280
OG0000172	DR099_RS02095	E5E95_RS03285
OG0000173	DR099_RS02090	E5E95_RS03290
OG0000174	DR099_RS02085	E5E95_RS03295
OG0000175	DR099_RS02070	E5E95_RS03310
OG0000176	DR099_RS02020	E5E95_RS03360
OG0000177	DR099_RS02015	E5E95_RS03365
OG0000178	DR099_RS02010	E5E95_RS03370
OG0000179	DR099_RS02000	E5E95_RS03380
OG0000180	DR099_RS01995	E5E95_RS03385
OG0000181	DR099_RS04545	E5E95_RS03435
OG0000182	DR099_RS02895	E5E95_RS03445
OG0000183	DR099_RS02930	E5E95_RS03480
OG0000184	DR099_RS02550	E5E95_RS03525
OG0000185	DR099_RS02565	E5E95_RS03510
OG0000186	DR099_RS04400	E5E95_RS01540
