Orthogroup	MHP_MHP694_genes	MHP_MHP653_genes
OG0000000	DR099_RS03480	DR096_RS03590
OG0000000	DR099_RS04035	DR096_RS04160, DR096_RS02065
OG0000000	DR099_RS04600	DR096_RS03340
OG0000001	DR099_RS01165	DR096_RS01190
OG0000002	DR099_RS04270	DR096_RS04275
OG0000002	DR099_RS04605	DR096_RS04795
OG0000003	DR099_RS04295	DR096_RS03690, DR096_RS03695
OG0000004	DR099_RS03340, DR099_RS03350	DR096_RS00785
OG0000005	DR099_RS03165	DR096_RS02575
OG0000005	DR099_RS04570	DR096_RS02565
OG0000005	DR099_RS03150	DR096_RS02560
OG0000006	DR099_RS03650	DR096_RS01695
OG0000008	DR099_RS04100	DR096_RS04360
OG0000009	DR099_RS03180	DR096_RS02590
OG0000010	DR099_RS00340	DR096_RS00395
OG0000010	DR099_RS04565, DR099_RS04175	DR096_RS02570
OG0000011	DR099_RS04305	DR096_RS00490
OG0000011	DR099_RS00440	DR096_RS00485
OG0000013	DR099_RS02140	DR096_RS04100
OG0000013	DR099_RS03795	DR096_RS03875
OG0000015	DR099_RS02515	DR096_RS01405
OG0000016	DR099_RS01125	DR096_RS01150
OG0000016	DR099_RS00825	DR096_RS00345
OG0000017	DR099_RS00840	DR096_RS00360
OG0000017	DR099_RS01115	DR096_RS01140
OG0000018	DR099_RS04345	DR096_RS04640
OG0000019	DR099_RS04215	DR096_RS03940
OG0000020	DR099_RS04585	DR096_RS03230
OG0000020	DR099_RS00590, DR099_RS03315	DR096_RS04775
OG0000022	DR099_RS02480	DR096_RS01995
OG0000022	DR099_RS04500	DR096_RS04665
OG0000023	DR099_RS00925	DR096_RS01645
OG0000024	DR099_RS00050	DR096_RS01490
OG0000024	DR099_RS00880	DR096_RS01690
OG0000025	DR099_RS04505	DR096_RS04660
OG0000025	DR099_RS02430	DR096_RS02045
OG0000026	DR099_RS00970	DR096_RS01600
OG0000026	DR099_RS02450	DR096_RS02025
OG0000027	DR099_RS04510	DR096_RS04770
OG0000027	DR099_RS04465	DR096_RS04540
OG0000028	DR099_RS02680, DR099_RS02130	DR096_RS01750
OG0000029	DR099_RS01725	DR096_RS03330
OG0000030	DR099_RS04515	DR096_RS04765
OG0000030	DR099_RS04460	DR096_RS04535
OG0000031	DR099_RS01355	DR096_RS01370
OG0000032	DR099_RS02185	DR096_RS00860
OG0000036	DR099_RS04160	DR096_RS02555, DR096_RS02535
