Orthogroup	MHP_MHP694_genes	MHP_7422_genes
OG0000000	DR099_RS04600	MHL_RS03710
OG0000001	DR099_RS01165	MHL_RS02845
OG0000001	DR099_RS03675	MHL_RS03875
OG0000001	DR099_RS00045	MHL_RS04080
OG0000002	DR099_RS04270	MHL_RS04055
OG0000002	DR099_RS03485	MHL_RS03865
OG0000002	DR099_RS04605	MHL_RS01800
OG0000004	DR099_RS02875	MHL_RS03215
OG0000005	DR099_RS03165	MHL_RS00105
OG0000005	DR099_RS04570	MHL_RS04205
OG0000005	DR099_RS03150	MHL_RS00115
OG0000006	DR099_RS02595, DR099_RS02600	MHL_RS03635
OG0000006	DR099_RS03650, DR099_RS04105	MHL_RS02420
OG0000008	DR099_RS04050	MHL_RS04180
OG0000008	DR099_RS04100	MHL_RS04065
OG0000009	DR099_RS03180	MHL_RS00090
OG0000009	DR099_RS01670	MHL_RS00770
OG0000010	DR099_RS00340	MHL_RS01930
OG0000010	DR099_RS04565	MHL_RS04125
OG0000010	DR099_RS04175	MHL_RS00100
OG0000011	DR099_RS00445	MHL_RS02025
OG0000011	DR099_RS04305	MHL_RS04185
OG0000011	DR099_RS00440	MHL_RS02020
OG0000013	DR099_RS02140	MHL_RS02470
OG0000013	DR099_RS03795	MHL_RS03925
OG0000014	DR099_RS03510	MHL_RS01170
OG0000016	DR099_RS01125	MHL_RS02885
OG0000016	DR099_RS00825	MHL_RS00175
OG0000017	DR099_RS00840	MHL_RS00160
OG0000017	DR099_RS01115	MHL_RS02895
OG0000018	DR099_RS04345	MHL_RS01405
OG0000020	DR099_RS04585	MHL_RS03545
OG0000020	DR099_RS00590, DR099_RS03315	MHL_RS03550
OG0000021	DR099_RS04660	MHL_RS03930
OG0000022	DR099_RS02480	MHL_RS01740
OG0000022	DR099_RS04500	MHL_RS01790
OG0000023	DR099_RS00925	MHL_RS01400, MHL_RS00675, MHL_RS03935
OG0000024	DR099_RS00050	MHL_RS02790
OG0000024	DR099_RS00880	MHL_RS01355
OG0000025	DR099_RS04505	MHL_RS01745
OG0000025	DR099_RS02430	MHL_RS01785
OG0000026	DR099_RS00970	MHL_RS01445
OG0000027	DR099_RS04510	MHL_RS03755
OG0000027	DR099_RS04465	MHL_RS03360
OG0000028	DR099_RS02680, DR099_RS02130	MHL_RS02480
OG0000029	DR099_RS01730	MHL_RS01165
OG0000029	DR099_RS01725	MHL_RS00700
OG0000030	DR099_RS04515	MHL_RS03335
OG0000030	DR099_RS04460	MHL_RS03355
OG0000032	DR099_RS02185	MHL_RS03350
OG0000035	DR099_RS02870	MHL_RS03210
OG0000036	DR099_RS04160	MHL_RS00120, MHL_RS00135
OG0000038	DR099_RS03410	MHL_RS01870
OG0000039	DR099_RS01340	MHL_RS01705
OG0000041	DR099_RS02405	MHL_RS01270
OG0000043	DR099_RS00410	MHL_RS01990
OG0000043	DR099_RS00410	MHL_RS00625
OG0000044	DR099_RS04650	MHL_RS04220
OG0000045	DR099_RS01335	MHL_RS01710
OG0000046	DR099_RS04530	MHL_RS04100
OG0000048	DR099_RS01315	MHL_RS02170
OG0000049	DR099_RS02120, DR099_RS04655	MHL_RS03060
OG0000050	DR099_RS02650	MHL_RS02510
OG0000051	DR099_RS00135	MHL_RS02710
OG0000052	DR099_RS03190	MHL_RS00080
OG0000053	DR099_RS04415	MHL_RS01530
OG0000054	DR099_RS02625	MHL_RS02535
OG0000055	DR099_RS03140	MHL_RS00140
OG0000056	DR099_RS03335	MHL_RS03530
OG0000057	DR099_RS01045	MHL_RS02970
OG0000061	DR099_RS00350, DR099_RS01375	MHL_RS01940
OG0000062	DR099_RS00560	MHL_RS03580
OG0000063	DR099_RS04320	MHL_RS03575
OG0000064	DR099_RS00575	MHL_RS03565
OG0000065	DR099_RS02825	MHL_RS02310
OG0000066	DR099_RS00960	MHL_RS01435
OG0000067	DR099_RS02695	MHL_RS00525
OG0000068	DR099_RS01690	MHL_RS00735
OG0000069	DR099_RS01150	MHL_RS02860
OG0000070	DR099_RS02620	MHL_RS02540
OG0000071	DR099_RS02935	MHL_RS03275
OG0000072	DR099_RS02940	MHL_RS03280
OG0000073	DR099_RS01645	MHL_RS00795
OG0000074	DR099_RS04430	MHL_RS03950, MHL_RS04210
OG0000075	DR099_RS00645	MHL_RS00345
OG0000076	DR099_RS00630	MHL_RS00360
OG0000077	DR099_RS03000	MHL_RS00450
OG0000078	DR099_RS02460	MHL_RS01755
OG0000079	DR099_RS00230	MHL_RS02615
OG0000080	DR099_RS03705	MHL_RS03870
OG0000081	DR099_RS00650	MHL_RS00340
OG0000083	DR099_RS01240	MHL_RS02095
OG0000084	DR099_RS01265	MHL_RS02120
OG0000085	DR099_RS01270	MHL_RS02125
OG0000086	DR099_RS01280	MHL_RS02135
OG0000087	DR099_RS01295	MHL_RS02150
OG0000088	DR099_RS03880	MHL_RS02155
OG0000089	DR099_RS01310	MHL_RS02165
OG0000090	DR099_RS03200	MHL_RS00075
OG0000091	DR099_RS00470	MHL_RS00060
OG0000092	DR099_RS00485	MHL_RS00045
OG0000093	DR099_RS00490	MHL_RS00040
OG0000094	DR099_RS00495	MHL_RS00035
OG0000095	DR099_RS00520	MHL_RS00010
OG0000096	DR099_RS00525	MHL_RS03615
OG0000097	DR099_RS00545	MHL_RS03595
OG0000098	DR099_RS00555	MHL_RS03585
OG0000099	DR099_RS04590	MHL_RS03535
OG0000100	DR099_RS03210	MHL_RS03520
OG0000101	DR099_RS03215	MHL_RS03515
OG0000102	DR099_RS02435	MHL_RS01780
OG0000103	DR099_RS02865	MHL_RS02275
OG0000104	DR099_RS02855	MHL_RS02280
OG0000105	DR099_RS02840	MHL_RS02295
OG0000106	DR099_RS02830	MHL_RS02305
OG0000107	DR099_RS02820	MHL_RS02315
OG0000108	DR099_RS02815	MHL_RS02320
OG0000109	DR099_RS02810	MHL_RS02325
OG0000110	DR099_RS02155	MHL_RS02450
OG0000111	DR099_RS02160	MHL_RS02445
OG0000112	DR099_RS02170	MHL_RS02435
OG0000113	DR099_RS04615	MHL_RS02415
OG0000114	DR099_RS03460	MHL_RS02405
OG0000115	DR099_RS00280	MHL_RS02395
OG0000116	DR099_RS00905	MHL_RS01380
OG0000117	DR099_RS00910	MHL_RS01385
OG0000118	DR099_RS00945	MHL_RS01420
OG0000119	DR099_RS00950	MHL_RS01425
OG0000120	DR099_RS00965	MHL_RS01440
OG0000121	DR099_RS00990	MHL_RS01465
OG0000122	DR099_RS00995	MHL_RS01470
OG0000123	DR099_RS01015	MHL_RS01490
OG0000124	DR099_RS01020	MHL_RS01495
OG0000125	DR099_RS01025	MHL_RS01500
OG0000126	DR099_RS01515	MHL_RS01510
OG0000127	DR099_RS01505	MHL_RS01520
OG0000128	DR099_RS01490	MHL_RS01535
OG0000129	DR099_RS01485	MHL_RS01540
OG0000130	DR099_RS01475	MHL_RS01550
OG0000131	DR099_RS04410	MHL_RS01580
OG0000132	DR099_RS04405	MHL_RS01595
OG0000133	DR099_RS02700	MHL_RS00530
OG0000134	DR099_RS02705	MHL_RS00535
OG0000135	DR099_RS02720	MHL_RS00550
OG0000136	DR099_RS02725	MHL_RS00555
OG0000137	DR099_RS02765	MHL_RS00585
OG0000138	DR099_RS01715	MHL_RS00710
OG0000139	DR099_RS01685	MHL_RS00740
OG0000140	DR099_RS01680	MHL_RS00745
OG0000141	DR099_RS01035	MHL_RS02980
OG0000142	DR099_RS04350	MHL_RS02975
OG0000143	DR099_RS01060	MHL_RS02950
OG0000144	DR099_RS01070	MHL_RS02940
OG0000145	DR099_RS01080	MHL_RS02930
OG0000146	DR099_RS01090	MHL_RS02920
OG0000147	DR099_RS01095	MHL_RS02915
OG0000148	DR099_RS01110	MHL_RS02900
OG0000149	DR099_RS01120	MHL_RS02890
OG0000150	DR099_RS01135	MHL_RS02875
OG0000151	DR099_RS00010	MHL_RS02830
OG0000152	DR099_RS00015	MHL_RS02825
OG0000153	DR099_RS00020	MHL_RS02820
OG0000154	DR099_RS00030	MHL_RS02810
OG0000155	DR099_RS00070	MHL_RS02770
OG0000156	DR099_RS00080	MHL_RS02760
OG0000157	DR099_RS04275	MHL_RS02755
OG0000158	DR099_RS04280	MHL_RS04195
OG0000159	DR099_RS02635	MHL_RS02525
OG0000160	DR099_RS02640	MHL_RS02520
OG0000161	DR099_RS02645	MHL_RS02515
OG0000162	DR099_RS02655	MHL_RS02505
OG0000163	DR099_RS02660	MHL_RS02500
OG0000164	DR099_RS01350	MHL_RS01690
OG0000165	DR099_RS00435	MHL_RS02015
OG0000166	DR099_RS01185	MHL_RS02035
OG0000167	DR099_RS01195	MHL_RS02050
OG0000168	DR099_RS01200	MHL_RS04040
OG0000169	DR099_RS03360	MHL_RS03055
OG0000170	DR099_RS02110	MHL_RS03070
OG0000171	DR099_RS02100	MHL_RS03080
OG0000172	DR099_RS02095	MHL_RS03085
OG0000173	DR099_RS02090	MHL_RS03090
OG0000174	DR099_RS02085	MHL_RS03095
OG0000175	DR099_RS02070	MHL_RS03110
OG0000176	DR099_RS02020	MHL_RS03160
OG0000177	DR099_RS02015	MHL_RS03165
OG0000178	DR099_RS02010	MHL_RS03170
OG0000179	DR099_RS02000	MHL_RS03180
OG0000180	DR099_RS01995	MHL_RS03185
OG0000181	DR099_RS04545	MHL_RS03225
OG0000182	DR099_RS02895	MHL_RS03235
OG0000183	DR099_RS02930	MHL_RS03270
OG0000184	DR099_RS02550	MHL_RS03310
OG0000185	DR099_RS02565	MHL_RS03295
OG0000186	DR099_RS04400	MHL_RS01605
OG0000187	DR099_RS01405	MHL_RS01620
OG0000188	DR099_RS01395	MHL_RS01630
OG0000189	DR099_RS04540	MHL_RS02365
OG0000190	DR099_RS02780	MHL_RS02360
OG0000191	DR099_RS02800	MHL_RS02340
OG0000192	DR099_RS03285	MHL_RS01300
OG0000193	DR099_RS03270	MHL_RS01290
