Orthogroup	MHP_MHP653_genes	MHP_MHP679_genes
OG0000000	DR096_RS03425	DR086_RS03500
OG0000000	DR096_RS03550	DR086_RS04585, DR086_RS03600
OG0000000	DR096_RS03340	DR086_RS04245
OG0000001	DR096_RS01680	DR086_RS03435
OG0000001	DR096_RS01190	DR086_RS01010
OG0000001	DR096_RS04085	DR086_RS03195
OG0000002	DR096_RS04275	DR086_RS04310
OG0000002	DR096_RS04810	DR086_RS05060
OG0000002	DR096_RS04795	DR086_RS04880
OG0000003	DR096_RS04435	DR086_RS04545
OG0000003	DR096_RS04820	DR086_RS05055
OG0000003	DR096_RS04825	DR086_RS05085
OG0000005	DR096_RS02575	DR086_RS03245
OG0000005	DR096_RS02565	DR086_RS03255
OG0000005	DR096_RS02560, DR096_RS04715	DR086_RS05035
OG0000006	DR096_RS04365	DR086_RS04315
OG0000006	DR096_RS01695	DR086_RS04535
OG0000007	DR096_RS03505	DR086_RS03485
OG0000007	DR096_RS00630	DR086_RS03495
OG0000008	DR096_RS04360	DR086_RS02140
OG0000009	DR096_RS02300	DR086_RS04375
OG0000010	DR096_RS00395	DR086_RS00810
OG0000011	DR096_RS00490	DR086_RS00450
OG0000011	DR096_RS00485	DR086_RS00445
OG0000012	DR096_RS03785	DR086_RS03950
OG0000013	DR096_RS04100	DR086_RS03105
OG0000013	DR096_RS03875	DR086_RS04005
OG0000014	DR096_RS04790	DR086_RS04970
OG0000015	DR096_RS01405	DR086_RS03700, DR086_RS00690, DR086_RS03685
OG0000016	DR096_RS01150	DR086_RS01050
OG0000016	DR096_RS00345	DR086_RS00030
OG0000017	DR096_RS00360	DR086_RS00015
OG0000017	DR096_RS01140	DR086_RS01060
OG0000019	DR096_RS03940	DR086_RS04570
OG0000020	DR096_RS04775	DR086_RS02470
OG0000022	DR096_RS01995	DR086_RS01645
OG0000022	DR096_RS04665	DR086_RS04885
OG0000023	DR096_RS01645	DR086_RS02015
OG0000024	DR096_RS01490	DR086_RS03190
OG0000025	DR096_RS04660	DR086_RS04890
OG0000025	DR096_RS02045	DR086_RS01595
OG0000026	DR096_RS01600	DR086_RS01970
OG0000026	DR096_RS02025	DR086_RS01615
OG0000027	DR096_RS04770	DR086_RS05030
OG0000027	DR096_RS04540	DR086_RS04870
OG0000028	DR096_RS01750	DR086_RS02225, DR086_RS03150
OG0000030	DR096_RS04765	DR086_RS05025
OG0000030	DR096_RS04535	DR086_RS04875
OG0000032	DR096_RS04045, DR096_RS04610	DR086_RS03980
OG0000032	DR096_RS00860	DR086_RS03870
OG0000033	DR096_RS01745	DR086_RS05010
OG0000034	DR096_RS03570	DR086_RS04575
OG0000034	DR096_RS04455	DR086_RS04580
OG0000034	DR096_RS02425	DR086_RS04725
OG0000034	DR096_RS02670, DR096_RS03765	DR086_RS03915
OG0000036	DR096_RS02555, DR096_RS02535	DR086_RS03265
OG0000037	DR096_RS04615	DR086_RS03325
OG0000039	DR096_RS01385	DR086_RS03295
OG0000041	DR096_RS03595	DR086_RS03635
OG0000042	DR096_RS00855	DR086_RS02970
OG0000043	DR096_RS00455	DR086_RS00415
OG0000044	DR096_RS04875	DR086_RS05095
OG0000045	DR096_RS01390	DR086_RS03290
OG0000048	DR096_RS03530	DR086_RS00610
OG0000049	DR096_RS00770	DR086_RS01430
OG0000050	DR096_RS03020	DR086_RS02195
OG0000051	DR096_RS02440	DR086_RS00855
OG0000052	DR096_RS02830	DR086_RS01150
OG0000053	DR096_RS04590	DR086_RS04905
OG0000054	DR096_RS02995	DR086_RS02170
OG0000055	DR096_RS02530	DR086_RS03270
OG0000056	DR096_RS01045	DR086_RS02455
OG0000057	DR096_RS01065	DR086_RS01130
OG0000062	DR096_RS01775	DR086_RS01260
OG0000063	DR096_RS04645	DR086_RS04835
OG0000064	DR096_RS01760	DR086_RS01275
OG0000065	DR096_RS02855	DR086_RS02080
OG0000066	DR096_RS01610	DR086_RS01980
OG0000067	DR096_RS03370	DR086_RS02240
OG0000068	DR096_RS03280	DR086_RS01570
OG0000069	DR096_RS01175	DR086_RS01025
OG0000070	DR096_RS02990	DR086_RS02165
OG0000071	DR096_RS03055	DR086_RS02350
OG0000072	DR096_RS04730	DR086_RS04935
OG0000073	DR096_RS02090	DR086_RS03040
OG0000074	DR096_RS04705	DR086_RS04990
OG0000075	DR096_RS00165	DR086_RS03840, DR086_RS00210
OG0000076	DR096_RS00150	DR086_RS00225
OG0000077	DR096_RS00060	DR086_RS00315
OG0000078	DR096_RS04150, DR096_RS02015	DR086_RS01625
OG0000079	DR096_RS02960	DR086_RS00950
OG0000080	DR096_RS04245	DR086_RS04145
OG0000081	DR096_RS00170	DR086_RS00205
OG0000082	DR096_RS01735	DR086_RS03110
OG0000083	DR096_RS00560	DR086_RS00520
OG0000084	DR096_RS00585	DR086_RS00545
OG0000085	DR096_RS00590	DR086_RS00550
OG0000086	DR096_RS00600	DR086_RS00560
OG0000087	DR096_RS00615	DR086_RS00575
OG0000088	DR096_RS00620	DR086_RS00580
OG0000089	DR096_RS03525	DR086_RS00590
OG0000090	DR096_RS02835	DR086_RS01155
OG0000091	DR096_RS01865	DR086_RS01170
OG0000092	DR096_RS01850	DR086_RS01185
OG0000093	DR096_RS01845	DR086_RS01190
OG0000094	DR096_RS01840	DR086_RS01195
OG0000095	DR096_RS01815	DR086_RS01220
OG0000096	DR096_RS01810	DR086_RS01225
OG0000097	DR096_RS01790	DR086_RS01245
OG0000098	DR096_RS01780	DR086_RS01255
OG0000099	DR096_RS03485	DR086_RS04950
OG0000100	DR096_RS01035	DR086_RS02445
OG0000101	DR096_RS01030	DR086_RS02440
OG0000102	DR096_RS02040	DR086_RS01600
OG0000103	DR096_RS02890	DR086_RS02115
OG0000104	DR096_RS02885	DR086_RS02110
OG0000105	DR096_RS02870	DR086_RS02095
OG0000106	DR096_RS02860	DR086_RS02085
OG0000107	DR096_RS02850	DR086_RS02075
OG0000108	DR096_RS02845	DR086_RS02070
OG0000109	DR096_RS02840	DR086_RS02065
OG0000110	DR096_RS01725	DR086_RS03120
OG0000111	DR096_RS01720	DR086_RS03125
OG0000112	DR096_RS01710	DR086_RS03135
OG0000113	DR096_RS04785	DR086_RS05050
OG0000114	DR096_RS03255	DR086_RS03455
OG0000115	DR096_RS03245	DR086_RS03475
OG0000116	DR096_RS01665	DR086_RS03410
OG0000117	DR096_RS01660	DR086_RS03405
OG0000118	DR096_RS01625	DR086_RS01995
OG0000119	DR096_RS01620	DR086_RS01990
OG0000120	DR096_RS01605	DR086_RS01975
OG0000121	DR096_RS01580	DR086_RS01950
OG0000122	DR096_RS01575	DR086_RS01945
OG0000123	DR096_RS01555	DR086_RS01925
OG0000124	DR096_RS01550	DR086_RS01920
OG0000125	DR096_RS01545	DR086_RS01915
OG0000126	DR096_RS01210	DR086_RS01900
OG0000127	DR096_RS01220	DR086_RS01890
OG0000128	DR096_RS01235	DR086_RS01875
OG0000129	DR096_RS01240	DR086_RS01870
OG0000130	DR096_RS01250	DR086_RS01860
OG0000131	DR096_RS04595	DR086_RS01830
OG0000132	DR096_RS04600	DR086_RS04900
OG0000133	DR096_RS02600	DR086_RS02245
OG0000134	DR096_RS02605	DR086_RS02250
OG0000135	DR096_RS02620	DR086_RS02265
OG0000136	DR096_RS02625	DR086_RS02270
OG0000137	DR096_RS02665	DR086_RS02310
OG0000138	DR096_RS03305	DR086_RS02775
OG0000139	DR096_RS03275	DR086_RS02745
OG0000140	DR096_RS03270	DR086_RS02740
OG0000141	DR096_RS01055	DR086_RS03720
OG0000142	DR096_RS04575	DR086_RS04820
OG0000143	DR096_RS01085	DR086_RS01115
OG0000144	DR096_RS01095	DR086_RS01105
OG0000145	DR096_RS01105	DR086_RS01095
OG0000146	DR096_RS01115	DR086_RS01085
OG0000147	DR096_RS01120	DR086_RS01080
OG0000148	DR096_RS01135	DR086_RS01065
OG0000149	DR096_RS01145	DR086_RS01055
OG0000150	DR096_RS01160	DR086_RS01040
OG0000151	DR096_RS01530	DR086_RS03230
OG0000152	DR096_RS01525	DR086_RS03225
OG0000153	DR096_RS01520	DR086_RS03220
OG0000154	DR096_RS01510	DR086_RS03210
OG0000155	DR096_RS01470	DR086_RS03005
OG0000156	DR096_RS01460	DR086_RS02995
OG0000157	DR096_RS04635	DR086_RS05005
OG0000158	DR096_RS04630	DR086_RS05000
OG0000159	DR096_RS03005	DR086_RS05100
OG0000160	DR096_RS03010	DR086_RS02185
OG0000161	DR096_RS03015	DR086_RS02190
OG0000162	DR096_RS03025	DR086_RS02200
OG0000163	DR096_RS03030	DR086_RS02205
OG0000164	DR096_RS01375	DR086_RS03305
OG0000165	DR096_RS00480	DR086_RS00440
OG0000166	DR096_RS00500	DR086_RS00460
OG0000167	DR096_RS00515	DR086_RS00475
OG0000168	DR096_RS00520	DR086_RS00480
OG0000169	DR096_RS00775	DR086_RS01435
OG0000170	DR096_RS00760	DR086_RS01420
OG0000171	DR096_RS00750	DR086_RS01410
OG0000172	DR096_RS00740	DR086_RS01405
OG0000173	DR096_RS00735	DR086_RS01400
OG0000174	DR096_RS00730	DR086_RS01395
OG0000175	DR096_RS00715	DR086_RS01380
OG0000176	DR096_RS00665	DR086_RS01330
OG0000177	DR096_RS00660	DR086_RS01325
OG0000178	DR096_RS00655	DR086_RS01320
OG0000179	DR096_RS00645	DR086_RS01310
OG0000180	DR096_RS00640	DR086_RS01305
OG0000181	DR096_RS04745	DR086_RS05065
OG0000182	DR096_RS03095	DR086_RS03535
OG0000183	DR096_RS03060	DR086_RS02345
OG0000184	DR096_RS03135	DR086_RS02390
OG0000185	DR096_RS03120	DR086_RS02375
OG0000186	DR096_RS04605	DR086_RS04895
OG0000187	DR096_RS01320	DR086_RS01790
OG0000188	DR096_RS01330	DR086_RS01780
OG0000189	DR096_RS04750	DR086_RS04920
OG0000190	DR096_RS03155	DR086_RS02035
OG0000191	DR096_RS03175	DR086_RS02055
OG0000192	DR096_RS02270	DR086_RS02515
OG0000193	DR096_RS02285	DR086_RS02500
OG0000194	DR096_RS02075	DR086_RS03025
OG0000195	DR096_RS02080	DR086_RS03030
OG0000196	DR096_RS02100	DR086_RS03050
OG0000197	DR096_RS02105	DR086_RS03055
OG0000198	DR096_RS02120	DR086_RS03070
OG0000199	DR096_RS02125	DR086_RS03075
OG0000200	DR096_RS02140	DR086_RS03090
OG0000201	DR096_RS02150	DR086_RS03100
OG0000202	DR096_RS02205	DR086_RS03345
OG0000203	DR096_RS02215	DR086_RS03340
OG0000204	DR096_RS04690	DR086_RS04975
OG0000205	DR096_RS02315	DR086_RS02805
OG0000206	DR096_RS02335	DR086_RS02825
OG0000207	DR096_RS02350	DR086_RS02840
OG0000208	DR096_RS02355	DR086_RS02845
OG0000209	DR096_RS02360	DR086_RS02850
OG0000210	DR096_RS02405	DR086_RS02895
OG0000211	DR096_RS02680	DR086_RS02580
OG0000212	DR096_RS02690	DR086_RS02590
OG0000213	DR096_RS02695	DR086_RS02595
OG0000214	DR096_RS02700	DR086_RS02600
OG0000215	DR096_RS02705	DR086_RS02605
OG0000216	DR096_RS02710	DR086_RS02610
OG0000217	DR096_RS02715	DR086_RS02615
OG0000218	DR096_RS02725	DR086_RS02625
OG0000219	DR096_RS02730	DR086_RS02630
OG0000220	DR096_RS02735	DR086_RS02635
OG0000221	DR096_RS02740	DR086_RS02640
OG0000222	DR096_RS02745	DR086_RS02645
OG0000223	DR096_RS02750	DR086_RS02650
OG0000224	DR096_RS02760	DR086_RS02660
OG0000225	DR096_RS02770	DR086_RS02670
OG0000226	DR096_RS02775	DR086_RS02675
OG0000227	DR096_RS02780	DR086_RS02680
OG0000228	DR096_RS04885	DR086_RS05105
OG0000229	DR096_RS02790	DR086_RS02690
OG0000230	DR096_RS02795	DR086_RS02695
OG0000231	DR096_RS02805	DR086_RS02705
OG0000232	DR096_RS02815	DR086_RS02715
OG0000233	DR096_RS01885	DR086_RS01680
OG0000234	DR096_RS01920	DR086_RS01715
OG0000235	DR096_RS01930	DR086_RS01725
OG0000236	DR096_RS01935	DR086_RS01730
OG0000237	DR096_RS01940	DR086_RS01735
OG0000238	DR096_RS01950	DR086_RS01745
OG0000239	DR096_RS00850	DR086_RS02960
OG0000240	DR096_RS00845	DR086_RS02955
OG0000241	DR096_RS00835	DR086_RS02945
OG0000242	DR096_RS00830	DR086_RS02940
OG0000243	DR096_RS00825	DR086_RS02935
OG0000244	DR096_RS00815	DR086_RS02925
OG0000245	DR096_RS00805	DR086_RS02915
OG0000246	DR096_RS02525	DR086_RS03275
OG0000247	DR096_RS00365	DR086_RS00010
OG0000248	DR096_RS00355	DR086_RS00020
OG0000249	DR096_RS00350	DR086_RS00025
OG0000250	DR096_RS00335	DR086_RS00040
OG0000251	DR096_RS00300	DR086_RS00075
OG0000252	DR096_RS00290	DR086_RS00085
OG0000253	DR096_RS00285	DR086_RS00090
OG0000254	DR096_RS00275	DR086_RS00100
OG0000255	DR096_RS00265	DR086_RS00110
OG0000256	DR096_RS00260	DR086_RS00115
OG0000257	DR096_RS00235	DR086_RS00140
OG0000258	DR096_RS00225	DR086_RS00150
OG0000259	DR096_RS00195	DR086_RS00180
OG0000260	DR096_RS00185	DR086_RS00190
OG0000261	DR096_RS04485	DR086_RS04745
OG0000262	DR096_RS00160	DR086_RS00215
OG0000263	DR096_RS00145	DR086_RS00230
OG0000264	DR096_RS00130	DR086_RS00245
OG0000265	DR096_RS00120	DR086_RS00255
OG0000266	DR096_RS00105	DR086_RS00270
OG0000267	DR096_RS00090	DR086_RS00285
OG0000268	DR096_RS00085	DR086_RS00290
OG0000269	DR096_RS00070	DR086_RS00305
OG0000270	DR096_RS04570	DR086_RS04945
OG0000271	DR096_RS01000	DR086_RS02410
OG0000272	DR096_RS00995	DR086_RS02405
