Orthogroup	MHP_MHP653_genes	MHP_ES2_genes
OG0000000	DR096_RS03590	E5E95_RS02310
OG0000000	DR096_RS03425	E5E95_RS02235
OG0000000	DR096_RS04410	E5E95_RS02240
OG0000000	DR096_RS04405	E5E95_RS04040
OG0000000	DR096_RS03550	E5E95_RS02430
OG0000000	DR096_RS04445	E5E95_RS04240
OG0000000	DR096_RS04160, DR096_RS02065	E5E95_RS01830
OG0000000	DR096_RS03340	E5E95_RS04235, E5E95_RS01835
OG0000001	DR096_RS01680	E5E95_RS01300
OG0000001	DR096_RS01685	E5E95_RS01295
OG0000001	DR096_RS01190	E5E95_RS03000
OG0000002	DR096_RS04275	E5E95_RS02320
OG0000002	DR096_RS02905	E5E95_RS02315
OG0000002	DR096_RS04810	E5E95_RS02250
OG0000002	DR096_RS04795	E5E95_RS01840
OG0000003	DR096_RS03690	E5E95_RS01915
OG0000003	DR096_RS04710	E5E95_RS00930
OG0000003	DR096_RS04435	E5E95_RS04060
OG0000003	DR096_RS04820	E5E95_RS04070
OG0000003	DR096_RS04825	E5E95_RS03910
OG0000004	DR096_RS00785	E5E95_RS03235
OG0000005	DR096_RS02575	E5E95_RS00090
OG0000005	DR096_RS04720	E5E95_RS00110
OG0000005	DR096_RS02565	E5E95_RS00095
OG0000005	DR096_RS02560	E5E95_RS00100
OG0000005	DR096_RS04715	E5E95_RS00115
OG0000006	DR096_RS04365	E5E95_RS02705
OG0000007	DR096_RS02415	E5E95_RS00935
OG0000007	DR096_RS03505	E5E95_RS02300
OG0000007	DR096_RS04240	E5E95_RS00950
OG0000007	DR096_RS03510	E5E95_RS02295
OG0000007	DR096_RS00630	E5E95_RS02290
OG0000008	DR096_RS04360	E5E95_RS03930, E5E95_RS04135
OG0000009	DR096_RS02300	E5E95_RS01210
OG0000010	DR096_RS00395	E5E95_RS01970
OG0000011	DR096_RS00490	E5E95_RS02070
OG0000011	DR096_RS00485	E5E95_RS02060
OG0000012	DR096_RS03685	E5E95_RS03230
OG0000013	DR096_RS04100	E5E95_RS02610
OG0000013	DR096_RS03875	E5E95_RS03955
OG0000014	DR096_RS03315	E5E95_RS00595
OG0000014	DR096_RS04790	E5E95_RS00605
OG0000015	DR096_RS01405	E5E95_RS04195, E5E95_RS01745, E5E95_RS02450, E5E95_RS01590
OG0000016	DR096_RS01150	E5E95_RS03040
OG0000016	DR096_RS00345	E5E95_RS00160
OG0000017	DR096_RS00360	E5E95_RS00145
OG0000017	DR096_RS01140	E5E95_RS03050
OG0000019	DR096_RS03940	E5E95_RS04175
OG0000020	DR096_RS03230	E5E95_RS03770
OG0000021	DR096_RS03450	E5E95_RS00510
OG0000022	DR096_RS01995	E5E95_RS01770
OG0000022	DR096_RS04665	E5E95_RS01825
OG0000023	DR096_RS01645	E5E95_RS01335
OG0000024	DR096_RS01490	E5E95_RS02945
OG0000024	DR096_RS01690	E5E95_RS01290
OG0000025	DR096_RS04660	E5E95_RS01775
OG0000025	DR096_RS02045	E5E95_RS01820
OG0000026	DR096_RS01600	E5E95_RS01380
OG0000026	DR096_RS02025	E5E95_RS01800
OG0000027	DR096_RS04770	E5E95_RS03560
OG0000027	DR096_RS04540	E5E95_RS03575
OG0000028	DR096_RS01750, DR096_RS01755	E5E95_RS02620
OG0000029	DR096_RS03330	E5E95_RS00610
OG0000030	DR096_RS04765	E5E95_RS03550
OG0000030	DR096_RS04535	E5E95_RS03570
OG0000031	DR096_RS01370	E5E95_RS01625
OG0000032	DR096_RS04610	E5E95_RS03995
OG0000032	DR096_RS00860	E5E95_RS03565
OG0000034	DR096_RS03570	E5E95_RS04045
OG0000034	DR096_RS04455	E5E95_RS04050
OG0000035	DR096_RS03635	E5E95_RS03395
OG0000036	DR096_RS02535	E5E95_RS00120
OG0000039	DR096_RS01385	E5E95_RS01650, E5E95_RS01645
OG0000041	DR096_RS02305	E5E95_RS01205
OG0000041	DR096_RS03595	E5E95_RS00670
OG0000042	DR096_RS00855	E5E95_RS03140
OG0000043	DR096_RS00455	E5E95_RS02030
OG0000044	DR096_RS04875	E5E95_RS04290
OG0000045	DR096_RS01390	E5E95_RS01655
OG0000046	DR096_RS04310	E5E95_RS03505
OG0000048	DR096_RS03530	E5E95_RS02215
OG0000049	DR096_RS00770	E5E95_RS03260
OG0000050	DR096_RS03020	E5E95_RS02655
OG0000051	DR096_RS02440	E5E95_RS02855
OG0000052	DR096_RS02830	E5E95_RS00075
OG0000053	DR096_RS04590	E5E95_RS01465
OG0000054	DR096_RS02995	E5E95_RS02680
OG0000055	DR096_RS02530	E5E95_RS00125
OG0000056	DR096_RS01045	E5E95_RS03750
OG0000057	DR096_RS01065	E5E95_RS03125
OG0000060	DR096_RS02295	E5E95_RS01215
OG0000061	DR096_RS00405	E5E95_RS01980
OG0000062	DR096_RS01775	E5E95_RS03805
OG0000063	DR096_RS04645	E5E95_RS03800
OG0000064	DR096_RS01760	E5E95_RS03790
OG0000065	DR096_RS02855	E5E95_RS02365
OG0000066	DR096_RS01610	E5E95_RS01370
OG0000067	DR096_RS03370	E5E95_RS00525
OG0000068	DR096_RS03280	E5E95_RS00645
OG0000069	DR096_RS01175	E5E95_RS03015
OG0000070	DR096_RS02990	E5E95_RS02685
OG0000071	DR096_RS03055	E5E95_RS03485
OG0000072	DR096_RS04730	E5E95_RS03490
OG0000073	DR096_RS02090	E5E95_RS00705
OG0000074	DR096_RS04705	E5E95_RS00900
OG0000075	DR096_RS00165	E5E95_RS00340
OG0000077	DR096_RS00060	E5E95_RS00445
OG0000078	DR096_RS02015	E5E95_RS01790
OG0000079	DR096_RS02960	E5E95_RS02760
OG0000080	DR096_RS04245	E5E95_RS03935
OG0000081	DR096_RS00170	E5E95_RS00335
OG0000082	DR096_RS01735	E5E95_RS02605
OG0000083	DR096_RS00560	E5E95_RS02140
OG0000084	DR096_RS00585	E5E95_RS02165
OG0000085	DR096_RS00590	E5E95_RS02170
OG0000086	DR096_RS00600	E5E95_RS02180
OG0000087	DR096_RS00615	E5E95_RS02195
OG0000088	DR096_RS00620	E5E95_RS02200
OG0000089	DR096_RS03525	E5E95_RS02210
OG0000090	DR096_RS02835	E5E95_RS00070
OG0000091	DR096_RS01865	E5E95_RS00055
OG0000092	DR096_RS01850	E5E95_RS00040
OG0000093	DR096_RS01845	E5E95_RS00035
OG0000094	DR096_RS01840	E5E95_RS00030
OG0000095	DR096_RS01815	E5E95_RS00005
OG0000096	DR096_RS01810	E5E95_RS03840
OG0000097	DR096_RS01790	E5E95_RS03820
OG0000098	DR096_RS01780	E5E95_RS03810
OG0000099	DR096_RS03485	E5E95_RS03760
OG0000100	DR096_RS01035	E5E95_RS03740
OG0000101	DR096_RS01030	E5E95_RS03735
OG0000102	DR096_RS02040	E5E95_RS01815
OG0000103	DR096_RS02890	E5E95_RS02330
OG0000104	DR096_RS02885	E5E95_RS02335
OG0000105	DR096_RS02870	E5E95_RS02350
OG0000106	DR096_RS02860	E5E95_RS02360
OG0000107	DR096_RS02850	E5E95_RS02370
OG0000108	DR096_RS02845	E5E95_RS02375
OG0000109	DR096_RS02840	E5E95_RS02380
OG0000110	DR096_RS01725	E5E95_RS02595
OG0000111	DR096_RS01720	E5E95_RS02590
OG0000112	DR096_RS01710	E5E95_RS02580
OG0000113	DR096_RS04785	E5E95_RS02560
OG0000114	DR096_RS03255	E5E95_RS04300
OG0000115	DR096_RS03245	E5E95_RS02535
