Orthogroup	MHP_MHP653_genes	MHP_KM014_genes
OG0000000	DR096_RS03425	CIB43_RS03015
OG0000000	DR096_RS02065	CIB43_RS02600
OG0000001	DR096_RS01685	CIB43_RS02150
OG0000001	DR096_RS01190	CIB43_RS03715
OG0000001	DR096_RS04085	CIB43_RS03670
OG0000002	DR096_RS04275	CIB43_RS03100
OG0000002	DR096_RS04795	CIB43_RS02610
OG0000003	DR096_RS03740	CIB43_RS01390
OG0000003	DR096_RS04825	CIB43_RS02725
OG0000004	DR096_RS00785	CIB43_RS00110
OG0000005	DR096_RS02575	CIB43_RS00810
OG0000005	DR096_RS04720	CIB43_RS00830
OG0000006	DR096_RS04365	CIB43_RS03435
OG0000006	DR096_RS04370, DR096_RS01695	CIB43_RS03420
OG0000007	DR096_RS03505	CIB43_RS03095
OG0000007	DR096_RS03510	CIB43_RS03080
OG0000007	DR096_RS00630	CIB43_RS03075
OG0000009	DR096_RS02590	CIB43_RS00790
OG0000010	DR096_RS00395	CIB43_RS02735
OG0000010	DR096_RS02570	CIB43_RS00795
OG0000011	DR096_RS00490	CIB43_RS02850
OG0000012	DR096_RS03685	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	DR096_RS03315	CIB43_RS01485
OG0000015	DR096_RS01405	CIB43_RS01235, CIB43_RS00010, CIB43_RS01220
OG0000016	DR096_RS01150	CIB43_RS03755
OG0000017	DR096_RS00360	CIB43_RS00855
OG0000017	DR096_RS01140	CIB43_RS03765
OG0000019	DR096_RS03940	CIB43_RS00120, CIB43_RS00115
OG0000020	DR096_RS04775	CIB43_RS00635
OG0000022	DR096_RS04665	CIB43_RS02590
OG0000024	DR096_RS01690	CIB43_RS02140
OG0000025	DR096_RS02045	CIB43_RS02585
OG0000026	DR096_RS02025	CIB43_RS02565
OG0000027	DR096_RS04540	CIB43_RS00440
OG0000028	DR096_RS03495	CIB43_RS03320, CIB43_RS03335
OG0000028	DR096_RS01750, DR096_RS01755	CIB43_RS03325
OG0000030	DR096_RS04535	CIB43_RS00435
OG0000035	DR096_RS03635	CIB43_RS00270
OG0000036	DR096_RS02555	CIB43_RS00815
OG0000039	DR096_RS01385	CIB43_RS02500
OG0000041	DR096_RS03595	CIB43_RS03980
OG0000042	DR096_RS00855	CIB43_RS03855
