Orthogroup	MHP_MHP653_genes	MHP_111A_genes
OG0000000	DR096_RS04410	NB623_RS01020
OG0000000	DR096_RS03335	NB623_RS01855
OG0000000	DR096_RS03550	NB623_RS02460
OG0000000	DR096_RS02065	NB623_RS01850
OG0000000	DR096_RS03340	NB623_RS01865
OG0000001	DR096_RS01190	NB623_RS02960
OG0000002	DR096_RS04275	NB623_RS02345
OG0000002	DR096_RS02905	NB623_RS01905
OG0000002	DR096_RS04810	NB623_RS01015
OG0000003	DR096_RS03740	NB623_RS00495
OG0000003	DR096_RS04710	NB623_RS00940
OG0000003	DR096_RS04820	NB623_RS01040, NB623_RS01035
OG0000005	DR096_RS02575	NB623_RS00105
OG0000005	DR096_RS02565	NB623_RS00110
OG0000005	DR096_RS02560	NB623_RS00115
OG0000006	DR096_RS04365	NB623_RS02650
OG0000006	DR096_RS01695	NB623_RS02495
OG0000007	DR096_RS02415	NB623_RS00955, NB623_RS00950
OG0000007	DR096_RS03505	NB623_RS01045
OG0000007	DR096_RS04240	NB623_RS00970
OG0000007	DR096_RS03510	NB623_RS01050
OG0000007	DR096_RS00630	NB623_RS01060
OG0000008	DR096_RS04360	NB623_RS02665, NB623_RS02660
OG0000009	DR096_RS02590	NB623_RS00090
OG0000010	DR096_RS00395	NB623_RS02245
OG0000011	DR096_RS00490	NB623_RS02145
OG0000011	DR096_RS00485	NB623_RS02150
OG0000012	DR096_RS03785	NB623_RS02230
OG0000013	DR096_RS04100	NB623_RS02540
OG0000014	DR096_RS04790	NB623_RS00600
OG0000015	DR096_RS01405	NB623_RS01750, NB623_RS01925, NB623_RS01685
OG0000016	DR096_RS00345	NB623_RS00160
OG0000017	DR096_RS00360	NB623_RS00145
OG0000017	DR096_RS01140	NB623_RS03015
OG0000018	DR096_RS04640	NB623_RS01440
OG0000019	DR096_RS03940	NB623_RS03195, NB623_RS03185, NB623_RS03175
OG0000020	DR096_RS03230	NB623_RS03740
OG0000020	DR096_RS04775	NB623_RS03745
OG0000022	DR096_RS01995	NB623_RS01785
OG0000022	DR096_RS04665	NB623_RS01840
OG0000024	DR096_RS01490	NB623_RS02905
OG0000024	DR096_RS01690	NB623_RS01395
OG0000025	DR096_RS04660	NB623_RS01790
OG0000025	DR096_RS02045	NB623_RS01835
OG0000026	DR096_RS01600	NB623_RS01480
OG0000026	DR096_RS02025	NB623_RS01815
OG0000027	DR096_RS04770	NB623_RS03520
OG0000027	DR096_RS04540	NB623_RS03535
OG0000028	DR096_RS01750	NB623_RS02565
OG0000029	DR096_RS03330	NB623_RS00605
OG0000030	DR096_RS04765	NB623_RS03510
OG0000030	DR096_RS04535	NB623_RS03530
OG0000032	DR096_RS04610	NB623_RS01690
OG0000032	DR096_RS00860	NB623_RS03525
OG0000033	DR096_RS01745	NB623_RS02545, NB623_RS02550
OG0000034	DR096_RS03570	NB623_RS00990
OG0000034	DR096_RS04455	NB623_RS00980
OG0000035	DR096_RS03635	NB623_RS03345
OG0000036	DR096_RS02555	NB623_RS00120
OG0000037	DR096_RS04615	NB623_RS01695
OG0000039	DR096_RS01385	NB623_RS01730
OG0000041	DR096_RS03595	NB623_RS00670
OG0000042	DR096_RS00855	NB623_RS03100
OG0000043	DR096_RS00455	NB623_RS02180
OG0000044	DR096_RS04875	NB623_RS01800
OG0000045	DR096_RS01390	NB623_RS01740, NB623_RS01735
OG0000046	DR096_RS04310	NB623_RS03460
OG0000048	DR096_RS03530	NB623_RS01920
OG0000049	DR096_RS00770	NB623_RS03205
OG0000050	DR096_RS03020	NB623_RS02600
OG0000051	DR096_RS02440	NB623_RS02820
