Orthogroup	MHP_168_genes	MHP_ES2L_genes
OG0000000	MHP168_RS02315	HZK19_RS02290
OG0000000	MHP168_RS01690	HZK19_RS01695
OG0000001	MHP168_RS01365	HZK19_RS03720
OG0000001	MHP168_RS02805	HZK19_RS02765
OG0000001	MHP168_RS02760	HZK19_RS03840
OG0000002	MHP168_RS01665, MHP168_RS01685	HZK19_RS01705
OG0000003	MHP168_RS00480	HZK19_RS01715
OG0000003	MHP168_RS03875	HZK19_RS01800
OG0000004	MHP168_RS03180	HZK19_RS03240
OG0000004	MHP168_RS03190	HZK19_RS03255
OG0000005	MHP168_RS00085	HZK19_RS00085
OG0000005	MHP168_RS00095	HZK19_RS00090
OG0000005	MHP168_RS00100, MHP168_RS03905	HZK19_RS00095, HZK19_RS00110
OG0000006	MHP168_RS02510, MHP168_RS02505	HZK19_RS02470
OG0000006	MHP168_RS02320	HZK19_RS03800
OG0000006	MHP168_RS02355	HZK19_RS03805
OG0000006	MHP168_RS02500	HZK19_RS02465
OG0000008	MHP168_RS02310	HZK19_RS03790
OG0000008	MHP168_RS01780	HZK19_RS03745
OG0000008	MHP168_RS04005	HZK19_RS03825
OG0000009	MHP168_RS00975	HZK19_RS00655
OG0000010	MHP168_RS01930	HZK19_RS01810
OG0000010	MHP168_RS01645	HZK19_RS03735
OG0000011	MHP168_RS04085	HZK19_RS03920
OG0000013	MHP168_RS02405	HZK19_RS02370
OG0000013	MHP168_RS03910	HZK19_RS03715
OG0000014	MHP168_RS01055	HZK19_RS00595
OG0000015	MHP168_RS03815	HZK19_RS01540
OG0000016	MHP168_RS02850	HZK19_RS02805
OG0000016	MHP168_RS00145	HZK19_RS00155
OG0000017	MHP168_RS00130	HZK19_RS00140
OG0000017	MHP168_RS02860	HZK19_RS02815
OG0000018	MHP168_RS04030	HZK19_RS03075
OG0000020	MHP168_RS03580	HZK19_RS03865, HZK19_RS03860
OG0000020	MHP168_RS03585	HZK19_RS03600
OG0000021	MHP168_RS00485	HZK19_RS01725
OG0000022	MHP168_RS01760	HZK19_RS01625
OG0000022	MHP168_RS01710	HZK19_RS01685
OG0000024	MHP168_RS02750	HZK19_RS02710
OG0000024	MHP168_RS03940	HZK19_RS01240
OG0000025	MHP168_RS01755	HZK19_RS01630
OG0000025	MHP168_RS01715	HZK19_RS01680
OG0000026	MHP168_RS01450	HZK19_RS01330
OG0000026	MHP168_RS01735	HZK19_RS01660
OG0000027	MHP168_RS03845	HZK19_RS03390
OG0000027	MHP168_RS03330	HZK19_RS03405
OG0000028	MHP168_RS02415, MHP168_RS02420	HZK19_RS02385
OG0000029	MHP168_RS00575	HZK19_RS01065
OG0000029	MHP168_RS01050	HZK19_RS00600
OG0000030	MHP168_RS03310	HZK19_RS03380
OG0000030	MHP168_RS03325	HZK19_RS03400
OG0000031	MHP168_RS03565	HZK19_RS03025
OG0000032	MHP168_RS03320	HZK19_RS03395
OG0000033	MHP168_RS02410	HZK19_RS03820, HZK19_RS02375
OG0000035	MHP168_RS03185	HZK19_RS03235
OG0000035	MHP168_RS03170	HZK19_RS03225
OG0000036	MHP168_RS00105	HZK19_RS00100, HZK19_RS03705, HZK19_RS03710
OG0000037	MHP168_RS01830	HZK19_RS01550
OG0000038	MHP168_RS01840	HZK19_RS01710
OG0000039	MHP168_RS01800	HZK19_RS01580
OG0000040	MHP168_RS03260	HZK19_RS03325
OG0000041	MHP168_RS03920	HZK19_RS01160
OG0000042	MHP168_RS02950	HZK19_RS02900
OG0000043	MHP168_RS01985	HZK19_RS01875
OG0000043	MHP168_RS01205	HZK19_RS01875
OG0000044	MHP168_RS03745	HZK19_RS03955
OG0000044	MHP168_RS01880	HZK19_RS01755
OG0000045	MHP168_RS01795	HZK19_RS01585
OG0000048	MHP168_RS02190	HZK19_RS02065
OG0000049	MHP168_RS03035	HZK19_RS02995
OG0000050	MHP168_RS02450	HZK19_RS02415
OG0000051	MHP168_RS04010	HZK19_RS02620
OG0000052	MHP168_RS00070	HZK19_RS00075
OG0000053	MHP168_RS01535	HZK19_RS01415
OG0000054	MHP168_RS02475	HZK19_RS02440
OG0000055	MHP168_RS00110	HZK19_RS00120
OG0000056	MHP168_RS03500	HZK19_RS03580
OG0000057	MHP168_RS02935	HZK19_RS02885
OG0000058	MHP168_RS03570	HZK19_RS03020
OG0000060	MHP168_RS01270, MHP168_RS00075	HZK19_RS00080
OG0000062	MHP168_RS03625	HZK19_RS03630
OG0000063	MHP168_RS03620	HZK19_RS03625
OG0000064	MHP168_RS03610	HZK19_RS03615
OG0000065	MHP168_RS02125	HZK19_RS02220
OG0000066	MHP168_RS01440	HZK19_RS01320
OG0000067	MHP168_RS00505	HZK19_RS00515
OG0000068	MHP168_RS03810	HZK19_RS00635
OG0000069	MHP168_RS02825	HZK19_RS02780
OG0000070	MHP168_RS02480	HZK19_RS02445
OG0000071	MHP168_RS03250	HZK19_RS03315
OG0000072	MHP168_RS03255	HZK19_RS03320
OG0000073	MHP168_RS00950	HZK19_RS00680
OG0000074	MHP168_RS00760	HZK19_RS00875
OG0000075	MHP168_RS00315	HZK19_RS00325
OG0000076	MHP168_RS00330	HZK19_RS00340
OG0000077	MHP168_RS00420	HZK19_RS00425
OG0000078	MHP168_RS01745	HZK19_RS01645
OG0000079	MHP168_RS02565	HZK19_RS02525
OG0000080	MHP168_RS03900	HZK19_RS02570
OG0000081	MHP168_RS00310	HZK19_RS00320
OG0000082	MHP168_RS03995, MHP168_RS04000	HZK19_RS02365
OG0000083	MHP168_RS02095	HZK19_RS01985
