Orthogroup	MHP_168_genes	MFC_MF33_genes
OG0000000	MHP168_RS02175	DR085_RS03035
OG0000001	MHP168_RS01365, MHP168_RS03950, MHP168_RS02805, MHP168_RS02755, MHP168_RS02760	DR085_RS03235
OG0000002	MHP168_RS01665, MHP168_RS01685	DR085_RS03805
OG0000004	MHP168_RS03180, MHP168_RS03190	DR085_RS01395
OG0000008	MHP168_RS01780	DR085_RS03145
OG0000011	MHP168_RS04085, MHP168_RS02020	DR085_RS03875, DR085_RS02795
OG0000011	MHP168_RS02015	DR085_RS02805
OG0000013	MHP168_RS02405	DR085_RS00915, DR085_RS00910
OG0000013	MHP168_RS03910	DR085_RS03115
OG0000014	MHP168_RS01070, MHP168_RS01055	DR085_RS03650
OG0000016	MHP168_RS02850	DR085_RS00605
OG0000017	MHP168_RS00130	DR085_RS02380
OG0000017	MHP168_RS02860	DR085_RS00595
OG0000018	MHP168_RS04035, MHP168_RS04030	DR085_RS03745
OG0000020	MHP168_RS03580	DR085_RS03795
OG0000020	MHP168_RS03585	DR085_RS03790
OG0000022	MHP168_RS01710	DR085_RS03800
OG0000023	MHP168_RS03535	DR085_RS02195
OG0000024	MHP168_RS02750, MHP168_RS03940, MHP168_RS03945	DR085_RS00665
OG0000025	MHP168_RS01715	DR085_RS02460
OG0000026	MHP168_RS01450, MHP168_RS01735	DR085_RS01755
OG0000027	MHP168_RS03330	DR085_RS03845
OG0000028	MHP168_RS02415, MHP168_RS02420	DR085_RS00930
OG0000029	MHP168_RS00575, MHP168_RS01050	DR085_RS00425
OG0000030	MHP168_RS03310, MHP168_RS03325	DR085_RS03850
OG0000031	MHP168_RS03565, MHP168_RS01210, MHP168_RS01815	DR085_RS02695
OG0000032	MHP168_RS03320	DR085_RS03940
OG0000039	MHP168_RS01800	DR085_RS00495, DR085_RS00485
OG0000040	MHP168_RS03260	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	MHP168_RS02950	DR085_RS00480, DR085_RS00645
OG0000043	MHP168_RS01205	DR085_RS02670
OG0000045	MHP168_RS01795	DR085_RS00505
OG0000047	MHP168_RS01230	DR085_RS03120
OG0000048	MHP168_RS02190	DR085_RS02880, DR085_RS03055
OG0000050	MHP168_RS02450	DR085_RS02735
OG0000051	MHP168_RS04010	DR085_RS01290
OG0000052	MHP168_RS00070	DR085_RS03420
OG0000053	MHP168_RS01535	DR085_RS03740
OG0000054	MHP168_RS02475	DR085_RS00960
OG0000056	MHP168_RS03500	DR085_RS02435
OG0000057	MHP168_RS02935	DR085_RS00520
OG0000062	MHP168_RS03625	DR085_RS02230
OG0000063	MHP168_RS03620	DR085_RS02225
OG0000064	MHP168_RS03610	DR085_RS02215
OG0000065	MHP168_RS02125	DR085_RS01895
OG0000066	MHP168_RS01440	DR085_RS01765
OG0000068	MHP168_RS03810	DR085_RS00460
OG0000069	MHP168_RS02825	DR085_RS00630
OG0000070	MHP168_RS02480	DR085_RS00940
OG0000071	MHP168_RS03250	DR085_RS01590
OG0000072	MHP168_RS03255	DR085_RS03730
OG0000073	MHP168_RS00950	DR085_RS02070
OG0000074	MHP168_RS00760	DR085_RS03690
OG0000075	MHP168_RS00315	DR085_RS00175
OG0000076	MHP168_RS00330	DR085_RS00190
OG0000077	MHP168_RS00420	DR085_RS00275
OG0000078	MHP168_RS01745	DR085_RS00755
OG0000079	MHP168_RS02565	DR085_RS00860
OG0000080	MHP168_RS03900	DR085_RS03275
OG0000081	MHP168_RS00310	DR085_RS00170
OG0000082	MHP168_RS03995, MHP168_RS04000	DR085_RS00920
OG0000083	MHP168_RS02095	DR085_RS03000
OG0000084	MHP168_RS02245	DR085_RS02830
OG0000085	MHP168_RS02240	DR085_RS02835
OG0000086	MHP168_RS02230	DR085_RS03880
OG0000087	MHP168_RS02215	DR085_RS02860
OG0000088	MHP168_RS02210	DR085_RS02865
OG0000089	MHP168_RS02195	DR085_RS02875
OG0000090	MHP168_RS00065	DR085_RS02335
OG0000091	MHP168_RS00055	DR085_RS02320
OG0000092	MHP168_RS00040	DR085_RS02305
OG0000093	MHP168_RS00035	DR085_RS02300
OG0000094	MHP168_RS00030	DR085_RS02295
OG0000095	MHP168_RS00005	DR085_RS02270
OG0000096	MHP168_RS03660	DR085_RS02265
OG0000097	MHP168_RS03640	DR085_RS02245
OG0000098	MHP168_RS03630	DR085_RS02235
OG0000099	MHP168_RS03510	DR085_RS02430
OG0000100	MHP168_RS03490	DR085_RS02440
OG0000101	MHP168_RS03485	DR085_RS02445
