Orthogroup	MHP_TB1_genes	MHP_1257_genes
OG0000000	B5M19_RS04470	ABKJ22_RS02210
OG0000000	B5M19_RS03770	ABKJ22_RS02090
OG0000000	B5M19_RS02095, B5M19_RS02100	ABKJ22_RS01715
OG0000001	B5M19_RS04385	ABKJ22_RS01295
OG0000001	B5M19_RS02510	ABKJ22_RS02685
OG0000002	B5M19_RS04465	ABKJ22_RS02205
OG0000002	B5M19_RS02105	ABKJ22_RS01720
OG0000003	B5M19_RS04550	ABKJ22_RS01780
OG0000003	B5M19_RS03885	ABKJ22_RS01825
OG0000004	B5M19_RS04240	ABKJ22_RS02940
OG0000005	B5M19_RS00020	ABKJ22_RS00095
OG0000005	B5M19_RS00030	ABKJ22_RS00100
OG0000005	B5M19_RS04010, B5M19_RS04005	ABKJ22_RS00105, ABKJ22_RS00120
OG0000008	B5M19_RS03790	ABKJ22_RS02100
OG0000008	B5M19_RS03340	ABKJ22_RS01635
OG0000008	B5M19_RS04540	ABKJ22_RS02455
OG0000009	B5M19_RS04475	ABKJ22_RS01035
OG0000009	B5M19_RS04265	ABKJ22_RS01020
OG0000010	B5M19_RS00670	ABKJ22_RS01835
OG0000011	B5M19_RS04080	ABKJ22_RS01925
OG0000011	B5M19_RS00765	ABKJ22_RS01920
OG0000012	B5M19_RS03815	ABKJ22_RS00425
OG0000013	B5M19_RS02640	ABKJ22_RS02355
OG0000013	B5M19_RS00100	ABKJ22_RS00180
OG0000014	B5M19_RS03715	ABKJ22_RS01105
OG0000014	B5M19_RS03505	ABKJ22_RS01095
OG0000015	B5M19_RS03260	ABKJ22_RS01575
OG0000016	B5M19_RS01425	ABKJ22_RS02785
OG0000016	B5M19_RS00080	ABKJ22_RS00165
OG0000017	B5M19_RS00065	ABKJ22_RS00150
OG0000017	B5M19_RS01415	ABKJ22_RS02795
OG0000020	B5M19_RS04305	ABKJ22_RS03435
OG0000020	B5M19_RS02010	ABKJ22_RS03440
OG0000021	B5M19_RS03625	ABKJ22_RS01740, ABKJ22_RS00510
OG0000022	B5M19_RS02040	ABKJ22_RS01655
OG0000022	B5M19_RS02090	ABKJ22_RS01710
OG0000024	B5M19_RS02500	ABKJ22_RS02680
OG0000024	B5M19_RS04395, B5M19_RS04390	ABKJ22_RS01290
OG0000025	B5M19_RS04315	ABKJ22_RS01660
OG0000025	B5M19_RS02085	ABKJ22_RS01705
OG0000026	B5M19_RS01210	ABKJ22_RS01380
OG0000026	B5M19_RS02065	ABKJ22_RS01685
OG0000027	B5M19_RS00565	ABKJ22_RS03225
OG0000027	B5M19_RS00550	ABKJ22_RS03240
OG0000029	B5M19_RS03200	ABKJ22_RS00600
OG0000029	B5M19_RS04520, B5M19_RS03510	ABKJ22_RS01090
OG0000030	B5M19_RS00570	ABKJ22_RS03215
OG0000030	B5M19_RS00555	ABKJ22_RS03235
OG0000031	B5M19_RS03305	ABKJ22_RS01605
OG0000032	B5M19_RS00560	ABKJ22_RS03230
OG0000035	B5M19_RS04235	ABKJ22_RS03095
OG0000036	B5M19_RS00040	ABKJ22_RS00110, ABKJ22_RS00125
OG0000037	B5M19_RS04485, B5M19_RS04490	ABKJ22_RS01590
OG0000039	B5M19_RS03320	ABKJ22_RS01615
OG0000040	B5M19_RS02985	ABKJ22_RS03165
OG0000041	B5M19_RS03050	ABKJ22_RS01030
OG0000042	B5M19_RS01320	ABKJ22_RS02880
OG0000043	B5M19_RS00735	ABKJ22_RS01890
OG0000043	B5M19_RS02270	ABKJ22_RS01890
OG0000045	B5M19_RS03325	ABKJ22_RS01620
OG0000046	B5M19_RS03125	ABKJ22_RS03170
OG0000048	B5M19_RS03695	ABKJ22_RS02075
OG0000049	B5M19_RS01455	ABKJ22_RS02955
OG0000050	B5M19_RS02825	ABKJ22_RS02395
OG0000051	B5M19_RS04110	ABKJ22_RS02600
OG0000052	B5M19_RS00005	ABKJ22_RS00075
OG0000053	B5M19_RS01120	ABKJ22_RS01465
OG0000054	B5M19_RS02800	ABKJ22_RS02420
OG0000055	B5M19_RS00045	ABKJ22_RS00130
OG0000056	B5M19_RS00375	ABKJ22_RS03415
OG0000057	B5M19_RS01340	ABKJ22_RS02865
OG0000060	B5M19_RS03995	ABKJ22_RS00080
OG0000062	B5M19_RS01970	ABKJ22_RS03470
OG0000063	B5M19_RS01975	ABKJ22_RS03465
OG0000064	B5M19_RS01990	ABKJ22_RS03455
OG0000065	B5M19_RS02925	ABKJ22_RS02160
