Orthogroup	MHP_TB1_genes	MHP_F72C_genes
OG0000000	B5M19_RS04470	EHI52_RS01825
OG0000000	B5M19_RS03770	EHI52_RS02325
OG0000000	B5M19_RS02100	EHI52_RS01775
OG0000001	B5M19_RS02555	EHI52_RS02790
OG0000001	B5M19_RS02505	EHI52_RS02745
OG0000001	B5M19_RS02510	EHI52_RS02740
OG0000002	B5M19_RS04465	EHI52_RS02215
OG0000002	B5M19_RS04625	EHI52_RS01820
OG0000002	B5M19_RS02105	EHI52_RS01780
OG0000003	B5M19_RS04550	EHI52_RS02140, EHI52_RS00520
OG0000003	B5M19_RS03885	EHI52_RS03670
OG0000004	B5M19_RS04240	EHI52_RS03225
OG0000005	B5M19_RS00020	EHI52_RS00100
OG0000005	B5M19_RS00030	EHI52_RS00105
OG0000005	B5M19_RS04010, B5M19_RS04005	EHI52_RS00110, EHI52_RS00125
OG0000006	B5M19_RS03630	EHI52_RS02500
OG0000006	B5M19_RS02695	EHI52_RS03880
OG0000008	B5M19_RS03790	EHI52_RS02320
OG0000008	B5M19_RS03340	EHI52_RS03775
OG0000008	B5M19_RS04540	EHI52_RS03830
OG0000009	B5M19_RS04265	EHI52_RS00680
OG0000010	B5M19_RS00670	EHI52_RS02085
OG0000011	B5M19_RS04080	EHI52_RS01985
OG0000011	B5M19_RS00765	EHI52_RS01990
OG0000013	B5M19_RS02640	EHI52_RS02410
OG0000013	B5M19_RS00100	EHI52_RS03710
OG0000014	B5M19_RS03715	EHI52_RS01155
OG0000016	B5M19_RS01425	EHI52_RS02830
OG0000016	B5M19_RS00080	EHI52_RS00170
OG0000017	B5M19_RS00065	EHI52_RS00155
OG0000017	B5M19_RS01415	EHI52_RS02840
OG0000020	B5M19_RS04305	EHI52_RS03550
OG0000020	B5M19_RS02010	EHI52_RS03555
OG0000021	B5M19_RS03625	EHI52_RS02195, EHI52_RS03715
OG0000022	B5M19_RS02040	EHI52_RS01715
OG0000022	B5M19_RS02090	EHI52_RS01770
OG0000024	B5M19_RS02500	EHI52_RS02735
OG0000024	B5M19_RS04395, B5M19_RS04390	EHI52_RS01335
OG0000025	B5M19_RS04315	EHI52_RS01720
OG0000025	B5M19_RS02085	EHI52_RS01765
OG0000026	B5M19_RS01210	EHI52_RS01425
OG0000026	B5M19_RS02065	EHI52_RS01745
OG0000027	B5M19_RS00565	EHI52_RS03355
OG0000029	B5M19_RS03200	EHI52_RS01150
OG0000029	B5M19_RS04520, B5M19_RS03510	EHI52_RS00620
OG0000030	B5M19_RS00570	EHI52_RS03350
OG0000031	B5M19_RS04360, B5M19_RS03305	EHI52_RS01660
OG0000035	B5M19_RS01610	EHI52_RS03220
OG0000035	B5M19_RS04235	EHI52_RS03205
OG0000036	B5M19_RS00040	EHI52_RS00115, EHI52_RS03705, EHI52_RS00130
OG0000037	B5M19_RS04485, B5M19_RS04490	EHI52_RS01635
OG0000039	B5M19_RS03320	EHI52_RS01675
OG0000040	B5M19_RS02985	EHI52_RS03295
OG0000041	B5M19_RS03050, B5M19_RS04355	EHI52_RS03655
OG0000042	B5M19_RS01320	EHI52_RS02930
OG0000043	B5M19_RS00735	EHI52_RS02020
OG0000043	B5M19_RS02270	EHI52_RS02020
OG0000045	B5M19_RS03325	EHI52_RS01680
OG0000048	B5M19_RS03695	EHI52_RS01840
OG0000049	B5M19_RS01455	EHI52_RS03065
OG0000050	B5M19_RS02825	EHI52_RS02450
OG0000051	B5M19_RS04110, B5M19_RS00915	EHI52_RS02650
OG0000052	B5M19_RS00005	EHI52_RS00075
OG0000053	B5M19_RS01120	EHI52_RS01510
OG0000054	B5M19_RS02800	EHI52_RS02475
OG0000055	B5M19_RS00045	EHI52_RS00135
OG0000056	B5M19_RS00375	EHI52_RS03530
OG0000057	B5M19_RS01340	EHI52_RS02915
OG0000060	B5M19_RS04370, B5M19_RS03995	EHI52_RS00080
OG0000061	B5M19_RS03265	EHI52_RS02075
